,AIBL,AIBR,ALA,AQR,ASKR,AUAL,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,BAGL,BAGR,IL2DL,OLQDR,RIBL,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SABVR,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,URXR,URYDL,URYDR,URYVR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
3588,-0.6648526793919182,-0.6013563898322821,-0.3891739866200806,-0.7643608811797755,-0.8278548164890499,-0.6443052793577273,-0.7795166919127113,-0.7456087243126744,-0.5860422456802832,-0.7087300067257085,-0.6397761381667022,-0.3944477972332096,-0.7184121605064533,-0.7535620086468765,-0.8819796446175512,-0.6097411535573064,-0.7255087022405111,-0.4186386909332582,-0.7540295433672716,-0.8545570557708072,0.060465711977775505,-0.844362301641272,-0.5345221653540632,-0.6258679031595409,-0.47904014596268196,-0.6618250612711656,-0.5417483238911848,-0.5784394299101612,-0.503081954622381,-0.6032011747476136,-0.6084572158458093,-0.6498336569787813,-0.645323340518756,-0.6313862709566731,-0.8538236187234571,-0.8672142353223438,-0.8786559848457441,-0.7567962625712799,-0.6843628720925523,-0.7578091247512263,-0.8072947188234167,-0.434465922979443,test,917.8209379441023,1
3589,-0.6661635991680328,-0.6041305349936871,-0.3829279409279377,-0.7540631279517309,-0.8323575044598239,-0.6466030213399488,-0.7826790577442793,-0.7522812851841105,-0.5783835354820898,-0.7215951087510959,-0.6433794365991878,-0.3945833307356295,-0.7172784920669999,-0.7543952497900737,-0.887000345959263,-0.6090107631405068,-0.7233255325001415,-0.4128974418583379,-0.7598579119117188,-0.8573707045279703,0.0719469613844744,-0.8416294438738666,-0.5339160259785428,-0.627523662946506,-0.4774342385091488,-0.6575148667087383,-0.534935174873266,-0.5818950221412977,-0.4981689571074248,-0.6035026707196758,-0.6092743224106072,-0.6494287216093769,-0.6426801913432275,-0.6291974234477138,-0.8520964075767012,-0.8719542878816919,-0.8785039722925807,-0.7569392522542372,-0.6876950618550857,-0.7571633950304787,-0.8034144296656203,-0.4308948207603771,test,918.076740881099,1
3590,-0.6588799565939724,-0.5975686934016518,-0.3783191200211693,-0.7489331722862052,-0.8270280470738122,-0.6416784371231122,-0.7785035261870518,-0.7467079970828886,-0.5766121750015779,-0.7104415850585349,-0.6397142351915813,-0.39945930445692507,-0.7189450083194869,-0.7532061015197205,-0.8833018357306559,-0.6031594358738053,-0.7342840194561249,-0.41974010946456913,-0.7425510876955963,-0.8476832817990324,0.06399455993694209,-0.8494907811834089,-0.5339309910291299,-0.630543863332185,-0.4691090168735581,-0.6542801812992922,-0.5448168648196305,-0.5769942038878443,-0.49583356556043284,-0.6055198969741573,-0.6092645699352207,-0.6565717148559516,-0.6404271180610188,-0.6263170489005199,-0.8540868479890137,-0.8685844551923338,-0.8690681319304904,-0.7561897161490782,-0.6791240039040921,-0.7530042069694438,-0.807198571059093,-0.44053497164959976,test,918.3325438180957,1
3591,-0.6647209850553334,-0.5971028718964457,-0.38436298990271855,-0.7591521687496305,-0.8294120280085557,-0.6438081949834024,-0.7780651440495313,-0.7461191717787327,-0.5873293538651043,-0.7086238665660682,-0.6482910552015756,-0.3967357099749081,-0.7211782554560848,-0.759443427284433,-0.8845356639885338,-0.6084622221835161,-0.7275344459887355,-0.4216312179275753,-0.754453200943887,-0.8515446916755328,0.05464256190331976,-0.8420723162225816,-0.5388864581829368,-0.6230956659560003,-0.4709364956413806,-0.6582956387055499,-0.5383872742262552,-0.5823936560655127,-0.5063441855453563,-0.6003454642018013,-0.6068143986058583,-0.6470706238196919,-0.6413852328000531,-0.6325876043012224,-0.8541557732223737,-0.8677972929938607,-0.8839265015560888,-0.7681052194144217,-0.6938207666583054,-0.7561314907095446,-0.8112822471231468,-0.43531619754675854,test,918.5883467550923,1
3592,-0.6590769943287559,-0.5937392417204108,-0.3758823260732193,-0.7516295232412553,-0.8327988059172343,-0.6425803619471961,-0.7774433688523569,-0.753350473147402,-0.5792866458939145,-0.7058167229843311,-0.643174280847023,-0.3928855069641086,-0.7212963571050588,-0.7567963729938231,-0.8825958179518962,-0.6086064174448822,-0.7220960562927758,-0.41828441348798895,-0.7525339454412362,-0.8480050435626497,0.0499913575690584,-0.8421378787314512,-0.5295456425034225,-0.6256929386513242,-0.4734671272796116,-0.6537701846068809,-0.5412555759935538,-0.5810633024848921,-0.496843169143211,-0.605203233673697,-0.6087327411041614,-0.6425704289101173,-0.6413747578224873,-0.6324789041481362,-0.8483074330028184,-0.8655451782504531,-0.8789665895055694,-0.7565901660669341,-0.6867206314998169,-0.7534693668023721,-0.8041024136795237,-0.4353591540937003,test,918.844149692089,1
3593,-0.6591390575303955,-0.5951434058327377,-0.3822375072287275,-0.749122604222733,-0.83364624310692,-0.6416790682793413,-0.7813515441197245,-0.7591364770541587,-0.579147812429126,-0.7073745378099972,-0.6468437823855682,-0.3945861835213211,-0.7180277157370094,-0.7579655473403685,-0.8833807675268683,-0.6099342926657393,-0.7256682939599068,-0.41564936377557754,-0.7555357638164008,-0.8508939134723426,0.05479779635997775,-0.8453490913636639,-0.5374120566667757,-0.6193745501483463,-0.475068638934815,-0.6583877001645975,-0.5397950069732529,-0.5815575299397371,-0.5003079372891186,-0.5998733623064515,-0.6111925127132282,-0.6465706910126356,-0.6414421120028457,-0.6304615224431385,-0.8498543017927309,-0.8676255861881652,-0.880187879749071,-0.7619018129483998,-0.6883572163378379,-0.7544011982523767,-0.8102475560248421,-0.4368128337769249,test,919.0999526290857,1
3594,-0.6578981557205418,-0.5950975470261903,-0.380708542842538,-0.7517426073090385,-0.8299338389755369,-0.6426829386986671,-0.7784523687965005,-0.7495209322532231,-0.579638929666065,-0.7065748277288674,-0.6498208528124819,-0.396589212373679,-0.7263767956102416,-0.7580712610970024,-0.889793103297114,-0.6096022598723874,-0.7308271763846552,-0.4192534605602565,-0.7504842786590773,-0.8503135953214583,0.052424433490996625,-0.8504911361218505,-0.5355015943835261,-0.6242281117700155,-0.47356114195082116,-0.6563868865276008,-0.5439170835111273,-0.5809715713276487,-0.5011985724474931,-0.598582175373261,-0.6060117030857229,-0.6504832956963646,-0.6395900245851209,-0.6293530648807285,-0.8522989032248391,-0.8718667895587602,-0.8816081539415719,-0.7645818907978519,-0.6898408073072503,-0.7556785387131083,-0.8112312136188475,-0.4375513688111762,test,919.3557555660824,1
3595,-0.6523566730663839,-0.5936765765913852,-0.3716403539206449,-0.749781058168431,-0.8361912901977595,-0.6445215450353058,-0.7762006077428534,-0.7429197568280419,-0.5778055909023148,-0.7095165631686378,-0.6476357385058489,-0.3993686341716988,-0.7272438314920631,-0.7595137039553195,-0.8885991274531919,-0.6038863314389097,-0.7427783864398608,-0.42584155659729317,-0.7370242460762451,-0.8483639609653252,0.05198384282739493,-0.8512693473570434,-0.5318439839228617,-0.6358622428603204,-0.4682476216518467,-0.6499086139753809,-0.5583894507391417,-0.5792099148899942,-0.4937124670219025,-0.6046595647713264,-0.6076072980775424,-0.6616055307276606,-0.6349045797649543,-0.6255555784809628,-0.8574106909178397,-0.8667759380904594,-0.8821558162781811,-0.7654547585238284,-0.6875241740814888,-0.7495667708609027,-0.814167508883525,-0.44569321467237877,test,919.6115585030791,1
3596,-0.6609229223183724,-0.5966410112405702,-0.3782918307815386,-0.7548062760752823,-0.8353335860648173,-0.6474605042393228,-0.7793097878136315,-0.7547655607093379,-0.5803947176224717,-0.7130190211590285,-0.6495766205444419,-0.3950000072288242,-0.7255652540607973,-0.7583301548045788,-0.885654252128447,-0.6102910104838823,-0.7300178274863071,-0.41897958870146745,-0.7522030111193909,-0.8530458832310812,0.05428895823317262,-0.8457101010507164,-0.5386813152280235,-0.6212062633858793,-0.47707469520720697,-0.654675073468772,-0.545879900965481,-0.5818862276206023,-0.5014046314239583,-0.6010558316425294,-0.6112282078467675,-0.6497961698385463,-0.6383709127326274,-0.6286997562911699,-0.8506490971211238,-0.8710388730837599,-0.8848467205357573,-0.7667035894256781,-0.6924933991231623,-0.7540307015505526,-0.808642557528046,-0.4341182873999253,test,919.8673614400758,1
3597,-0.6638451880058034,-0.6028952562116497,-0.3912900366471779,-0.7535030950908559,-0.8320941069537348,-0.6485797008405207,-0.7809435936631353,-0.7550128630099955,-0.5775393685758093,-0.7175383164992752,-0.6494954980075887,-0.39455362290959733,-0.7236305137878318,-0.7556883037915499,-0.8873186437610467,-0.6141863933241256,-0.7259568615111974,-0.4146564188468645,-0.7600763166894229,-0.8552188478926429,0.06310534590788333,-0.8445320310738459,-0.540384756760132,-0.6160346272441721,-0.4782649123917465,-0.6594285581558716,-0.5354041850264909,-0.5800470456116434,-0.501420864616138,-0.598526690928499,-0.6120938189843037,-0.6509334065890133,-0.6415210734662408,-0.6272010408110075,-0.8524804144259573,-0.8740430954667171,-0.8876331452314162,-0.7655939596565005,-0.6982666428498581,-0.7588286179616349,-0.8098387467025401,-0.42661485306463875,test,920.1231643770724,1
3598,-0.6640811765821265,-0.5992364087498169,-0.3880855669794067,-0.7521203475154887,-0.8298411234231106,-0.6488572703945927,-0.776958417788983,-0.7475346224097332,-0.5768856036631705,-0.7160009005404174,-0.6459949963444847,-0.39492337265743704,-0.7204641633524125,-0.757258925847238,-0.8898980000999883,-0.6096527682096702,-0.7271459791883677,-0.4147467254013435,-0.7498653850829446,-0.8591544614150868,0.06467925541328334,-0.8494984925935524,-0.5367497502782222,-0.6285893978077292,-0.47883369985787533,-0.6643750211394847,-0.5379200315524281,-0.5762070110044386,-0.49923223325080496,-0.6043175702444772,-0.6064875144701097,-0.6531340440998747,-0.6444350571588371,-0.6275987345934451,-0.8531258262022758,-0.8717981750694035,-0.8827760995612299,-0.7632862927721767,-0.6916004172165602,-0.7571999248011652,-0.8093526272525181,-0.4389182684626669,test,920.3789673140691,1
3599,-0.6594149888458426,-0.5988101656042499,-0.38988681600628206,-0.7541208719825712,-0.8315166201091481,-0.6494367316746229,-0.7721593640343954,-0.7455593119646848,-0.5816572482936365,-0.7129942307360985,-0.642506580072804,-0.39596295035063594,-0.7229158206104034,-0.7544022964947554,-0.8905577461331335,-0.6118637034377594,-0.7320699525571265,-0.4166245912195198,-0.7507123068828074,-0.852066820784057,0.06213218796457046,-0.8459741010382889,-0.5349476445125152,-0.6295270866312985,-0.4803556538407787,-0.6627110864437047,-0.5374965041127849,-0.585650919861864,-0.49758757370355244,-0.602975564471938,-0.6069286350095712,-0.6516981492257896,-0.6420764440006808,-0.6303959479553536,-0.8537135169746388,-0.8706994138613973,-0.8859234197878764,-0.7600143209028845,-0.6945527747686229,-0.7585602217260284,-0.8120801654159392,-0.43879930682376056,test,920.6347702510658,1
3600,-0.6518803367325463,-0.5933299362445233,-0.3983405975917863,-0.7556881342630715,-0.8299756973151626,-0.6581874017539272,-0.7634466137060666,-0.7458280600975568,-0.5828834463615297,-0.7160301457220904,-0.634053002614008,-0.3952656396366255,-0.7240851242902864,-0.7521747302751244,-0.890268139092774,-0.6069684189535391,-0.7274949060965311,-0.40956442325725967,-0.7537677910440278,-0.8531885968355243,0.06494757666403106,-0.8385447472181146,-0.5400133145159303,-0.636257371180772,-0.48839314296739644,-0.6668527594568736,-0.5359598660429417,-0.5926069988703621,-0.4904914648619673,-0.6084327978068867,-0.6112202029337308,-0.6541874627295554,-0.6488055092519598,-0.6338474425425096,-0.8493807569577967,-0.8790098155775679,-0.8860168206375465,-0.7564441263550995,-0.6943621843183022,-0.7548556765031071,-0.8096530858124856,-0.4426738706944563,test,920.8905731880625,1
3601,-0.6551660161282933,-0.5889483049592057,-0.3928008815680571,-0.7561172769038749,-0.8329336456383893,-0.6558498198594184,-0.7656057932093738,-0.736202179700238,-0.5845712077404648,-0.707834944909513,-0.6309478982726381,-0.3935309972196165,-0.7227191549146912,-0.7527335518443748,-0.8878624319428479,-0.608796298632283,-0.7389568647057182,-0.4170473563828933,-0.7439968160689351,-0.8516253612796876,0.06299797858834891,-0.851060320113147,-0.5297204258359196,-0.6453179305187002,-0.48708772066281847,-0.6752761326240304,-0.5497237571566,-0.5901072658572264,-0.49711979231180964,-0.6117872850398236,-0.6059460016708907,-0.6640969249845714,-0.65088417606693,-0.63134461913226,-0.8587762330389846,-0.8729517123204373,-0.8734747043617128,-0.7557464083082988,-0.689511435622203,-0.7526782341734495,-0.8110774599978542,-0.4457293966244421,test,921.1463761250592,1
3602,-0.6554184121754292,-0.588702641851653,-0.39799451746427417,-0.7614851531186899,-0.8335465008859518,-0.6521266532197533,-0.7633042664254378,-0.7291967989331992,-0.5885402442694528,-0.7047216625892774,-0.635870203209656,-0.3938177013193815,-0.7211850893228093,-0.7527047885713954,-0.8856623106304322,-0.608163400259149,-0.739503073910447,-0.42624423020896796,-0.7389825298087269,-0.854890550700742,0.057703390423227446,-0.8541071583243998,-0.5306259684414523,-0.6491992961283948,-0.48784279377537887,-0.675620053051924,-0.5532862717972855,-0.5875838662480725,-0.49811433096759555,-0.6069135545087588,-0.6024272699399267,-0.6689858070128627,-0.6531827867295005,-0.633006726360045,-0.8594777608738934,-0.869862367445901,-0.8800748941461133,-0.7654435056466884,-0.6969252427951526,-0.7498522394237045,-0.8190299289607332,-0.45305200576738436,test,921.4021790620559,1
3603,-0.6602138220215912,-0.5971187836509253,-0.385741463404362,-0.757810416512146,-0.8378795310086884,-0.6507142646642194,-0.7737544959316857,-0.7375330667989808,-0.582525006995857,-0.7096000663499905,-0.6376098972545604,-0.39423643957490906,-0.7185619199156734,-0.755995862454854,-0.8814045800838395,-0.6082953114918517,-0.7382063736516401,-0.4247418867560791,-0.74311678550929,-0.8583340620332843,0.06392717114882684,-0.8572487691356991,-0.5227360090128078,-0.645029400722222,-0.4817751900932062,-0.6689325400931888,-0.5506004115283681,-0.5819451767270439,-0.4900592962762555,-0.6105137490947363,-0.6032506826821183,-0.6597102946729694,-0.6438041881353307,-0.6305949812704681,-0.8582630480441875,-0.8640385487594799,-0.8815537335085225,-0.757177257990585,-0.6898927120608639,-0.7536919147431232,-0.8140740006010351,-0.4490430584399555,test,921.6579819990526,1
3604,-0.6590456162694509,-0.5939417746143467,-0.3916772210163146,-0.7653303790756998,-0.8338588755738345,-0.6500191739711183,-0.7685959315259197,-0.7356530630720187,-0.5876020912533412,-0.7060334617213697,-0.6337579207998048,-0.3908278466488696,-0.7171687259115583,-0.7527883590617428,-0.8791593445826034,-0.6062836138153479,-0.7275305035474577,-0.42063449295943733,-0.7520976265544266,-0.8557104177696387,0.05675329908357385,-0.8438144482377913,-0.5257758236225113,-0.6350715130160016,-0.48511059387822275,-0.6664762540389384,-0.5353109495341625,-0.5863027321190902,-0.4982859249381292,-0.6065025595555054,-0.603955296871293,-0.6478317979145038,-0.6418688949189871,-0.6362737950523956,-0.8533828112696238,-0.8636205821238891,-0.8794452443023283,-0.7597629766818602,-0.6931009540407673,-0.7536058017095933,-0.8105295166647493,-0.4407035582373404,test,921.9137849360492,1
3605,-0.6625987988036548,-0.6010513890932843,-0.3884812611877244,-0.7641584377125443,-0.8385085148278092,-0.6505728018622685,-0.7764144409850238,-0.7343218410317592,-0.5859579168439618,-0.7129544886498151,-0.6375053239516323,-0.3958753172430783,-0.71795075339665,-0.7564464682328262,-0.8803936742202438,-0.6057796630495462,-0.7367542341006049,-0.4265739859089809,-0.74376294901503,-0.8584538376679562,0.06672677235210744,-0.854653991495336,-0.5237955868896204,-0.6435781711353807,-0.4823814247331206,-0.6686408945432447,-0.5484926865769859,-0.5824644524659988,-0.4972449169851027,-0.6096844260999617,-0.6013374130403477,-0.6592257196433768,-0.6441626166318586,-0.631844238298306,-0.861638125911297,-0.866277220534104,-0.8814906586331309,-0.7612847806425465,-0.6919884181755535,-0.7542781866187747,-0.8148138512271942,-0.4481858854337931,test,922.1695878730459,1
3606,-0.6635411772769326,-0.595214567690051,-0.38791793875838754,-0.7599913776394966,-0.83713459896357,-0.6515930409170594,-0.771918790829276,-0.7337075095815693,-0.5830553669584012,-0.7118652785536508,-0.6312627323480233,-0.39320431993079896,-0.7176239238330618,-0.7522890210252929,-0.8773761633922648,-0.6060541975088762,-0.7362688045758078,-0.43064271951544,-0.7425346223857162,-0.8535152208347361,0.05865010063492149,-0.8527778267249619,-0.5264717491639102,-0.6385667188103006,-0.4833193375010997,-0.6690245968942582,-0.5475577575610334,-0.582544155865709,-0.5004616147781001,-0.6093613237985667,-0.6057981256853056,-0.6594027171196343,-0.6481968969035647,-0.6338408802344015,-0.8577568646325118,-0.8686514354024728,-0.8706405844806516,-0.7611863296555341,-0.6913166578114817,-0.7530019177952301,-0.8095286626434144,-0.4451803159113653,test,922.4253908100426,1
3607,-0.6620755876670071,-0.5900692801562221,-0.3861908728255985,-0.763151071599854,-0.8399873746517337,-0.6521961131166715,-0.7751422947709053,-0.7376237422828118,-0.5824194061450714,-0.7111335552611777,-0.6301238607873643,-0.39337217244803324,-0.7155796937132216,-0.7534750516578399,-0.8753365786014562,-0.6032330772604189,-0.7311315483762685,-0.4292882019147773,-0.7475622071054654,-0.8498949236772416,0.05689908009247435,-0.8487894165534603,-0.5234300276049915,-0.6378091304169201,-0.4814378991202437,-0.6644091366610934,-0.5380797212188774,-0.5849379776359703,-0.5013039366428053,-0.6096042045880448,-0.6044827009648744,-0.6541838361668696,-0.6398990282538639,-0.634123714475163,-0.8555113334777041,-0.8673256120443305,-0.8729651535864392,-0.760877920159683,-0.6935838582063469,-0.7500801110240485,-0.8108988690436272,-0.4430823043065325,test,922.6811937470393,1
3608,-0.6597524401637447,-0.5895900736102077,-0.38726146602428024,-0.7603391434475713,-0.8359537309275847,-0.6490939978196174,-0.7749016742412509,-0.7358528111685764,-0.5858406144929201,-0.7095992757158271,-0.6307556200209733,-0.39360232156388514,-0.7158743341945781,-0.753864170586323,-0.88026509864248,-0.6057271325324731,-0.7351170351341203,-0.4276934257090355,-0.7423073725579501,-0.8518539417101977,0.05679667381570258,-0.8533615134227619,-0.5249572674172975,-0.641708802317559,-0.4831608809612288,-0.6687033666670672,-0.5436956619382848,-0.5825951210363939,-0.5014929301761424,-0.6085007657717922,-0.6025855018772118,-0.6572185457983024,-0.6456325287816849,-0.6343264788293377,-0.8565874700754371,-0.8649386835495214,-0.8733752490270507,-0.760593448888942,-0.6886266039544968,-0.7526257488032683,-0.8125608907165801,-0.4477653010935513,test,922.936996684036,1
