,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AVFR,DA1,DA7,DB1,DB2,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMEV,SABVL,SABVR,SIADL,SIADR,SIAVR,SMDDL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VD13,train_test_label,time_in_seconds,tau
20,-0.3097728,-0.16698126,-0.015924865,-0.005499169,0.06745902,-0.08375153,-0.12894855,-0.0817039,-0.13815916,-0.28612196,-0.15441725,-0.23206556,-0.36647564,-0.066485405,-0.2659045,-0.24650022,-0.2611565,-0.18900913,-0.23994905,-0.12951502,-0.27660787,-0.26252055,-0.14755955,-0.1915124,-0.1193082,-0.17252651,-0.24107641,-0.11757468,-0.31169865,-0.2577448,-0.03413153,-0.25836554,-0.08907805,-0.21381536,-0.16315842,-0.3075248,-0.11717132,-0.17607956,-0.33239168,-0.17144257,-0.19435298,-0.22826543,-0.13126002,-0.29533738,-0.33387566,-0.30260748,-0.17614022,-0.10483113,-0.48689824,train,6.5197706,1
21,-0.3101137,-0.17456728,-0.017004076,-0.0064367056,0.08194674,-0.07805548,-0.13614427,-0.08286007,-0.14501594,-0.28390932,-0.15799657,-0.23679186,-0.36354342,-0.058215514,-0.26312757,-0.24253719,-0.2655694,-0.19357918,-0.24108347,-0.13240577,-0.27150804,-0.2604654,-0.1517759,-0.18589935,-0.116729714,-0.17445351,-0.23972484,-0.121945396,-0.30926073,-0.25077808,-0.029295137,-0.26044422,-0.08583164,-0.21285568,-0.15620498,-0.31160533,-0.11106069,-0.18567102,-0.3461266,-0.16878957,-0.19190732,-0.23355538,-0.13482755,-0.30535728,-0.34188244,-0.29864275,-0.17037396,-0.11155818,-0.48877323,train,6.845759,1
22,-0.3158207,-0.17316942,-0.013726004,-0.011687718,0.074710645,-0.08081944,-0.14227065,-0.09480362,-0.14187215,-0.28840494,-0.16464509,-0.23992206,-0.37304035,-0.062942564,-0.26823038,-0.24039148,-0.2708837,-0.19747306,-0.24476095,-0.14094949,-0.26472268,-0.2620654,-0.16094297,-0.18750185,-0.10921943,-0.17698681,-0.24313384,-0.12270896,-0.30958575,-0.25320786,-0.026333936,-0.27226716,-0.088042855,-0.21279363,-0.15839289,-0.31668913,-0.115553096,-0.19736181,-0.34844965,-0.1748836,-0.18630198,-0.24095291,-0.14092487,-0.30827373,-0.34155706,-0.30080214,-0.17487355,-0.11198713,-0.49375063,train,7.1717477,1
23,-0.3275849,-0.1692816,-0.02393344,-0.014391646,0.071101144,-0.09611662,-0.13876987,-0.10542211,-0.13164593,-0.30409276,-0.17225902,-0.253625,-0.394067,-0.06558193,-0.28208172,-0.24383578,-0.28006935,-0.19836763,-0.2599637,-0.14536808,-0.27097264,-0.277679,-0.15421557,-0.18979222,-0.10769436,-0.17817642,-0.24667352,-0.12739544,-0.3219276,-0.2623521,-0.03204172,-0.2785393,-0.08346753,-0.20874149,-0.16929534,-0.3175536,-0.13276568,-0.20500547,-0.35321045,-0.17046496,-0.2032403,-0.25221482,-0.14680685,-0.30207932,-0.3316507,-0.30829394,-0.18423106,-0.1071968,-0.49792582,train,7.497736,1
24,-0.3150866,-0.17160848,-0.013739322,-0.0061418414,0.0789032,-0.08804174,-0.13717875,-0.092968404,-0.14927918,-0.29583326,-0.16687302,-0.2521084,-0.3834486,-0.052990057,-0.2807059,-0.2407462,-0.27090725,-0.19550222,-0.2515309,-0.13431129,-0.26500365,-0.27715772,-0.16643104,-0.19133757,-0.10704544,-0.18077883,-0.24392396,-0.12636678,-0.31137526,-0.25534564,-0.034052953,-0.2640807,-0.07467486,-0.2122532,-0.15041423,-0.3250779,-0.115297124,-0.2037579,-0.34488398,-0.16398402,-0.20049325,-0.24908681,-0.14720753,-0.3084827,-0.35407943,-0.30188334,-0.179935,-0.111570425,-0.49692613,train,7.8237247,1
25,-0.31843188,-0.1739769,-0.019612381,-0.006041296,0.08158254,-0.09160138,-0.13624926,-0.10185929,-0.15631063,-0.29473713,-0.17523554,-0.26256073,-0.39252397,-0.047726825,-0.2895346,-0.23911421,-0.26500624,-0.19485858,-0.26614112,-0.14715867,-0.25792974,-0.2798273,-0.16955826,-0.18773851,-0.10599499,-0.18244788,-0.25601286,-0.13989311,-0.31584796,-0.25665325,-0.03823925,-0.25718346,-0.065045565,-0.21079881,-0.14593047,-0.33424133,-0.12019691,-0.21953738,-0.3587253,-0.16302867,-0.20686123,-0.254617,-0.14973003,-0.31631252,-0.351041,-0.30913556,-0.18180174,-0.11618468,-0.5019547,train,8.1497135,1
26,-0.32140335,-0.17136356,-0.012331529,0.0008147061,0.07536887,-0.10248868,-0.14039919,-0.11047968,-0.1494478,-0.30212474,-0.17907162,-0.26471856,-0.39700985,-0.048211183,-0.29131564,-0.24224512,-0.26621208,-0.18660098,-0.27552384,-0.15633152,-0.2583535,-0.28923222,-0.17247471,-0.19993469,-0.10153692,-0.18911557,-0.25982878,-0.14452933,-0.31807503,-0.2585522,-0.04447816,-0.26055688,-0.05447812,-0.2166955,-0.15195172,-0.33903027,-0.12087557,-0.22546217,-0.35718882,-0.17193332,-0.20132625,-0.2620161,-0.1552228,-0.31488776,-0.3565523,-0.32044095,-0.19511274,-0.11345172,-0.5085726,train,8.475701,1
27,-0.31563574,-0.1751905,-0.016339865,0.0027666688,0.083363496,-0.09558397,-0.13392371,-0.096228495,-0.15918568,-0.29491672,-0.17093115,-0.25789997,-0.3921635,-0.04414025,-0.2885849,-0.24410798,-0.2537102,-0.19178137,-0.26273945,-0.14377968,-0.2572059,-0.28707573,-0.16872633,-0.19053613,-0.100137115,-0.18644911,-0.2511533,-0.13683419,-0.30496347,-0.24873662,-0.040787578,-0.24833341,-0.05438184,-0.21861014,-0.13702,-0.33493236,-0.10830169,-0.21887304,-0.34725696,-0.16072032,-0.20821762,-0.25799164,-0.15502709,-0.31991178,-0.36124083,-0.3108418,-0.18042028,-0.11364449,-0.50280327,train,8.80169,1
28,-0.3128689,-0.17943713,-0.008365986,0.00012551248,0.08964848,-0.0991164,-0.13332777,-0.09255667,-0.158215,-0.30092868,-0.17464416,-0.27289486,-0.3920665,-0.032234684,-0.28492582,-0.23672166,-0.26159373,-0.18313232,-0.27092862,-0.14196095,-0.25917816,-0.29136428,-0.17337799,-0.19856769,-0.097953156,-0.19515583,-0.25021657,-0.13719036,-0.30650747,-0.24785948,-0.041603066,-0.24554114,-0.049883373,-0.21841004,-0.13978241,-0.33977687,-0.10203075,-0.22163965,-0.35024893,-0.15897366,-0.21632257,-0.26144683,-0.16184726,-0.3173355,-0.3682265,-0.3110125,-0.18152034,-0.10581295,-0.5023317,train,9.127679,1
29,-0.30090833,-0.17702268,-0.006595996,0.002252847,0.0976824,-0.093400195,-0.12752877,-0.0882446,-0.16762882,-0.2904768,-0.17692086,-0.2698394,-0.38985324,-0.031002132,-0.29091096,-0.23097597,-0.24978098,-0.1822325,-0.27176058,-0.14069663,-0.2501137,-0.2875282,-0.17303261,-0.19687688,-0.10120656,-0.19367337,-0.25702506,-0.14632775,-0.30174387,-0.25233975,-0.048221223,-0.24041353,-0.039715976,-0.21218383,-0.12587869,-0.3435852,-0.09219772,-0.22750743,-0.34808016,-0.15810117,-0.21593618,-0.2661534,-0.16858546,-0.32420737,-0.3693414,-0.3111327,-0.17818426,-0.113741755,-0.5018821,train,9.453668,1
