,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFR,DB1,DB2,RIGL,RIGR,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,VD2,train_test_label,time_in_seconds,tau
3051,-0.23572934796332778,-0.8928892042773813,-0.9504548531464825,-0.3233099200894163,-0.16363769792926175,-0.5751570540565516,-0.9399538856516023,-0.9319186830191573,-0.37048237878670104,-0.34254220388940326,-0.959405648237559,-0.844284221215825,-0.2097115774389634,-0.5167648238759983,-0.4835143602724355,-0.28309706466254314,-0.10640421462443492,-0.9138233125516757,-0.7779457702579093,-0.8019602235735468,-0.5764438501100727,-0.12538228422037034,-0.12167331527574349,-0.3390333063271475,0.08266697207836735,-0.23948298948391433,-0.8253257785875749,-0.7188999089630829,-0.7095904283263367,-0.7148436368460834,-0.6136575412097336,-0.3417416122454334,-0.5939412276255208,-0.5374182162546096,-0.496104789473121,-0.32902509004475267,0.12190574703118162,test,1679.9632915264608,1
3052,-0.2299183874520954,-0.8976356688869833,-0.9620843230259939,-0.33943313244075085,-0.16345462064596286,-0.5741315756611327,-0.9366891991432149,-0.9417021600242519,-0.377508418014902,-0.3389371835189387,-0.9499373552000681,-0.8492533038108077,-0.22403067028371665,-0.5202042787370779,-0.46735820776896275,-0.28049791350299674,-0.10425921136121016,-0.9247898033074327,-0.7940095750314381,-0.8019557534111226,-0.5802796550099834,-0.11990651282695523,-0.13308393032948346,-0.34041341609935044,0.06206618585898008,-0.23918164659693125,-0.8339848058949898,-0.7164773906167523,-0.7087323818575311,-0.7375214821062038,-0.608787795303819,-0.34640962584193213,-0.595076633610289,-0.5478034346546323,-0.49426571429879956,-0.33102626795363443,0.12886734251555912,test,1680.5139186295505,1
3053,-0.22715059029466392,-0.9066291642859987,-0.9643093471467221,-0.33961360222744147,-0.16416143755319143,-0.5695345946069649,-0.9208877835828879,-0.9305864268695998,-0.3828727924185411,-0.3504800972143747,-0.9473483380210237,-0.845710781464929,-0.22206723803232592,-0.5265511839005935,-0.46764155532801477,-0.27644209536763664,-0.10195681148648318,-0.9229945506351911,-0.7831279951862323,-0.813201952398598,-0.5731121900821362,-0.11726469187867145,-0.12504170322487265,-0.33599271777834744,0.0637071579790385,-0.24463816179518716,-0.8276591586811051,-0.7154481401026849,-0.7141255085224678,-0.7337590931377684,-0.6126525387938511,-0.3618602178355622,-0.600679488963205,-0.5487377266841671,-0.49870042667034264,-0.3312856992019767,0.12038633968479001,test,1681.06454573264,1
3054,-0.2165553004111208,-0.908928500888993,-0.975002640709436,-0.34568560684767036,-0.16915062204987696,-0.5527542674127893,-0.9190233115116525,-0.932805108693459,-0.40153060690592,-0.34170321499404477,-0.945301007549775,-0.852898317724271,-0.23201744191713564,-0.5219287266878164,-0.45017567671585634,-0.28166622495190075,-0.08548391316121567,-0.9246968821428497,-0.785585964265403,-0.8250708999397423,-0.5775600843048024,-0.10104247443385976,-0.13097440967819018,-0.3277513479608994,0.05454999275109379,-0.24004253979857057,-0.8324946723558183,-0.716890511071171,-0.7219845686163643,-0.7484985064640324,-0.6129357765048942,-0.37402114830911404,-0.6048479789715854,-0.5653615046341486,-0.5049517761323683,-0.3335784536383092,0.12434954924969222,test,1681.6151728357297,1
3055,-0.22052326930601648,-0.9120355799048797,-0.9694488223921434,-0.34704943323417864,-0.1837301767508826,-0.5482726542714584,-0.9295496235117762,-0.9338521220435401,-0.38507901442369064,-0.3200838187719849,-0.9530163967021172,-0.8528249884087165,-0.23113109197294374,-0.5136439407462526,-0.44312282657613294,-0.2814779550552265,-0.08430901578672875,-0.9214293620573678,-0.7844304616561366,-0.8232479160615163,-0.5774111266874538,-0.0873416932963631,-0.12392082188453422,-0.3078977735095805,0.07775455698409822,-0.24059350834181478,-0.8348227582053875,-0.7214765381063597,-0.715219169870227,-0.7436037397988247,-0.6218577301742698,-0.37610582532702785,-0.6055121623880477,-0.55999135220124,-0.4917718100881754,-0.32369473781011077,0.1266039835879382,test,1682.1657999388194,1
3056,-0.22628476720207774,-0.9087062490232828,-0.959670068508583,-0.3544341106273803,-0.17778885729234956,-0.5587980619502664,-0.9290851181931001,-0.9341486972565636,-0.39578642210702264,-0.33791453445530273,-0.948077787318248,-0.8484995768667096,-0.23097392178872506,-0.5218096183609681,-0.4559624825809756,-0.2817221324590969,-0.10514780795751269,-0.9149557148867666,-0.7801498581293645,-0.8237517097081151,-0.5869221774576023,-0.10909503493734538,-0.13096940247564376,-0.3221546946260557,0.048699903438557346,-0.24366180928147468,-0.8329081576578748,-0.7219622066981308,-0.7266665438693583,-0.7561589358725994,-0.615392922147529,-0.36726170990286544,-0.6076995802593309,-0.555793614338794,-0.5050980243088368,-0.32981106423250384,0.12027850619393743,test,1682.716427041909,1
3057,-0.22972135837586538,-0.8997166411632952,-0.9507423273459586,-0.36056727812265793,-0.17999192894579472,-0.5565175759344018,-0.9230963823534546,-0.924473862241397,-0.4169945949590569,-0.33871866191206207,-0.9422962035016142,-0.8424718821389989,-0.24069807772588242,-0.52292297354043,-0.4596255043247915,-0.28626927704159105,-0.0992018804972234,-0.9080335437143279,-0.7724002734705112,-0.8272614140311043,-0.5822590439519666,-0.12131987215097777,-0.14021552335924445,-0.3372218606732564,0.03372199931787018,-0.25773393179948384,-0.8379831567479619,-0.726179424643904,-0.729195268358266,-0.7734016113141667,-0.6198905655532158,-0.38228436651994724,-0.6108293773446928,-0.5684896184608567,-0.519928702771894,-0.33752414051160384,0.12273648690345856,test,1683.2670541449986,1
3058,-0.23568148593059673,-0.9174432555096658,-0.963800701456824,-0.3673790245560305,-0.1762149405939772,-0.5691253603855743,-0.9363887420890715,-0.9336598476435494,-0.4180139937730881,-0.3390484418678982,-0.9441705553781559,-0.8486717345052315,-0.2594509372991219,-0.5417412456027813,-0.45035422125987556,-0.291967704169755,-0.10269333646720423,-0.9182043415472566,-0.7858549669831527,-0.8346921873455684,-0.595625714122229,-0.11713687700491175,-0.139052448264414,-0.33680926718995774,0.011450256126753378,-0.2526561621582639,-0.8456978648716865,-0.7257425509536664,-0.7466707486714823,-0.8064803654152906,-0.6178539178552229,-0.3809201574450738,-0.6238114835359115,-0.5782205686662817,-0.5191444347007508,-0.3334169385890401,0.12421644212307928,test,1683.817681248088,1
3059,-0.2344816272745246,-0.899123591262175,-0.9493697317877048,-0.37734849145047017,-0.1756096311464714,-0.5685298896309818,-0.9216016227141418,-0.925343482865947,-0.4333790516719135,-0.34186202303484203,-0.9282939080976707,-0.8405598132829717,-0.26791981523428293,-0.5376113957690327,-0.4537859782072185,-0.3030509488872838,-0.10811553195080534,-0.9055388696937414,-0.7828237665374512,-0.8386038278912531,-0.5943711612761583,-0.1299602073338036,-0.14635344811158923,-0.34798893209078546,-0.007054982335250454,-0.2667450565592335,-0.8443431454901834,-0.7242733208151138,-0.7432160505481309,-0.8138561844041464,-0.6204952392191599,-0.39800693839406387,-0.6212232130569932,-0.5860247914957234,-0.5352056196316507,-0.34332171751704,0.12050942859319638,test,1684.3683083511778,1
3060,-0.2321922855862718,-0.9055526266209972,-0.9393990377908068,-0.3809119239140662,-0.18044676945761762,-0.5585628710382691,-0.9151400160965308,-0.9298536554139021,-0.4502116296669638,-0.3672268077326806,-0.9348293209601057,-0.833045475161009,-0.2588176940476357,-0.5399875988768822,-0.4628095476551794,-0.305676313126656,-0.12132002929268404,-0.9011307730248365,-0.7662991769513143,-0.8460796829107311,-0.603271090506427,-0.13747383478635744,-0.15510966742305565,-0.3697495042459551,-0.014936739278458955,-0.2797085995437928,-0.8545801766346215,-0.7290871852587,-0.7580759921550022,-0.817821351773003,-0.6236121988116521,-0.39331095178427466,-0.6246882685049119,-0.5827221783171427,-0.5539176838548312,-0.36057222272629014,0.11764398372667204,test,1684.9189354542675,1
