,AIBL,AIBR,ALA,AQR,ASKR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,BAGL,BAGR,OLQDR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
669,0.3073685728859721,0.27706094927704294,-0.3125073111532001,-0.5888885395060521,-0.4440941094421738,0.07955163677239119,-0.0023394216494556155,0.08206957804708873,0.02804244951196827,-0.2385714161411241,-0.19675092942460498,-0.7079066499994391,-0.6808130031814998,-0.24727382364864348,0.014616648885385886,-0.06703681196483552,-0.574758858030784,-0.5224087998563797,-0.4033774794425332,-0.8025518710869309,-0.691576470661696,-0.7411742144788017,-0.8505839975962998,-0.7615816016648369,-0.557187059821033,-0.49326108344704045,-0.7269615331916712,-0.6698583466787101,-0.389598974249751,-0.772593494360728,-0.3098621228584509,-0.2857337476496719,-0.3915259740532162,-0.3780675134451263,-0.07350870956932253,-0.7333855779838411,train,198.00493285831735,1
670,0.31029767204716335,0.2847927070616391,-0.31620294364906937,-0.5945080541883775,-0.44487508972288736,0.0868070527269067,0.0002736326031053532,0.08788315325872856,0.023596498650691786,-0.24306928811448258,-0.20045598511493595,-0.716397083064822,-0.682351669467826,-0.25060742137335945,0.021929167986015297,-0.06783766310729067,-0.5857146639304538,-0.5287532714892137,-0.40886422274344103,-0.8146980667719722,-0.6899185940047172,-0.7524623244053964,-0.861247491186472,-0.7732241292566049,-0.5634014840417536,-0.5005173908697489,-0.7314073032542904,-0.6770271456319958,-0.3933635493381511,-0.781922460405761,-0.31479926039784806,-0.29075800991560025,-0.39240540040871774,-0.37932302092990444,-0.0744651439067668,-0.7441075994567025,train,198.30090435735818,1
671,0.30132223628048205,0.28381777745233727,-0.3207545295845191,-0.6021391437741184,-0.45232117489351215,0.0843110323956418,-0.004933013696861867,0.07828864915760919,0.010075994646466774,-0.24830534451461378,-0.20898387827967907,-0.7178852138509098,-0.6824253900346597,-0.2520036988538017,0.019227877135177762,-0.07273058504529353,-0.5865394019126523,-0.5297880725739554,-0.41463010455311505,-0.8186298262989222,-0.6940432119700342,-0.7624755517045013,-0.8687279855341835,-0.7825417864981035,-0.5646081021900908,-0.5061928394686275,-0.7327906674342693,-0.6820147823075946,-0.402318094146658,-0.78497632163773,-0.3252771631971627,-0.2990818198852001,-0.3947027614406811,-0.385758875622603,-0.08300928568363201,-0.7439837211806648,train,198.596875856399,1
672,0.2946414848860469,0.27957621815111944,-0.3257925151111629,-0.6045910147462676,-0.4549543564764649,0.07613155218570389,-0.007557750416839502,0.06774155959078923,0.007884306378985517,-0.2486790919485788,-0.21089011712519323,-0.7134723174833444,-0.681801829908904,-0.25121771533661824,0.016001726664968463,-0.07455807501674802,-0.5775453542313309,-0.5324631750584534,-0.4178733030908201,-0.8198587311379025,-0.6927510609874652,-0.7638419148850613,-0.8625562127749797,-0.7825452518906972,-0.5643286999879484,-0.5078142505384026,-0.7387864280923073,-0.6804475455851129,-0.40185531028725224,-0.7866499248168184,-0.3273048332149299,-0.30215815863505335,-0.39675807563710724,-0.38924385401653094,-0.09341373203170585,-0.7398050357754777,train,198.89284735543987,1
673,0.29423815680723464,0.2902756204310043,-0.3301451182885512,-0.6088345446811378,-0.45214775567121135,0.08707790575902805,-0.0011444022540157348,0.06794199511238613,0.015417716919131394,-0.25093195477978375,-0.21368980785713393,-0.7125809573631605,-0.6797854393445905,-0.24086308429539027,0.017736129098321396,-0.05901608157405988,-0.5873384467264682,-0.5271513968033932,-0.42508418407374543,-0.8203461553922579,-0.697450133741881,-0.7635629604387723,-0.8578792497926246,-0.788019844513685,-0.5550672334068216,-0.5131959438657562,-0.7356664933505308,-0.6792796992030455,-0.3960147216818525,-0.7808530876265914,-0.3211545510200442,-0.2982230743515113,-0.3940232174511803,-0.3937891640820125,-0.09165393365225492,-0.7375344991164061,train,199.1888188544807,1
674,0.29022599727330267,0.2917501652004025,-0.3288676452654229,-0.6051756357431137,-0.44897948515427666,0.08832792254942778,0.00546922320925923,0.07543716606978135,0.010769566490852464,-0.2504973275919396,-0.21262396497896158,-0.7193108517886252,-0.6810752148891727,-0.24470249915982561,0.02526158950962354,-0.06329655375804602,-0.5876935643545653,-0.5306703284595925,-0.42284503092862147,-0.8337770807492515,-0.6954442778067513,-0.7661724602401458,-0.858648938527562,-0.787069628997334,-0.5596248308118249,-0.5102197308235579,-0.7394647731509485,-0.6743984862386158,-0.39813402154160316,-0.7880730051346021,-0.32421929963342805,-0.30630672385649654,-0.4028027478492484,-0.39493054852780185,-0.10083187389787836,-0.7449312409254897,train,199.48479035352153,1
675,0.31367817680334403,0.30397992124982454,-0.3259853782921012,-0.5938775434695099,-0.4356953956193466,0.10597920062490568,0.024614617297810205,0.08411090032367494,0.035534208251366675,-0.25137307203484127,-0.21191727489645068,-0.7117382566173223,-0.6763456921967029,-0.23009508013297159,0.03939453012301147,-0.04003811060228993,-0.5956818019140513,-0.5218995379044116,-0.4166280182047616,-0.8326062392998383,-0.6972692181321912,-0.759106496977652,-0.8559708733580844,-0.7827350024571372,-0.5559685780428147,-0.5061426052159685,-0.7305335129427792,-0.6718358250227924,-0.3778493819157649,-0.7748192261702598,-0.30085129477346584,-0.28673091165804515,-0.38952255158473215,-0.37931853577717284,-0.08565316909193832,-0.7455384406533913,train,199.78076185256236,1
676,0.32279367249030816,0.30010831619134976,-0.3157579466738304,-0.5835496906242088,-0.4279364221344273,0.09978292935523497,0.02847860442013108,0.08836761710680421,0.04643464073913843,-0.2464908476102149,-0.20277492342607373,-0.705975376099997,-0.6808547931845604,-0.22904867770802537,0.04007961901186957,-0.04738725113014629,-0.592478775091842,-0.5226139426331062,-0.40360853448716055,-0.8319709385501104,-0.6976460792710092,-0.742276783105518,-0.8611370589001278,-0.7694044096366502,-0.555648387034353,-0.49874660279596816,-0.7239943276487784,-0.6679738317990497,-0.376662211661273,-0.7738613424076558,-0.29816318952061477,-0.27508882670393103,-0.3902028906123648,-0.3696091735108764,-0.07550025028012332,-0.750595660514706,train,200.0767333516032,1
677,0.346370517127423,0.3201423318415087,-0.3036760480542212,-0.5661274304331338,-0.4162274151602755,0.11973181887521694,0.03863011403502906,0.10457992600557431,0.07457277281796527,-0.2391758969798054,-0.1932527703055465,-0.6995362174536617,-0.6732143785761036,-0.21737537279144253,0.05984370536319214,-0.019486859818941084,-0.5989589798495725,-0.5180927572632372,-0.39492863653643295,-0.8263918815037278,-0.7012731528311649,-0.7309935050170093,-0.8545551293201383,-0.764371383283693,-0.5504379109792636,-0.48781183175469023,-0.7124288377915607,-0.6652869115561606,-0.35976214908764775,-0.7597968904073724,-0.2714767266845829,-0.251990879974073,-0.37785732145491424,-0.35142282002865477,-0.05527852364295729,-0.749196991990425,train,200.37270485064403,1
678,0.3422827000131114,0.3156529086860329,-0.30955248549966474,-0.5713343963507871,-0.4280157840122754,0.11465950968860411,0.03146728553358786,0.10171544291984105,0.06016142149644392,-0.2431084758898606,-0.19920260328780987,-0.7003298801684144,-0.6795898079919155,-0.22519114000993856,0.05089563206181677,-0.027149121246006158,-0.5941541091423506,-0.5198921867570585,-0.4022330588405267,-0.8313122124991144,-0.7016895067934505,-0.7339828086139928,-0.8621945956066827,-0.7694897136199063,-0.5552303004831396,-0.4909042509363003,-0.7182150131240451,-0.6675408003232296,-0.3625241147461248,-0.7655780517900842,-0.2880741597102263,-0.26382750372690383,-0.38119413567819027,-0.3664505029027253,-0.05869587648393481,-0.7529966689559106,train,200.66867634968486,1
