,AIBL,AIBR,ALA,ALNL,ASKL,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVB,DVC,PHAL,RIBL,RIBR,RID,RIML,RIMR,RIVL,RIVR,RMED,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
11,-0.52704525,-0.61917454,0.84669536,-0.9099245,0.23065126,0.10312951,0.07154979,-0.86459947,-0.41152868,-0.33198822,-0.37472862,-0.58917344,-0.40234047,-0.47977868,-0.7743537,-0.6179334,-0.6139826,-0.65192515,-0.9007638,0.31335488,-0.6441165,-0.6945976,-0.16931015,-0.27078772,-0.14213462,-0.65101266,-0.6439434,-0.8707866,-0.9449617,-0.60482097,-0.82341635,-0.40340522,-0.5854636,-0.3738409,-0.42107716,-0.35546324,-0.17659283,0.445756,-0.510195,-0.052005813,-0.5847592,-0.0016220459,-0.44283342,-0.80752,-0.17970619,-0.9102654,train,2.1798165,1
12,-0.55992025,-0.55931973,0.8037487,-0.86337984,0.1725615,0.016574033,0.0112594925,-0.8193426,-0.5043232,-0.39729166,-0.3903604,-0.60123175,-0.39379457,-0.3737658,-0.75904834,-0.64124125,-0.56613356,-0.6404955,-0.9024808,0.3081566,-0.66630304,-0.7137431,-0.13090006,-0.29483464,-0.29882276,-0.59340477,-0.64746755,-0.83930856,-0.9457211,-0.6888373,-0.884392,-0.42193547,-0.5537172,-0.21589915,-0.42396918,-0.35832825,-0.2597374,0.3672794,-0.46111935,-0.052742127,-0.5720486,0.05663326,-0.30198956,-0.82306397,-0.33959687,-0.8559166,train,2.3779817,1
13,-0.57649726,-0.58491594,0.7981976,-0.93445456,0.19174741,-0.07227062,-0.075293384,-0.7990522,-0.5678584,-0.42272756,-0.52757275,-0.66664064,-0.42487568,-0.4337324,-0.67040044,-0.623966,-0.55313814,-0.66129994,-0.9401853,0.36483213,-0.6345298,-0.6277233,-0.054653164,-0.32435763,-0.3193039,-0.6831188,-0.7004972,-0.8311285,-0.94862837,-0.62150466,-0.91213346,-0.42103693,-0.482511,-0.15545753,-0.43223897,-0.34572142,-0.24560818,0.36524886,-0.49983457,-0.10880224,-0.6856476,-0.02421272,-0.34585854,-0.80941045,-0.16296549,-0.84779626,train,2.5761468,1
14,-0.59646857,-0.59746933,0.77724975,-0.8646716,0.16747622,-0.15308811,-0.11432264,-0.83460355,-0.5841198,-0.44984594,-0.5553626,-0.66613287,-0.47603467,-0.4176794,-0.6912834,-0.5872218,-0.5704057,-0.6273429,-0.92654544,0.35923102,-0.5957388,-0.5673854,-0.12058093,-0.3706022,-0.43202007,-0.6837399,-0.73988384,-0.8479286,-0.9146621,-0.69642645,-0.9138066,-0.39932454,-0.5186566,-0.19873185,-0.42200565,-0.27667454,-0.303017,0.34879783,-0.5727532,-0.11422265,-0.6498791,0.055704705,-0.31806454,-0.8042291,-0.14827469,-0.87212527,train,2.774312,1
15,-0.6003967,-0.6154573,0.78732246,-0.8465934,0.103190094,-0.19447301,-0.20741175,-0.83138627,-0.60137403,-0.46232307,-0.38384715,-0.66556823,-0.49919108,-0.47183442,-0.674263,-0.58054936,-0.48923364,-0.5924262,-0.89283043,0.60156596,-0.5836677,-0.5311624,-0.1140837,-0.40703484,-0.4944391,-0.67988795,-0.656842,-0.86914825,-0.9402308,-0.65136075,-0.861689,-0.34697658,-0.4895092,-0.14148696,-0.42280126,-0.38043532,-0.33099833,0.3137173,-0.47122657,-0.067598164,-0.68872076,-0.10977989,-0.41944036,-0.792256,-0.11923471,-0.7201468,train,2.972477,1
16,-0.6158228,-0.5586563,0.75676394,-0.8446221,0.14104903,-0.2754236,-0.23875566,-0.81942266,-0.61299443,-0.50602907,-0.3799392,-0.70962936,-0.48958978,-0.45469636,-0.62693304,-0.5591609,-0.5189127,-0.61163336,-0.92096037,0.58490103,-0.57663906,-0.46516576,-0.13510415,-0.41307566,-0.5199203,-0.71142584,-0.6045825,-0.86382574,-0.9432202,-0.6687556,-0.9058713,-0.3408601,-0.4590977,-0.07127757,-0.41630504,-0.25102603,-0.32363102,0.2596411,-0.5703551,-0.21597832,-0.68355733,0.09497956,-0.32951194,-0.8123512,-0.18380594,-0.77951705,train,3.1706421,1
17,-0.6068155,-0.59703654,0.74298304,-0.80739576,0.078827806,-0.3232722,-0.30269596,-0.8276823,-0.66038936,-0.5189187,0.01736865,-0.5841223,-0.5280692,-0.4536547,-0.7685013,-0.5575157,-0.50795776,-0.54069006,-0.88215744,0.5920987,-0.53420913,-0.40143266,-0.07949551,-0.46516445,-0.5220868,-0.6812298,-0.6612439,-0.82213944,-0.94744,-0.6657107,-0.86795944,-0.2845431,-0.39173254,-0.012256728,-0.45556518,-0.2641341,-0.31636664,0.18632545,-0.57534534,-0.15092099,-0.70958424,0.0043885126,-0.34262225,-0.79785746,-0.10044414,-0.8062244,train,3.3688073,1
18,-0.6543993,-0.6174054,0.73333335,-0.7385151,0.09190304,-0.38211617,-0.3946231,-0.8157619,-0.66201276,-0.5100063,0.26617455,-0.49141347,-0.49839097,-0.5132255,-0.7908388,-0.55980074,-0.48646182,-0.34740502,-0.83340955,0.5789071,-0.4747804,-0.29591203,-0.10147143,-0.43361083,-0.54446733,-0.6588977,-0.6568027,-0.82084167,-0.92925334,-0.66408896,-0.84346986,-0.31380227,-0.42727545,-0.01450645,-0.45827493,-0.2924965,-0.24145265,0.2697171,-0.62859666,-0.24807154,-0.6965915,0.057558183,-0.42635947,-0.8056295,-0.15886573,-0.8046122,train,3.5669725,1
19,-0.6541329,-0.6673794,0.7072535,-0.6258463,0.028820934,-0.44617975,-0.40012205,-0.79765886,-0.69546384,-0.54785293,0.34867564,-0.3561571,-0.51626515,-0.46995184,-0.79036295,-0.5398748,-0.46700618,0.15544744,-0.7421059,0.38472173,-0.4627613,-0.21938153,0.042805273,-0.48489177,-0.6019354,-0.67548454,-0.72622395,-0.8219116,-0.9246676,-0.6195234,-0.8933759,-0.2685975,-0.34852955,-0.021906458,-0.45269018,-0.27204588,-0.24075358,0.107751824,-0.5685808,-0.100628905,-0.72457886,0.06328221,-0.35459104,-0.7963871,-0.12230953,-0.747885,train,3.7651377,1
20,-0.6722949,-0.63029784,0.6430088,-0.6562039,0.05394327,-0.4940996,-0.45207027,-0.85837007,-0.73728484,-0.57535213,0.27138516,-0.3207118,-0.5167039,-0.5716363,-0.7513795,-0.5300946,-0.47186303,0.6174809,-0.745998,0.16410379,-0.42745325,-0.23069188,0.013185553,-0.49828395,-0.62032074,-0.68319565,-0.7646186,-0.8072889,-0.9233421,-0.59260976,-0.8079776,-0.31215006,-0.35456812,0.11756528,-0.4239538,-0.30934322,-0.23936458,0.221036,-0.54848665,-0.22968543,-0.7464313,0.115805626,-0.26492524,-0.80331886,-0.108643666,-0.6567055,train,3.9633029,1
