,AIBL,AIBR,ALA,AQR,AUAR,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,BAGL,BAGR,OLQDL,RIBL,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,URXL,URXR,URYDL,URYDR,URYVL,VA1,VB2,train_test_label,time_in_seconds,tau
2472,-0.6498253256770551,-0.620142295114054,-0.36639077686134114,-0.6294313517799341,-0.5493057647297179,-0.6833287153398695,-0.6648371066699195,-0.652948251015232,-0.7547763188457768,-0.7501758284111222,-0.25968851204559235,-0.7030880392768546,-0.6853498920444612,-0.6963278459121043,-0.7598940863982342,-0.49176354958033863,-0.7511778283209489,-0.5904658128378818,-0.7285688288671098,-0.020452315174872282,-0.6918234611153132,-0.4596856642893948,-0.5470349663429646,-0.5452882857511234,-0.662139090928686,-0.4620394711096033,-0.5134941753478339,-0.484922800981785,-0.5507078470544912,-0.562003174788499,-0.6711519867905467,-0.892256377788971,-0.9109053563270778,-0.7970882453219983,-0.6940374882392152,-0.7092755027658789,-0.7340397006607449,-0.8120684470388952,-0.35941045619060885,test,732.2435545803621,1
2473,-0.6462081710707505,-0.6232508536655333,-0.3766961429018764,-0.62813809905613,-0.5478666708896088,-0.6831344278861463,-0.6643969639231996,-0.6506792862944487,-0.7519407030392758,-0.7488548279063323,-0.257458607021826,-0.7023145206716794,-0.6856962682490272,-0.6975990897813125,-0.7564654657212355,-0.490874170380256,-0.7482303051843443,-0.5975051679628546,-0.7347551497847835,-0.018957669698788482,-0.6909709417525153,-0.46321867534328826,-0.53253796856537,-0.5485288703595643,-0.6667650889173986,-0.4540824317074406,-0.5098389402423437,-0.48527659561769165,-0.5484062034442805,-0.5674753483660567,-0.6724569709184498,-0.8897716569559483,-0.9051212689751785,-0.7939398230459969,-0.6883606496979858,-0.7018462779111214,-0.7317508237551947,-0.8098093312589381,-0.3546092219609571,test,732.5397696105322,1
2474,-0.6495436437982347,-0.6229310169312102,-0.3776556874374558,-0.6374013195541607,-0.5518760790968756,-0.6853127801907172,-0.6650600050461716,-0.652966392225834,-0.7572173374051053,-0.7497061619388239,-0.26466085709811843,-0.7021018999376538,-0.6820215039946604,-0.6933647389253287,-0.7569893268882094,-0.49312339821763657,-0.7534099770249408,-0.5977071990751299,-0.7334147617667655,-0.016898773395367828,-0.6901537696511095,-0.4693148806486745,-0.5368617957938798,-0.547017803459804,-0.6675312950978314,-0.4577189183312277,-0.5078906368968092,-0.485196657776125,-0.5493591587045088,-0.5635005358585263,-0.6696190980474979,-0.8902950333302087,-0.9089743258508469,-0.7964807667696159,-0.6980478582660123,-0.708060061391609,-0.7354513186910296,-0.8148992238953334,-0.35675081296925226,test,732.8359846407021,1
2475,-0.6532160099201467,-0.630254722432808,-0.38103836261072144,-0.639136310211236,-0.5556701543697565,-0.6868463160385272,-0.6625754392637024,-0.6544239686519236,-0.7597408403753522,-0.7546077746844712,-0.26261028468995373,-0.7048771051333489,-0.6849491479552393,-0.6943583112679462,-0.7579715342982617,-0.4890462570174155,-0.7569707327876282,-0.6050615854768052,-0.7418604840178383,-0.006983831745080271,-0.6922084611424045,-0.4680437154129218,-0.5364632402748895,-0.5483392866621739,-0.6687491825677621,-0.45563474130748355,-0.5134773710905887,-0.48646165260309726,-0.5509313381234889,-0.5654396783992169,-0.6699998452936529,-0.8930705402097494,-0.9081020446030763,-0.7972265629945858,-0.7003211127601058,-0.703189163997257,-0.7375959063403202,-0.8152844758988811,-0.3543238962216468,test,733.1321996708722,1
2476,-0.6578480569105031,-0.6325816396173448,-0.3802611815316869,-0.6433099600858555,-0.5545003792224867,-0.6870708999841599,-0.6638846984680208,-0.6536319462316723,-0.7579383310469339,-0.7528333561453578,-0.2660087416075145,-0.7038754196121151,-0.6794781261972481,-0.6866209605016076,-0.7615743454079592,-0.4908935658201117,-0.7592725548507692,-0.6040769106285101,-0.7404879653601109,-0.009344456567641601,-0.6933815530736158,-0.4681928996902938,-0.5305988814663882,-0.5467097830429526,-0.6651737331504557,-0.4552058843009221,-0.5126055313396872,-0.49123688221327244,-0.5495734125219925,-0.5625224060009894,-0.6755996570365064,-0.8887599743848745,-0.9137452202305812,-0.7948920191898929,-0.6977279558989712,-0.7001109370469403,-0.7371845356262015,-0.8172545144177542,-0.35287867741326817,test,733.4284147010422,1
2477,-0.6577162197067647,-0.6273729556656374,-0.37911851092955634,-0.6487520168978667,-0.5596179536208986,-0.6874709862362259,-0.6677512312921734,-0.6624266432687633,-0.7590263228946257,-0.7463592253989972,-0.2655077376408961,-0.7072788405491213,-0.6866730080149032,-0.6811422340399483,-0.7551511538109368,-0.4933651488331672,-0.7578401989791401,-0.6108667394739581,-0.7415029840471629,-0.023971698589619034,-0.6974963609320898,-0.4750770896685835,-0.5357982315205645,-0.5483068339459695,-0.671480455445647,-0.46663449665455436,-0.5106554723963225,-0.48895636469630965,-0.549669131965359,-0.5720134573392606,-0.6786478281368079,-0.8855292875612719,-0.9153157931943712,-0.8006153705708878,-0.7057790995447492,-0.7100970464954564,-0.7393462636315795,-0.8190742892285128,-0.3577069067241407,test,733.7246297312123,1
2478,-0.6524106399865667,-0.6248810881042669,-0.37729652811443115,-0.6408667432860776,-0.5615740473420195,-0.6826976544126577,-0.6666576587360102,-0.653501308825623,-0.7556354090850173,-0.7487132437191802,-0.26692438259923656,-0.7063164811519548,-0.685295873840289,-0.6802531689823558,-0.7512032410707882,-0.4876920836274418,-0.7542051201287019,-0.600711924970857,-0.7316573223881706,-0.019182396236080562,-0.6867593969462132,-0.47741131717841145,-0.5284963412028838,-0.5416063705997805,-0.6629759961819479,-0.4518337969977603,-0.5124107249709482,-0.4874022143790505,-0.5434207658645586,-0.5581937024377225,-0.6737614804638143,-0.8845805947099151,-0.9092534866237375,-0.8023863741179333,-0.697742889428408,-0.7064754929431214,-0.7344633065554826,-0.8153683131993902,-0.3540708794066856,test,734.0208447613824,1
2479,-0.6550416361171301,-0.6230981130174648,-0.3773390499428508,-0.6448409298894263,-0.5591626650306994,-0.6883718666361058,-0.670817809056762,-0.6529726721784006,-0.7543314389954975,-0.7461610108502628,-0.26263899124053774,-0.7020209392191759,-0.6879446040254691,-0.6771844108364118,-0.7515488883572373,-0.48700985232328503,-0.7543039855329386,-0.6089113286203025,-0.7307783325283993,-0.020562977935612486,-0.6921064214706468,-0.47394248774272896,-0.5257211917449995,-0.5442232662674594,-0.6625934400212621,-0.4514349045145191,-0.5126525269520682,-0.48929409139301705,-0.5445060251751327,-0.5545123824591616,-0.6722268560338132,-0.8826643668902511,-0.9071736568183323,-0.7993433107141532,-0.6992037229599856,-0.7043188834335465,-0.7346460642728849,-0.8127773829881211,-0.34914701713088536,test,734.3170597915524,1
2480,-0.654027880029577,-0.624883347914165,-0.37701794457328863,-0.6466276619990108,-0.5623902348464762,-0.6904834690515026,-0.6754657019302003,-0.6518576722683912,-0.7506034417450647,-0.7465165113457104,-0.26141689328717344,-0.7054265325475273,-0.6925166264670785,-0.6786947526924079,-0.748017136526974,-0.48776524653545783,-0.7572356462720832,-0.6119992157366116,-0.736343934188006,-0.020720846521777886,-0.6906865381536961,-0.4745652039312228,-0.5298038276392634,-0.5402060526535231,-0.6625704199137323,-0.45283826248667125,-0.516242907772243,-0.49168703510199874,-0.5428548696617684,-0.555217169185322,-0.6779230679664312,-0.8891529563355682,-0.9088732997094665,-0.8029267070340076,-0.70167110484129,-0.7062384817161477,-0.7338286456338312,-0.8160585996987688,-0.35083640036674535,test,734.6132748217225,1
2481,-0.6517990853263421,-0.6229163213437954,-0.3733624129037246,-0.6459033772573319,-0.562475378474315,-0.6883631290545013,-0.6738761580936672,-0.6552173388023841,-0.7506431226538349,-0.7421173863789164,-0.2628356328671539,-0.7073287529116312,-0.6926330282669313,-0.6724975975228245,-0.751786477990408,-0.4877240274495519,-0.7521887448483331,-0.6051065776466666,-0.7366050471843187,-0.02273331823411162,-0.6936014149803935,-0.4735038755323209,-0.5250852440973199,-0.544666374975466,-0.660818640086803,-0.45815239520124906,-0.5152697346302921,-0.4904341132690033,-0.5451784386682135,-0.5627033094208713,-0.6780004552976212,-0.8822055178104029,-0.9151316550008352,-0.8051688135675257,-0.6994720498598874,-0.7042629541496127,-0.7366303547314664,-0.8118294534789856,-0.3527200010118334,test,734.9094898518925,1
