,AFDL,AFDR,AIBL,ALA,AQR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,AWCR,BAGL,IL2DR,OLQDR,RIBL,RIBR,RID,RIFR,RIML,RIS,RIVL,RIVR,RMER,RMEV,RMGL,SABVL,SIBDR,SIBVL,SIBVR,SMDDL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VA2,VB1,VB2,train_test_label,time_in_seconds,tau
1846,-0.480458953658545,-0.27542262511726384,-0.7780790518782159,-0.3162289663575729,-0.8191827925623552,-0.6378172711276796,-0.667196863909191,-0.887967628582419,-0.8701407898985092,-0.37084620873184393,-0.5901360874559749,-0.8088522148927276,-0.23103393285142196,-0.5391644260737338,-0.6154023653998766,-0.7595960251743158,-0.6063151994684378,-0.40782928217878334,-0.78668662251116,-0.37318175715915397,-0.18716371925033665,-0.859836268332944,0.24259677653672712,-0.6538185260103071,-0.48223721905579875,-0.4434760623686832,-0.2537981304132331,-0.4859944904993399,-0.3930090506669265,-0.5202984671516738,-0.36468685578623505,-0.43330181871474466,-0.5902448213270841,-0.6736788685656336,-0.9122003312173096,-0.7919735340217965,-0.7736324107876835,-0.8092185226028603,-0.7747885829748631,-0.6324832165992976,-0.6051569358888589,-0.18677084194616284,train,473.2209826726798,1
1847,-0.4860508135260731,-0.2830635289721731,-0.7769179362395267,-0.3182810770601419,-0.815231632301247,-0.6379662743250266,-0.6805744919976064,-0.878429893724763,-0.8665711029880272,-0.38522759102508036,-0.6115929685096048,-0.8009863021631098,-0.23712359010409306,-0.5507627304718589,-0.6184538057415645,-0.7591367816673504,-0.6102945960924775,-0.4249581693001413,-0.8022943897124866,-0.38001478089215757,-0.1970046772697568,-0.8509327843322981,0.2337779479105656,-0.6555630886654559,-0.47877457601419204,-0.45598555585226896,-0.27571498245298137,-0.4913366490652851,-0.39820280341400094,-0.5211493225024385,-0.3835370385883867,-0.45352270881043005,-0.5957851523091643,-0.69732769367024,-0.9157287396131435,-0.7919280691587454,-0.7729100388339363,-0.8108821781863353,-0.7681738035030312,-0.635827050674077,-0.613601607345045,-0.20630915030879418,train,473.4773320674104,1
1848,-0.48697091501122153,-0.2857987684522223,-0.7794283717229645,-0.3209276562567165,-0.8228132197625058,-0.6384281947330718,-0.6766332215838755,-0.8770995703120038,-0.8579228096865441,-0.39147869957913944,-0.6158940066852071,-0.7994335632323394,-0.2399017597964816,-0.5453795264481215,-0.6194377582369268,-0.7601262730855385,-0.6070101174777955,-0.429179438934026,-0.8058114525116744,-0.3874871837114223,-0.18852110548855178,-0.8502423540481752,0.24189829425595655,-0.6549585838238673,-0.48047007976304085,-0.4510505148170477,-0.27275545211439,-0.5007757287767798,-0.40570285767211467,-0.5224571643558827,-0.3925009196761329,-0.4516819693168858,-0.5969910220295978,-0.6972209497442764,-0.9146856604092083,-0.7958255358529468,-0.7735440862119428,-0.8211361128744348,-0.7680839538847088,-0.6385123369010652,-0.6179828544325877,-0.20479857987402955,train,473.73368146214096,1
1849,-0.4872982587050696,-0.27844753345048623,-0.7813210159943322,-0.3184272719660481,-0.8294313834344493,-0.6376063410398128,-0.6942956136293843,-0.8770811809145941,-0.8635493683834415,-0.401630788394985,-0.6250914014623046,-0.8022329707734072,-0.2416933927827335,-0.5472398496529077,-0.6231815734639932,-0.7539225470830733,-0.6155879019478205,-0.43315512028032976,-0.8199195934570855,-0.39553476539849364,-0.19480614823289488,-0.8595310616711482,0.2217678311647598,-0.6613700228935238,-0.4835986114238817,-0.4579965769154376,-0.29250479781449623,-0.509591385775749,-0.4171711421906057,-0.5333181590110115,-0.3984429236326822,-0.4566383930889379,-0.6046328647983701,-0.7048758713659573,-0.9223359666977139,-0.8045091259845534,-0.7715789773619885,-0.8339546904531154,-0.773838367887537,-0.6489351349561185,-0.6321636227945036,-0.20892302993940381,train,473.99003085687156,1
1850,-0.48750286261221043,-0.2958099026402238,-0.7913824321207217,-0.3218557981507614,-0.8369104464077721,-0.6419753753521925,-0.696184939729318,-0.877658628305222,-0.8584218141171477,-0.4019444084555207,-0.6427117057553753,-0.8017161614324205,-0.24669946881216048,-0.5507687721051718,-0.6233164905131833,-0.7639501058431816,-0.6194192894884816,-0.45351770941284725,-0.830832658041949,-0.40227392187491523,-0.19590441032598538,-0.8557471510712666,0.23531258249990067,-0.666901778111516,-0.4867589136029517,-0.46170020777849957,-0.29385805801436105,-0.5164647696187595,-0.4344100095745813,-0.5415940766923195,-0.41395585485652536,-0.45657758970717177,-0.6032380099067756,-0.715573309841537,-0.9277260106344813,-0.8058097647173484,-0.7787188989440614,-0.8358078328571787,-0.7741517803616556,-0.6527656951701264,-0.6404272034382208,-0.21467812103573491,train,474.24638025160215,1
1851,-0.4899963910853632,-0.3127430489272276,-0.802859608378533,-0.3286107045726805,-0.8517892528805584,-0.6525966343387194,-0.7010195520725057,-0.8701564016881163,-0.8511862321183022,-0.4114262245150938,-0.6648940910633899,-0.7993405368023833,-0.2554281324599774,-0.553649168802043,-0.6292229039563666,-0.7778763075624596,-0.62734119636061,-0.474614426201549,-0.8453217788134413,-0.41240337477879735,-0.19884993294403547,-0.8456815030984476,0.24252600662741652,-0.6714630792846273,-0.4924028311112353,-0.4700021604695218,-0.30763310262236737,-0.5244226219430204,-0.44523216241790353,-0.542601875106851,-0.4284714702245818,-0.46230580843056335,-0.6119618214912018,-0.7313160842315651,-0.9361309490352585,-0.8058429974861631,-0.7825273205025606,-0.8435641180351909,-0.7752187923095156,-0.6598523878250449,-0.6471044903395932,-0.23046845274206174,train,474.50272964633274,1
1852,-0.4912514099027497,-0.30363719978380554,-0.7957884712258239,-0.3260166191706627,-0.8449317968365815,-0.6488248547748361,-0.7024068956027556,-0.8652105525366951,-0.8496407142673024,-0.4147550488983328,-0.6695467803883481,-0.8059308906672297,-0.25481811391227716,-0.561932714728996,-0.6307884802689008,-0.7765285551970391,-0.6250028627957307,-0.4706499239988349,-0.8490449966587483,-0.4192738374067797,-0.20281491783624225,-0.8444537590414309,0.22636356136679253,-0.6757718988132639,-0.4842904842654626,-0.46930469252849527,-0.31446631711870476,-0.5234367410117865,-0.44416324881325797,-0.5420794839091081,-0.42921646647120987,-0.4638697192564354,-0.6104758103070056,-0.7288877616670904,-0.9387491359925176,-0.8101927659774052,-0.7791523537445568,-0.8453400456863953,-0.7743904170655543,-0.6631834428621409,-0.6513932973032541,-0.22959157286936102,train,474.75907904106333,1
1853,-0.48725212766949577,-0.29708077317147796,-0.7950123560073277,-0.3240216706489262,-0.8499128760672434,-0.6455778912367822,-0.7098026274917603,-0.8645503500996795,-0.8381523566188238,-0.4128051973095863,-0.6754689827990947,-0.8038344553422528,-0.250847302401091,-0.5605004021250881,-0.629859838384885,-0.774283628219485,-0.6246196612000066,-0.47418680388680257,-0.8480781403434194,-0.43629385615688926,-0.20113734020030327,-0.8344480868700281,0.2181993397480384,-0.6797899603224653,-0.4832316352094791,-0.47189245173520056,-0.3243937857424353,-0.5179833286258135,-0.44469252698658557,-0.5387499383653206,-0.4322535257784527,-0.46259049398962915,-0.6070786518024773,-0.7327462496550121,-0.9336864170034597,-0.8156613046001292,-0.7790199668404498,-0.8502025863757512,-0.7696136947400002,-0.664593467377461,-0.6532020451804622,-0.2351601424132195,train,475.0154284357939,1
1854,-0.48778959686750206,-0.3022970729424348,-0.8008083304498423,-0.32271613494062534,-0.8581741702405323,-0.6512745023052006,-0.7078745572469566,-0.8686033304838318,-0.8409041774761458,-0.41746394264613373,-0.6744273931463842,-0.8066073762959348,-0.2523276794677809,-0.5618440703271496,-0.6296157974808005,-0.7689345108711806,-0.6267437165718458,-0.4776296710790131,-0.8503356261693582,-0.43163710358168994,-0.19539746597838437,-0.8384557848168188,0.23569941432881442,-0.6773486505254016,-0.48650516117042086,-0.47038591405072616,-0.318679693022477,-0.5229543847443986,-0.4445246171440572,-0.5364435296544758,-0.42643761668650204,-0.46185208186527427,-0.6057502169889797,-0.731343985045275,-0.9395198771011927,-0.8192609906958032,-0.7800974781057878,-0.854956784964406,-0.7763276388645416,-0.6649356609848496,-0.6519764479913762,-0.2320785286552508,train,475.27177783052457,1
1855,-0.488561845364401,-0.313090138570123,-0.7970919347483695,-0.32163045493749354,-0.8508359898575131,-0.6518843943808599,-0.7055150478182282,-0.8663545482083149,-0.8375910471628671,-0.41417742915903666,-0.6772058803320578,-0.8026386813441243,-0.2541609120744883,-0.562790348132882,-0.6317626830562211,-0.7720584331242153,-0.6244738632782418,-0.4862066968284259,-0.8467012496737651,-0.4332138467430448,-0.19805975004210746,-0.8294790327061196,0.2414063183751911,-0.6826565472410902,-0.47956105909479774,-0.47611152532264955,-0.3198730547250373,-0.5223944937862304,-0.4478493149854381,-0.5379416929241833,-0.4370009917659969,-0.4677128434901692,-0.6037489266362894,-0.7334243196971711,-0.9338957902859346,-0.8144999576412141,-0.7810785298322254,-0.8512399811813043,-0.7751603084258303,-0.6596885810512427,-0.6511479404779357,-0.23230953628648965,train,475.52812722525516,1
1856,-0.4869323439570847,-0.30209766364777607,-0.7943019576686524,-0.3183937633778841,-0.8516026041337388,-0.6462302545767754,-0.7140347979941338,-0.8674171617355957,-0.82945368287005,-0.4148535147260456,-0.6812611639972607,-0.8053864217745548,-0.25583041520786154,-0.5598126595825874,-0.6347086492614054,-0.7709876627834699,-0.626790687339669,-0.4898223562510136,-0.8377369587783112,-0.4424528576595063,-0.19467335573542463,-0.817670366230959,0.2323228111231957,-0.6838713557404263,-0.4808150607441473,-0.4748941988108564,-0.332308000617443,-0.5146555532762991,-0.4443426148327323,-0.5337889037923147,-0.43684859736663334,-0.4660645301049913,-0.6020360536941727,-0.7360943507633603,-0.9339286349388174,-0.8226705498728256,-0.7812045155716913,-0.8602744137274962,-0.7725114411783512,-0.6651541531759377,-0.6504337809437023,-0.2370048989126866,train,475.78447661998575,1
1857,-0.48886824697756065,-0.2952203288377883,-0.8036493247367454,-0.31221876093352785,-0.850221446775888,-0.6458685954887076,-0.7104757448402744,-0.8746181738271658,-0.831460213710927,-0.41474639980716843,-0.6780564422103931,-0.8113076851107955,-0.25832776486069875,-0.5636371414972429,-0.6316618748983289,-0.7577548791295176,-0.6265918296986264,-0.49218147537128015,-0.8307239090352907,-0.44509539916524515,-0.19532934544267075,-0.8175636505811553,0.2428337412387298,-0.6874770010636452,-0.4757418796258582,-0.47744221122888264,-0.33672389769146854,-0.5160149927589024,-0.4389836608509077,-0.5372262466145744,-0.4457323400470052,-0.4732157028586248,-0.5976215897788432,-0.7447181619712442,-0.9391146793330287,-0.8296903046503917,-0.7824091192882169,-0.8567528492453438,-0.7716000595094163,-0.6681151669540142,-0.6489105424704028,-0.23711114515460197,train,476.04082601471634,1
1858,-0.4813544059470447,-0.3018407478332655,-0.7976242536729061,-0.30708505882317383,-0.8484219337615249,-0.6427545745687676,-0.7140172115130408,-0.8722495860631104,-0.8380529256614658,-0.4126159211181466,-0.676872649712538,-0.8020392026239961,-0.2571236980246403,-0.5606723860152338,-0.6264429105528164,-0.749805318315971,-0.6229443526034261,-0.490916235280909,-0.8262275594420461,-0.4523675083264191,-0.203347536209406,-0.8142061492914883,0.23089682605112138,-0.677754901789875,-0.4780554505050226,-0.4725863186740601,-0.34272571679273406,-0.5123710606371489,-0.43901760821749847,-0.5392343718528652,-0.4349255699468324,-0.46259855672149486,-0.6003547360295471,-0.7403787445059529,-0.9288191002191749,-0.8274979032263234,-0.7824940737329441,-0.8569239291946389,-0.7650609194786717,-0.6726536611414173,-0.6482146153426406,-0.2328515169205247,train,476.29717540944694,1
