,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AUAR,AVAL,AVAR,AVBL,AVBR,AVER,AVFL,BAGL,BAGR,IL2DL,OLQDL,RIBL,RID,RIML,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,RMGL,RMGR,SIBDL,SIBDR,SIBVL,SMBVL,SMDDL,SMDDR,SMDVR,URXL,URYDL,URYDR,URYVL,VA1,VB2,train_test_label,time_in_seconds,tau
10,-0.5276165535770689,-0.5015852938807676,-0.38390897703441085,-0.5824308672188632,-0.4579557159414027,-0.5136845906223058,-0.6003575993602867,-0.6052658086000748,-0.6339811832313748,-0.5011413562987693,-0.3716607291073341,-0.4355591552358236,-0.2020994836426444,-0.6000276615377051,-0.7335122804176797,-0.6659377851002595,-0.48421649416405743,-0.46566982321690775,-0.23061729421732416,-0.6805801160878087,0.03509501510424279,-0.5323831522217417,-0.45594346950118714,-0.29067241043270753,-0.4534277387780986,-0.5593093056923834,-0.29987803790347095,-0.29015303417879384,-0.26743529324554716,-0.5369599743231839,-0.36229260821604325,-0.3906509803198279,-0.11433011956612203,-0.6043737702762899,-0.6358725979762493,-0.6031206770811726,-0.7473353254483551,-0.5279833139277885,-0.4259445017084102,-0.613669881226441,-0.49216639348709745,-0.23995148703756802,train,2.5634939473059575,1
11,-0.5310916582361886,-0.5085059295766599,-0.3789391398955478,-0.5809521257532444,-0.4638074924043992,-0.5293858273382158,-0.5993741274897163,-0.618245187017352,-0.6474079516047608,-0.4964051427852172,-0.39252387680446377,-0.4461744158606232,-0.20382804785225733,-0.6029679864283339,-0.7326865040954977,-0.6721793605544422,-0.49362422473532563,-0.474653376196829,-0.2390512698468346,-0.6840216701064286,0.03482639044502986,-0.5427886365469354,-0.45620852898701,-0.2970771026845508,-0.45767133926880965,-0.5650519705174051,-0.30618341861916654,-0.2916338360641903,-0.2730120458261104,-0.5362689250994861,-0.3764752218310238,-0.3997033871218944,-0.1248103072938214,-0.599123538031759,-0.649089657373673,-0.6164956510033073,-0.7459665148287882,-0.5290321200725016,-0.4408649560568637,-0.6126244327797241,-0.5041625590749906,-0.24706475777382708,train,2.8198433420365534,1
12,-0.5371228771693107,-0.5163391609941617,-0.38270354443451043,-0.5912735850131499,-0.4669469484027622,-0.5316818413117425,-0.5998935499033244,-0.6227877227266971,-0.6453156163672957,-0.4937243834280143,-0.401317679478368,-0.4563698806251448,-0.21289681495491058,-0.614006289882542,-0.735978382471517,-0.6816193638428216,-0.5023988160207078,-0.4883628797906671,-0.24610351659586846,-0.6702960881999649,0.035755185387112476,-0.5617623845340247,-0.4649488742132095,-0.294458071865908,-0.46370746077918723,-0.5657493033234684,-0.3136698037611689,-0.2866582426867284,-0.26882444411331974,-0.5336167171825766,-0.374728876038361,-0.4089453279557105,-0.12015746122063845,-0.598410883810798,-0.6549864581628445,-0.6219692164383405,-0.7577410195008016,-0.5309090756242433,-0.45253939518006214,-0.6204506123542797,-0.5166473302977551,-0.25563055035597404,train,3.0761927367671493,1
13,-0.5394284259841671,-0.5094642445302492,-0.386654402057084,-0.6018236641712036,-0.4735528612686227,-0.5429292278982001,-0.5992330337540407,-0.6251118005662797,-0.6508947924967348,-0.4964772254896803,-0.41785964011845605,-0.46705404436175496,-0.22241805580877472,-0.6210816449183898,-0.7336715439272935,-0.6923022309729576,-0.503673115240688,-0.50410508365947,-0.25739325346072994,-0.6701978651318479,0.027511207308419106,-0.57468194841238,-0.4803546792029609,-0.29076948217135457,-0.4725344690803115,-0.5701514927574305,-0.32512603198640877,-0.28213599918146726,-0.25961052307280913,-0.526279914001758,-0.38201217945560006,-0.4192947931238281,-0.12218365449268233,-0.5967936146074371,-0.6615103516990644,-0.6246896245982442,-0.7681770155000118,-0.5357230576508877,-0.4621868600011113,-0.6271395641514096,-0.524926196386824,-0.25812691273058064,train,3.332542131497745,1
14,-0.5482514892333015,-0.5201610737140206,-0.3915055836292214,-0.6094826149506942,-0.48499647637797527,-0.5547108983345436,-0.6089822639296637,-0.633875575985551,-0.6609912022758851,-0.503821806867096,-0.43636014876017676,-0.4789725703501959,-0.2233315334375411,-0.6305388939261517,-0.7434765390615712,-0.7014931801027393,-0.5058653930555426,-0.5080491989882475,-0.2648311575922219,-0.6803551207266684,0.028840910965769656,-0.5808180204108072,-0.47866098253267747,-0.3078503597159651,-0.4763230832539936,-0.5786609615704379,-0.33325688821450605,-0.2927584486957662,-0.27240319048475314,-0.5335738280741242,-0.3887355736030585,-0.42782349616575716,-0.12223835269224002,-0.6040659204587537,-0.6720738570645924,-0.6383909581504448,-0.7787398988389055,-0.5471344136554999,-0.47911759777213897,-0.6287227122753185,-0.5317949596286736,-0.26413062859172737,train,3.5888915262283407,1
15,-0.5608856139534216,-0.5207012790018635,-0.39805372446700804,-0.6260743373769999,-0.49471013231362293,-0.5675411125231409,-0.6147169967060242,-0.637324302216332,-0.6690633021069717,-0.5045121937477058,-0.4556312505518713,-0.4930737719572515,-0.23244539043647955,-0.634919950567854,-0.7463739473947275,-0.7127106153799068,-0.5056586106092678,-0.5195659557782749,-0.2756523717412625,-0.6820874133285416,0.024178383163751593,-0.59915873113908,-0.48839741273395293,-0.32296894058491105,-0.48219649159001066,-0.5837326080704185,-0.34515117584823224,-0.2993892239276299,-0.27074476747191806,-0.5356829307975708,-0.400379935630103,-0.4421892345764987,-0.1107168706226682,-0.609303420436037,-0.6810764357078422,-0.6399540156158068,-0.7998879008299367,-0.5605372692931365,-0.4966458305278456,-0.6350279639047588,-0.543542596197297,-0.2746853966722153,train,3.845240920958936,1
16,-0.5657413764038964,-0.526433093338604,-0.4036753523988269,-0.6306760363883466,-0.49806838648860885,-0.5846137770574837,-0.6194115006597051,-0.6406257884776543,-0.6717785099112242,-0.508169125482666,-0.47608138779020814,-0.5004645730580866,-0.23851174404360537,-0.6482815267460422,-0.7511299984360288,-0.7298061846714681,-0.5209916343978886,-0.5442697908622253,-0.2885283901499872,-0.6695739362726884,0.018050991521543158,-0.6244811520253304,-0.4931622787778932,-0.3424081992485763,-0.49388155918151694,-0.5986214898348656,-0.379911279285858,-0.2986775112747201,-0.27010262896637216,-0.5379845794883171,-0.4097181193589182,-0.4668446039280521,-0.10210734494405896,-0.6145789024091937,-0.6996135377335897,-0.6411859163079074,-0.8239141293079231,-0.5644695725152143,-0.5059670606100496,-0.6507822999164483,-0.5593846947626008,-0.2908078922534744,train,4.101590315689532,1
17,-0.5531960545802603,-0.5150673841019544,-0.4198417875870148,-0.634335621640753,-0.4922386117330033,-0.5784945102942288,-0.6107201420663464,-0.6263878816665647,-0.6666989114813797,-0.525265076560698,-0.48000742239834693,-0.4898359314418707,-0.2389773357504085,-0.6424885883998958,-0.7483293759787639,-0.7342329586266345,-0.5049374931306687,-0.5486486190884486,-0.29218783579687496,-0.6736933673400544,0.003590368098148139,-0.6248342124969668,-0.49768696528331174,-0.36285786430516936,-0.49874306167098037,-0.6184802516927057,-0.3890171837713588,-0.29818640227304755,-0.2758386740778353,-0.5384632297159402,-0.4162153150581848,-0.47606823084524974,-0.10093715188530206,-0.6123862617114739,-0.7064721646161994,-0.638849970209287,-0.8324506270842792,-0.5669467537031735,-0.5033788153403431,-0.6454906191916105,-0.5545465086463278,-0.29200959951644734,train,4.357939710420128,1
18,-0.5548914051245952,-0.5139591741511654,-0.4177304954557076,-0.6435733487150372,-0.5043001013894175,-0.5977501548660178,-0.6222621994987857,-0.6280104832711133,-0.6723347917829605,-0.5345869210553902,-0.501368805537606,-0.498977534455693,-0.24268905795219103,-0.6576691653622977,-0.7600668176128996,-0.740008327381342,-0.5070192353700961,-0.5566144808992006,-0.30881006550723644,-0.6734592660797453,-0.010506187930527239,-0.6225854619537412,-0.5044617521162662,-0.36823766591430185,-0.5019520626797012,-0.6249015777202516,-0.4087341689493531,-0.3082660227573748,-0.28183411661595925,-0.5404676456926543,-0.4224277880902062,-0.47906145749808404,-0.10008239842031211,-0.62022050571791,-0.7196992129584433,-0.6417158085178954,-0.8347401856961713,-0.5719687328325772,-0.5195344374253251,-0.6466880211455545,-0.5590140920501235,-0.30130829631206457,train,4.614289105150724,1
19,-0.5596263317165951,-0.5130094824376064,-0.40970612915311166,-0.6477207937046932,-0.4902115916016274,-0.5942709524789694,-0.6231591756293068,-0.6305055301287947,-0.6630694268474451,-0.5294595302353543,-0.5076908300142818,-0.5004642024064536,-0.24386408115546054,-0.6605723496234532,-0.7576741463702253,-0.7479100506340861,-0.5148789021354226,-0.5648161961277858,-0.31418958198367875,-0.6497143993153524,-0.011467948190825722,-0.6380932788429696,-0.5015813383677098,-0.3731141930744929,-0.5063010047879973,-0.6199899855580691,-0.42163607532438235,-0.29752638019938715,-0.2748345865797687,-0.5410009093033477,-0.4140101191919472,-0.4846372965442964,-0.09674609285797117,-0.6182794923365882,-0.720952780206114,-0.6400439258906531,-0.8464566641345135,-0.5670221728969054,-0.520811188544171,-0.6608112346204866,-0.563941224329825,-0.31070938062740944,train,4.870638499881319,1
20,-0.5574243341757389,-0.5146916156612206,-0.41328751624332893,-0.6406134361451796,-0.49596600869238827,-0.5877031479686757,-0.6193618622234985,-0.6297358941506461,-0.6623911989560228,-0.534488884541912,-0.5149697882198602,-0.5037333127094499,-0.24921197246044868,-0.6626180057739823,-0.7573093690655545,-0.746797768158995,-0.5188120574787064,-0.5720447432257478,-0.3127180947615258,-0.6522844507375134,-0.001211937131405938,-0.6306270699291945,-0.5118257704569464,-0.3694161322411401,-0.5019829119983389,-0.6136964384736574,-0.40322559049063633,-0.3018138928015764,-0.26475818933269557,-0.5397351167895983,-0.41290155227924996,-0.4853490904662214,-0.09820888304059221,-0.612273181697677,-0.7234975148178496,-0.6410530297119202,-0.8382371043135916,-0.5667743055869827,-0.5312258632391046,-0.6663474972681893,-0.5600136899706818,-0.306176725382498,train,5.126987894611915,1
21,-0.5568875029815378,-0.4997255200232169,-0.41192105921563255,-0.6454811723281494,-0.4941286057493507,-0.5913550154294486,-0.6211406311730705,-0.621421454545874,-0.6609352310054337,-0.5331431169866963,-0.5176352455582803,-0.49506417173575645,-0.2537981502691732,-0.6619734906055668,-0.7633432970201813,-0.7557974172135624,-0.5186423425468139,-0.5828967548328591,-0.31524287017548497,-0.6483514727742697,-0.007046625816386098,-0.6391181984228707,-0.512709324189339,-0.37710378779692083,-0.506800946687233,-0.6218538224189837,-0.409592635751211,-0.3032010627463083,-0.2622552766574876,-0.5455429599417964,-0.41510375669616995,-0.49492403510175786,-0.09965983453891357,-0.6181642702434005,-0.7219913414850615,-0.6396193843469602,-0.8521405236239422,-0.5650080690656047,-0.5188296871701943,-0.6584844468977482,-0.5562173224821708,-0.31717315546296515,train,5.383337289342511,1
22,-0.5550238353335244,-0.49155821762263724,-0.40905505267047343,-0.6500078547356782,-0.4910143946965063,-0.5952218241332791,-0.6259874537399466,-0.6187930225260665,-0.6647666749780486,-0.5361568396262605,-0.5188579058086719,-0.4935828624103158,-0.2550916941897125,-0.6651345375837917,-0.7626520152039747,-0.7642447280943947,-0.5127454461144058,-0.5862849374297376,-0.3177232541909539,-0.6514657166617502,-0.017808271572542417,-0.6434881132306953,-0.5135477385509167,-0.3866649183978159,-0.5108356021433853,-0.6243331308438963,-0.4179520333413089,-0.30252530450358545,-0.26551226144421525,-0.5455065154053107,-0.4245082032096761,-0.49994398541897445,-0.10377037559665722,-0.6182653697266136,-0.7259064968001778,-0.6359464966389374,-0.8616741610272707,-0.5711918512400861,-0.5156572935977324,-0.659347392321632,-0.5610558358915393,-0.31841242135156955,train,5.639686684073107,1
23,-0.5475201707802613,-0.4888407795851325,-0.41473582730604175,-0.6533617807061196,-0.4929604767207125,-0.5953586348577096,-0.6216077696195014,-0.615536501477979,-0.6628092216671174,-0.5468227617570585,-0.528948498215444,-0.5002847304469669,-0.25989677278507894,-0.6666416729316708,-0.7610287907960123,-0.7635722436459074,-0.5119815153716551,-0.5809154269177322,-0.32026941750272087,-0.6520730659241445,-0.019892117968591277,-0.6345979792101957,-0.5165211070159605,-0.3945523754478908,-0.5077869758311887,-0.621577874354044,-0.42188080226555696,-0.3023119148950481,-0.2660577140055425,-0.5472454650624953,-0.42405402914414747,-0.4987490867911399,-0.10610716906895293,-0.6220282832485768,-0.7290542396399846,-0.6382452672460333,-0.8578745215611978,-0.5828768246459473,-0.5258777713095438,-0.6572593995868603,-0.5605848574978219,-0.3202196544413013,train,5.896036078803703,1
24,-0.5494308385163431,-0.4867163068882827,-0.41469210406296,-0.6569125797546868,-0.4951897630159201,-0.6028724394270596,-0.6229059332567336,-0.6152620601664271,-0.6662811335677609,-0.5501078614128952,-0.5366507436763354,-0.5066545869751075,-0.2625018313414261,-0.6716809978586709,-0.765194870585428,-0.7704114478834336,-0.5119749781437886,-0.5836228752331043,-0.32812018589083614,-0.6539798632686475,-0.026229511578819142,-0.633269266357805,-0.519207664065085,-0.40010912822309097,-0.5099242763736579,-0.6255154269649451,-0.4298411612457803,-0.30480745513114116,-0.2691133323250132,-0.5508911752705112,-0.4272315392271556,-0.5028281246575383,-0.11072980149911159,-0.624938636030858,-0.7310647806724423,-0.6413842743175936,-0.8609447784175945,-0.5916153114392867,-0.5313740767971292,-0.6595090980080831,-0.5659225553320226,-0.3264995465237089,train,6.152385473534299,1
25,-0.5461279650680774,-0.4824023786363065,-0.40692095207284196,-0.6494679659355779,-0.4930664675295523,-0.5971017898573238,-0.6228979311753906,-0.6105706823135477,-0.6595138407589228,-0.5468291801620111,-0.5358562712997575,-0.49998553330949475,-0.2616927233240999,-0.6764528268589158,-0.7701065834450116,-0.769550664257505,-0.5108683934599556,-0.5860127410775156,-0.33033903193056335,-0.6391383420988984,-0.029879117617714418,-0.6311963871446475,-0.5175404667268396,-0.39862713111749326,-0.506998285962061,-0.6224465660747627,-0.4281080128045836,-0.3021913377256619,-0.27175453049534454,-0.5544874597502772,-0.42310138520691165,-0.5001448926577905,-0.11331393250464618,-0.6196748223309194,-0.7306823096672813,-0.6389635681013166,-0.860862000975797,-0.5823893972187252,-0.5290200003321257,-0.657928077284541,-0.5626181487146736,-0.33042766436847115,train,6.408734868264894,1
26,-0.5492479315200325,-0.48426188615186716,-0.4044378559754447,-0.6530717457468217,-0.49427436721458873,-0.6042560220182519,-0.6211428039397328,-0.6142997832751028,-0.6660823606152259,-0.5529635808846526,-0.5457840225893785,-0.5101223491577219,-0.260434847425292,-0.6824706502425515,-0.7654742636890349,-0.7629448166088217,-0.5088317718801468,-0.5927805117693561,-0.3419086213325163,-0.6406919893635559,-0.03815453991841675,-0.6286213195059449,-0.5183641878281994,-0.3976657875130368,-0.5080304262725734,-0.6192710335780394,-0.4415834314466965,-0.30618603321753285,-0.269329523082308,-0.5521599202127182,-0.42818080758294685,-0.5027971278518796,-0.11674606168968071,-0.6189373579001234,-0.7378108352631929,-0.634065271304149,-0.8563601160649222,-0.5863222778613418,-0.5433801253868641,-0.6648048159224155,-0.5659433367936845,-0.3224730643478611,train,6.66508426299549,1
27,-0.557058716924975,-0.484517726706955,-0.398357957207536,-0.6578501737619755,-0.4947328098368021,-0.6104701298637725,-0.6275459041862058,-0.6174729516094735,-0.6653259050728438,-0.5589953402717508,-0.5534553932424185,-0.5140240732349937,-0.26712010669005304,-0.6907231647646146,-0.7788634315177065,-0.7712343656396563,-0.5036382007054995,-0.6046312282666426,-0.35756599591902993,-0.6332247418382155,-0.04942402999946921,-0.6438214793589699,-0.5217848647541835,-0.4100062660771403,-0.5052218245374416,-0.6270733096008779,-0.4615543989435683,-0.31510554142476777,-0.2766386433991284,-0.5547545785706048,-0.42721734031620684,-0.5137641213777295,-0.10650612557892766,-0.6246718407008063,-0.7462571271559632,-0.6259608302455664,-0.8740380671161142,-0.5864325835302064,-0.5550923049611749,-0.6711179166579563,-0.5683529257994471,-0.3362836453483592,train,6.9214336577260855,1
28,-0.553753418791363,-0.48021179897604066,-0.4054458909625689,-0.6621964128892472,-0.4950726124134178,-0.6151157119825086,-0.6330139926866158,-0.6073835063081521,-0.6605359687649883,-0.5757963542267411,-0.5685785623233917,-0.5143782557711785,-0.2700971556353075,-0.6931938720282356,-0.7862067014252522,-0.7772215582721675,-0.5031641243663659,-0.617231322864592,-0.359473482694187,-0.6312055992102484,-0.05415465670702303,-0.6433982306548567,-0.5188543625969039,-0.4457704428017933,-0.510218061840142,-0.635795808454454,-0.48505184176970456,-0.3211446638380971,-0.27603006030237426,-0.566411927118855,-0.432573132404487,-0.5326426232851004,-0.10024211990861764,-0.6289689941279467,-0.7579165660500873,-0.6293973672369682,-0.8921076391340248,-0.598021360842788,-0.5584447624685144,-0.6775525622638446,-0.5576518208146864,-0.3493664209318439,train,7.1777830524566815,1
29,-0.5450332212237448,-0.4742606140721696,-0.4058233318895607,-0.6630803972457856,-0.4936332276049893,-0.6219869757302157,-0.632730940433635,-0.6034506380886817,-0.6652161773633498,-0.5782919786686112,-0.5744887693777176,-0.5055136336556356,-0.26891038727196465,-0.6920174860153767,-0.7830037856933193,-0.7728641202698618,-0.504059718395062,-0.6295869435668444,-0.3566607358839431,-0.6279974660461375,-0.05375288648112314,-0.6481472824881076,-0.5149418826839056,-0.45360424238893243,-0.5144004085520322,-0.6389313132129693,-0.4921652220128288,-0.3201932149763127,-0.27281143636028937,-0.5724650470245294,-0.4400124533313783,-0.5391649956549777,-0.09693026451225228,-0.6287328151146871,-0.7588187226919006,-0.6252939121164631,-0.8975245095345644,-0.5963553418504399,-0.5504344609980022,-0.6740901699118541,-0.5520793077720947,-0.3595497136098518,train,7.434132447187277,1
30,-0.5441723621073657,-0.4793239368382465,-0.40662674001308685,-0.6661156196492539,-0.492922457737615,-0.6229759331939648,-0.6325889574705689,-0.6082830142119461,-0.6665228676484193,-0.5799456921410433,-0.5758032273111393,-0.5071513330766433,-0.2642681796626146,-0.6943607826970637,-0.7776074934403429,-0.7741236127975482,-0.5080810793943861,-0.6284383581225642,-0.35317202663266706,-0.6350737231559852,-0.046016128553729524,-0.6449659250175259,-0.5174364196148342,-0.44537662545034984,-0.5171544885917492,-0.6363859930845405,-0.48477226475019125,-0.3195581985188143,-0.2681496013068072,-0.566928606470182,-0.4403635359019126,-0.5346754609961689,-0.09778494726305932,-0.629193993152357,-0.7584383817004323,-0.6312169309196274,-0.8894355629856434,-0.5961970239363295,-0.5529417308383654,-0.6759854529040609,-0.5538553273004206,-0.3574945977194145,train,7.690481841917872,1
