,AFDR,AIBL,AIBR,ALA,AQR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVFL,AWCL,AWCR,BAGL,OLQVR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEV,SIBVL,SIBVR,SMBVL,SMDDL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB2,VB3,train_test_label,time_in_seconds,tau
1362,-0.48674005671626697,-0.7751825382471508,-0.8370659987425448,-0.15401826516946493,-0.6795687694288807,-0.5272872798211425,-0.845501947902857,-0.8460691933639319,-0.7958629489022551,-0.39045549026102333,-0.7130975655630429,-0.27670998468769203,-0.3688472922076328,-0.16663465244764886,-0.8293290413143157,-0.5768269184666708,0.3586281150713819,-0.8074352681779162,-0.8584085046703873,0.6609616941499429,-0.5856637688683667,-0.5396520080630869,-0.4991461424613862,-0.3755295463661258,-0.7071239599947128,-0.7594871501162919,-0.40328757372887714,-0.7632933611885021,-0.8712269230025573,-0.7147914566760096,-0.6992166248760545,-0.6006478937401881,-0.603648944719331,-0.7927926662358149,-0.774442037148786,-0.625862323011732,-0.6575968043996996,train,297.64467826790775,1
1363,-0.5255561101379865,-0.8334003247836208,-0.8422706121784844,-0.08269055085449639,-0.6355594941272085,-0.6552994959257756,-0.8644975617291548,-0.9014940574121368,-0.7816281571580141,-0.5368793405497677,-0.663917281910201,-0.2534862586874287,-0.34039199046672375,-0.056673370450780025,-0.8187953382785258,-0.43383151156154787,0.5338850530117196,-0.7762988711167972,-0.8599610006804981,0.62344574043314,-0.5763736108026035,-0.6191836991673165,-0.4316832649343749,-0.31819290004977263,-0.6319865663964358,-0.7154274519345072,-0.7009002612578172,-0.6971157902745806,-0.8557327393853212,-0.7645903018738723,-0.6797575938865037,-0.7445731640292421,-0.6235753284492658,-0.7060568501340972,-0.6600054874439557,-0.5389312951037551,-0.6874049945028269,train,297.86321327397815,1
1364,-0.46638218060621084,-0.7751833814981475,-0.8516123582927034,-0.09604648091100176,-0.6563857985490364,-0.5953473649832681,-0.8211327140620246,-0.8059465030883459,-0.7702446637508238,-0.4955061095637193,-0.8064400900429302,-0.2986455356294915,-0.09735527598016491,0.01596656879108571,-0.7657401178749956,-0.6285108619430577,0.3189100064090935,-0.796614642237284,-0.8407396812125381,0.6048912472980629,-0.4389071050488037,-0.492068519057823,-0.5196495660235175,-0.29068126039801023,-0.7592617277885618,-0.7335041326331697,-0.37275852814472443,-0.7624098844524186,-0.8440864648071582,-0.6891943652612011,-0.6708760367484157,-0.6182494294886045,-0.662705363713926,-0.7817121898510437,-0.7747503263774996,-0.6081015522251763,-0.6757956220007962,train,298.08174828004854,1
1365,-0.42207583508502544,-0.8216642168721083,-0.8467647627175322,-0.20166662944901892,-0.6897214250871577,-0.4931416277551841,-0.8342611451030226,-0.8152279418310238,-0.8298955092198594,-0.3593761939553578,-0.6031326404890909,-0.2953802761835488,-0.00025915674217047435,-0.13058549407465836,-0.7436448269824771,-0.5450714275673942,0.4010709328344346,-0.7726171120275537,-0.8206800459012397,0.6323235326151576,-0.5251805175715043,-0.5904394316749473,-0.4511566381324643,-0.29781021762568216,-0.7172742843744784,-0.7515072239843062,-0.5619703204811951,-0.8072248971643856,-0.8656332985912968,-0.7564099989395364,-0.636834229700123,-0.6913250052650649,-0.6066692389670878,-0.7853807463722264,-0.8027138521781363,-0.5769729948311513,-0.6841013485719598,train,298.300283286119,1
1366,-0.45424653444149177,-0.775641551633388,-0.8421718464043335,-0.14965399463572737,-0.6622317936305755,-0.6134732550528205,-0.8215365740004825,-0.8190658800648382,-0.8415114537683233,-0.31142306789631646,-0.6016030567766305,-0.23857716781018157,-0.06801923159649215,-0.092980591769946,-0.7785454865513642,-0.5718237479729615,0.11463242517774297,-0.8016451807987982,-0.8748249141795564,0.6582369684951471,-0.5012650232005122,-0.5857328948413021,-0.5644838634478494,-0.37143174488488706,-0.7256723072105398,-0.7796046672974136,-0.36930024757059143,-0.7740111854031659,-0.90098524525238,-0.734226973976564,-0.6614119076207678,-0.5853388219549933,-0.5812951963372261,-0.8005964373397384,-0.7509825286802569,-0.5950759131708272,-0.6701942177465274,train,298.5188182921894,1
1367,-0.49442694864190173,-0.8075537425928613,-0.8612006824363092,-0.22350035623469944,-0.6827460932127619,-0.6094058431530395,-0.856449117110076,-0.7929819256514374,-0.8130429169001335,-0.38142709829345367,-0.6911150935134138,-0.22999493767363555,-0.13931246040576217,-0.0561482069644712,-0.6352587917690435,-0.6411879316104435,0.07991036804118057,-0.8202271231132248,-0.8690293679920014,0.6671224494155447,-0.5595876010871275,-0.49108067477679973,-0.6819638181256334,-0.31268580445729544,-0.7041848387899182,-0.6360395676267572,-0.29159741730326505,-0.7374094212322937,-0.8852774599940406,-0.7118521988746032,-0.6893987140216815,-0.6081405392458794,-0.5955580316007303,-0.7733413881890637,-0.7456787854018694,-0.5999515225609151,-0.6588305852443298,train,298.7373532982598,1
1368,-0.5469951528677776,-0.8031265761513902,-0.8599643878203086,-0.1690503439060702,-0.6858863359369833,-0.6592537438211376,-0.822910348845346,-0.8339893597698527,-0.8022665191507731,-0.5803930776337505,-0.7721394457531651,-0.13409144162329756,-0.1115022269133078,-0.08707889105790667,-0.7165575887999891,-0.5536006451266795,0.2846330791710163,-0.8478452775641668,-0.8399141126512015,0.6420804657366136,-0.5356552890018581,-0.5295399708928386,-0.5070612663113894,-0.3015914384699008,-0.751499993004058,-0.7722483736259205,-0.5634765987598755,-0.7749403419437143,-0.8715845659261147,-0.7327526791138854,-0.6799775700713411,-0.6363920592147903,-0.6265764751081266,-0.7628968828452195,-0.6995933152926236,-0.5724535692079886,-0.6980231854631718,train,298.95588830433024,1
1369,-0.5414685885011681,-0.8098075043263924,-0.8331215141999783,-0.2136670118417363,-0.6689497556690935,-0.6174244338857756,-0.8015588699075473,-0.8373939655955365,-0.8056396771232288,-0.3624542564506471,-0.7029921670438051,-0.13670921458072505,-0.2446526164672307,-0.048590458462723474,-0.8635101779895359,-0.5735337431681469,0.3080508554517669,-0.8335879274887681,-0.8557788658282203,0.6741468376260392,-0.5216830926771823,-0.41800972601915276,-0.37487869801634,-0.25342493614031514,-0.698386514860079,-0.7372208549477047,-0.40993897541317015,-0.7373911013256784,-0.8916273621162849,-0.6870081877222232,-0.6925403462510742,-0.6408975526301788,-0.6434176987208159,-0.7409739342784029,-0.7542351997379825,-0.5900603171531775,-0.6870946931293913,train,299.17442331040064,1
1370,-0.4090689646656672,-0.7771979560735212,-0.8579018438771332,-0.16816523520023963,-0.6792193953213858,-0.5378753304841165,-0.8447207798572207,-0.8633737460716073,-0.8051994194105637,-0.41032901565589164,-0.7428193387825099,-0.06935772551219266,-0.2753701693751738,-0.1285439846983769,-0.7579528403780569,-0.7381834172313012,0.3620606395081931,-0.8451850241069662,-0.8493534309663208,0.7126506922879413,-0.3903903618539529,-0.5619215837324907,-0.5188688962739278,-0.32590161709176857,-0.6508911684652802,-0.7442922291394636,-0.3591105646264737,-0.7774167648255885,-0.8811327236029469,-0.7418192562005133,-0.6620543581200515,-0.5881488030813231,-0.6037787782530525,-0.7760672280437739,-0.7105748151215916,-0.6138125282732729,-0.719398966407951,train,299.39295831647104,1
1371,-0.5129899858386597,-0.791789537479169,-0.8507632626580897,-0.24548693555243195,-0.65918869778152,-0.47782867386716954,-0.7921012870072435,-0.7938409955167482,-0.809630975337279,-0.2984214754864104,-0.7037355116475629,-0.02924625400231995,-0.38083772409702144,-0.05189866921961461,-0.7576614645337234,-0.5206359028977693,0.21698513911298178,-0.8334018383834763,-0.8437899353332474,0.6790038330788145,-0.49407081744005876,-0.601104492384929,-0.6218739326780764,-0.28223759393840464,-0.7282864282955153,-0.7629824620870379,-0.42887227768349256,-0.7153452238968654,-0.890570485468023,-0.720835880552905,-0.714272372832614,-0.6172453646123723,-0.5823473998639317,-0.7680787009423046,-0.7497886428692181,-0.584249456502067,-0.618356226520179,train,299.6114933225415,1
