,AIBL,AIBR,ALA,AQR,AUAL,AUAR,AVAL,AVAR,AVBR,AVER,AVFL,AVFR,AWCR,IL2DR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMER,RMEV,SABVL,SABVR,SIBDL,SIBDR,SIBVL,SIBVR,SMDDL,SMDDR,URXL,URXR,URYDL,URYDR,URYVL,VA1,VA2,VB1,VB2,train_test_label,time_in_seconds,tau
2123,0.11794691332745255,0.10540399098096076,-0.4231691504478755,-0.600756284800474,-0.8074296223425885,-0.912740366855264,0.09710281303800339,0.097607209605994,-0.8984147072482113,0.08463742685700582,0.014356454935039675,-0.24997675420256005,0.20479994160926251,-0.6372169393512842,-0.031058973652259736,0.1904801757858544,-0.08530402786425939,-0.8618894984176073,-0.6790955133662122,-0.6284439626150005,-0.6608949197052821,-0.8653180135805125,-0.8865222483414299,0.3684299045195689,0.29824135405257457,-0.7272700193686779,-0.7619276129108107,-0.7057142914480037,-0.7876640652884547,0.08457895840742236,-0.07036087661756651,-0.9444462365159142,-0.8966560754004729,0.6999307495803077,0.7498304927404854,0.45669136192757653,0.7853039662582032,0.48369388628982524,-0.8226505487119313,-0.8683533689332605,train,481.3856812933026,1
2124,0.06206674569606252,0.1567236804476444,-0.46792971083784773,-0.5806886700200364,-0.8394653286066486,-0.9015335944227538,0.26303890968346044,0.17478012334158788,-0.7068333077483429,-0.12821373792796142,-0.16692333076143562,-0.3453939849767843,0.09051687141705278,-0.6462309711716687,-0.38497233557395194,0.17916779837355679,0.018420834373299666,-0.8668545633021227,-0.7140500313481174,-0.6145352841737632,-0.691405844037982,-0.6490175508024352,-0.9601258007490697,0.40643104825644505,0.392026578283857,-0.7302109239654004,-0.7966673863258263,-0.8369148154653969,-0.7780930409174178,-0.023491785170562607,-0.04289682980770382,-0.9089741362307999,-0.9185747634853979,0.7573398269237591,0.7746156069718256,0.3963306736944725,0.8003371483941691,0.4267377100014529,-0.9171437626253304,-0.9155415173229284,train,481.6124291412975,1
2125,0.15921270503951745,0.14246611114349816,-0.39615359598378563,-0.5973104865582228,-0.767544272694463,-0.8172136268675323,0.12049383061857077,0.07778698986989874,-0.8230227086857574,0.14710575410154525,-0.12156254594684734,-0.2825042265063681,0.0642847778230633,-0.6912664077287232,0.1545146410546847,0.18708350228667403,-0.04343796833025093,-0.8340335934547682,-0.6439020962531323,-0.592052593906232,-0.626142474548161,-0.6718234016862655,-0.9140054329692825,0.3775178615710375,0.46052544908291115,-0.6526387024265419,-0.7498178589538909,-0.8268184357893522,-0.9352854259405342,-0.2525458049581252,-0.08755827752134837,-0.9277106129673942,-0.8954396438251913,0.7769750393921574,0.7754473270258754,0.41156180941818965,0.7787968626133713,0.5276112465503264,-0.8443295838788025,-0.8957663554925296,train,481.8391769892925,1
2126,0.17163054011728807,0.09385448800073459,-0.4212438642503282,-0.5666974133684574,-0.8258841993901136,-0.8039421539043583,0.07438006019832333,0.07550117879344953,-0.9034847869258595,-0.17117878764764738,-0.32542964814223174,-0.39227218630207084,-0.15209512376722434,-0.6382072970486585,-0.08488425133231103,0.09633564847219833,-0.08647858506390527,-0.8547439843968682,-0.6644282824337252,-0.5712654489325404,-0.555762635714099,-0.7633185047772519,-0.9479536977288514,0.45983624637650555,0.3091559643759214,-0.7987144740397818,-0.7475591003514501,-0.7349158626984583,-0.8391839939844665,-0.3225658880228087,-0.06479400465668916,-0.9022882231825647,-0.9027059310442105,0.7693766063944941,0.7525161685537091,0.37093143884547164,0.6715926634588519,0.3893037918291662,-0.86213575180888,-0.8736225886911738,train,482.06592483728747,1
2127,0.09657726815654544,0.11429318747482298,-0.6554219008607177,-0.6551493066977201,-0.7664235526367105,-0.7818593377789844,0.11774577006510856,0.0965524937618979,-0.757874304391006,-0.044913355570956326,-0.3674073803037613,-0.43626857801929986,-0.40233719678627167,-0.6795378768893243,-0.24753553434099929,0.126155869466282,-0.020870956475020908,-0.8610527106942967,-0.6054306396625725,-0.5417538489344551,-0.54376411240928,-0.7890454846015379,-0.8231809831755484,0.4153445197267631,0.25478868772798147,-0.5418335514936867,-0.8206598402084142,-0.7772508652906629,-0.826531006660073,-0.09886001478435502,-0.17149644391960162,-0.8622800498080221,-0.8930128790620181,0.8042949940629162,0.7832588810037008,0.4152469508471326,0.659532155050007,0.4445007639802805,-0.8459940398439301,-0.8822613163979196,train,482.2926726852824,1
2128,0.14100147639202876,0.12179077349317713,-0.4535712370941154,-0.598940414213285,-0.8272231617938606,-0.8654491014326949,0.11588187779610193,0.14219267942193559,-0.8715003735699762,0.12253191658026297,-0.40899401029179205,-0.4811827944809135,-0.46548761924849746,-0.5973770502835526,-0.369226420856544,0.16899129525748868,-0.04025829631307665,-0.8503948361984368,-0.5732603128419729,-0.4369042023105125,-0.6263460782717554,-0.6797164456368028,-0.9108374382508819,0.5129728558624236,0.3645192942135276,-0.6028910201525005,-0.7703366755585257,-0.7209888237940765,-0.8395313968530751,-0.38288820349397035,-0.3263044646849358,-0.9311010064189112,-0.8712249720584209,0.7711021477864125,0.7628013315434047,0.4212075534926889,0.699370227327642,0.48347008762299937,-0.8640937539761993,-0.9069676633171203,train,482.5194205332774,1
2129,0.128164505921588,0.16313127668429317,-0.5055930086793126,-0.6060453334926048,-0.7845376270805271,-0.832189510257378,0.10155975121826688,0.09995872479486867,-0.5645620329336365,-0.03404999722524016,-0.46495553254677247,-0.5706315656120398,-0.1814359159047212,-0.5849676473000864,0.0940216398524596,0.19242970185247288,-0.14598599757558206,-0.8471757449409514,-0.5869929152355393,-0.40332988223818544,-0.5029999632043775,-0.7422859770392437,-0.8906840782372661,0.5289979853204456,0.3225622184127068,-0.6399488504061606,-0.7542891053636358,-0.7187740785688254,-0.92808173954186,-0.544063065657374,-0.501304030214178,-0.9283109347183036,-0.8871118315476105,0.7695158492917297,0.8067784963581212,0.36534741731145015,0.6643505987792656,0.4864900232221263,-0.8854015782992836,-0.9029351242143322,train,482.74616838127235,1
2130,0.07602565619195689,0.10098366078807741,-0.49622531192287855,-0.6028121483052526,-0.8131970647395592,-0.7815999660369853,0.11459873719720948,0.07187424356204442,-0.9087868074559549,-0.16409684983165618,-0.49393948908551455,-0.6322103934554308,-0.29209039609214926,-0.5562218637753824,-0.28470082544615916,0.10259682456811758,-0.056555644247505255,-0.8376146401713526,-0.4834322838086919,-0.41096872379776395,-0.4732216984115527,-0.7405642267640133,-0.8547287159204882,0.5111585135142835,0.2014267645396144,-0.6859088333503665,-0.76426028205945,-0.8218367837931277,-0.5683979476154633,-0.4761919602481216,-0.5456407854858192,-0.8829027647561299,-0.901317788523002,0.7755891608145685,0.8279457721613167,0.3902724820306789,0.6666463790186111,0.43659096325785884,-0.8975044114552342,-0.9052942184618354,train,482.9729162292673,1
2131,0.1185252598219867,0.1596957967341479,-0.2787738015677341,-0.6358004404266493,-0.8496249082272692,-0.8274992731210825,0.032838314159401305,0.03931956767746192,-0.7905291563974738,-0.14448528560947782,-0.5420956741300589,-0.6155092256075635,-0.3811703254868948,-0.5760727907172489,-0.0007825157373533287,0.09510814473543039,0.0360565921806032,-0.8753290648945635,-0.5116174212561739,-0.3801039513869847,-0.709245161392043,-0.7894074280690345,-0.9203319838153382,0.5191994122041064,0.24412788546779973,-0.776574974745806,-0.7658271853666996,-0.7290088539407061,-0.7291809941448226,-0.48052753735366327,-0.4785339758154852,-0.9399735730653836,-0.8914158270740805,0.7671892282505993,0.7755176536181659,0.37671377414023155,0.6082447793347229,0.39273587198126036,-0.8603160871790663,-0.8927128533383997,train,483.1996640772623,1
2132,0.12990553577353026,0.0384163497748109,-0.5053364073493609,-0.6373288595647357,-0.7687576563469967,-0.8490171078669444,0.06514712867286199,0.056587749503944296,-0.7433638134340781,0.06154491548896446,-0.4134420746004628,-0.7330348205661553,-0.5201468934534029,-0.6136223223036392,-0.35252966691789345,0.09435426458954221,-0.11554942700398196,-0.845482807157354,-0.44729334677772215,-0.3899160217329539,-0.7798460969334049,-0.8192376752893533,-0.819868215898253,0.4388383811124623,0.16155051820236288,-0.8028721227835021,-0.7327398729403847,-0.8031154572184777,-0.8265054981745208,-0.6734165007394628,-0.5563434224991475,-0.9446078261476828,-0.8940136894633028,0.6879285645375465,0.7552149774964486,0.31605313784611,0.6025632037041445,0.4103350513051187,-0.8529267608493784,-0.910714889702506,train,483.42641192525724,1
