,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AWCL,BAGR,RIBL,RIBR,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVR,SIBVL,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
1624,0.24620477047765513,0.27224002789147017,-0.26819591523061104,0.005290090865004482,-0.04799303904629709,0.39848861539139946,0.21478898553211195,-0.765920787809209,-0.7940611124177497,0.2995354517966507,0.15222467944402618,-0.0781646614557118,-0.5831604591707087,-0.7311718343997383,-0.7976370482334127,-0.249987056276335,0.23033369455388156,0.23040240457821443,-0.8392324333379424,-0.5275382807147031,-0.2991603819494192,-0.8310179252141525,-0.780278100948095,-0.8419853230274265,-0.9184422467936667,-0.12239469131094625,-0.4788100067370513,-0.5890397304787753,-0.6426750587673495,-0.6117590520846995,-0.574793963609695,-0.2714118381660154,-0.2761735702860679,-0.17543519201103924,-0.4775820516869588,-0.5248538151672848,-0.038556683438156214,-0.06322343756424278,-0.10644842912628706,0.009953353296526163,-0.7319544590155012,-0.7277230217050834,test,624.1708185053382,1
1625,0.260897170686372,0.285676360350794,-0.26066527516514904,0.0004546274319844057,-0.041827939013513504,0.39762894482377853,0.22918245074902527,-0.7598971876290919,-0.7740257987442836,0.31746528427950693,0.1569098883736254,-0.07419844680744733,-0.58344386093741,-0.7403228464209902,-0.7995962132506067,-0.2547019161426441,0.24432003839063896,0.24157379669685786,-0.841364887680273,-0.5154131705044465,-0.29967400505854,-0.8359434277417002,-0.7844794199705001,-0.8394778466394477,-0.9179775322197483,-0.12069239235113842,-0.475320018771252,-0.5780975336668687,-0.6372831875680904,-0.6074373410764835,-0.5686059879509721,-0.2638765405344331,-0.271489420291595,-0.1657273214469729,-0.4616966204583107,-0.5232916148688843,-0.03504609347848431,-0.06362040121999055,-0.10851759132415373,0.014442870496767402,-0.7230740921086747,-0.7208949380003471,test,624.5551601423488,1
1626,0.2677701534041952,0.3054806372675688,-0.2658884153965877,0.0014554141024840928,-0.02560905801996266,0.40166189307658995,0.22803245193337868,-0.7610419376121726,-0.7785478343626906,0.3181974783476471,0.17051494761890051,-0.06920193215781703,-0.5905160556940797,-0.7299937681431533,-0.7843532613522716,-0.2668325124131118,0.2538651058624585,0.23585165607104464,-0.8542200104751786,-0.5119976790927876,-0.2978886207139799,-0.8231243071111851,-0.7877420660717677,-0.8318134409911411,-0.9068335578846725,-0.1304779890360939,-0.4690656999763556,-0.5422256879459848,-0.6290665438589778,-0.6060697130340534,-0.5626464514659671,-0.2540438868629654,-0.25684605729908655,-0.16418995068267275,-0.4564728208550564,-0.5116148073372504,0.0004146202995099213,-0.04504580789520527,-0.07956510753984396,0.049948516927344803,-0.7168123469584279,-0.7326448016100211,test,624.9395017793595,1
1627,0.27709721113102237,0.3169984939947643,-0.2649815613310302,0.002000625495017505,-0.02513700432613994,0.40114111142831066,0.24669317567830218,-0.7547469476904389,-0.7698453682075437,0.32245305503682026,0.16676376003157078,-0.06601387498687727,-0.5907184407760243,-0.7279532810112079,-0.7826537358919653,-0.2844151902370317,0.2673707300509721,0.23156629018389985,-0.8550996469300114,-0.4988070283782146,-0.283043002889685,-0.8216253804000637,-0.777484714023368,-0.8108894756913706,-0.9141820414825692,-0.1363760587306898,-0.4645884064475603,-0.5143977314049637,-0.6200695550563857,-0.597234940931554,-0.5445922040768411,-0.24595928241835366,-0.2377350024345382,-0.14535375363678585,-0.43671318730032943,-0.5022040717503011,0.01228762379646417,-0.042545416687856816,-0.06946052910605371,0.060331631375142074,-0.704477529272649,-0.7204726265374404,test,625.3238434163702,1
1628,0.26886018440838716,0.3059304854740118,-0.2668189796839698,0.004616847706913674,-0.03248935917709811,0.382087868936797,0.23106091408564405,-0.7443359455800439,-0.7531252217432196,0.3029008816642957,0.14831290457247365,-0.06560073848161288,-0.6009939052281201,-0.7126068800302423,-0.7678982487974887,-0.28865081539838944,0.25321859328865515,0.21235181245822832,-0.8608247566811263,-0.49978257240023616,-0.2937546904030992,-0.814042414629,-0.7761160083415353,-0.7956191615655269,-0.8873633681990114,-0.14564331695381533,-0.45570157452741866,-0.5000313065835362,-0.6120464724238469,-0.5993996377745249,-0.5469704063308842,-0.24272013904410913,-0.23264956579774015,-0.14715816633314083,-0.4352730177085046,-0.5009831283951438,0.026662179814657877,-0.0296462756709285,-0.060121651628985924,0.07438774671967505,-0.6998932612865056,-0.7275783097374064,test,625.7081850533808,1
1629,0.23319152444051702,0.26966728617742886,-0.25993056467701764,0.001960019335662644,-0.052136505980361625,0.3433859486023557,0.18871275374893737,-0.7238757785295952,-0.7362090609709513,0.2556036752304913,0.09258258956396898,-0.06316892338926813,-0.5999433162897388,-0.6946242800322199,-0.7397546486359561,-0.2949874572087725,0.21756217902263023,0.16528028558949598,-0.8419382620298538,-0.5052794844012175,-0.3103349592056676,-0.7838050270536627,-0.7522221720227479,-0.7593607106580759,-0.8589236193922611,-0.18281005777632517,-0.45348007442863925,-0.461199589885096,-0.5982156527561928,-0.595828429007753,-0.5463930722414999,-0.25196633439775035,-0.23857975635889234,-0.15132419988026075,-0.4302163591642688,-0.49797919118448375,0.017720962373847543,-0.04058181066826904,-0.07049085586383026,0.05522726262426119,-0.6975611296631326,-0.7111687508503826,test,626.0925266903915,1
1630,0.181351354780796,0.21279114924596368,-0.2604114413501609,-0.010871783681068059,-0.08090697614719013,0.2801828198462978,0.11561978947884968,-0.7131557292823948,-0.7145710700051269,0.19281763184217593,0.02029160758125198,-0.08017822210723763,-0.6131723689340695,-0.6655639646554362,-0.700808238486859,-0.3034007413099846,0.15416648197382513,0.11235473840524074,-0.828544316032628,-0.5290547118063568,-0.33286958307391057,-0.7466093924233099,-0.7314339633734885,-0.7321538004658352,-0.8225583269978275,-0.22173156075025083,-0.43772353740533765,-0.442716324703353,-0.5868116405200619,-0.6031602573235355,-0.5605118718663525,-0.2602885524408896,-0.2547276662267264,-0.1809578162017352,-0.438228661780536,-0.5082698427486312,-0.021143066497044255,-0.06944744872033697,-0.09451194972360909,0.011332789350726832,-0.6973464798548291,-0.699274867584331,test,626.4768683274021,1
1631,0.10553895716720496,0.13610052754269344,-0.2829577670017654,-0.01915030980076357,-0.11710086606071834,0.21110123180843668,0.010581670506891891,-0.6985104606334789,-0.7081151470993414,0.10689554326039777,-0.07263905040185394,-0.11061621880864328,-0.6530152734517821,-0.6415408800190887,-0.6586870197153628,-0.3125050346508429,0.06375331533274661,0.05170477044826033,-0.8204378105512947,-0.5650329822668589,-0.3677448469031913,-0.702021565939434,-0.7177301231334839,-0.7147849249021301,-0.7696607467182678,-0.2562467729634444,-0.4331291408409072,-0.4542807258859217,-0.5825524789626868,-0.6221679890707922,-0.5971307761990537,-0.282931927490707,-0.29315621062806313,-0.22436033051300713,-0.4756022536481077,-0.5428956699495379,-0.0862835323827629,-0.11153639132536172,-0.14152001067619474,-0.06864041881320973,-0.7094174511204048,-0.7072696116370214,test,626.8612099644129,1
1632,0.016217304887181854,0.045966385000084875,-0.2952115697952328,-0.04116305342525277,-0.15291562038684547,0.11844002774716156,-0.09563539856525274,-0.6766274720859277,-0.6848203632562684,0.016507207001406343,-0.17597881341579566,-0.13688277706029978,-0.6627398977688839,-0.6168901686182292,-0.6097372695190162,-0.3189037719357826,-0.029415902281091394,-0.02341455552194402,-0.7893832993051539,-0.6028726719405353,-0.4101365378549343,-0.6495463105077626,-0.678771201272201,-0.6825546525455278,-0.7197497896164572,-0.3019482671777123,-0.42715304547964084,-0.46296499414845654,-0.5741332019202121,-0.6506484700906977,-0.6290839953116104,-0.3188782414080994,-0.3403154978473031,-0.26436456886224774,-0.4968597499080317,-0.5680516202290482,-0.1430285369463943,-0.16077268785296928,-0.19649732571795286,-0.14318385909873962,-0.7097415615602221,-0.6875732697534835,test,627.2455516014236,1
1633,-0.06847479309858079,-0.029063702186080037,-0.3095064411540731,-0.06714412069740634,-0.19024292709357604,0.03456320187454,-0.19296513880052987,-0.6403513729906357,-0.656010468205491,-0.06391139569455041,-0.25377898654958314,-0.1655357220757624,-0.6826146871310241,-0.5870314012309743,-0.5571462627329027,-0.3157456816236439,-0.11622266856242502,-0.09279150747424073,-0.7657038657550643,-0.6334429212842545,-0.4355623829289219,-0.603221433694384,-0.6466868508341964,-0.6555989127935188,-0.6649435621630644,-0.3297270113408017,-0.4049440671512996,-0.4699791650578052,-0.5736131526364168,-0.6695793170390518,-0.6615477038328533,-0.35133009295305184,-0.3827613942939228,-0.31135570718405225,-0.525388279581151,-0.5879801728795596,-0.19369385699494107,-0.1990493973707862,-0.2361704546158102,-0.20060146599708847,-0.7070183787051971,-0.6604864985205299,test,627.6298932384342,1
1634,-0.15548536799702373,-0.10859937547694425,-0.315648497866421,-0.08891389351177137,-0.2212667479110724,-0.05098323645039396,-0.2721456285636801,-0.6352642847792064,-0.6493903733017576,-0.13469007003535233,-0.3376498716723106,-0.18583991693937166,-0.6843427369406145,-0.5765064666941534,-0.5222706341953967,-0.31373166352525167,-0.19563937066132803,-0.16009322309726298,-0.7360970967183282,-0.6640402290637744,-0.4708403574592831,-0.5628562298439462,-0.6238869609111477,-0.6339431169055827,-0.6446281937303672,-0.35845914367766085,-0.401687099097993,-0.49254901513090477,-0.5872901025212584,-0.693344584282009,-0.7028656931091719,-0.3985600977616851,-0.4214775900632813,-0.3634708403625872,-0.5535394107695043,-0.6091755596299796,-0.2297888239129021,-0.23351034436024448,-0.2781988269589857,-0.2538880628802753,-0.7116053694847726,-0.6440712844733729,test,628.0142348754449,1
