,AIBL,AIBR,ALA,AQR,AUAL,AVAL,AVBL,AVEL,AVER,AVFL,AWCL,BAGL,IL2DL,RIBL,RID,RIML,RIMR,RIS,RMEV,SIBDL,SIBDR,SIBVL,SMDDR,URXR,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
510,-0.41443980555672955,-0.452033795259216,-0.37591198883711585,-0.6704547721226704,-0.5038643049157118,-0.5023089737190869,-0.543021536690946,-0.5290317384224696,-0.45192430563805497,-0.313331212744045,-0.5120770764240877,-0.6167468092465043,-0.742776726795815,-0.5338048977468821,-0.4028199714513674,-0.5562409315857049,-0.5459025727803811,-0.036997494822752525,-0.3167617739360943,-0.5204042839022682,-0.4445685808417701,-0.4399488234777179,-0.7086816442418393,-0.675071303868081,-0.5394264470939681,-0.6115120102190374,-0.573299133333135,-0.2798255239676627,train,111.43030548250051,1
511,-0.4163095056710114,-0.4567071340225235,-0.3723395835351132,-0.6595011889615268,-0.5029855446713448,-0.5066951722157133,-0.5296379630725581,-0.5300989522667507,-0.4520030332812083,-0.3116609948309223,-0.5079222127670747,-0.6174760327400002,-0.7417733886482738,-0.5340466511718448,-0.3859439847859063,-0.5615343815478777,-0.5541094772030861,-0.02838328687532074,-0.30412276343899425,-0.5237885658071015,-0.44912424299811793,-0.43494027200029095,-0.7066759377807801,-0.6665207379415337,-0.5246885304122255,-0.599209983386128,-0.566506437395572,-0.2750191891915549,train,111.64879627756423,1
512,-0.4020911123577329,-0.4408155045659788,-0.3649663777307487,-0.6661652052462472,-0.4938582975299515,-0.4982485130187513,-0.5360432609094116,-0.5143250744375221,-0.44598847071311415,-0.3103860810957991,-0.5072493671761275,-0.6115820438545307,-0.7332956633611547,-0.5329192555374802,-0.3869510548988536,-0.5481680011052094,-0.5373183480081848,-0.033590305505936335,-0.31170104984322944,-0.5213033125603297,-0.4422965526022711,-0.4324119441417159,-0.7027069922870565,-0.6635158867205033,-0.5261352622256401,-0.5980291629765984,-0.559803287739216,-0.2922565500905664,train,111.86728707262796,1
513,-0.4006919881066822,-0.4482369340918821,-0.3549507936151742,-0.6604336511373448,-0.4935127395875125,-0.4979693913605347,-0.5241272307088125,-0.5161471867100981,-0.44848536281535856,-0.31205504761776526,-0.5022653357729364,-0.615463239139663,-0.7296493653364402,-0.5258582191739555,-0.3840370941728092,-0.5436869289626526,-0.5313733073054916,-0.028185264940153304,-0.3021026991332881,-0.5189024881706197,-0.43794839806741104,-0.42136561006887463,-0.6948149502236007,-0.6568109767597903,-0.519631816693815,-0.5964881200680425,-0.5604515252458788,-0.2790796643951091,train,112.08577786769169,1
514,-0.40190544995688776,-0.4543421441817463,-0.34452555555689657,-0.6521547771594507,-0.49070862931356807,-0.4993382596563048,-0.5137000894169141,-0.5136887589332854,-0.45056462524244834,-0.30991786938620847,-0.4963288116984481,-0.6179714403037484,-0.7284606401833185,-0.5204554557187159,-0.3727352471561107,-0.5398902869957403,-0.5390177250018583,-0.021259711761277417,-0.2955113144917938,-0.5220201781748688,-0.4371374047124116,-0.4145652927565304,-0.6930858800066367,-0.6515316467167287,-0.5050064253714956,-0.5875068574354697,-0.5508056987054815,-0.2765296063744093,train,112.30426866275542,1
515,-0.4024552638150609,-0.4524601163412296,-0.3335360217895408,-0.6541949274629681,-0.48913562847824366,-0.5005185655147371,-0.5164889432570581,-0.5089474834798889,-0.4543451806849803,-0.3040146907948778,-0.4911913123472941,-0.6171780202240306,-0.7205034848577938,-0.5134644516859284,-0.3781492439990023,-0.5342995220468727,-0.5250539152781747,-0.025982442064846706,-0.3037076750064904,-0.5190430084989517,-0.43107740993564936,-0.4085428508200092,-0.6838522175882468,-0.6512511102997276,-0.5187336580067287,-0.5996294739747223,-0.554299555423587,-0.27538662381755796,train,112.52275945781913,1
516,-0.40169946052731587,-0.4580573180396058,-0.33624136772483726,-0.6458593832711408,-0.4853659943732289,-0.5136029965301934,-0.5155933189954175,-0.5093260132211671,-0.4555696288114262,-0.2962600007192784,-0.4881257565842677,-0.6123227509066884,-0.7121445991079798,-0.5066287818902186,-0.3750017122953207,-0.5449744748829038,-0.5312638436816892,-0.024552797305867402,-0.29596516323378724,-0.5166146083940037,-0.4286481730713625,-0.39795649906754527,-0.6818677997084321,-0.6458986087235483,-0.5251394544954837,-0.601838757407482,-0.5483873647068913,-0.2680603823367458,train,112.74125025288286,1
517,-0.38840041098999045,-0.44981027165472526,-0.3406120674594383,-0.6327422005809306,-0.4761130683604432,-0.49869340219350866,-0.5145679264402249,-0.49871345722924054,-0.4501886067996926,-0.2967326711776455,-0.4809899262509475,-0.6109127363353763,-0.7021104097250486,-0.49197779841208694,-0.3753463848364441,-0.5287763311506734,-0.5154285229223106,-0.03841591371025532,-0.28458243837675723,-0.5095015815532897,-0.41434388471712064,-0.38265534063780193,-0.669473237411556,-0.6420336876649262,-0.5185518059840675,-0.5988835340836032,-0.5415584954351607,-0.25751047624516343,train,112.9597410479466,1
518,-0.4016189831271454,-0.4581231597201431,-0.33388785070592586,-0.6232192160067763,-0.48004207341229266,-0.5094877047956916,-0.5020922187761702,-0.511751387438864,-0.452111844564626,-0.29834706998583477,-0.48301474897614183,-0.6025410362518413,-0.6963949533577227,-0.492872058663446,-0.37982548806557703,-0.5322151430471015,-0.5275229398254162,-0.03152862217104899,-0.27393886760770775,-0.5098703900797786,-0.4169316812270173,-0.3817617731467532,-0.6735787800137385,-0.6345042360334319,-0.5182165987286199,-0.5944882721782789,-0.5414640463584797,-0.24457641697788518,train,113.17823184301032,1
519,-0.4087721630351032,-0.4686729631468618,-0.3397242536721547,-0.6277202320585631,-0.48454223963370946,-0.5178491294828103,-0.5062366165078606,-0.5238838236880873,-0.4555986356262605,-0.2971885645261901,-0.4835074288649436,-0.6031600450436491,-0.6974317956943523,-0.49902009759164834,-0.3798511350582964,-0.5370262572278796,-0.5414038896170784,-0.01729267684724295,-0.2840826345783496,-0.5109440851994371,-0.41945248787173905,-0.3923187504908349,-0.683159412749637,-0.6409884937986762,-0.5243050054495858,-0.6043665946334182,-0.5496832061215627,-0.2458664952320695,train,113.39672263807405,1
