,AIBL,AIBR,ALA,AS1,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,AVFR,BAGL,BAGR,OLQDL,OLQDR,OLQVL,OLQVR,RID,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SABVR,SIBVL,SMBDR,URXR,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
791,-0.6620153244924362,-0.644586852205371,-0.15669216746660158,-0.39820293581972677,-0.7397132839913604,-0.7473717399361038,-0.26863185201409434,-0.20075749941339638,-0.8569535322239433,-0.17775761047425073,-0.22728675317951016,-0.7635522245760035,-0.8138088579019603,-0.6744491047287471,-0.5979323434224559,-0.5914384898614755,-0.726302831092097,-0.2812113659012232,-0.2120277271892031,-0.37864089153921343,-0.7463810696886237,-0.7213899294963705,-0.6391092087611958,-0.6285536794906585,-0.509977072858152,0.014465186840545118,-0.08049580975570371,-0.15154485563925224,-0.161560775236678,-0.5725395029167306,-0.5288812440490493,-0.25944363176019053,-0.589394944910312,-0.5477313876441131,-0.13039260223324906,-0.5127533599892273,-0.009766800639664897,train,259.2262175694128,1
792,-0.6546468008024491,-0.6328013565360526,-0.1607619877089374,-0.38142763796356094,-0.7277425448671991,-0.7250614718210746,-0.2660428672777153,-0.19060943188853963,-0.8400815969505357,-0.15973276302327374,-0.22609873462725733,-0.7596438727704283,-0.8167517774133954,-0.6771628838538682,-0.5970957171508604,-0.5916394842142841,-0.7138167036903638,-0.27865996983480573,-0.21211240741074652,-0.38146499182679766,-0.7361495225795366,-0.7201878316247806,-0.6478943118795767,-0.6168323196188384,-0.4889028530769365,0.010949269891829864,-0.07031611552173182,-0.16565381088138043,-0.15292691229005273,-0.5654529328591014,-0.5238146105295438,-0.2630712735410694,-0.5926964408170912,-0.5499204063483035,-0.12673863510385103,-0.5091810802852021,-0.012394252746057655,train,259.5539371870733,1
793,-0.6535312022468319,-0.6482376214689469,-0.15824285377412933,-0.3810531155293988,-0.7351464666622765,-0.7308621891693402,-0.26568717349935594,-0.20537559544926737,-0.8430237351640526,-0.17051931711002283,-0.23104672564714224,-0.7685241456362673,-0.8153998801352395,-0.6732831259027627,-0.5958572090849639,-0.5900520270532852,-0.713716474820228,-0.27173117024235083,-0.20184059561053033,-0.36936263396721997,-0.7459420426102729,-0.7238540232200967,-0.6351801940891098,-0.622543338213539,-0.49562209302475935,0.008909734120544584,-0.0685308526514157,-0.15754924240184734,-0.163975862730036,-0.5716741894369205,-0.5213752879808571,-0.25379656293760733,-0.5779668465771151,-0.5399043823737409,-0.11585240479878023,-0.5110171002702402,-0.013495057463883048,train,259.8816568047337,1
794,-0.6469135021738153,-0.6428009600727006,-0.15498356706862793,-0.3788128924580002,-0.7429377118709032,-0.7175005744535542,-0.2658824863681086,-0.20061931660913493,-0.8438556920833806,-0.16847923702504153,-0.22852000105237108,-0.7713209454331361,-0.8160587368893828,-0.6764187810387765,-0.5944351720073753,-0.5883123618148983,-0.7130874138585424,-0.27856673261106013,-0.201672630693885,-0.370806269929053,-0.7607137359721319,-0.7259548968436983,-0.6486031465974199,-0.6175762822791885,-0.5004718407972895,0.00210118844819715,-0.07480846914784071,-0.15218518021197805,-0.1656194114848183,-0.5606139316800248,-0.5304838822369944,-0.2616466804622334,-0.5768337233760096,-0.5425555426110698,-0.12051774062395995,-0.5023820062313791,-0.012222398726145459,train,260.20937642239414,1
795,-0.6531598287030725,-0.6437283392908337,-0.15944436796919692,-0.40798764423524214,-0.7402176414242632,-0.7233528555216426,-0.2769341112372957,-0.2065386022345655,-0.856764750588747,-0.1962566108182336,-0.2392556119439037,-0.7892183565547812,-0.8309541388161817,-0.6802931538883676,-0.601989343098816,-0.5988517911209459,-0.734612391760547,-0.2891790737996931,-0.22381023832548153,-0.38808557580364994,-0.7572640438193591,-0.7200985639955966,-0.6556289078059064,-0.6446680894174737,-0.5177527133376387,-0.003345621462537217,-0.08225854123611581,-0.16547947462296306,-0.17836077281212614,-0.5682554082877733,-0.535764412073276,-0.26260830133326424,-0.5993315800417843,-0.5614625804252432,-0.1302209894664539,-0.5154307139026684,-0.018676560427845212,train,260.5370960400546,1
796,-0.6487874105875856,-0.643065996328114,-0.164284655263008,-0.40009709898741697,-0.7311256584676489,-0.7133986856180844,-0.27564052747456136,-0.20181410293005766,-0.8384645372725061,-0.19351013595486158,-0.23832415080061375,-0.7915037309140022,-0.8220080129916597,-0.6782710483456531,-0.589905235190197,-0.5928377928269462,-0.7311436325140931,-0.2841621562602508,-0.22417862600143545,-0.38591482964992574,-0.7521046548524749,-0.718120196085581,-0.6564792616913875,-0.6340958822270071,-0.5146881704746379,-0.017522696645764738,-0.09194360116660785,-0.16156466166544067,-0.17708436393600502,-0.5639229447954688,-0.5337715804339005,-0.26762202718305056,-0.6003155451316402,-0.5592447798432424,-0.12671868390461086,-0.5015649275103952,-0.02406492023600572,train,260.86481565771504,1
797,-0.6517893692005032,-0.6308111124604314,-0.16804952971805495,-0.4047605852482087,-0.7127495638210394,-0.7128361098361337,-0.2896211208295877,-0.22608074331433708,-0.8371376480819572,-0.19918136159403482,-0.25509167383592624,-0.7937628040080418,-0.8385680667023016,-0.680397498471433,-0.5999308261243792,-0.5994266035437499,-0.732882765228166,-0.2900836101273446,-0.23343649990704018,-0.3958861371771945,-0.7294078940804998,-0.7096213234510056,-0.6586557284708524,-0.64015312507397,-0.5029651055715336,-0.03425601054578138,-0.09903098920033737,-0.20186805981947264,-0.18834059954889232,-0.5705155305877627,-0.5390197216707658,-0.28173373485630127,-0.6185245794917978,-0.5793260296501074,-0.1217762088570229,-0.5106769121882668,-0.0507404109537492,train,261.1925352753755,1
798,-0.6479862275120558,-0.634459775539796,-0.16763832099468595,-0.4042004269017687,-0.7207330745134191,-0.6926387221036061,-0.27622277467927325,-0.21237176975265257,-0.8381649393649994,-0.19038014805185044,-0.24465635815431128,-0.7935102360791987,-0.8354263054628072,-0.6818176469888789,-0.5972740831784504,-0.5956427959137334,-0.7261586445299392,-0.28568699229587835,-0.22344778811452248,-0.38538213139269717,-0.7394194686479352,-0.7095260239258241,-0.6479705405010641,-0.6311093290096249,-0.506354449056663,-0.03959688062470023,-0.08957205770730271,-0.19960464330136862,-0.18224481949063176,-0.5669365228783032,-0.5430286978606805,-0.2755876792119416,-0.6115692102951817,-0.5595708157832153,-0.11086344031199497,-0.5038587783076371,-0.0452315284469562,train,261.52025489303594,1
799,-0.6463862444345633,-0.6420628844616986,-0.18260286242888227,-0.41016241339124926,-0.7201544836134276,-0.690476246841165,-0.27868471959090013,-0.20262081879609586,-0.8224867739776445,-0.1961066453014349,-0.23954643003742349,-0.7888241971344007,-0.8233894818412729,-0.68160208380232,-0.5967371973311211,-0.5856911048813517,-0.7279141521840953,-0.2745542735898881,-0.21421564706519625,-0.3835553860649943,-0.7364198161661535,-0.6941068154362158,-0.6525005931878243,-0.6338666124127609,-0.5004648508935696,-0.0404266594223158,-0.08473279318406716,-0.201544389954838,-0.1848540221742071,-0.5675634345170302,-0.5374643532647437,-0.2609262690165532,-0.6002273746238524,-0.5577010285571469,-0.11411440712961618,-0.5042766930133507,-0.03952493025122446,train,261.8479745106964,1
800,-0.6481937803891334,-0.6300768920367614,-0.19140702073561502,-0.41253913311531965,-0.7040326167188193,-0.6939568565853694,-0.2866914304247535,-0.1995078286298252,-0.8187067375237971,-0.2063713618024072,-0.2521768688024923,-0.7789058601502827,-0.8273660968185153,-0.6850553041566957,-0.5951706808667359,-0.5878026355182617,-0.7255098740604263,-0.278143041025329,-0.2320428872821614,-0.404650429591054,-0.7117480170416312,-0.6937844223425881,-0.6478171790842469,-0.644380227037773,-0.49424815002525124,-0.04801540145706686,-0.08991538594443713,-0.22726800852859355,-0.17326950259127144,-0.5698640568438947,-0.5391713271323675,-0.28044142855390075,-0.6084876872899607,-0.5694911417968368,-0.10757293741375606,-0.5060648445654289,-0.05260940273477946,train,262.17569412835684,1
801,-0.6431373409536418,-0.6253744737387031,-0.1787765306574926,-0.395674165594892,-0.7141121310168299,-0.6906726453183343,-0.27865217516865876,-0.19354051250471974,-0.8152371508958107,-0.1898339562339276,-0.2500924067642213,-0.7806162603549008,-0.8250882188315061,-0.6806866982135538,-0.589079727576618,-0.5854524607275529,-0.7171772616097577,-0.2806917576945165,-0.22441532893971305,-0.39968302074537126,-0.7321971527016662,-0.707156727177494,-0.656085852582045,-0.6336528750928734,-0.49081161263520623,-0.03933138368418028,-0.08008758085679435,-0.21359746819243297,-0.1679650074851837,-0.5562564607659927,-0.5404277910561067,-0.2767073428436474,-0.5928089719096885,-0.5615217098977173,-0.11027408580362294,-0.5054761034453152,-0.04041599791854849,train,262.5034137460173,1
802,-0.637571414863031,-0.6319922669190958,-0.16371788916116206,-0.39744477918430376,-0.7238643072592688,-0.7105681476177069,-0.27682325342953384,-0.20162826963084868,-0.8164082195838879,-0.17822633207889552,-0.23986419570005293,-0.7736485541548129,-0.82700720402725,-0.6722201215190269,-0.5846634648641125,-0.5866926379783122,-0.7056841405916734,-0.2747026662830043,-0.2158175418526941,-0.3959098998067364,-0.7388662072732427,-0.7112267731831041,-0.6587231241996034,-0.6239808705960399,-0.500043700982034,-0.02450373987465611,-0.07883844397940082,-0.19477966753465034,-0.17664535541485182,-0.5529261583576323,-0.5306416588212322,-0.2762979856408174,-0.5892186187176569,-0.5544473358947689,-0.10933462208443376,-0.495685215006605,-0.02999098180325771,train,262.83113336367774,1
803,-0.6468941267758496,-0.6436561742628115,-0.15889831396623633,-0.38910619704770344,-0.7383384700682529,-0.7225464252279903,-0.2632840260240007,-0.1906706301343121,-0.8165940717757664,-0.15777113224703215,-0.22307863304981704,-0.7540160244451666,-0.8080069187093254,-0.6704848545343641,-0.5824633073993049,-0.5849670030590444,-0.6995236867734115,-0.2647823038346356,-0.20204660459068569,-0.3804019342287533,-0.7481550827061954,-0.7263092186704669,-0.6490218803395826,-0.6056720348703941,-0.49944981463107363,-0.008483663615090078,-0.0675769875096683,-0.17356039288692018,-0.15878309032453541,-0.5510278203059635,-0.530938792858156,-0.26021458695634286,-0.5762160584001044,-0.5374599151910839,-0.10235284169449768,-0.4927635056366658,-0.01526034270168676,train,263.15885298133816,1
804,-0.6531901399964901,-0.6477106550177489,-0.1527279107301726,-0.39163036705790577,-0.7462223545801928,-0.7410859908197154,-0.26207827764206537,-0.19545070379953944,-0.8354781622195239,-0.15436002722935233,-0.22417145783140693,-0.7583212686252009,-0.8198543411570041,-0.6724131943635893,-0.5887017858823438,-0.6024249320895979,-0.7058921426252918,-0.2647181238239465,-0.21103131111833803,-0.3902285697945807,-0.752675855507412,-0.7472648840077434,-0.6528416836701824,-0.6108791809496187,-0.5071307975118778,0.00476559460881236,-0.06121126543389945,-0.16275435470960045,-0.16111481021958374,-0.5617281292926528,-0.5368193081311808,-0.26121097921030345,-0.5898358353807274,-0.5452765681188732,-0.1047504035456413,-0.49311554734204704,-0.009892941893997323,train,263.48657259899863,1
805,-0.6561841480751354,-0.658273442511113,-0.16345828009606372,-0.4052756979740618,-0.7614570243663221,-0.7383452323689667,-0.25285212679566715,-0.17486639867958234,-0.8527423474673544,-0.16457763703996517,-0.21478512078372863,-0.7591403643008452,-0.8131320961857207,-0.6731608732328536,-0.5904804719247052,-0.6007614949977573,-0.7110436659069385,-0.2645438390541712,-0.21959504441593966,-0.3996051405197004,-0.7540293372770325,-0.7409488474624908,-0.6427712053904916,-0.6254309695950674,-0.5271491888565921,0.010006427466732061,-0.059629898651878725,-0.15161364261512325,-0.1552546903738047,-0.5639661993901243,-0.5401479941497619,-0.2559837072239348,-0.5921937791134965,-0.5370167476618468,-0.10508154241161116,-0.49979288147116246,-0.0006487757738728589,train,263.81429221665906,1
