,AIBL,AIBR,AVAL,AVAR,AVBL,AVEL,AVER,BAGL,BAGR,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMEV,SMDDL,SMDDR,SMDVL,URYDL,URYDR,URYVL,URYVR,train_test_label,time_in_seconds,tau
1904,-0.7968080027748458,-0.8667833392382994,-0.8642476009963095,-0.8646329024022196,-0.02305936335768674,-0.8420743715270995,-0.6840258418884846,-0.16925100139286303,-0.21657601666232232,-0.37475803592502244,-0.45947350509817986,-0.4565680748948203,-0.5764120675403053,0.15090362402241012,-0.855273026975064,-0.847849883886801,-0.6196054744436524,-0.6611135287130134,0.046600665672815816,-0.18513279096837465,-0.08958286998383967,-0.6290591716201033,-0.7022240504571182,-0.5222763937179575,-0.576264293120659,-0.6399562742784656,-0.5670752123718382,-0.5942833639476108,test,1083.621730382294,1
1905,-0.7960632788291411,-0.8718036603131022,-0.8669766043856956,-0.8711088549014316,-0.025273406812592908,-0.842478004318584,-0.683331609192092,-0.17045325203388206,-0.21942422183516483,-0.3756198533670243,-0.462019802666881,-0.45633560180413196,-0.5794082017231872,0.1516314248966352,-0.8538546030205353,-0.8488083584026357,-0.6222805338126334,-0.6580781861847127,0.04416887369429037,-0.191074711293925,-0.08726301617778147,-0.6234871978138923,-0.7011868843975022,-0.5268130963258364,-0.5823844925924987,-0.6439979179446945,-0.5709908285042004,-0.5969938105157734,test,1084.1908594423685,1
1906,-0.7930819050364445,-0.8706848623293595,-0.8634645369603089,-0.8675180806656112,-0.028362422249048003,-0.8421865319841857,-0.6820700450563788,-0.1695579681845944,-0.21889127850169013,-0.3696232479488165,-0.46075975559129817,-0.4605322264703768,-0.5803841657477092,0.14427480196783585,-0.8562823916316986,-0.845152461629792,-0.6115632453443559,-0.666142167535884,0.04978168873187103,-0.18192522589888893,-0.0901726671630501,-0.6231037905014379,-0.7074454056146523,-0.5242477216244662,-0.5761136805868089,-0.6406003490492073,-0.5700488114657323,-0.5977348527978782,test,1084.7599885024433,1
1907,-0.7999441433009582,-0.8714436418885209,-0.8785212161596622,-0.8751620186721932,-0.02573537644876825,-0.8477652292679545,-0.6894042939223678,-0.16662247243372208,-0.2160182693530626,-0.3717507825805203,-0.46436086159676554,-0.463987272531818,-0.5837160978485203,0.14565635801955348,-0.8584523670844953,-0.8535975549248273,-0.6093874569989179,-0.6672083359348719,0.053876539920864025,-0.1784389655043139,-0.0840373963641334,-0.624352347431679,-0.7099766895871326,-0.5272422766760013,-0.5838015452081484,-0.6456070805146603,-0.5769974534146293,-0.60721355308319,test,1085.329117562518,1
1908,-0.7991990987967602,-0.8763444171289156,-0.8861680315959893,-0.8747657967058584,-0.024128469081042603,-0.8443720038997629,-0.6941808089908221,-0.16019531881214816,-0.2198465932158301,-0.36865568778553603,-0.46723261818698336,-0.47211613873996777,-0.5855855427504988,0.14747483346332904,-0.8603484390248876,-0.8546301013263246,-0.6061338182217857,-0.675671150752676,0.05773059573675851,-0.17514993943669566,-0.0879841669368951,-0.6280515399286584,-0.7127848101947628,-0.5300463953339664,-0.5831675092989461,-0.6459248178051297,-0.5834861304196027,-0.6112640285845976,test,1085.8982466225928,1
1909,-0.8008420467418976,-0.8739495321147797,-0.8882893983027564,-0.8774293646641373,-0.03483685235470385,-0.8462641974440837,-0.6895922340064433,-0.16390234200453957,-0.2183749639589695,-0.3707477236233504,-0.47240440299553077,-0.4653221331830681,-0.5863192412633953,0.14617913616202508,-0.8629878411779965,-0.8584917031397207,-0.6069499129591887,-0.6703553263974892,0.05035371550258175,-0.1858970388936226,-0.07978965694859363,-0.6298978786896392,-0.7183185013530715,-0.5299754342024857,-0.5908791380881432,-0.6479987043048134,-0.5796337787642356,-0.6150080552383487,test,1086.4673756826676,1
1910,-0.796122399706613,-0.8746072559757417,-0.8739623132623596,-0.8757341075185308,-0.039889442655361596,-0.843038671195073,-0.6807736520113938,-0.17063372153515,-0.22042193307472932,-0.36682414721563017,-0.4805491586728529,-0.4674600815083992,-0.589220127717464,0.14697983364008718,-0.8636687141838995,-0.8581564743242056,-0.6148522895139533,-0.6703184980815771,0.045528851960505407,-0.19870936138870673,-0.08912762273494156,-0.6404758044670755,-0.718534601964447,-0.5324588054287023,-0.5868025236347771,-0.6417128747388103,-0.5768501233803234,-0.6133677373019226,test,1087.0365047427422,1
1911,-0.794823429107029,-0.8729764508545174,-0.8647813697230109,-0.8714886180061634,-0.05557028595347152,-0.8402538721427033,-0.6739957433434924,-0.17767928186317428,-0.2307875071212689,-0.3619151135986428,-0.48020582485774693,-0.4687201840290062,-0.587582152598312,0.14595118829240875,-0.8641601889826047,-0.8564358012769105,-0.61490763622014,-0.6677208660282451,0.0336807532986704,-0.2114665599681714,-0.09811438783054754,-0.6464409730903309,-0.7231632924886817,-0.5307320708903693,-0.5871519644008325,-0.6395507053475358,-0.576328430151683,-0.6109867619266633,test,1087.605633802817,1
1912,-0.790047956409054,-0.8719270674310086,-0.8649206162304515,-0.8661296250628397,-0.06763962351786637,-0.8403707485891356,-0.6689761751970452,-0.17480887413675605,-0.22583498180807196,-0.357628729967282,-0.4782588425530988,-0.4736220739850261,-0.5887648348445481,0.13399829948534223,-0.8627932653100403,-0.8535723782546468,-0.6090564336223405,-0.6779182628464413,0.033455198044980344,-0.21595558286229355,-0.10289120212362368,-0.6512142416980538,-0.7329731930959082,-0.5294866303412359,-0.5863541948632865,-0.6373226952406396,-0.5801930146655756,-0.6134710042343495,test,1088.1747628628916,1
1913,-0.7838538412176322,-0.8638762463896091,-0.8645508148443671,-0.8555006458029891,-0.07840666866340504,-0.8354515932373974,-0.6632940567595471,-0.17034655235406332,-0.21969416793812294,-0.35484360838441387,-0.47845263513752995,-0.47321471686006467,-0.5892382937553727,0.12872933230939185,-0.8597121003938287,-0.8501889021269273,-0.605813001534851,-0.680722991055403,0.02451896491697028,-0.2228798018032383,-0.10542994351045376,-0.6580181018756885,-0.7375645645983915,-0.5267119429110914,-0.5843240069813181,-0.6311948583440832,-0.5808021966975216,-0.6141261019423963,test,1088.7438919229664,1
