,AIBL,AIBR,ALA,ALNL,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,AWCL,DA1,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAL,PHAR,RIBL,RIBR,RID,RIML,RIMR,RIS,RMED,RMEV,SABVL,SABVR,SIADL,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYVL,URYVR,VA1,VA12,VB1,VD13,train_test_label,time_in_seconds,tau
27,0.084526576,0.6979985,-0.37700313,0.039913405,-0.0029850265,0.23744027,0.6005696,0.59942704,-0.30568236,-0.15070346,0.5176482,0.8702798,-0.73234475,-0.62078243,0.019221324,0.5533217,0.42739794,-0.060802072,-0.947573,-0.73284966,-0.30463073,-0.48191676,-0.5642537,-0.6704154,-0.14151932,-0.82471406,-0.9335556,-0.5911294,0.44241783,0.3575596,0.6226792,-0.819921,-0.7897536,-0.06706687,-0.16372097,-0.37518302,-0.7955277,-0.5960097,-0.9265936,-0.7995556,-0.39725405,0.18098442,-0.07334148,-0.3153899,-0.5218014,-0.7458834,-0.8718842,0.50018346,train,7.0673776,1
28,0.12692484,0.70795643,-0.37561613,0.010677645,0.07420478,0.34786147,0.62434506,0.6538356,-0.26873672,-0.1600017,0.48981604,0.8946183,-0.814031,-0.6982833,0.086789414,0.49740756,0.46918717,0.01081933,-0.9421589,-0.65098727,-0.29386958,-0.4750582,-0.571653,-0.6752544,-0.18978617,-0.7763995,-0.9343626,-0.53569317,0.45281568,0.35938054,0.6451186,-0.81054515,-0.7706843,-0.11925017,-0.23392053,-0.24202138,-0.7896695,-0.56605,-0.9580328,-0.7962581,-0.39243168,0.21387206,-0.0832977,-0.2385406,-0.5063905,-0.7647059,-0.82764685,0.35768285,train,7.3291326,1
29,0.069010586,0.6741432,-0.3721348,0.0684463,-0.041103534,0.2822866,0.6287758,0.6114075,-0.29715902,-0.18996535,0.4075504,0.8373651,-0.7347549,-0.6969718,0.008601836,0.44113436,0.4247533,0.0034998122,-0.9335176,-0.7052583,-0.3437348,-0.4868705,-0.5565786,-0.65998065,-0.08650311,-0.77749085,-0.9034947,-0.55030936,0.41004547,0.35650924,0.61644983,-0.7962228,-0.7840452,-0.11755738,-0.17541079,-0.37535316,-0.77642417,-0.6885498,-0.93920517,-0.8437396,-0.4425986,0.19327165,-0.123677775,-0.28171924,-0.5697307,-0.74455225,-0.8512535,0.4229529,train,7.590887,1
30,0.06293324,0.65734047,-0.40236604,-0.020719713,-0.20768072,0.24878566,0.5794793,0.60059965,-0.3400093,-0.24841225,0.4428679,0.8177244,-0.67300993,-0.6392259,-0.04812672,0.45761076,0.32504168,-0.14179878,-0.9806501,-0.73565775,-0.37597808,-0.51930064,-0.61218214,-0.680083,-0.11619705,-0.8255256,-0.9295843,-0.58106697,0.40227753,0.3201602,0.6243164,-0.79975754,-0.7716641,-0.23269926,-0.14509057,-0.43298158,-0.81540644,-0.7111753,-0.9501974,-0.81107575,-0.46414542,0.08449094,-0.16370653,-0.38513902,-0.61669225,-0.7726129,-0.8402388,0.20562479,train,7.8526416,1
31,0.045266554,0.6524468,-0.30582473,-0.033491004,-0.25053254,0.28012177,0.6044193,0.64435714,-0.31873628,-0.18118854,0.40771705,0.8029103,-0.78723544,-0.699741,-0.01425838,0.31251773,0.41533247,-0.09297533,-0.95226103,-0.75124574,-0.35717124,-0.5563556,-0.6345035,-0.6992808,-0.14179893,-0.8271072,-0.91673577,-0.58402526,0.47802725,0.3066563,0.6091409,-0.8033975,-0.7922089,-0.24503176,-0.14322634,-0.3957847,-0.79982877,-0.76841074,-0.91667706,-0.79779214,-0.47792935,0.1550737,-0.15193343,-0.32966954,-0.5849347,-0.7274603,-0.80825233,0.30925596,train,8.114396,1
32,0.07563569,0.6632542,-0.33016464,0.041857313,-0.25962,0.47628132,0.6179359,0.6789898,-0.3174977,-0.17421594,0.42600965,0.89700145,-0.7327457,-0.6828849,-0.070639275,0.3441615,0.3898394,-0.0430755,-0.9284752,-0.7292292,-0.34300095,-0.51732635,-0.5147607,-0.69042534,-0.107209295,-0.80115193,-0.8984256,-0.49589148,0.44433278,0.37707913,0.61069524,-0.7887388,-0.75704074,-0.21976109,-0.15989159,-0.39689228,-0.81759685,-0.5991106,-0.9266198,-0.8728957,-0.44303218,0.29521084,-0.07525098,-0.2926144,-0.52528346,-0.7893854,-0.8381415,0.27458286,train,8.376151,1
33,0.1076284,0.6226291,-0.3917223,0.08407282,-0.2876364,0.43949345,0.6185676,0.6366505,-0.32864338,-0.17693324,0.39217737,0.81167144,-0.6671155,-0.70152384,-0.008625481,0.3434395,0.24697293,-0.08089582,-0.95425075,-0.70333004,-0.4043725,-0.5179616,-0.6145325,-0.6564861,-0.06859057,-0.7805092,-0.94929796,-0.5729929,0.4619797,0.30361032,0.6102985,-0.79423314,-0.78235924,-0.2132272,-0.15031049,-0.39634648,-0.7915036,-0.6671356,-0.92796767,-0.82333225,-0.45050448,0.1701264,-0.13098189,-0.33808893,-0.5873151,-0.68137586,-0.8223271,0.3171535,train,8.637906,1
34,0.015428077,0.58389175,-0.4095712,-0.019852517,-0.3541718,0.466779,0.5790313,0.6441088,-0.35934764,-0.2392778,0.3324607,0.785756,-0.5999075,-0.6899081,-0.0033484453,0.2995465,0.24872936,-0.20428546,-0.96451414,-0.72560424,-0.40844607,-0.52576655,-0.5894407,-0.67777544,-0.27804402,-0.84083396,-0.9374038,-0.6875335,0.43916842,0.28531164,0.5917528,-0.82656354,-0.79695374,-0.26404613,-0.2517873,-0.51821727,-0.8377139,-0.7837244,-0.95101094,-0.84195966,-0.5307263,0.16554792,-0.12388762,-0.3205243,-0.58430105,-0.75299174,-0.85020226,0.2748749,train,8.899661,1
35,-0.02548076,0.63803005,-0.4348397,-0.0017205434,-0.3533976,0.65033716,0.5768513,0.6201688,-0.36442336,-0.21049532,0.3483191,0.8449565,-0.5566506,-0.60579175,-4.1699674e-05,0.33156112,0.4487181,-0.18666999,-0.94046664,-0.7337274,-0.36944598,-0.49487883,-0.5811292,-0.67098874,-0.25120023,-0.84343255,-0.90315276,-0.6660754,0.46199873,0.3302125,0.62544614,-0.7627066,-0.7557008,-0.17844142,-0.22823384,-0.49519566,-0.86313987,-0.7349987,-0.9404526,-0.8526333,-0.5472326,0.30781424,-0.16306224,-0.3367512,-0.6079801,-0.775009,-0.8446954,0.4690529,train,9.161415,1
36,0.014012597,0.62537116,-0.43404445,0.10938089,-0.3268207,0.45272484,0.59441346,0.5774354,-0.30857247,-0.19197571,0.37785012,0.7768953,-0.6085,-0.6329288,-0.063412234,0.28584677,0.2358024,-0.18417306,-0.9619988,-0.69060606,-0.4117624,-0.45612442,-0.60151505,-0.69706,-0.17417592,-0.8152515,-0.93133247,-0.64455485,0.47615978,0.26899242,0.6405194,-0.76520395,-0.7542109,-0.23164085,-0.2503112,-0.4646426,-0.8728124,-0.81291234,-0.9433566,-0.8099354,-0.5681763,0.23463853,-0.15556805,-0.3108882,-0.58613825,-0.773385,-0.7861234,0.18178944,train,9.42317,1
37,-0.030984893,0.6031287,-0.47002235,0.043154906,-0.43413496,0.42840108,0.5443922,0.5533733,-0.33415243,-0.23141536,0.33306223,0.76527387,-0.61399573,-0.6547837,-0.025460804,0.3582675,0.110105775,-0.17907012,-0.96037334,-0.712784,-0.38574794,-0.45706344,-0.68710035,-0.6417748,-0.17062919,-0.8050436,-0.94625455,-0.6527493,0.42455292,0.17188339,0.6357564,-0.7457213,-0.74323523,-0.2687726,-0.35263592,-0.41913188,-0.90521157,-0.6992958,-0.9660379,-0.79846025,-0.58490735,0.23487426,-0.14552684,-0.31927112,-0.6086874,-0.77751154,-0.8411255,0.121132635,train,9.684925,1
38,0.032190204,0.6040653,-0.4062814,-0.0034650227,-0.46063143,0.2950415,0.5474186,0.5897099,-0.35361353,-0.24625593,0.31777686,0.71473247,-0.6066416,-0.66373664,-0.08071848,0.36155778,0.18738452,-0.20836525,-0.96564454,-0.7686226,-0.36125228,-0.41233414,-0.7274736,-0.68993974,-0.18131244,-0.8288008,-0.9339161,-0.62422997,0.42570764,0.18860734,0.6170729,-0.7575599,-0.7184273,-0.22548099,-0.30826685,-0.40658084,-0.8769055,-0.6137628,-0.9121611,-0.8165116,-0.5221672,0.32254326,-0.058541246,-0.29206896,-0.6512899,-0.77934855,-0.818428,0.37377402,train,9.94668,1
39,-0.010101326,0.5768262,-0.44742614,0.053528797,-0.5383497,0.22126009,0.5287283,0.47714213,-0.31425276,-0.2120381,0.3005392,0.6941475,-0.69181037,-0.67115724,-0.010048069,0.46650675,-0.012435842,-0.2669636,-0.96655416,-0.75008184,-0.37625808,-0.44688815,-0.6435144,-0.64484674,-0.33504665,-0.8337426,-0.9314826,-0.6339931,0.30273825,0.07948365,0.65791667,-0.7431342,-0.73283976,-0.16389345,-0.36966276,-0.39966574,-0.88219196,-0.66860324,-0.9315312,-0.82972986,-0.41335446,0.37311143,-0.07955384,-0.21208706,-0.6272947,-0.8184045,-0.8013768,0.17268066,train,10.208434,1
