,AFDR,AIBL,AIBR,AQR,AVAL,AVAR,AVEL,AWBL,AWBR,BAGL,RIBL,RID,RIML,RIMR,RIS,RIVL,RIVR,RMEL,RMEV,SIBVL,SIBVR,SMDDR,SMDVL,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,train_test_label,time_in_seconds,tau
1449,-0.17729066609603614,-0.09061530797063226,-0.18899635068679949,-0.30312443445226034,-0.33425487165061696,-0.3542018265664977,-0.29101923529318313,-0.3530486690768443,-0.2304944007591007,-0.4256027007722859,-0.2750118890264044,-0.2701947780837749,-0.3947740610265964,-0.34972351149744646,-0.18116193060799768,-0.39370635769474027,-0.2827715426093741,-0.38052310692114844,-0.1911106754709489,-0.21977403654488914,-0.33956239340910127,-0.5100891737686529,-0.44120536026984414,-0.5777284773664988,-0.4059097216693172,-0.37234087863991483,-0.26547005354178477,-0.4330097905869182,-0.3131672772915257,-0.38201150618034907,-0.26004224938288556,train,395.5813953488372,1
1450,-0.1770184217694265,-0.13409178635907823,-0.234886181575198,-0.3301740693090986,-0.382996927026722,-0.39874349664186953,-0.3281432692375338,-0.3623901510951227,-0.2231599470914801,-0.4383423735631893,-0.2770087687599732,-0.2666723240463339,-0.44459420021324236,-0.3939434884098226,-0.16466937071087726,-0.4039743899595833,-0.2877710539699065,-0.37951025632396895,-0.18505104546518666,-0.21079051423041795,-0.34446245806993137,-0.5287541391244233,-0.45864138211542627,-0.6045588401964139,-0.4240537376449261,-0.41801603064809595,-0.29037510741716077,-0.4569749722839883,-0.34201197729030774,-0.39091709487297055,-0.2510635028150346,train,395.85439838220424,1
1451,-0.17750448684384096,-0.17462699187242392,-0.27909443227211916,-0.3442666711789728,-0.433749077092538,-0.44573431032328964,-0.3640611676493297,-0.36496228442839684,-0.20711158418040185,-0.44530598171933616,-0.26402282569579344,-0.24776099258280654,-0.4925541857621374,-0.42834291542442887,-0.13744985138681837,-0.405901240681592,-0.30211539779068947,-0.3709361456309418,-0.15527986593404927,-0.1824207510077372,-0.33315218671985514,-0.5336274665695336,-0.46397991432423225,-0.6078813967221908,-0.4409886349793817,-0.44873306225361836,-0.30794406844549466,-0.4776264099232251,-0.35386130238796154,-0.3863939142553984,-0.22033207008262629,train,396.1274014155713,1
1452,-0.1773435243214991,-0.21533296056356444,-0.300527841348108,-0.3534269807709354,-0.4580956364156672,-0.4775253255912011,-0.39152969725601344,-0.3699774255974518,-0.20019091484568743,-0.45726780210113993,-0.26771499948468275,-0.2587713237929055,-0.5142544975957108,-0.43740254043308563,-0.1416433191373212,-0.420711003056803,-0.31266920216314675,-0.36983118849307944,-0.15253194498102654,-0.17400002442284232,-0.33219158456327536,-0.5340871016313877,-0.4764541202420468,-0.6247041831908491,-0.4606263785752337,-0.4819938943948475,-0.34044758916434403,-0.5027983602740301,-0.3783921766640127,-0.3825605461636319,-0.2076555863083694,train,396.40040444893833,1
1453,-0.17327865336337112,-0.2379058294518303,-0.3251780459584509,-0.3608556814666978,-0.49113162849455577,-0.5027935512367466,-0.4190902635524566,-0.3807680921357143,-0.1897467884911338,-0.46707324937183936,-0.2725025621161412,-0.25378989428134685,-0.5337857161041447,-0.46121088788841164,-0.12222922435879108,-0.4403833110318212,-0.3244558253793699,-0.3754346848993308,-0.15615714582979492,-0.18166870712925004,-0.3472790678187885,-0.547893343104209,-0.5006324978189576,-0.6483729773457075,-0.4721805017858966,-0.5185981910069501,-0.3660383280885629,-0.5258931878521673,-0.3963421587766204,-0.39839205515166365,-0.2074575844950392,train,396.6734074823054,1
1454,-0.17941941506169817,-0.2525552482618878,-0.3444550620022149,-0.3587967654906583,-0.5115265391458804,-0.525721339638286,-0.4329603083496071,-0.3902021634332698,-0.18302577138933843,-0.4738803058389278,-0.2714062422595686,-0.24001228503828112,-0.5572185008200725,-0.48531316737207325,-0.10635166902334575,-0.4473525405947361,-0.33507937776939994,-0.37318675134834256,-0.14100912398107784,-0.17869506355108852,-0.3485431294201387,-0.5528432531070421,-0.51640611991321,-0.6503667935869554,-0.47563957571219817,-0.5272998617912149,-0.36038473239034713,-0.5288968020173427,-0.3968956663996126,-0.4029515867863569,-0.19711987718618507,train,396.94641051567237,1
1455,-0.1822835349355724,-0.24306492869652768,-0.3339588683370614,-0.3582988219480661,-0.4988643652943169,-0.514442396417453,-0.42438834431940575,-0.38928521975379154,-0.18193527346745247,-0.48154682883252287,-0.27703218753567516,-0.24355170375475407,-0.5415239432485798,-0.4647205119884698,-0.11240319607907354,-0.4497558847081831,-0.3362134009980687,-0.3753598915578043,-0.146585535527311,-0.18913551862179967,-0.35087616439227903,-0.5573029372327997,-0.5268432044429938,-0.6540033998711033,-0.47793411639872735,-0.5227626902405407,-0.3586590526524966,-0.5310993211387938,-0.3957848389490367,-0.405636980657162,-0.1982246030410142,train,397.2194135490394,1
1456,-0.18769893348468386,-0.21423196232329597,-0.3207651114738247,-0.34294153274569755,-0.4700575578107906,-0.4879694816240963,-0.41095602117150887,-0.397840797249205,-0.18604420531371657,-0.4800677852580808,-0.2860366637605377,-0.2352317468587102,-0.5080942012558818,-0.45763567651619114,-0.10562027593314215,-0.45410806758247935,-0.32810583834104917,-0.38593216111063894,-0.16151924415614102,-0.21281263932899985,-0.36966497163313294,-0.5574862231903271,-0.5374707124642646,-0.65485936939028,-0.46691217359369136,-0.504738082454802,-0.32463421060717107,-0.5128824801371648,-0.3760488848000344,-0.41112633037317475,-0.21088277960249902,train,397.49241658240646,1
1457,-0.1919985392930987,-0.18468987832180617,-0.2818611838385283,-0.33717482954724703,-0.4271684860975547,-0.4541802306600182,-0.37517156666014306,-0.40148156791723033,-0.1947009216318089,-0.4796662245914152,-0.30039380583314207,-0.24203424546113866,-0.4704524203258318,-0.4137081566934664,-0.1300032318107037,-0.4513829050882141,-0.3221653045561865,-0.39561145968710354,-0.1764823352453222,-0.23570801153067744,-0.37435436640226455,-0.5533754977240791,-0.5358594697570946,-0.6570163938230404,-0.4564672629010361,-0.4869025795621349,-0.31163358641196237,-0.4973795291824688,-0.37306187645851235,-0.4142697419263411,-0.22759184058115692,train,397.7654196157735,1
1458,-0.18729306442212004,-0.1290571184062627,-0.23532122401535846,-0.3341101717144643,-0.37337196404900047,-0.3914608964192158,-0.33637518524815013,-0.40329049094847375,-0.21620880083155802,-0.48337093895738326,-0.3200929034718285,-0.25145630554787735,-0.4094795925560867,-0.37740910708589914,-0.1537073457661892,-0.4514591613361955,-0.31260250796424444,-0.4189736241505454,-0.22530648969300554,-0.28124280500924764,-0.3960440725959626,-0.5616089721097094,-0.5434853047325224,-0.6647758612173849,-0.44499020286208485,-0.4744752105508405,-0.2947583872749971,-0.4849830107795131,-0.36358666601293044,-0.44095261604101765,-0.2689324276843951,train,398.03842264914056,1
1459,-0.17951688060184195,-0.07849877822824174,-0.1891364817485178,-0.32837821386026367,-0.3231912115667773,-0.3485395443636138,-0.2915407885621112,-0.4075357301266966,-0.23403851251251548,-0.48528213287883115,-0.3343893611055293,-0.2592523237608403,-0.361051685885619,-0.3513591791880298,-0.1898420359841359,-0.44789555885336546,-0.3028897248739283,-0.43554462317236886,-0.2585314154605426,-0.3112087798567367,-0.41479591139705574,-0.5589249352335351,-0.5436087816818223,-0.666696825791298,-0.43331766842905395,-0.4473029838658084,-0.26919869430336585,-0.46167264114332135,-0.34417606380338683,-0.45247017169494796,-0.2989529727141833,train,398.3114256825076,1
1460,-0.1833099339543664,-0.03660864442581976,-0.13319242810531579,-0.3280960197329707,-0.2719947727557084,-0.3014281866759489,-0.24544621858117233,-0.4086879290866767,-0.25824983546470076,-0.4923612112918912,-0.3598211770905289,-0.28373297691076405,-0.30525608472522675,-0.2860235118818971,-0.22695444812634527,-0.4544653352646836,-0.310470104058164,-0.442546621629233,-0.296719971576799,-0.3502737557318416,-0.4078274395190169,-0.5571357153684755,-0.5421251263181767,-0.6727403695958559,-0.43789304017171626,-0.42542644486714687,-0.2743303174833582,-0.45322410356064213,-0.33960760136523827,-0.47012545909703496,-0.33075348364150153,train,398.5844287158746,1
