,ADLL,AIBL,ALA,AS1,ASIL,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVEL,AVER,AWCL,BAGL,BAGR,DA1,DB1,OLQDL,RIBL,RIBR,RID,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVL,SABVR,SMDDL,SMDDR,SMDVL,URADL,URADR,URAVL,URAVR,URXR,URYDL,URYDR,VB1,VB2,train_test_label,time_in_seconds,tau
1560,-0.015016649339961899,-0.8477387496489023,-0.41801701659229046,-0.39065743932626534,-0.11191972241859538,-0.2752987214181707,-0.49809442460784104,-0.39953415095745515,-0.2654453533284597,-0.8322647953289564,-0.9090981070076551,-0.771430711695448,-0.8014881515070098,-0.43639084266138417,-0.7636644988338723,-0.8173456111814346,-0.6779389777874384,-0.611898555160095,-0.5142033011357248,-0.39933639418419054,-0.28067288551363045,-0.5740092518652246,-0.31447863452987274,-0.24175561005490734,-0.8457409483873127,-0.8192284329296803,-0.5569085704377157,-0.7067442816147359,-0.5229366866470507,-0.20432069727028898,-0.3165365263237662,-0.5475489399079525,-0.18836554054413723,-0.6637400825463032,-0.5294372564701414,-0.6270775144123184,-0.6780447769993552,-0.6746419803540571,-0.7306959564951608,-0.7986938229566843,-0.7072883443770749,-0.553810898285816,-0.8475830967753573,-0.7095521142281529,-0.42657232354078534,-0.3138651099870904,-0.5768100232517129,-0.4488779978148434,test,712.0879120879121,1
1561,-0.010358061227164844,-0.8269805638889579,-0.41221806321775484,-0.39128168063507873,-0.10333749055407768,-0.2670356766019777,-0.4968243265439486,-0.40443118029605973,-0.2448813422333937,-0.8304977136965478,-0.9135134438527486,-0.7710417143836101,-0.7968844581172434,-0.42718899485240325,-0.7534122303227692,-0.8146572878420957,-0.661433801776996,-0.6036104311707463,-0.4991108751588546,-0.39903212086630135,-0.27412343238817993,-0.5780939476283122,-0.3251636944785493,-0.24066558076929964,-0.8366796034176132,-0.8161640703188545,-0.5668898795847286,-0.719841810225436,-0.5266166988162214,-0.20789737653711102,-0.31896848542871814,-0.5378911226739955,-0.18696377061696445,-0.6626743061419873,-0.5249614633472369,-0.6179410977539678,-0.6889697952969919,-0.6763952269203727,-0.7406783993394679,-0.7935447262504672,-0.7099573401889337,-0.5516208283086411,-0.8502714539998977,-0.7237039988145723,-0.43617386242361467,-0.3209733881621937,-0.5652643350800195,-0.4430757065903258,test,712.5443786982249,1
1562,-0.01633184690859811,-0.8099254225590118,-0.4062777796431005,-0.3881440265479586,-0.09521084557573631,-0.26485401787192187,-0.4852213450985382,-0.3977696186856232,-0.22004576164804673,-0.8362509813843747,-0.913238788877851,-0.7650180143713536,-0.7876264570614455,-0.4172176980895683,-0.7371320193453749,-0.8006883190401778,-0.6622760089393768,-0.5888252607681904,-0.4910286365233864,-0.3988553709436913,-0.2647055425588324,-0.5635257159441007,-0.32976405777976814,-0.22978772626170912,-0.8325194115086371,-0.8050720606809563,-0.5631618003441841,-0.7030739350245281,-0.518284502705995,-0.2104983435026903,-0.3268608199453731,-0.5380878756052202,-0.1831224108293681,-0.6609360452322306,-0.5270568256702967,-0.6119373002580307,-0.6846375769307491,-0.6795856976238239,-0.7351993242944996,-0.7905616159811196,-0.701842254026295,-0.5580484292954274,-0.8440046285352168,-0.716509324670444,-0.42898065038218625,-0.312964098217756,-0.5664216892909517,-0.4379800524511347,test,713.0008453085377,1
1563,-0.015152946470832165,-0.8248457731319133,-0.3978509250374485,-0.39462452087193106,-0.09608642892535346,-0.26296956718892756,-0.4856010551771849,-0.40176132120870545,-0.22593353821222673,-0.8439148531976206,-0.9317123385054349,-0.7705626796973803,-0.7929150419864981,-0.42624008078753517,-0.7339851818132656,-0.7953238893001247,-0.6688031908720142,-0.5961656112532179,-0.49928176487227904,-0.39983846320465044,-0.2620140611073786,-0.5633770324334582,-0.3345588646607052,-0.2362887589953807,-0.832882126372038,-0.8141834935730222,-0.5562972357342739,-0.7114824426579738,-0.5381198188235149,-0.19943676386546538,-0.32609235979621365,-0.5347479531364485,-0.17437988821507094,-0.6600946739347684,-0.5242235061235875,-0.6134115111857472,-0.6887619902872677,-0.6826516836065657,-0.7456345320849065,-0.7980061737662358,-0.7135510747388437,-0.5636132958492917,-0.8568944086622354,-0.7197731435334503,-0.4464821163222006,-0.3251441339936483,-0.5750250226040933,-0.43980856199973006,test,713.4573119188505,1
1564,-0.00960678660237077,-0.8247969145285389,-0.3913134016507124,-0.39329249129029276,-0.10127363707271005,-0.26547246488180365,-0.46957920334562775,-0.39819604541474224,-0.2190009946504735,-0.838839387584494,-0.9159305552231642,-0.7662176209830565,-0.7919600160908482,-0.42695820935181816,-0.7235225518581315,-0.778680417154833,-0.6790224827261183,-0.58591236177436,-0.5021151949608257,-0.39990253870444614,-0.26272027479685633,-0.5628468514056011,-0.3211726656495879,-0.20962549996990773,-0.8377384162279669,-0.8116887907267267,-0.553835844620294,-0.7107303261989684,-0.5227164307839915,-0.20666749612296725,-0.3321314713790421,-0.5372848659272228,-0.17706361903087042,-0.6651886793337116,-0.5199679004337622,-0.6180078711449216,-0.6832467504986051,-0.6941977993317812,-0.7376122143011072,-0.7989684760026322,-0.7116082240642978,-0.5669538937163451,-0.844750413414422,-0.7140946457410208,-0.4324727099965656,-0.3115988061172841,-0.5754252982082617,-0.4364117871569503,test,713.9137785291632,1
1565,-0.015314039779681765,-0.8203634311484704,-0.39672694035405276,-0.3828983258680347,-0.10676930834321768,-0.26184264128766843,-0.46716921460540806,-0.3984339656043963,-0.21857468776442196,-0.8330182411640844,-0.9210326153545818,-0.769249217738804,-0.7952601969470048,-0.4249258992733062,-0.7182510066829857,-0.7785401957454162,-0.673799300125429,-0.5799461466419007,-0.4978390869434236,-0.38719426000710144,-0.25337987939606954,-0.5648031769629034,-0.3254921437663037,-0.21278469869172256,-0.8324979533389443,-0.8093863818401387,-0.5545058291688775,-0.7149949919184788,-0.5215544446681865,-0.1991004995342031,-0.329183186546642,-0.5222566679840773,-0.15393797493034128,-0.6610678885503403,-0.5082720042247075,-0.6138884095760658,-0.681246686321842,-0.6819375634194321,-0.7366903304026942,-0.7847057312785051,-0.7052432390901302,-0.5587250217154995,-0.8349780493258455,-0.7092928416012488,-0.43326953668673174,-0.30788862639869685,-0.5618252695012164,-0.43480385829142626,test,714.370245139476,1
1566,-0.016560571309580066,-0.8261097607759007,-0.37771243762801704,-0.3914107068452333,-0.10666327663142942,-0.26602750008045956,-0.4675928541160319,-0.3951627558067441,-0.21201417556801105,-0.8417912114047669,-0.9318784034740504,-0.7741702368939769,-0.8025322786641826,-0.4195484927388863,-0.7138078893028136,-0.7716257961697001,-0.6657294427626599,-0.5799710740307183,-0.5023631595263188,-0.374228955113007,-0.23449568343365493,-0.5582828980995111,-0.3168881053787501,-0.21540797930799638,-0.8322276475102143,-0.8186695418861625,-0.5567239581823884,-0.7173918884595978,-0.5238264471492434,-0.18554012297896463,-0.31571289360344745,-0.49971784112737666,-0.14226650446883354,-0.6607526793576389,-0.5062952742963283,-0.6086800309544058,-0.6847770879443641,-0.6738783895736145,-0.7382144290509992,-0.7773850182418696,-0.706203654334819,-0.5572872243171785,-0.8333252073222112,-0.7177601976518223,-0.4362051307237802,-0.3206385241709533,-0.5423893008524421,-0.41390811762876484,test,714.8267117497887,1
1567,-0.014072343800980089,-0.8169075561045565,-0.3801759603465485,-0.3838032670720403,-0.10839431237490252,-0.26209488793829955,-0.4614999964481914,-0.39552295844352925,-0.20804882613304404,-0.8263620629292953,-0.9217935850775423,-0.7622927022630837,-0.8000145312250921,-0.4156117283788093,-0.709196051793185,-0.7680777716165397,-0.6734509165805979,-0.5745772476664077,-0.5039897807240514,-0.3855689109912529,-0.24725621273453663,-0.5655150376401138,-0.3123655245550237,-0.20549326472562282,-0.8306132617987501,-0.8214752238996599,-0.5480935528043871,-0.7189215204269789,-0.5180038032069672,-0.19797902165673092,-0.32944476723556904,-0.514697688474773,-0.15521707785659103,-0.6620716887228338,-0.502985872470546,-0.598183744161971,-0.6860842048855629,-0.6810049918543148,-0.7439411167390392,-0.784234790127878,-0.709035990813664,-0.5576418801911852,-0.8273607042002545,-0.7237813078722692,-0.4245581047017185,-0.3112624975989796,-0.5579915665157182,-0.42135523291822796,test,715.2831783601015,1
1568,-0.009366228026318563,-0.8131037056883565,-0.3755392595063284,-0.3844983074383556,-0.10701873343473739,-0.262874586371487,-0.4551697715183035,-0.3850180891089108,-0.19295784915966385,-0.8273761266489428,-0.9298263143526815,-0.7653283052344761,-0.7948585268346129,-0.41561333692949703,-0.7006815303634223,-0.7537126964703551,-0.6691656934077475,-0.569162426279483,-0.4991647528829671,-0.3851912672213187,-0.24223772527123502,-0.562453517792156,-0.3086278823804553,-0.20660851897786062,-0.8310363831130577,-0.8148707878999857,-0.5473855149556661,-0.724295540767679,-0.5228494541402582,-0.188930642080068,-0.3262274792579114,-0.5021975888051553,-0.15055448265512072,-0.6638656490972391,-0.503945488869042,-0.5988771047724648,-0.6807563711754562,-0.6842294165526657,-0.7511567875914872,-0.781701903264591,-0.7000169822931054,-0.5633036417300102,-0.824017373448745,-0.7205810781000889,-0.425866359433695,-0.31146092684412496,-0.5497270059574493,-0.41829008229088294,test,715.7396449704142,1
1569,-0.005625079916264986,-0.8141088064158339,-0.37795063224939707,-0.3845915745793698,-0.11643671387615809,-0.26330414372586824,-0.45130931949975694,-0.38833658184491593,-0.2050955554478951,-0.8270772319514225,-0.9268682088629943,-0.7670966812448956,-0.7974501655880049,-0.41717782118665403,-0.7058256852200265,-0.7613642405462875,-0.670308561853999,-0.5712126027123205,-0.49566070185021843,-0.38431820983561327,-0.23756968048412777,-0.5697692778183172,-0.30873832760555237,-0.2039675809464702,-0.8310979039556867,-0.8209478233762625,-0.5512638658230247,-0.730606123611705,-0.5250848197093472,-0.1940313882551972,-0.32968355796202764,-0.5093150018166461,-0.15979621860505872,-0.6629803078695835,-0.5080839558965379,-0.6055449284909753,-0.6875596067468083,-0.6851855091539457,-0.7432589225107538,-0.7895851690794898,-0.711701708289813,-0.5611776046791264,-0.8270139265227112,-0.7216780681571837,-0.42452580181326494,-0.31782498933557407,-0.5535380709270875,-0.4234860526304398,test,716.196111580727,1
1570,-0.001863079994636599,-0.8240435525852498,-0.3640168498803686,-0.3978139946373241,-0.11541534666545607,-0.2629435031051989,-0.4525707549872371,-0.38919538475241205,-0.18936407821129436,-0.8314475076941658,-0.9283137665724839,-0.7687074552414186,-0.7993930746222073,-0.4157672469413701,-0.7021073908427344,-0.7531788609036113,-0.6695857009012363,-0.5679138500520429,-0.504791806194179,-0.37591195448539794,-0.23302347805019646,-0.5657137561425981,-0.30874271728732994,-0.20075617071813393,-0.836924122809593,-0.8219267650353659,-0.5514239061847385,-0.7262936827478792,-0.5228705085283881,-0.18691212480182465,-0.32649196348387644,-0.4974490188406362,-0.15189730066133414,-0.6682335173843427,-0.5031220447545834,-0.6015493425413274,-0.681509586403396,-0.6912579505774763,-0.7440740282669712,-0.7786695867857522,-0.7064146905298403,-0.567987884381498,-0.829566009562822,-0.7228513605255488,-0.4337830328451848,-0.32059777338804923,-0.5484225626791075,-0.4191300558271433,test,716.6525781910398,1
1571,0.0006407892521194808,-0.8232125067673087,-0.3779869389387702,-0.4012021377301273,-0.11469909790311193,-0.2603573408362399,-0.4620615332505882,-0.38876756635955534,-0.19975057221928133,-0.8369440221551405,-0.929555800050736,-0.7779970991438003,-0.796462049108994,-0.42615929816393233,-0.7131000585688053,-0.7658031455208417,-0.6754858841563895,-0.5732845532900337,-0.4941201837844162,-0.38235504740594606,-0.24955123375434715,-0.5625681863493082,-0.3061132841239368,-0.21404987072455003,-0.8307796098073583,-0.829302747853848,-0.5436733856775342,-0.723334175397974,-0.5368718397013518,-0.19033384629185268,-0.3265624813747317,-0.5142520767055827,-0.15976340335832628,-0.669938751018634,-0.504722617398679,-0.611382426949735,-0.687512187500412,-0.6938929124022436,-0.7510288464458568,-0.7906407858383706,-0.7107555983581175,-0.5654610397543155,-0.8342548915004077,-0.7247359245380173,-0.44131448997925393,-0.31669446821732583,-0.5497361031796103,-0.4236699412825897,test,717.1090448013525,1
1572,-0.00698560004241322,-0.8224312511891693,-0.38841170698347527,-0.40391758966334396,-0.11964304501154474,-0.26277181827723173,-0.47014302565292043,-0.38358924066095845,-0.20915190050679539,-0.8276593562878817,-0.9127121742833879,-0.7686559061152853,-0.79113327880335,-0.4232609837725665,-0.7202937093911125,-0.7660240045147177,-0.6663205000544161,-0.5813192231834761,-0.4954368822545845,-0.3908079121370013,-0.2542341803174929,-0.5695722598992073,-0.3066423205311591,-0.2105476293423243,-0.8384680947540613,-0.8275109562506262,-0.5467219623788664,-0.7215336936836743,-0.5209379518065377,-0.19979774282130272,-0.3289391399126237,-0.5181384764394769,-0.16757458609506062,-0.6651987872003624,-0.5020942044114982,-0.6123430601789401,-0.6877914562302196,-0.6905283136743945,-0.7336926434048152,-0.7863934046046859,-0.7151340302174723,-0.5498785498322858,-0.8252486749565128,-0.7252651512956598,-0.4264641839012111,-0.3082671549650575,-0.5420003911817799,-0.4206542106860673,test,717.5655114116653,1
1573,-0.005773225458210712,-0.8156630294286055,-0.37977517792065213,-0.4033094806242942,-0.12445596398164137,-0.25458095743642356,-0.4537685518864192,-0.39196529139138364,-0.19635084691321292,-0.8344273932887012,-0.9078420121994848,-0.7684859616373263,-0.7865976944300761,-0.4185808387529179,-0.7139662983452199,-0.765312487333856,-0.6526311864754213,-0.5717528305266086,-0.4834725890885147,-0.3915294714661278,-0.24311919027492448,-0.5641121025506268,-0.3213452366327046,-0.19151544054457512,-0.8327050236053493,-0.8146540301975951,-0.555110850342178,-0.715701067537639,-0.5153504781732504,-0.21176371351083617,-0.34579465562725653,-0.5259693250592544,-0.15996054749247457,-0.6658901692797478,-0.49454743157719605,-0.6012105323096896,-0.70052970194112,-0.6998391935821121,-0.7299647368599324,-0.77914084093416,-0.7269556042009696,-0.5592678578954987,-0.8338169323831619,-0.7255407044964736,-0.4422530045056273,-0.3138591055572454,-0.5446707527863632,-0.41908674616618374,test,718.021978021978,1
