,AFDR,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,AWBL,AWBR,BAGL,BAGR,CEPDL,CEPDR,DB1,DB2,OLQDR,OLQVR,RIBL,RIBR,RID,RIFR,RIML,RIMR,RIVL,RIVR,RMDVL,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB1,VB2,VD2,train_test_label,time_in_seconds,tau
1687,-0.15944747781327467,0.08520266528310039,-0.01463610548921751,-0.035444031855059344,-0.13122688086941642,-0.25952153707964276,-0.09055025030431085,-0.06928172858573084,-0.5694030284776962,-0.38164720896911947,-0.06894630328065367,-0.19393391930303552,-0.2199915031656101,-0.1911255712931842,-0.11481499017540345,-0.025097249669800537,-0.023966838402251486,0.13020706104141336,-0.14545969238501183,-0.17048105666396832,-0.5426791965517639,-0.5250928954377505,-0.1027077475523169,-0.31410281595041867,-0.5109178633549756,-0.33926519225971397,-0.1462609307443078,-0.016594135372311317,-0.31522634166964036,-0.2492850780362802,-0.42956994365144086,-0.5247273128913956,0.035983335418312605,-0.4536539186957838,-0.5253964850177184,-0.4634237501739409,-0.5202064935539196,-0.7770048604015354,-0.7048221623314119,-0.5954717067415095,-0.5261951772100641,-0.3072910987578753,-0.2630128763965286,-0.2700200756265557,-0.3241102826391675,-0.7214656218263482,-0.571938981292371,-0.0945215449079839,test,1032.5378670788252,1
1688,-0.15598149016707574,0.08736491924723316,-0.012224211881859876,-0.04572624342652919,-0.13374153243723758,-0.25290177973039163,-0.0884197472118306,-0.06451232230033425,-0.5655406680635978,-0.37656573207917177,-0.06118237932948962,-0.19871412180907377,-0.21704228603026618,-0.1821707242417887,-0.11133886309706183,-0.03101949436836185,-0.026323708560626526,0.13918795571314999,-0.1427533236710325,-0.16656410995305249,-0.5524947492051012,-0.5261735719451288,-0.10873446335709037,-0.30617358285637775,-0.5144005391615223,-0.34087182169735075,-0.14726437457467093,-0.019228824789431373,-0.30880813723405925,-0.2424503151811983,-0.4244486145787888,-0.52134593950388,0.030360737024729554,-0.45175956723215654,-0.5244644269282831,-0.4704340472190921,-0.5131659493230684,-0.7689441244367037,-0.7104189296196146,-0.5951922614027951,-0.5272855634546778,-0.31265041125606646,-0.2543362522091521,-0.2684552193887577,-0.3172553037714293,-0.7104849901196548,-0.5670050812239485,-0.09649431680803303,test,1033.1499227202473,1
1689,-0.16275595741220278,0.0839366207134977,-0.019263135424187533,-0.04205886845067696,-0.13459538686667788,-0.2465822007075726,-0.0917670796107231,-0.06883970673063039,-0.5616469542383679,-0.37922479524632413,-0.06469422163592015,-0.20678415591672372,-0.2163907533185143,-0.1796003688098021,-0.1103735415970197,-0.03372839146025679,-0.02543936807498809,0.13314231983246902,-0.1446758275448745,-0.16608940621517154,-0.5523339580804498,-0.5279011352663274,-0.11069298353756067,-0.3063605763401059,-0.5119435668360798,-0.33618245716814554,-0.14621652407848246,-0.024292891451102736,-0.32114921722321005,-0.2464316318948544,-0.4179640880833869,-0.517197746130557,0.03101912808505027,-0.44262261696316374,-0.5205132445513415,-0.4719063389034548,-0.5126338278246345,-0.7632607623014867,-0.7137498129576925,-0.5942047437591926,-0.5326708901488912,-0.3125455318237794,-0.25569807409706885,-0.27188455982515836,-0.3204581307520207,-0.7113532567263025,-0.5624069429826832,-0.09780038924185663,test,1033.7619783616692,1
1690,-0.1721482546510959,0.06498987657078478,-0.03777802516167285,-0.030865569636920047,-0.13767286443679483,-0.24530664705946822,-0.11654652799673718,-0.092612863300033,-0.5563188030584965,-0.3788344309580082,-0.08945790346609167,-0.22239538366990877,-0.23404153204309397,-0.1794853079403217,-0.10896711276150087,-0.0382153858216283,-0.028539967092743854,0.12380211416426726,-0.14402533561103256,-0.17428729809325724,-0.5528278540987202,-0.5431944816193828,-0.11992353844301909,-0.3173147827078959,-0.49743924598690803,-0.33240419896877016,-0.14015295841131548,-0.021972373234192558,-0.3473968584813273,-0.2614671763876572,-0.41500299041101796,-0.5175189386223454,0.03575897888835797,-0.43295756557461934,-0.5110695093216077,-0.4598238676397561,-0.5041389782127014,-0.7681861438806787,-0.7179233546147611,-0.5977109780801655,-0.5364405069246994,-0.32917135441783185,-0.27280859897455195,-0.28856960875318105,-0.3454860028167568,-0.7143898278124367,-0.5650489997292593,-0.09667714773239902,test,1034.374034003091,1
1691,-0.16786586510132712,0.024296101711876635,-0.0787880807690843,-0.019034560356691314,-0.1440342555123908,-0.23829282390013043,-0.15188514904127426,-0.14095223895737521,-0.543793915271904,-0.3735826982235121,-0.13864375341837765,-0.2487063432705881,-0.2539202022733296,-0.17515548899491287,-0.10543729321507617,-0.04411345261699462,-0.03486763678606082,0.1073262181792074,-0.15133061230060085,-0.19165692147142327,-0.5466730690373797,-0.554327392286587,-0.126174072783125,-0.32888444448862375,-0.4832233526565739,-0.3190889166252963,-0.137942494329487,-0.02240032272274607,-0.3815316457107142,-0.2917604222471792,-0.4143477879184886,-0.5197057329468411,0.033365938564363325,-0.4202985600014783,-0.5025496544519376,-0.4557119339844662,-0.4866132775083497,-0.7872128373321036,-0.7096438126997546,-0.6075972033791828,-0.5464799253122529,-0.3462054479255493,-0.29488294565873685,-0.31394001766387647,-0.3806068589829975,-0.7182299157999783,-0.5707590876252937,-0.09970857072034203,test,1034.9860896445132,1
1692,-0.17344551414045062,-0.013447766989249547,-0.09895773581734157,-0.009680418022012518,-0.14785776791766025,-0.2410930658667218,-0.1878009310378845,-0.1710837816505289,-0.5444046217470967,-0.3799804372886719,-0.17400892003401994,-0.2851093342645998,-0.2595911753837382,-0.17014649572124602,-0.10213913452145419,-0.04528595384315917,-0.04274659717600951,0.09542659309559903,-0.16361244044819284,-0.19531943211758568,-0.5511924648933889,-0.5581095119795518,-0.13698894075708837,-0.34041690783129297,-0.47299220865230074,-0.310807949020934,-0.14053591293330636,-0.02264965860632602,-0.4124495407923088,-0.3157462629442479,-0.4169781197731897,-0.5271463740487465,0.0323728738224489,-0.4222984396467343,-0.4946785958845584,-0.44244496503619135,-0.4794288586793743,-0.8050916779789509,-0.7178468085775337,-0.6057480732634813,-0.5540370341422161,-0.34923836472543845,-0.3109821604769218,-0.3314781582128776,-0.4121308083881112,-0.7234438051178651,-0.576522623123596,-0.10840779265585904,test,1035.598145285935,1
1693,-0.17387770233320543,-0.052222976132428364,-0.12556920267043367,-0.002705399512065474,-0.1498069146303212,-0.23492662376024534,-0.2230642451924634,-0.2151491148443351,-0.5410973685471625,-0.38173304478149706,-0.2144582307573095,-0.31720842344098943,-0.26690046526716965,-0.16500676482086668,-0.0995627620444574,-0.04652668266981447,-0.05418634544298754,0.0872206114017876,-0.1766112528276393,-0.1981807488862823,-0.5555853550305495,-0.5640416082433348,-0.1526674438151956,-0.34970281589914154,-0.46638972788725364,-0.30392032077214026,-0.14616269398012421,-0.025780575452338153,-0.4480419306849608,-0.3411238088432931,-0.4196167825514948,-0.5319150577804196,0.020186799237397374,-0.4153374110269537,-0.4907019376717321,-0.4353687242008605,-0.465765534666179,-0.8287340792054458,-0.719238813634968,-0.6114909721747634,-0.5630904144328501,-0.3534267394481342,-0.3375717214003685,-0.3503024046604711,-0.4441469621795956,-0.720645621385605,-0.5772740570023213,-0.11395962321589276,test,1036.210200927357,1
1694,-0.1631761456824609,-0.1154912809656273,-0.19018134871040612,0.022930579053439017,-0.16983201311920829,-0.23429476965645185,-0.283580980398293,-0.27674616108226335,-0.5138005273319524,-0.3719033589248173,-0.28004298468466426,-0.33941770558604095,-0.2892854625823323,-0.1709235765106941,-0.09118620925038996,-0.058909097338315786,-0.06408442381777656,0.07025332443102748,-0.17291050458552187,-0.20932797406226064,-0.5387211632516182,-0.5648750117018244,-0.18093471152835394,-0.3562652963594668,-0.43269763613603324,-0.28387069453449626,-0.14181918256636858,-0.025909158625652712,-0.501896617829567,-0.39304807879365666,-0.4250996330835627,-0.5213902047597323,0.031726869846749974,-0.3936212075637329,-0.457604751046931,-0.4055561180412844,-0.4393498159290614,-0.8308047729454696,-0.7210355916706694,-0.6175956456163658,-0.5775181692939277,-0.3971935277266,-0.3759740600576149,-0.3739141142832981,-0.48721598034214986,-0.719296982038883,-0.5658596213138972,-0.1278056869207659,test,1036.822256568779,1
1695,-0.17278663107707248,-0.18136360772219157,-0.2253461710445982,0.02490601167079006,-0.18170027313337608,-0.2446188103216263,-0.3392882299295248,-0.32640274324093466,-0.49804803030879047,-0.3788740747181308,-0.32873340396577677,-0.3828720398688434,-0.30513859475023536,-0.16128177275743386,-0.08224764652092609,-0.06646084763533061,-0.07126515877510955,0.04651866747316613,-0.18981638801463913,-0.2271933100290799,-0.5473647238254804,-0.5640560772593539,-0.20125688932473396,-0.37466004792158153,-0.42411336158426005,-0.2696392683529165,-0.1395357245955189,-0.022834889929876354,-0.542754348980867,-0.4213175209484402,-0.4353164585958493,-0.5297667582237953,0.03332066481649618,-0.38317236695341583,-0.4346900063582043,-0.3783174814817911,-0.41354624059221445,-0.8439276550669683,-0.7296173448195301,-0.6246758392022669,-0.5937905511884287,-0.4070859533581538,-0.3996564313532994,-0.3949263868011763,-0.5225149527496544,-0.7176673668077784,-0.5587613653368135,-0.13300689317432351,test,1037.434312210201,1
1696,-0.17934448411204415,-0.2469604326879589,-0.26672182957611296,0.027678041654887277,-0.1925540078272768,-0.25453882674051076,-0.3996736886350917,-0.38968086608933983,-0.5025204202897389,-0.3911773472876244,-0.3821840606822566,-0.4361004432993677,-0.33071327616447294,-0.15402207590034248,-0.07769905568605429,-0.07624795676739017,-0.07296671276576383,0.026824858529610716,-0.20902032937631504,-0.24819823916149777,-0.5581056032547409,-0.5646780366452047,-0.21830052927918053,-0.3985441605253451,-0.4196350190705629,-0.25718981962707504,-0.13690397629626294,-0.027387354770616268,-0.5878869807316153,-0.45473722540578854,-0.45172523782531027,-0.5504802010343828,0.019035181045005026,-0.36327733296554254,-0.41687926160559996,-0.3657981302918899,-0.392862968827014,-0.8661205299789506,-0.7477100149851101,-0.6334315219907283,-0.6103982478909429,-0.4206792916712243,-0.43126217238737574,-0.42122644806743903,-0.5654124926634087,-0.7239457875169726,-0.5484700315883736,-0.13603749945786567,test,1038.0463678516228,1
1697,-0.17810768762427565,-0.31283897152261453,-0.3024357469720198,0.03173095581880059,-0.2055312979865069,-0.249943366785785,-0.45128612044113137,-0.4385480663506514,-0.4800873039253303,-0.3894144772208032,-0.42178390479857114,-0.4787554093674907,-0.34316186903365714,-0.14568157991493286,-0.07429401132581899,-0.07786835031079467,-0.0817270310797809,0.012583208926023402,-0.22631693215728804,-0.25174403014761104,-0.5700508576902468,-0.5562421758828735,-0.2409157187982829,-0.40850378079878535,-0.398285601260991,-0.24551752458329895,-0.13575052445025526,-0.043465814040762704,-0.6199044019564641,-0.4885809022944124,-0.46598906597039125,-0.5645357546274999,0.010390808829005262,-0.34751000860320835,-0.3916126366117587,-0.3419232837613173,-0.3583956205938604,-0.8802128069912738,-0.753573406890945,-0.6338052410613313,-0.6235943246934443,-0.4380418845490419,-0.4559452853437542,-0.44327071824715614,-0.5917904728041036,-0.7150206317129175,-0.5309767137431383,-0.1446375197303675,test,1038.658423493045,1
1698,-0.18371826312461548,-0.36782612128622955,-0.33367169216847015,0.024643806030277153,-0.21384732493616335,-0.25563932624970875,-0.49714016511512726,-0.4873562288926377,-0.4774365955512998,-0.3982046907617634,-0.4671000632664904,-0.5197195427304376,-0.3582372713038756,-0.14048778360440514,-0.0684240498595338,-0.08395013503171556,-0.08492808774703009,-0.007465585406211499,-0.24328216923566953,-0.26562794445988,-0.5788659998861971,-0.5492575195917151,-0.24762886665727396,-0.4346513499805724,-0.39302963790520845,-0.2334625816831534,-0.13406628849305605,-0.051493650022477105,-0.6536178519358419,-0.5162582394071414,-0.48624032164756203,-0.5812182641769877,-0.007665968806776745,-0.32910301643626827,-0.38563289320042693,-0.3297904593862573,-0.3335264929347128,-0.8980108163419072,-0.7634014895162025,-0.640772310008514,-0.6347572554951194,-0.44791537949643756,-0.4755416877020433,-0.46383715289877103,-0.6197313054132237,-0.7155520660851604,-0.5196804166283724,-0.1462644860763741,test,1039.2704791344668,1
1699,-0.1858378397423704,-0.4206561997863419,-0.37698036484257264,0.031520991447264196,-0.22262280477049984,-0.2457451693481665,-0.5491859224112042,-0.5326570750749685,-0.4438189165183156,-0.38384876434733434,-0.5088863862592321,-0.5641761430795407,-0.37738025543072423,-0.13955903839553876,-0.06751442837779935,-0.08798402129458757,-0.09049085796358539,-0.009835515399398219,-0.24812364183932167,-0.26789426020926915,-0.580772403255557,-0.5517996719754564,-0.27335716420682826,-0.45246922028474723,-0.3584514918865682,-0.22736737747479072,-0.14290585680545678,-0.0647219211024878,-0.6998435508607109,-0.5621663752067528,-0.497629105770362,-0.5948768211819332,-0.013036133230889181,-0.3087359636615406,-0.3492666770475219,-0.29875677880527923,-0.293336780420986,-0.9027402444094124,-0.7691633969834395,-0.6397956722811764,-0.6474351706480415,-0.485059399251925,-0.4976508920221149,-0.49148521457126826,-0.6518605912850933,-0.6992570846746832,-0.5011415407987336,-0.16255458107537518,test,1039.8825347758886,1
1700,-0.18959320524257955,-0.47555272432814855,-0.41575630500498906,0.0312608545924893,-0.238198950139492,-0.2347731338780042,-0.5942542844494241,-0.5802009731837956,-0.4125121063811832,-0.38674066608140867,-0.5422534291290709,-0.5840335186841401,-0.3920068344680389,-0.1324930062971237,-0.060474627865738685,-0.09302956372010075,-0.09387454847049649,-0.022106659034566885,-0.2485635920001092,-0.277221740861132,-0.5820800354775935,-0.5389307982073381,-0.29035894997631617,-0.46357475751290506,-0.3447574891840688,-0.21067722133261482,-0.13573619805800452,-0.08086520569060478,-0.7314137480751063,-0.5849398622995077,-0.5154792512419405,-0.601530261280256,-0.024981038961557567,-0.2727256299588392,-0.3296163966096677,-0.2776144575082088,-0.2462307558236757,-0.9006677733728274,-0.7757141929752209,-0.6428342639376294,-0.6568340099917676,-0.5135343020517297,-0.5121934473081773,-0.5096210387386706,-0.6715534976946071,-0.6899948670228973,-0.480227347195909,-0.1685515034176,test,1040.4945904173107,1
1701,-0.1750327970443152,-0.5310283575202979,-0.4656640537799991,0.03653258723675129,-0.26041764634354697,-0.24511234924124278,-0.6417902789269537,-0.6241082276893102,-0.39955254466868817,-0.38334942467384464,-0.5916577791693494,-0.6078664305695748,-0.41009969550746267,-0.12698442370533233,-0.05038928158829292,-0.09890408131558778,-0.09714145409928036,-0.04652487150993607,-0.2660839519728618,-0.295942144717254,-0.5764139242030586,-0.5296364819952153,-0.3000709766177232,-0.48747269764372503,-0.31529503118368607,-0.19634551854735824,-0.13442071950614598,-0.08539868847742717,-0.7551189529272104,-0.6178623476862977,-0.5301618623393035,-0.6145974029748572,-0.031206915486344244,-0.2524790977262037,-0.309304091603936,-0.26095302249688446,-0.21605645899735043,-0.9001671277028811,-0.7696820745773965,-0.6449077004552541,-0.6626419242592358,-0.5308280149482756,-0.5395643844722007,-0.5275737931799477,-0.6954464299841825,-0.6846250917795567,-0.46464949197000993,-0.16354564653759218,test,1041.1066460587326,1
1702,-0.16836729227334937,-0.5877842345501002,-0.5014534628835913,0.03561283725622455,-0.27487371248790843,-0.23773737422980343,-0.6816784565936885,-0.6631611972687965,-0.35656434870801934,-0.3759095927798077,-0.6275030642640145,-0.6265291488110568,-0.4139371258165573,-0.12269994911002965,-0.04362028643860265,-0.10677224316961187,-0.10507543172032544,-0.054289415814558144,-0.27025650765059656,-0.2950623132310172,-0.5759668657146613,-0.5152895389713709,-0.31281585892614483,-0.5029442336410125,-0.2808823412918236,-0.1821304542863398,-0.13872695035828067,-0.10322256217825967,-0.7760693740202588,-0.6411390648712016,-0.5389800176390824,-0.6168451535187754,-0.03707911187016444,-0.23318939512886,-0.28057483414226314,-0.23063390313344886,-0.16720748247987077,-0.8931937413046155,-0.7628089317708389,-0.6364917900666778,-0.6698697522401282,-0.5500085985171842,-0.5538948905764661,-0.54632212539545,-0.7156529685376741,-0.6645368791676375,-0.44295836388232823,-0.16101122378606503,test,1041.7187017001545,1
1703,-0.15981053567331976,-0.6211158572907706,-0.5210975581962964,0.030716920057519234,-0.28935449922668754,-0.2474086284561969,-0.7137668891324478,-0.684103475466329,-0.3476569780758282,-0.3697173493834349,-0.656492063986279,-0.6415722485378794,-0.4179552626013156,-0.12427227950406536,-0.03717901341821449,-0.10859813788645706,-0.11444713626313831,-0.056739785325850674,-0.2767929728960586,-0.30029408218457476,-0.5857421073409035,-0.5012513893858448,-0.3252468284558769,-0.5099888109649908,-0.25121085384734704,-0.1704866329225442,-0.13853624463160683,-0.11179776091805946,-0.7826089504454843,-0.655004954759605,-0.5498893786594152,-0.6206326728454181,-0.03700402861202948,-0.22063529983035374,-0.2774611139289236,-0.21269056956308013,-0.14186882376794688,-0.8928783459790468,-0.760865207678677,-0.6346946663457078,-0.6713535982804062,-0.5578437292749394,-0.5653255453561811,-0.5682868373330217,-0.7189110451670813,-0.6583389575917435,-0.4340627842912005,-0.15972522036810163,test,1042.3307573415766,1
