,AIBL,AIBR,ALA,ALNL,ALNR,AS10,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA7,DA9,DB1,DB2,DB7,DVA,DVC,PDA,PHAR,PVNL,PVNR,RIBL,RIBR,RID,RIMR,RIS,RIVR,RMED,RMEL,RMEV,SABD,SABVL,SABVR,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVR,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB1,VB11,VB2,VD13,train_test_label,time_in_seconds,tau
20,0.04945112,0.6677473,0.8230448,-0.80840456,-0.74603975,-0.4444137,-0.7933081,-0.01545036,0.2148192,0.8437393,-0.9610166,-0.9147845,0.8386725,-0.17326549,-0.5533202,-0.70357525,-0.30811682,-0.5099496,-0.8257955,-0.9069241,-0.563523,-0.8533619,-0.9331313,-0.95543253,-0.7219891,-0.56706434,-0.839058,-0.8079543,-0.21131709,-0.73650855,-0.7532001,0.75455534,-0.11874894,-0.36031252,-0.75931305,-0.52697754,-0.8029414,0.0473622,-0.4008186,0.5010565,-0.87289923,-0.6795779,-0.7227725,-0.9369775,-0.38711837,-0.6490354,0.16361529,-0.39284948,-0.26128456,-0.6787771,-0.3557444,-0.085726514,-0.9002402,-0.54327834,-0.7850339,-0.9416351,-0.5762401,-0.6118306,train,6.521739,1
21,0.029898128,0.6310584,0.7723453,-0.81787115,-0.70727736,-0.4601351,-0.6761816,-0.004087566,0.13376953,0.6760809,-0.97932273,-0.9377305,0.81017447,-0.21943358,-0.5685712,-0.7339562,-0.3206284,-0.6053287,-0.93665457,-0.92111725,-0.5247357,-0.8769976,-0.93549526,-0.9646912,-0.69628114,-0.6386493,-0.81764024,-0.8307222,-0.19297655,-0.7374363,-0.76432097,0.69469833,-0.104841396,-0.4401263,-0.7630529,-0.5239846,-0.77159226,0.06909524,-0.46971127,0.38933206,-0.88621587,-0.7319789,-0.7232642,-0.9299805,-0.40260208,-0.75229424,0.1934948,-0.3448947,0.006653754,-0.8018123,-0.40887472,-0.114268176,-0.87082285,-0.5796421,-0.79445696,-0.9327992,-0.74149346,-0.5499619,train,6.847826,1
22,-0.024425937,0.55088055,0.82665426,-0.80473524,-0.8791261,-0.4563026,-0.75126827,0.12505685,0.021378364,0.58076465,-0.95291215,-0.93425333,0.66928464,-0.28381747,-0.47794932,-0.6060538,-0.2961571,-0.5277836,-0.9353792,-0.92789227,-0.44325593,-0.84016275,-0.92340446,-0.96805733,-0.6934328,-0.5856164,-0.880046,-0.84809655,-0.2536789,-0.82048345,-0.60704297,0.537543,-0.10162729,-0.44774136,-0.761063,-0.395726,-0.7216709,-0.0029368554,-0.50193846,0.370992,-0.8978311,-0.6278038,-0.7147982,-0.90835476,-0.38426068,-0.71213627,0.14931518,-0.37015626,-0.15848735,-0.9235017,-0.428668,-0.1393076,-0.88308203,-0.5533659,-0.7287865,-0.9249918,-0.694641,-0.5975829,train,7.173913,1
23,-0.11750902,0.4515445,0.7987547,-0.76245105,-0.739258,-0.501987,-0.71067333,0.12780216,-0.05906193,0.49824262,-0.94674605,-0.9293773,0.7897003,-0.20288284,-0.3255037,-0.17249483,-0.36241326,-0.53418916,-0.9172918,-0.92574114,-0.34812945,-0.863831,-0.92695755,-0.96621263,-0.74820006,-0.6277497,-0.836798,-0.80845207,-0.52369696,-0.7963792,-0.6877056,0.4947076,0.13428135,-0.43160304,-0.7664086,-0.4023651,-0.73005074,-0.19022126,-0.49807382,0.24547239,-0.9050217,-0.69205654,-0.6537022,-0.87834275,-0.3733546,-0.72377706,0.22351532,-0.48455274,-0.2922638,-0.9860557,-0.36223736,-0.15661299,-0.84381235,-0.5712022,-0.60794497,-0.93079007,-0.6995806,-0.59123665,train,7.5,1
24,-0.12341772,0.36989474,0.7509817,-0.5453183,-0.59927094,-0.5016788,-0.828551,0.07339062,-0.13163535,0.38091183,-0.9575507,-0.911609,0.72090447,-0.22080772,0.05678129,-0.17546019,-0.40216053,-0.57387954,-0.96350175,-0.8993286,-0.3708787,-0.86802375,-0.9348784,-0.97583354,-0.80507183,-0.56035644,-0.86054814,-0.78821397,-0.5388899,-0.7640082,-0.5751894,0.37787852,0.17575069,-0.41101,-0.7589328,-0.22365724,-0.66957945,-0.07551254,-0.51474804,0.1547222,-0.89176637,-0.7359974,-0.53486484,-0.8779026,-0.3868589,-0.7035016,0.27754366,-0.48717523,-0.06786125,-0.86876804,-0.3818699,-0.24197264,-0.90229064,-0.61016244,-0.43725693,-0.9025625,-0.7272556,-0.64983106,train,7.826087,1
25,-0.1418507,0.30738965,0.79718673,-0.591709,-0.93405396,-0.5014976,-0.7715171,-0.022531187,-0.23322454,0.2766157,-0.91375947,-0.9054369,0.7420518,-0.21533318,0.14375527,-0.4088849,-0.3712992,-0.51525706,-0.900823,-0.9188331,-0.34190428,-0.8222429,-0.9390802,-0.94557357,-0.74222046,-0.64869803,-0.77202076,-0.79474384,-0.5202171,-0.70478475,-0.6978531,0.3144183,0.25547525,-0.44259328,-0.76850164,-0.32705626,-0.623535,-0.0061280266,-0.57386744,0.21345297,-0.9001785,-0.6617967,-0.551744,-0.85979843,-0.38619772,-0.72227985,0.27273852,-0.3738327,-0.21545672,-0.7114846,-0.40467325,-0.28667912,-0.8735307,-0.75886023,-0.3156905,-0.91807574,-0.6378116,-0.94934636,train,8.152174,1
26,-0.17809772,0.29939944,0.8648242,-0.70712084,-0.76058763,-0.49139127,-0.61280054,0.015809659,-0.26729423,0.19362074,-0.8675052,-0.9028541,0.7339951,-0.25101656,0.26176485,-0.37033513,-0.41804945,-0.4951738,-0.88337296,-0.9347227,-0.30240092,-0.8325922,-0.9587475,-0.9495711,-0.7062885,-0.5938843,-0.80111855,-0.8541376,-0.60266286,-0.7053254,-0.589938,0.23357986,0.16094244,-0.43657458,-0.7485158,-0.3504236,-0.49505463,0.039295282,-0.520039,0.21894303,-0.84666616,-0.5556254,-0.49556538,-0.8359939,-0.38983294,-0.7348756,0.2822376,-0.16447568,-0.25750118,-0.7754891,-0.33254302,-0.2726952,-0.82014936,-0.694609,-0.26374742,-0.8965784,-0.47434592,-0.9753258,train,8.478261,1
27,-0.22952215,0.2646857,0.74739546,-0.45210442,-0.7625322,-0.49107566,-0.69225013,-0.05526553,-0.32018244,0.10754603,-0.89089704,-0.8898012,0.6952902,-0.2149977,0.08413301,-0.41061938,-0.42751086,-0.48381993,-0.9515356,-0.91042805,-0.32993063,-0.82247835,-0.9408724,-0.98551196,-0.79245156,-0.5732611,-0.7993442,-0.7882992,-0.58638036,-0.69686204,-0.4655248,0.15971708,0.23449187,-0.48559347,-0.7578849,-0.34565687,-0.39998105,0.08597993,-0.51000917,0.47867587,-0.8366534,-0.6053883,-0.40661952,-0.82116514,-0.37537897,-0.771332,0.178883,-0.30353972,-0.11205421,-0.8835488,-0.36885193,-0.2523384,-0.80157894,-0.5717829,-0.18059732,-0.9308642,-0.5726448,-0.8112075,train,8.804348,1
28,-0.23895794,0.21499999,0.7410941,-0.56388754,-0.7845077,-0.5047968,-0.7336968,0.07496074,-0.38794687,0.005137631,-0.9396481,-0.896281,0.57336414,-0.17936677,0.13904844,-0.6602137,-0.4461535,-0.5283636,-0.951127,-0.92610705,-0.41869706,-0.83748984,-0.9433943,-0.98604333,-0.7938452,-0.5438868,-0.8098949,-0.7678126,-0.70342624,-0.745165,-0.5593333,0.03351757,0.53968155,-0.47417954,-0.75107133,-0.35292637,-0.4771115,0.0221464,-0.5382073,0.29906023,-0.82865375,-0.6441684,-0.4635475,-0.7623914,-0.42188743,-0.7332171,0.03200031,-0.12635118,-0.12850453,-0.7781896,-0.27706304,-0.3259607,-0.8463578,-0.5448007,-0.20549566,-0.90574527,-0.4868468,-0.8075305,train,9.130435,1
29,-0.28690556,0.17739743,0.74408525,-0.604667,-0.82869947,-0.5124335,-0.7928945,0.12638369,-0.42892557,-0.07129716,-0.94899356,-0.9169937,0.5859262,-0.17884865,-0.07093917,-0.65198904,-0.4134891,-0.5379501,-0.9343227,-0.9211949,-0.37337208,-0.8246862,-0.9591497,-0.9945736,-0.8395508,-0.5002102,-0.7698401,-0.7789539,-0.74744445,-0.66741353,-0.6155446,-0.018983115,0.47466844,-0.5222063,-0.7263749,-0.1837632,-0.43492776,0.039826237,-0.57055545,0.42337486,-0.8478554,-0.6862967,-0.49090198,-0.8040104,-0.395458,-0.7610399,-0.0004886897,-0.34645003,-0.11733465,-0.8582766,-0.37408474,-0.33447534,-0.83653086,-0.5482978,-0.18015423,-0.9345617,-0.53431606,-0.8267495,train,9.456522,1
