,AFDL,AFDR,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVEL,AVER,AVFL,AVFR,AWCR,BAGL,BAGR,OLQDL,OLQDR,RID,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,URXL,URXR,URYDL,URYDR,URYVL,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
23,-0.5353302698581994,-0.310996809984425,-0.8029651359871522,-0.8686878364877529,-0.3180920218322615,-0.6602962586489802,-0.9246321145763434,-0.8899795690966733,-0.8382514368147763,-0.7508125990110821,-0.285636765531255,-0.22530597857163426,-0.6281296634264802,-0.6675176702253489,-0.7846515382877179,-0.7114307362929414,-0.6275420182560024,-0.2786075064125564,-0.9177522479449598,-0.9472298762092356,0.22468529964454909,-0.5655053050120677,-0.2739214346820445,-0.42662648059075603,-0.4801035963853867,-0.14861017886530964,-0.8207915801786884,-0.7569801474021745,-0.7979213038451285,-0.7392399111066319,-0.7718742669433978,-0.824339220493604,-0.5554871156588163,-0.22758286528474847,train,5.894636924537257,1
24,-0.5264297385007846,-0.31246353679133887,-0.797832461621361,-0.8699099595600366,-0.320595777532237,-0.6610410952190022,-0.9221404253918798,-0.8868165599053235,-0.8420108656731031,-0.7522223999244185,-0.29157195282659715,-0.22866438741714684,-0.6240644453566703,-0.6641829128229709,-0.7791512426335901,-0.7141612382775263,-0.625932654882604,-0.2779423262023986,-0.9170515986818603,-0.9466542194863568,0.23030072677775987,-0.5623382014726274,-0.2821541938878026,-0.4252597226275264,-0.47287039408580844,-0.1397395933277611,-0.8197328790266665,-0.7582495854616114,-0.7999686287292345,-0.7360870820745625,-0.7680249052637874,-0.8236290162848974,-0.5574843292151829,-0.22962999877232465,train,6.1509254864736596,1
25,-0.5259966425931693,-0.31087074308044094,-0.8033710486247303,-0.8684456902956684,-0.31818913467738325,-0.6619752041188995,-0.9191306412589286,-0.8904285159353432,-0.8414241503092458,-0.756413976691637,-0.2928940209859754,-0.23268477161217938,-0.6237599533018696,-0.6679443133658994,-0.7850831687010167,-0.7114624412926798,-0.6264302110593186,-0.2856332190714639,-0.9149081978756416,-0.9463462488204359,0.22121486103177035,-0.5666746138171316,-0.2817433791208321,-0.43010966013886254,-0.48147373672677474,-0.14973842410142046,-0.821638294376777,-0.7584872378849659,-0.8050981144129025,-0.7414990068355037,-0.7692911688199799,-0.8255991176507543,-0.5634002964940148,-0.23494857082734733,train,6.4072140484100615,1
26,-0.5249061119041305,-0.3130870043634958,-0.7987951455792409,-0.8648376391564153,-0.321047406622066,-0.665550443531757,-0.9169818150568302,-0.8888978969441088,-0.8375423291062064,-0.7511371797099885,-0.2954234224303469,-0.23722089343185127,-0.6212093633461694,-0.6636158149175302,-0.7811395339759151,-0.7089808732441178,-0.6259438612689836,-0.28749623876177355,-0.9173345132934649,-0.9470566373227246,0.21695709298987503,-0.5639148952072979,-0.28945607194046613,-0.42970762412551994,-0.4799625669248111,-0.15450629281772404,-0.8261407595535681,-0.7567569033544881,-0.8051265069419357,-0.7394635103138435,-0.7668062407635945,-0.821286413647818,-0.5691579017340793,-0.2351398594678486,train,6.663502610346464,1
27,-0.5214672148590005,-0.3158209100387186,-0.788596671885033,-0.8529519609470453,-0.3296355918791216,-0.6657930297452099,-0.908173025757982,-0.8833865852427896,-0.8275232809650988,-0.7503744522733122,-0.2985262727243928,-0.2424735947415254,-0.616786877307699,-0.6648262500114581,-0.7776826956054533,-0.7082392929698341,-0.6278155568592088,-0.2917936032651842,-0.9124609927874422,-0.9364485988771033,0.20433264775618798,-0.5682836805847835,-0.2914506753707899,-0.4344873363650615,-0.4889738722988874,-0.16172579553004113,-0.8240947837285006,-0.7582729266798593,-0.8059845738023576,-0.7373307516178942,-0.7619760280585822,-0.8220390573093803,-0.5771997397493914,-0.23842164623442375,train,6.919791172282866,1
28,-0.51150623871373,-0.3146945522513131,-0.7908995484410752,-0.8544969279294296,-0.33658172939223624,-0.6648485250602667,-0.9067785985559418,-0.8826136293524979,-0.8361097991244587,-0.7544609193494768,-0.3005970642180951,-0.24456902114760032,-0.6173744198965296,-0.6628087883159135,-0.7817801586111046,-0.713298456288928,-0.62680095074451,-0.28309702088857963,-0.9170795958166126,-0.9457687901497617,0.2123781647928346,-0.5742130768718957,-0.2877270172092108,-0.4331477974098402,-0.4911035825405312,-0.1546965168116857,-0.8204657650021296,-0.7570973402077668,-0.8072522777880027,-0.738680780426245,-0.7599233796630566,-0.8168777253514037,-0.5761373474118497,-0.23336214534450717,train,7.176079734219269,1
29,-0.5074239156372822,-0.3241255971493623,-0.7908813838479545,-0.8576418618954038,-0.34631073954622543,-0.6738469179610092,-0.9078558341646756,-0.8898809647142956,-0.8348517790658511,-0.7558306176257024,-0.3057632260154821,-0.2515142788086566,-0.6128534205852445,-0.6645660346657565,-0.7815774874544396,-0.7115535180485578,-0.6288362054901638,-0.27628803732324764,-0.9228150830207869,-0.9564084032744747,0.2192059410562215,-0.5799322539270437,-0.2901514222300998,-0.43200516110174875,-0.5022651263328957,-0.16412352695365057,-0.8284278545243138,-0.7506856185064996,-0.8126718696987629,-0.7381268613318396,-0.7564601315466682,-0.8133098503998171,-0.5843262099661238,-0.23767650143283425,train,7.432368296155672,1
30,-0.5123972124947589,-0.3189160749693903,-0.7971091470425806,-0.8480173272122976,-0.34764085332121236,-0.6790141431303232,-0.9041871179778899,-0.8914695284653582,-0.8263196701235507,-0.7594327769874482,-0.3070421248069993,-0.2574780858413439,-0.6165915256618326,-0.6645883729230744,-0.782726387123308,-0.70040837471974,-0.6346268174698717,-0.28490444192301223,-0.9252094290477592,-0.9478004617595382,0.19893987822970338,-0.5867380528847495,-0.2909359902315732,-0.439346065565698,-0.5109415248712741,-0.1747679303982909,-0.8344153855056405,-0.7549819843888195,-0.8236026255498626,-0.7470741060247091,-0.763294789494174,-0.8193906171572777,-0.593737841124507,-0.24298756609365746,train,7.688656858092074,1
31,-0.5049846923779644,-0.3179975200975839,-0.7919942819934791,-0.8412411520354827,-0.35694835502293937,-0.6778537795123836,-0.8984084617564928,-0.8883047823259134,-0.8252010300729764,-0.7562737253013088,-0.30732241759781065,-0.2621254365923358,-0.6186985159754851,-0.66453363296451,-0.7844214477172631,-0.7022605972179209,-0.6371587910967346,-0.2796671269316579,-0.926483170361024,-0.9496749443790408,0.19784541331726607,-0.591098696938169,-0.2942101784224779,-0.4444072597886496,-0.5198537343388991,-0.17781045892769598,-0.8345420801719831,-0.7554489441484638,-0.8229320469362763,-0.7458362299638854,-0.760200157710284,-0.8144372696442702,-0.5980485044599538,-0.2444171070279038,train,7.944945420028477,1
32,-0.503605813953643,-0.3173177328252996,-0.7911112977021528,-0.840929702111104,-0.36121978584279363,-0.6791439049381149,-0.8974016838592402,-0.8934121418703941,-0.820071591463098,-0.7588666656105074,-0.3093936160309523,-0.26297121391184664,-0.6134020841931719,-0.6657895205754389,-0.7847306066118878,-0.6958636284508143,-0.639294097241504,-0.2806021475925028,-0.9266869501713947,-0.9457060364123212,0.18960882331301265,-0.6008759034754784,-0.28435499615072013,-0.4413682384006403,-0.5236801215275875,-0.18126714799500573,-0.8309965473201779,-0.7570325050843272,-0.8230796729106832,-0.7494352843370233,-0.758418776618246,-0.815666366240718,-0.5997152192329328,-0.23963754649179114,train,8.20123398196488,1
