,experiment_ID,model_type,validation_dataset,individual_validation_loss,individual_baseline_loss,num_parameters,num_worms,num_time_steps,min_val_loss,val_baseline
1020,exp26,NetworkLSTM,Yemini2021,0.0368226512860297,0.0108707598526368,573574,135,89031,0.0201393305324018,0.0104822724021341
1021,exp26,NetworkLSTM,Uzel2022,0.0313970850402256,0.0075639537559861,573574,135,89031,0.0201393305324018,0.0104822724021341
1022,exp26,NetworkLSTM,Flavell2023,0.0135296940505213,0.0080915278922475,573574,135,89031,0.0201393305324018,0.0104822724021341
1023,exp26,NetworkLSTM,Leifer2023,0.0229609452837001,0.0124225373570773,573574,135,89031,0.0201393305324018,0.0104822724021341
1024,exp27,NetworkLSTM,Kato2015,0.0086890188134323,0.0136508184820437,573574,140,85327,0.0204785125539966,0.0104822724283685
1025,exp27,NetworkLSTM,Nichols2017,0.0073914112393719,0.0103306582875368,573574,140,85327,0.0204785125539966,0.0104822724283685
1026,exp27,NetworkLSTM,Skora2018,0.0082435461860465,0.0075098035523903,573574,140,85327,0.0204785125539966,0.0104822724283685
1027,exp27,NetworkLSTM,Kaplan2020,0.0190419195275209,0.0035063432111488,573574,140,85327,0.0204785125539966,0.0104822724283685
1028,exp27,NetworkLSTM,Yemini2021,0.0328194669867172,0.0108707598526368,573574,140,85327,0.0204785125539966,0.0104822724283685
1029,exp27,NetworkLSTM,Uzel2022,0.034117919167329,0.0075639537559861,573574,140,85327,0.0204785125539966,0.0104822724283685
1030,exp27,NetworkLSTM,Flavell2023,0.0138062365580481,0.0080915278922475,573574,140,85327,0.0204785125539966,0.0104822724283685
1031,exp27,NetworkLSTM,Leifer2023,0.0235155789412637,0.0124225373570773,573574,140,85327,0.0204785125539966,0.0104822724283685
1032,exp28,NetworkLSTM,Kato2015,0.0088725823564648,0.0136508184820437,573574,145,86136,0.0227041446741565,0.0104822724021341
1033,exp28,NetworkLSTM,Nichols2017,0.0068483431826032,0.0103306582875368,573574,145,86136,0.0227041446741565,0.0104822724021341
1034,exp28,NetworkLSTM,Skora2018,0.0074331704011759,0.0075098035523903,573574,145,86136,0.0227041446741565,0.0104822724021341
1035,exp28,NetworkLSTM,Kaplan2020,0.0122902516354531,0.0035063432111488,573574,145,86136,0.0227041446741565,0.0104822724021341
1036,exp28,NetworkLSTM,Yemini2021,0.0344005009546704,0.0108707598526368,573574,145,86136,0.0227041446741565,0.0104822724021341
1037,exp28,NetworkLSTM,Uzel2022,0.1055700396003279,0.0075639537559861,573574,145,86136,0.0227041446741565,0.0104822724021341
1038,exp28,NetworkLSTM,Flavell2023,0.0164035221299855,0.0080915278922475,573574,145,86136,0.0227041446741565,0.0104822724021341
1039,exp28,NetworkLSTM,Leifer2023,0.0258739839056015,0.0124225373570773,573574,145,86136,0.0227041446741565,0.0104822724021341
1040,exp29,NetworkLSTM,Kato2015,0.0086139423595644,0.0136508184820437,573574,150,91056,0.0211398851874113,0.0104822724021341
1041,exp29,NetworkLSTM,Nichols2017,0.0068105505163409,0.0103306582875368,573574,150,91056,0.0211398851874113,0.0104822724021341
1042,exp29,NetworkLSTM,Skora2018,0.0074676270733107,0.0075098035523903,573574,150,91056,0.0211398851874113,0.0104822724021341
1043,exp29,NetworkLSTM,Kaplan2020,0.011528240404866,0.0035063432111488,573574,150,91056,0.0211398851874113,0.0104822724021341
1044,exp29,NetworkLSTM,Yemini2021,0.0308144968822693,0.0108707598526368,573574,150,91056,0.0211398851874113,0.0104822724021341
1045,exp29,NetworkLSTM,Uzel2022,0.129768456929014,0.0075639537559861,573574,150,91056,0.0211398851874113,0.0104822724021341
1046,exp29,NetworkLSTM,Flavell2023,0.0142289211780735,0.0080915278922475,573574,150,91056,0.0211398851874113,0.0104822724021341
1047,exp29,NetworkLSTM,Leifer2023,0.0233208515001381,0.0124225373570773,573574,150,91056,0.0211398851874113,0.0104822724021341
1048,exp3,NetworkLSTM,Kato2015,0.2013112323669096,0.0136508184820437,573574,20,15690,0.2785267674587142,0.0104822724021341
1049,exp3,NetworkLSTM,Nichols2017,0.1678541598375886,0.0103306582875368,573574,20,15690,0.2785267674587142,0.0104822724021341
1050,exp3,NetworkLSTM,Skora2018,0.196975664992351,0.0075098035523903,573574,20,15690,0.2785267674587142,0.0104822724021341
1051,exp3,NetworkLSTM,Uzel2022,0.4275922006151328,0.0075639537559861,573574,20,15690,0.2785267674587142,0.0104822724021341
1052,exp3,NetworkLSTM,Yemini2021,0.3643433125024395,0.0108707598526368,573574,20,15690,0.2785267674587142,0.0104822724021341
1053,exp3,NetworkLSTM,Kaplan2020,0.1737089271559135,0.0035063432111488,573574,20,15690,0.2785267674587142,0.0104822724021341
1054,exp3,NetworkLSTM,Flavell2023,0.2654474708309863,0.0080915278922475,573574,20,15690,0.2785267674587142,0.0104822724021341
1055,exp3,NetworkLSTM,Leifer2023,0.3096727465174398,0.0124225373570773,573574,20,15690,0.2785267674587142,0.0104822724021341
1056,exp30,NetworkLSTM,Kato2015,0.0085452800770629,0.0136508184820437,573574,155,91244,0.0199393679151757,0.0104822724021341
1057,exp30,NetworkLSTM,Nichols2017,0.006850458070899,0.0103306582875368,573574,155,91244,0.0199393679151757,0.0104822724021341
1058,exp30,NetworkLSTM,Skora2018,0.0070781737567813,0.0075098035523903,573574,155,91244,0.0199393679151757,0.0104822724021341
1059,exp30,NetworkLSTM,Kaplan2020,0.011342275148835,0.0035063432111488,573574,155,91244,0.0199393679151757,0.0104822724021341
1060,exp30,NetworkLSTM,Yemini2021,0.0293395326523899,0.0108707598526368,573574,155,91244,0.0199393679151757,0.0104822724021341
1061,exp30,NetworkLSTM,Uzel2022,0.0908053833118174,0.0075639537559861,573574,155,91244,0.0199393679151757,0.0104822724021341
1062,exp30,NetworkLSTM,Flavell2023,0.0140870324821662,0.0080915278922475,573574,155,91244,0.0199393679151757,0.0104822724021341
1063,exp30,NetworkLSTM,Leifer2023,0.0229777473490257,0.0124225373570773,573574,155,91244,0.0199393679151757,0.0104822724021341
1064,exp31,NetworkLSTM,Kato2015,0.0079404927558546,0.0136508184820437,573574,160,103277,0.0192548293508851,0.0104822724021341
1065,exp31,NetworkLSTM,Nichols2017,0.0057593803779706,0.0103306582875368,573574,160,103277,0.0192548293508851,0.0104822724021341
1066,exp31,NetworkLSTM,Skora2018,0.0082546679641382,0.0075098035523903,573574,160,103277,0.0192548293508851,0.0104822724021341
1067,exp31,NetworkLSTM,Kaplan2020,0.008257522960967,0.0035063432111488,573574,160,103277,0.0192548293508851,0.0104822724021341
1068,exp31,NetworkLSTM,Yemini2021,0.0324634796267432,0.0108707598526368,573574,160,103277,0.0192548293508851,0.0104822724021341
1069,exp31,NetworkLSTM,Uzel2022,0.0893841456005854,0.0075639537559861,573574,160,103277,0.0192548293508851,0.0104822724021341
1070,exp31,NetworkLSTM,Flavell2023,0.012525297580396,0.0080915278922475,573574,160,103277,0.0192548293508851,0.0104822724021341
1071,exp31,NetworkLSTM,Leifer2023,0.0208833205470713,0.0124225373570773,573574,160,103277,0.0192548293508851,0.0104822724021341
1072,exp32,NetworkLSTM,Kato2015,0.0071540636830225,0.0136508184820437,573574,165,104366,0.0198381183846053,0.0104822724021341
1073,exp32,NetworkLSTM,Nichols2017,0.005880689224465,0.0103306582875368,573574,165,104366,0.0198381183846053,0.0104822724021341
1074,exp32,NetworkLSTM,Skora2018,0.0051236354559781,0.0075098035523903,573574,165,104366,0.0198381183846053,0.0104822724021341
1075,exp32,NetworkLSTM,Kaplan2020,0.0087673569481634,0.0035063432111488,573574,165,104366,0.0198381183846053,0.0104822724021341
1076,exp32,NetworkLSTM,Yemini2021,0.0311089603483382,0.0108707598526368,573574,165,104366,0.0198381183846053,0.0104822724021341
1077,exp32,NetworkLSTM,Uzel2022,0.1362019381291853,0.0075639537559861,573574,165,104366,0.0198381183846053,0.0104822724021341
1078,exp32,NetworkLSTM,Flavell2023,0.0130452539107864,0.0080915278922475,573574,165,104366,0.0198381183846053,0.0104822724021341
1079,exp32,NetworkLSTM,Leifer2023,0.0212228157669254,0.0124225373570773,573574,165,104366,0.0198381183846053,0.0104822724021341
1080,exp33,NetworkLSTM,Kato2015,0.0070331322088653,0.0136508184820437,573574,170,107500,0.0184252965624745,0.0104822724021341
1081,exp33,NetworkLSTM,Nichols2017,0.0057209334468511,0.0103306582875368,573574,170,107500,0.0184252965624745,0.0104822724021341
1082,exp33,NetworkLSTM,Skora2018,0.0054453581272658,0.0075098035523903,573574,170,107500,0.0184252965624745,0.0104822724021341
1083,exp33,NetworkLSTM,Kaplan2020,0.0116220928228262,0.0035063432111488,573574,170,107500,0.0184252965624745,0.0104822724021341
1084,exp33,NetworkLSTM,Yemini2021,0.0292917879788936,0.0108707598526368,573574,170,107500,0.0184252965624745,0.0104822724021341
1085,exp33,NetworkLSTM,Uzel2022,0.130654856058148,0.0075639537559861,573574,170,107500,0.0184252965624745,0.0104822724021341
1086,exp33,NetworkLSTM,Flavell2023,0.0110588686264236,0.0080915278922475,573574,170,107500,0.0184252965624745,0.0104822724021341
1087,exp33,NetworkLSTM,Leifer2023,0.0186331122951349,0.0124225373570773,573574,170,107500,0.0184252965624745,0.0104822724021341
1088,exp34,NetworkLSTM,Kato2015,0.007033807546577,0.0136508184820437,573574,175,109829,0.0158873988499104,0.0104822724021341
1089,exp34,NetworkLSTM,Nichols2017,0.0056710405036607,0.0103306582875368,573574,175,109829,0.0158873988499104,0.0104822724021341
1090,exp34,NetworkLSTM,Skora2018,0.0051713002621909,0.0075098035523903,573574,175,109829,0.0158873988499104,0.0104822724021341
1091,exp34,NetworkLSTM,Kaplan2020,0.0080924076893624,0.0035063432111488,573574,175,109829,0.0158873988499104,0.0104822724021341
1092,exp34,NetworkLSTM,Yemini2021,0.0274460338702311,0.0108707598526368,573574,175,109829,0.0158873988499104,0.0104822724021341
1093,exp34,NetworkLSTM,Uzel2022,0.0208752682665362,0.0075639537559861,573574,175,109829,0.0158873988499104,0.0104822724021341
1094,exp34,NetworkLSTM,Flavell2023,0.011283822048972,0.0080915278922475,573574,175,109829,0.0158873988499104,0.0104822724021341
1095,exp34,NetworkLSTM,Leifer2023,0.0188872373804342,0.0124225373570773,573574,175,109829,0.0158873988499104,0.0104822724021341
1096,exp35,NetworkLSTM,Kato2015,0.0062117415215349,0.0136508184820437,573574,180,115687,0.0155612469968897,0.0104822724021341
1097,exp35,NetworkLSTM,Nichols2017,0.0055472572036954,0.0103306582875368,573574,180,115687,0.0155612469968897,0.0104822724021341
1098,exp35,NetworkLSTM,Skora2018,0.0045852237578098,0.0075098035523903,573574,180,115687,0.0155612469968897,0.0104822724021341
1099,exp35,NetworkLSTM,Kaplan2020,0.0115942250625889,0.0035063432111488,573574,180,115687,0.0155612469968897,0.0104822724021341
1100,exp35,NetworkLSTM,Yemini2021,0.0276753384903862,0.0108707598526368,573574,180,115687,0.0155612469968897,0.0104822724021341
1101,exp35,NetworkLSTM,Uzel2022,0.0303105782101435,0.0075639537559861,573574,180,115687,0.0155612469968897,0.0104822724021341
1102,exp35,NetworkLSTM,Flavell2023,0.0101062649020605,0.0080915278922475,573574,180,115687,0.0155612469968897,0.0104822724021341
1103,exp35,NetworkLSTM,Leifer2023,0.0173341639094324,0.0124225373570773,573574,180,115687,0.0155612469968897,0.0104822724021341
1104,exp36,NetworkLSTM,Kato2015,0.007532133744462,0.0136508184820437,573574,185,113911,0.0173022958850094,0.0104822724152513
1105,exp36,NetworkLSTM,Nichols2017,0.0054776751443238,0.0103306582875368,573574,185,113911,0.0173022958850094,0.0104822724152513
