,AFDR,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVEL,AVFL,AWCL,BAGL,BAGR,IL2DR,OLQVL,RID,RIFL,RIML,RIS,RIVL,RIVR,RMED,RMEV,RMGL,SABVL,SABVR,SIBDL,SIBDR,SIBVR,SMBVL,URXR,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB3,train_test_label,time_in_seconds,tau
3631,-0.21793062701786683,-0.7752595608220088,-0.8223548242435127,-0.4114002713064166,-0.6697424951219029,-0.5829417520818166,-0.5187508956274288,-0.5216244989556155,-0.6729949592492486,-1.0044067396063936,-0.8873019563797666,-0.2036004853178724,-0.9134534145373833,-0.23779651980970967,-0.6042591498916433,-0.5174734854294842,-0.7350896913604266,-0.9268538968983523,-0.6691174790580302,-0.19180152485231136,-0.5372612157104839,-0.983936206083156,0.25320931590109996,-0.667062148379356,-0.5567239189837955,0.05097129648261456,0.1436418455546587,-0.2579654623424607,-0.21941778552553226,-0.4969546908575198,-0.4066567736259831,-0.3898503516577797,-0.22516311962122287,-0.1495623686344905,-0.7343177738412088,-0.767078096958342,-0.7015916010183089,-0.7410919359760252,-0.6717103429458064,-0.8465806206273989,-0.46127116879651975,-0.48507495061831357,test,824.7066246056783,1
3632,-0.2262134561940927,-0.7750826686330865,-0.8227481672369996,-0.41399029424386397,-0.6790062668189518,-0.581045927351472,-0.522293738122571,-0.5234353071467919,-0.6761695747570856,-1.0047414111545523,-0.888598281318977,-0.21217578494338665,-0.9115460320241756,-0.23953167864327096,-0.608579992656437,-0.5164926502506082,-0.7371378018403046,-0.9223308017960328,-0.6703281172267167,-0.1930964035858342,-0.5433448336127152,-0.9890021328507125,0.2549606958237914,-0.6669351664718317,-0.5567696539948158,0.04417923187043568,0.14631466909777271,-0.26132411725594784,-0.2207526364886152,-0.4987993621947877,-0.41085101801468515,-0.39054062369589176,-0.2228459518432786,-0.14986389272412645,-0.7315824936579554,-0.773077877574632,-0.6982065065171884,-0.7361629312611412,-0.6717222920441195,-0.8450413131636691,-0.46707891286247816,-0.49255730858954233,test,824.9337539432177,1
3633,-0.22588089917165718,-0.7800758866932255,-0.8243466489790928,-0.41360621975381295,-0.67687340495637,-0.5875473168404237,-0.5192734237004473,-0.5283054121727415,-0.6790524174387665,-1.0032222743740034,-0.8876998786422086,-0.20577292625118376,-0.9144283994682911,-0.24010039098901104,-0.6081827438628858,-0.5160271810971648,-0.7434846905673885,-0.9306957513425962,-0.6703449681888961,-0.1944928986201425,-0.5428738743322401,-0.9907062676645251,0.25367890058876574,-0.6730187883047507,-0.557289698544943,0.04051431916517215,0.14677787069622417,-0.26546476670509855,-0.22019215134298428,-0.5000816990506387,-0.4145785742485255,-0.39040303191447806,-0.2193830971062261,-0.14972233403406193,-0.7349902217025732,-0.7702654325573455,-0.6990310519851152,-0.7351954720851045,-0.672648949129583,-0.8430699946380074,-0.46508575138539293,-0.49379890833479007,test,825.1608832807572,1
3634,-0.22679954394309298,-0.7809104451962211,-0.8211930889594888,-0.4065484839291274,-0.6798595264646363,-0.586317612802699,-0.5226334010001579,-0.5288262064541002,-0.6790823980922435,-1.0023177581334433,-0.8858709335631026,-0.19969774112615252,-0.9133339573892955,-0.23924075076535167,-0.608414600163633,-0.5149675844876064,-0.7429290577304634,-0.9250407184995186,-0.6745573586429671,-0.19528917753818592,-0.5427214490876547,-0.987168834808211,0.25382780471679045,-0.6697254626447011,-0.5535989425231245,0.04592266432648304,0.1486055384526738,-0.26729157990937424,-0.22065318829849706,-0.4994052904292118,-0.4146533886855575,-0.3883509873772514,-0.2143332920200074,-0.15392900892949785,-0.7342595779545291,-0.769727956430327,-0.6931534584538408,-0.7317825260279122,-0.674968335682488,-0.8448777193562882,-0.4615576757109268,-0.4917942387774121,test,825.3880126182966,1
3635,-0.21798855937026554,-0.781152989040066,-0.823241607700064,-0.4143070547889337,-0.6833286705002606,-0.5874725541083781,-0.518843577676001,-0.5236873299806641,-0.6733391622536112,-1.0049600185213254,-0.8848258026688411,-0.20226842727818478,-0.9115725119721345,-0.2368785165107763,-0.6082206514514705,-0.5120007406109395,-0.7436022185492572,-0.9272220599320341,-0.6691738990598887,-0.19800995344839534,-0.5452437359445692,-0.9870672803226347,0.2469639645553287,-0.6696133116308203,-0.5567456480113518,0.052806693165815655,0.14992540454400483,-0.2587777228758661,-0.21405165160761944,-0.5067899857471228,-0.40536940710646463,-0.38557041264290615,-0.21799559406002733,-0.147354172526918,-0.7366916764293088,-0.7728135872433559,-0.6972415534438491,-0.7326481123778943,-0.6720020614517705,-0.8446953876457188,-0.46126370500067626,-0.4879242600373132,test,825.615141955836,1
3636,-0.22025027566024957,-0.7772837053690386,-0.8150686822162265,-0.4170375127795221,-0.6844170598936543,-0.5873598022623215,-0.5186579976419546,-0.5225184787451602,-0.6703800699126625,-1.0037290668463632,-0.8815532026715522,-0.20770560906859042,-0.9116891192287668,-0.2374762741366106,-0.6077432368483809,-0.5085498536334976,-0.7450513466119835,-0.9254990960615663,-0.667312943413772,-0.2035718062435667,-0.5499277573420159,-0.983171789511124,0.24046865005892204,-0.6695913282407926,-0.5576372458420817,0.04187845732693993,0.14718891391917865,-0.25956133696907646,-0.21324442935249308,-0.5103097424511683,-0.40722309606414975,-0.3851462528703997,-0.2205739192816562,-0.14396173279550029,-0.7373413206565047,-0.7669672742185657,-0.7043901675316255,-0.7340435541943947,-0.6719018002250278,-0.8421720796455292,-0.4634353965757133,-0.48681583056138195,test,825.8422712933755,1
3637,-0.21909224739817526,-0.7742111842764778,-0.8150589558207341,-0.41999961641854555,-0.6909450675044844,-0.5922853852673966,-0.5255424462884215,-0.5268901757746134,-0.6730240069230018,-0.9976247467638206,-0.8741922011307272,-0.21223585165005876,-0.9083218952588226,-0.23630258759409714,-0.609467461749,-0.5185308805790807,-0.7510090854216084,-0.9316855663208613,-0.6692773622412305,-0.20848834818796297,-0.5562662562402051,-0.9833919893609419,0.23430574166002793,-0.6670331868310893,-0.554521830365374,0.034002539300938744,0.14117632548068035,-0.26114122505855974,-0.21511519730363957,-0.5084654988155448,-0.4129235282961311,-0.38775087722231205,-0.22355369018582638,-0.14492702166854327,-0.7396287165574174,-0.7695632807932988,-0.7058996647824959,-0.7338351592957492,-0.6762175583353467,-0.8408337538864507,-0.4672285983676171,-0.48954825051457096,test,826.0694006309149,1
3638,-0.2155543947497311,-0.7650277248667943,-0.8072748852563193,-0.41785271780554706,-0.6819041663272936,-0.5886957530592242,-0.5194218367744143,-0.5239923762196073,-0.6661275420681597,-0.9971059377748314,-0.8733370673033899,-0.20583009974214722,-0.9047046903729014,-0.23555678678413094,-0.6010655422169537,-0.5123740321539902,-0.7461867095699138,-0.924008230623777,-0.6662720921381311,-0.20134866743185872,-0.548234664797837,-0.9776996316843123,0.23542507311366562,-0.6614586375527338,-0.5526617006463151,0.03779604836794437,0.14605820850767723,-0.25703090350850444,-0.21006131145294016,-0.5002424985492182,-0.4099505774392048,-0.38477878646657465,-0.21948096034211478,-0.14907473560570655,-0.7334137523715292,-0.7654695925477858,-0.7032099773937207,-0.7294492317076922,-0.6752354675090322,-0.8354031438820511,-0.45931468021865596,-0.48570985399617395,test,826.2965299684543,1
3639,-0.20703154469669227,-0.7546304098199872,-0.7983890332210323,-0.4216530489897773,-0.6764751694873468,-0.5896925013110463,-0.5169148929632355,-0.5214163222079627,-0.6607205648170497,-1.000635633439956,-0.8716322280986433,-0.2102051130262395,-0.8981553726978379,-0.2318631667965777,-0.5956936914374428,-0.5101900779185535,-0.7477254737217861,-0.9194158339467586,-0.6619725647814725,-0.19178531862724135,-0.5360532880424568,-0.9789468473471789,0.23441240555524262,-0.6530140374037947,-0.5553886315519243,0.04499551367275953,0.14818509006351724,-0.2510807989225579,-0.20644679674194832,-0.4996448150228103,-0.4035754593027503,-0.38166428834201116,-0.2225695113936157,-0.1498495533202388,-0.7281895827593496,-0.7694398646828178,-0.702135181696528,-0.7251531721398031,-0.678376878673564,-0.8285301690105725,-0.45272533276860394,-0.48374013870003857,test,826.5236593059938,1
3640,-0.19938326873870313,-0.7555306754479532,-0.8006986261828003,-0.42066324619380474,-0.6739799074492503,-0.5851541669968228,-0.5045220645547589,-0.5169713143933612,-0.6575505115651729,-1.0058360288517818,-0.8769036396616289,-0.20655008356327026,-0.897595168183331,-0.2324657286815338,-0.5885915543431215,-0.5036491748969163,-0.7440835161768318,-0.911023086093599,-0.6599867687531706,-0.18912614983630568,-0.5321581175002996,-0.9786901831151227,0.2358179922505486,-0.6576568421844758,-0.5583512227078297,0.05361416304955796,0.1550497790038882,-0.2508678275099502,-0.1980956976778894,-0.49985430866109876,-0.39921694718128986,-0.37325710955409364,-0.21739103767640305,-0.14924603410762927,-0.7285429694075645,-0.7674398805062489,-0.7028124306508783,-0.7259967782571138,-0.6752410680260309,-0.8297681760461526,-0.44643217104536304,-0.4873408501576191,test,826.7507886435332,1
