,AIBL,AIBR,ALA,ASJL,ASKL,ASKR,AVAL,AVAR,AVEL,AVFL,AVFR,AWBL,AWCL,AWCR,BAGL,BAGR,DB1,DB2,RIBL,RIBR,RID,RIML,RIMR,RMED,RMEL,RMER,RMEV,SABD,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
736,-0.23494391755503713,-0.3549516624162432,-0.16578819431031894,-0.01519586061535804,-0.43846516135232605,-0.3776078225390574,-0.4037362482813821,-0.4635762610088304,-0.44995540064165856,-0.13726645187180356,-0.15095818989792484,-0.17339271887775037,-0.1867465184431758,0.053569397631652554,-0.8236216267987285,-0.8569633256173217,-0.4562725448886962,-0.5580800130160104,-0.6081442719171799,-0.4129505595419293,-0.3647671665036347,-0.5349170597908237,-0.520727515823689,-0.2641808458767297,-0.41476089562617213,-0.6100892087088321,-0.4262092176806971,-0.19153457942026333,-0.7609323004048951,-0.7044130698471106,-0.641143094380804,-0.7016248121609147,-0.6940843953939345,-0.6279972165358881,-0.5620431177310236,-0.16481932195702223,-0.3507608292435805,-0.2534678449091616,-0.5331427462391719,-0.580995774459265,train,306.07624181748173,1
737,-0.2375098694827592,-0.3542823548477844,-0.1560100424997823,-0.009831755492144358,-0.4347568664060494,-0.38190680625013707,-0.4034898501376242,-0.46658678965835193,-0.4556340781822899,-0.14389269301456045,-0.1507710096773226,-0.17235413664165822,-0.1981757929941401,0.044390668798276946,-0.8321577081299063,-0.8623621388841964,-0.45873198170873986,-0.5671734970804067,-0.6108959719098819,-0.41678955771912507,-0.36503606282474677,-0.5428664431666199,-0.5305203746829329,-0.26699328511764425,-0.42065837316407384,-0.617035725237638,-0.42813723481819665,-0.190224385429674,-0.762124588558336,-0.7031322428325495,-0.6384555411828245,-0.7126546931672408,-0.689763186857882,-0.6314469897664441,-0.5622058186366874,-0.16366334086325526,-0.35320812004422975,-0.25961594146055317,-0.540778035604263,-0.5806466997365987,train,306.49210627647284,1
738,-0.22602087980883984,-0.3440438634025669,-0.15470523372036007,-0.0029556379628054505,-0.43160262701760754,-0.3691226975006045,-0.3956356408093614,-0.4678776054228963,-0.4463650242914789,-0.13610063064140507,-0.14813968370736857,-0.17104729742602678,-0.19756683491593896,0.04940866965054207,-0.8319005633408891,-0.8567803965013383,-0.46223452048120983,-0.5735391663317349,-0.6092108145774815,-0.4243949900211419,-0.3613132005073453,-0.535288146901396,-0.515361547793934,-0.26391676818823107,-0.42705547619276074,-0.6066185656917181,-0.43262364899318173,-0.18825616602865508,-0.764816340955665,-0.699835623138302,-0.6310003553016252,-0.6991430778656963,-0.6966813329892187,-0.6324298834130333,-0.5677243285925908,-0.16553851870136588,-0.3595574058164297,-0.25810492192804346,-0.5469321633296791,-0.5767408963248256,train,306.907970735464,1
739,-0.22425709809471933,-0.3320310548248465,-0.14348773473618998,0.0014163998194104636,-0.433423487913132,-0.36680156462669966,-0.3800773491887329,-0.45901360360913745,-0.43181488994270234,-0.13425281320653187,-0.14774912337700535,-0.17001633989339773,-0.2000428711720475,0.04206196547189769,-0.8348391654632797,-0.8494663297090947,-0.46045714977391805,-0.5776151448238112,-0.6095165643453058,-0.42504695251562896,-0.3560680018907447,-0.5250436060879752,-0.5040416790643084,-0.26693465265555577,-0.43462376095927946,-0.6125435506283718,-0.436961504102005,-0.18802339348061478,-0.7583543595963215,-0.6991564046611702,-0.6209019071056978,-0.69690299051259,-0.6937178212517037,-0.6258886068282029,-0.5682259502418572,-0.1661627582749691,-0.363782819592579,-0.2516648523733339,-0.5486774136023338,-0.5801151513389521,train,307.3238351944551,1
740,-0.2093287937820111,-0.3016562297828804,-0.15093596025691172,0.006042865247559844,-0.4436926702778191,-0.365461813462922,-0.35078245098927985,-0.4295129547637661,-0.40140215251044886,-0.13473492826035302,-0.16067599477052466,-0.16007114110799983,-0.19796921293350178,0.04342245539053118,-0.8418845874076988,-0.8640537422750529,-0.4587978330119884,-0.593398253324673,-0.6351182771356699,-0.45342321080913706,-0.3562691220040647,-0.5107944342750582,-0.4810974390239726,-0.29097191439745057,-0.466590813597618,-0.622022130166349,-0.4661707217472489,-0.18593472079552253,-0.7630832612556876,-0.6909953674314537,-0.6243090937584909,-0.70342421460283,-0.6832368128092432,-0.6113040050396996,-0.5656631450811009,-0.1588310129337046,-0.3540930554205378,-0.22042971522019358,-0.5706403136128941,-0.5912406095937703,train,307.7396996534463,1
741,-0.19297986077299328,-0.27306117946915953,-0.1495323896662882,0.013450002950439292,-0.4343484851520216,-0.35571338522885493,-0.3338438589582994,-0.4034166746987336,-0.3816373028229147,-0.14100350657869037,-0.16084579730209686,-0.1608134003607386,-0.19833287531383068,0.048174285661729224,-0.8426692899847384,-0.8672392326637951,-0.4541567987074848,-0.6088327009535346,-0.6566394755736764,-0.46662286027320565,-0.3578257201733068,-0.49770869020554487,-0.46821857086574636,-0.3037203377236867,-0.4923664866187034,-0.6339026437190685,-0.4856760627877682,-0.1828531936567935,-0.7642403748084969,-0.6870512497923302,-0.6182686224371002,-0.696666981737595,-0.6728377011937312,-0.6015228070223828,-0.5618481663699951,-0.1579619786127412,-0.35785693602706453,-0.2063297223599518,-0.5875771443700699,-0.5882347174790934,train,308.15556411243745,1
742,-0.18234591505126446,-0.2540646518655367,-0.14848526493336564,0.016146406695648305,-0.4295522061876885,-0.35850617217579045,-0.3035041690830739,-0.37786944262265904,-0.3584165220720652,-0.137036001657544,-0.16598681777533342,-0.16085853995578825,-0.19770393977611697,0.04752576504151491,-0.8347227644161108,-0.8642503633388559,-0.460170143561913,-0.6149200060049327,-0.6601998598152194,-0.4708589678185613,-0.356992943016203,-0.48624796023896527,-0.45363242845703333,-0.3109846752378436,-0.5038975162945667,-0.6416273314630309,-0.4855742883525556,-0.17351844818422807,-0.7622117654373822,-0.675281372229811,-0.6197085849430545,-0.702599957233982,-0.6590689441053539,-0.5935237847773445,-0.549308925241909,-0.1509595816293865,-0.35304442724891655,-0.19841914934832228,-0.5897371849424994,-0.5894232831127633,train,308.57142857142856,1
743,-0.16082393026985353,-0.2299195907381753,-0.14294313640380119,0.02436031468928006,-0.4290679138063057,-0.34440994099800537,-0.278858193274188,-0.3618071042119652,-0.332111839185305,-0.13205316847884735,-0.16402011669720049,-0.16234204207593794,-0.2008668179905691,0.04911088564934288,-0.8404624394199885,-0.8583600228889257,-0.4602484479806481,-0.6341778317922335,-0.6745166832530763,-0.4834549183483642,-0.35659874069089503,-0.46821607644499336,-0.432865671235786,-0.31861570000830297,-0.5222497675718153,-0.6529997226949462,-0.5089771252867461,-0.1703862145776014,-0.7580256089015004,-0.6716917880432172,-0.6100967084121715,-0.6918734878346617,-0.6531486045866904,-0.5916898896631225,-0.5536541282601102,-0.16107933174700662,-0.35930622453976085,-0.17879109584617542,-0.6098594779239475,-0.5921507668561502,train,308.9872930304197,1
744,-0.13413371138590147,-0.1916050961840648,-0.1429932517158813,0.03889980353360711,-0.4120856735784585,-0.30656794052215475,-0.2374830838896735,-0.3269512218175502,-0.28356328542320075,-0.13123522729280268,-0.16904521431743053,-0.15705775592186524,-0.21131076725452086,0.04542771620788684,-0.8357819265239981,-0.8459110299712161,-0.45092125287105955,-0.643672017436427,-0.6647047544263645,-0.4885711999544754,-0.36106860755775216,-0.42669612982413485,-0.3910704517196091,-0.35139031454769937,-0.5449148261399241,-0.657333899813548,-0.5366647363873664,-0.1641114093929086,-0.7442271940094237,-0.6648070677156578,-0.5974561897954035,-0.6628748017543628,-0.6234182437973312,-0.5664484640113273,-0.5427167418973784,-0.16241201768002478,-0.3502628342163457,-0.14044104141292776,-0.6196678323710576,-0.60745342237852,train,309.40315748941083,1
745,-0.11017795743824538,-0.15896579953782805,-0.1355416100483514,0.04360578171334231,-0.40441246307371626,-0.2884287856000907,-0.2036134831522648,-0.3091351470169278,-0.2491584427463424,-0.1304341246264349,-0.16227158375718234,-0.15596960451455646,-0.21465695159695808,0.04457881005165286,-0.8356835476634226,-0.8410184489312955,-0.4442180410874931,-0.6493165756341737,-0.6805488063610539,-0.49881836827451276,-0.35962961343197686,-0.3955663134501457,-0.37062503391254015,-0.3833393520027662,-0.5833202364788282,-0.6800264201671501,-0.5599985139487519,-0.16104594900348865,-0.736617990593495,-0.6642860056894131,-0.5836644446937018,-0.6649145380414971,-0.6086601613325049,-0.5484108190603667,-0.5383629235989028,-0.1684743752757188,-0.34387982443059634,-0.11831782223874074,-0.6380072250089152,-0.6173057337327494,train,309.819021948402,1
