,AIBL,AIBR,ALA,ALNR,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA9,DB1,DB2,DVA,DVC,PDA,PHAR,RIBL,RIBR,RID,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VA11,VB1,VB2,VD13,train_test_label,time_in_seconds,tau
20,-0.34011537,-0.038703747,-0.19207703,0.061672702,-0.15209308,-0.17512982,-0.096592724,-0.023530759,-0.47254747,-0.30197063,-0.17797154,-0.16849506,-0.31771222,-0.051852114,-0.39940658,-0.08122215,-0.2924097,-0.4131952,-0.27577588,-0.48619404,-0.10447491,-0.22325821,-0.36731333,-0.05560538,-0.29527697,-0.100385025,-0.20067254,-0.38245857,-0.33876383,0.07351013,-0.40165156,-0.28047237,-0.31945252,-0.22499773,-0.26173902,-0.33993435,-0.3907537,-0.2659712,-0.510185,-0.04685817,-0.15999937,-0.34614307,-0.23712517,-0.024736568,-0.29098025,-0.087776415,-0.25976282,train,6.523709,1
21,-0.34664178,-0.02598635,-0.2088305,0.051394884,-0.15470728,-0.17805132,-0.096062556,-0.0041631237,-0.4919915,-0.3139418,-0.18231446,-0.1778769,-0.33358622,-0.058585092,-0.4020465,-0.071888074,-0.32789588,-0.4117785,-0.28029695,-0.4878523,-0.10047222,-0.23633261,-0.391056,-0.049990416,-0.3089067,-0.10607213,-0.19486532,-0.41591653,-0.35722446,0.05389104,-0.4125342,-0.29496518,-0.31852877,-0.24744922,-0.2855168,-0.3345042,-0.40735894,-0.2832827,-0.5215521,-0.04898177,-0.16391972,-0.35764447,-0.23797259,-0.02910237,-0.30377012,-0.08082606,-0.26840302,train,6.8498945,1
22,-0.33817208,-0.015471652,-0.20000798,0.045395482,-0.15422788,-0.15001446,-0.07769181,0.010785595,-0.49694386,-0.30914018,-0.17615771,-0.16044961,-0.325307,-0.06759165,-0.38271335,-0.06414823,-0.32890835,-0.40578055,-0.27817518,-0.4851731,-0.10300196,-0.22849691,-0.39453757,-0.039214056,-0.31858873,-0.08977324,-0.19109717,-0.40638933,-0.35563666,0.049957126,-0.41487867,-0.3010528,-0.31128576,-0.25330797,-0.28371182,-0.32856253,-0.41107386,-0.28029624,-0.50183773,-0.041960843,-0.16771445,-0.35482886,-0.23507199,-0.040486015,-0.31848773,-0.08348216,-0.24897256,train,7.1760798,1
23,-0.34118584,-0.0037423223,-0.20742124,0.045122713,-0.15141812,-0.1460819,-0.069292426,0.021622822,-0.5117032,-0.31039402,-0.16978109,-0.14918861,-0.32875893,-0.07434574,-0.38288558,-0.06333226,-0.3406022,-0.40513897,-0.28365475,-0.48749807,-0.095252655,-0.2239986,-0.4122355,-0.030924965,-0.3348007,-0.08823368,-0.18002182,-0.41642052,-0.36078894,0.047066882,-0.42121202,-0.3136576,-0.31128585,-0.26316828,-0.2958033,-0.32688433,-0.4224076,-0.2876976,-0.49676737,-0.031840347,-0.1774615,-0.3456685,-0.22720684,-0.043699168,-0.3264987,-0.08591299,-0.24575979,train,7.502265,1
24,-0.3588582,0.0067769997,-0.22502457,0.037614085,-0.15195249,-0.15736614,-0.07125433,0.04076293,-0.5375605,-0.32221815,-0.16733709,-0.15465724,-0.34655142,-0.076776326,-0.3865484,-0.060723368,-0.3730741,-0.40586454,-0.2852561,-0.49128416,-0.09238405,-0.2290244,-0.43119574,-0.020618757,-0.3499719,-0.09069416,-0.17084062,-0.43879262,-0.3751549,0.0254574,-0.43584883,-0.32129967,-0.314431,-0.28096476,-0.32448444,-0.3266853,-0.44471765,-0.3143477,-0.50499403,-0.01695823,-0.18638568,-0.3555757,-0.22266285,-0.037657052,-0.33447218,-0.09080305,-0.24798208,train,7.8284507,1
25,-0.36835325,0.019303445,-0.2394979,0.0155710345,-0.15102986,-0.16331236,-0.08319561,0.054919302,-0.5557289,-0.33301204,-0.1679906,-0.16261731,-0.36618158,-0.08281779,-0.39877254,-0.05616693,-0.39299977,-0.4122147,-0.3017558,-0.5010519,-0.087421104,-0.23295872,-0.45721763,-0.014224401,-0.36960018,-0.10188547,-0.16563477,-0.45675912,-0.3894726,0.017868388,-0.44651932,-0.34137326,-0.31598854,-0.29740432,-0.3529185,-0.33838317,-0.4559204,-0.32488015,-0.5124538,-0.0143351555,-0.18144633,-0.36592773,-0.21806736,-0.03789022,-0.34982896,-0.102518514,-0.25064987,train,8.154636,1
26,-0.3489964,0.021178897,-0.23984444,0.014755366,-0.14686328,-0.1422523,-0.06600766,0.05546564,-0.5603894,-0.3289678,-0.16345993,-0.14403944,-0.35330585,-0.09326524,-0.3891271,-0.0443901,-0.39310253,-0.40551126,-0.29767174,-0.4974299,-0.08493745,-0.23244235,-0.4739632,0.0059951544,-0.36925712,-0.09444107,-0.1638892,-0.45812005,-0.38525754,0.013292024,-0.44085443,-0.35644037,-0.29996395,-0.31145173,-0.34671372,-0.32241777,-0.47220922,-0.31909946,-0.5031632,-0.010061413,-0.18192087,-0.35155293,-0.21179579,-0.047103412,-0.3573007,-0.096849635,-0.24292049,train,8.480822,1
27,-0.33456996,0.037656758,-0.22199628,0.012047121,-0.14676869,-0.10568747,-0.048133407,0.0653186,-0.54817104,-0.33564645,-0.15543199,-0.12229903,-0.3474248,-0.1009754,-0.37387538,-0.052730184,-0.38065028,-0.4113114,-0.2960618,-0.4823126,-0.081821464,-0.21139556,-0.47683716,0.012984475,-0.37521377,-0.08142209,-0.1509402,-0.4500753,-0.37596494,0.025135258,-0.44271788,-0.35887983,-0.29367718,-0.31374264,-0.33826768,-0.3248301,-0.47521976,-0.30615306,-0.48028487,-0.003447011,-0.18476802,-0.350698,-0.20589769,-0.054248415,-0.36582884,-0.09943074,-0.22191623,train,8.807007,1
28,-0.3448955,0.046153355,-0.23974755,0.0059543774,-0.15552728,-0.11118109,-0.04795124,0.07793191,-0.55992895,-0.34143513,-0.15502772,-0.122925736,-0.3538948,-0.10974922,-0.3678486,-0.050304707,-0.39667112,-0.4084761,-0.30441433,-0.499759,-0.07191636,-0.2227521,-0.48144144,0.009312628,-0.38910666,-0.08041242,-0.14574946,-0.4585995,-0.37600484,0.022547847,-0.4565677,-0.36824334,-0.30032873,-0.31983915,-0.35081887,-0.33386984,-0.48847282,-0.31541094,-0.48288873,-0.0019432753,-0.19522157,-0.3533176,-0.21061859,-0.044540033,-0.37008163,-0.0978328,-0.21925503,train,9.133192,1
29,-0.34843057,0.044731896,-0.2510639,0.0020361375,-0.15221728,-0.11490699,-0.045334388,0.07810973,-0.5780712,-0.3477283,-0.16230008,-0.13236482,-0.3567445,-0.10737527,-0.37063953,-0.05085059,-0.40649942,-0.4168142,-0.30070665,-0.5059818,-0.06996691,-0.23391551,-0.4894017,0.022765705,-0.39816204,-0.07520336,-0.15292673,-0.48310453,-0.37507576,0.017812494,-0.46143937,-0.37153092,-0.28875095,-0.32336786,-0.34871948,-0.32488593,-0.5056658,-0.32423985,-0.48465765,0.0132268,-0.19410707,-0.3445128,-0.20601466,-0.03845013,-0.3653912,-0.0990839,-0.23311222,train,9.459378,1
