,AIBL,AIBR,ALA,AS1,ASKL,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,AWCL,BAGL,BAGR,DB2,OLQDL,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVL,RMED,RMEL,RMER,RMEV,SABD,SABVL,SABVR,SIBDL,SIBVL,SIBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVR,URXL,URXR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
1377,-0.907685921251032,-0.9014169003431127,-0.47417229034424857,-0.3975111608539139,-0.3631012678086828,-0.9607913624580238,-1.035042705710271,-0.20319088715611328,-0.8132466205919096,-0.8371722658008607,-0.29154456729947004,-0.3547400505660772,-0.40144823894222387,-0.6201949390354143,-0.5808218502495195,-0.2862799016681215,-0.5280835216606042,-0.30850878914290014,-0.08034373837278472,-0.4945402994349499,-0.4613018740685988,-0.882017429407526,-0.8472338123987896,-0.4938659205959428,-0.8281450722519068,0.07645041008822812,-0.09052840383464203,-0.2627587054322232,0.12468123874365125,-0.6433775017901249,-0.5715998134501699,-0.5803699635757055,-0.18052176567065994,-0.2676810503217312,-0.3058151446482845,-0.8264137173595433,-0.5728982701806359,-0.7663532586032412,-0.9415928344012666,-0.8841944678765759,-0.683025809421921,-0.8518863522347611,-0.77431781152021,-0.7010335986849842,-0.4636621630200919,-0.46800615326391215,-0.660469145692568,-0.4329170372227239,-0.26792604230975814,test,596.056112224449,1
1378,-0.9001294647541744,-0.8951278877361606,-0.4868904689250928,-0.39533124715513523,-0.3611836773886983,-0.9654633567769506,-1.0370859704629714,-0.20018094565153866,-0.8090465979124783,-0.8435328363236643,-0.28519329224703827,-0.35886234197373135,-0.40414989541517415,-0.6261808099540482,-0.5986047925927023,-0.28501198006050327,-0.5150542513356877,-0.3137467618050945,-0.08905291919925319,-0.4932055457477892,-0.46865632840419724,-0.8865186707694243,-0.8511927991319185,-0.4974906841636418,-0.8171653880069389,0.060261264516026314,-0.09911546782685877,-0.2808184390593615,0.09970084606598836,-0.6532839254156207,-0.5805490944634032,-0.5756764370343006,-0.18009059904273855,-0.2679072293374883,-0.3056905093505863,-0.8388516584174344,-0.574565115365079,-0.7746107883622476,-0.9416139117511728,-0.8928632058809826,-0.6829609955558675,-0.8639027694895913,-0.7849019787854793,-0.7086060007681015,-0.4694498375185391,-0.45808774973115396,-0.6722625885939452,-0.43260850046043936,-0.27813426299829536,test,596.4889779559119,1
1379,-0.8921245468896131,-0.8956071226628205,-0.47569501923829466,-0.39659216293494337,-0.3551226317914822,-0.9649497284525927,-1.0256095684067617,-0.19115361556069904,-0.8085166512847703,-0.8451804233360756,-0.28295386026928154,-0.356852979350756,-0.39010811969663656,-0.627252504545564,-0.5880580499564962,-0.2875387418574024,-0.5213076758672057,-0.32357890274251644,-0.09283366504621711,-0.485842368699066,-0.4616625081747844,-0.8847244232830722,-0.8553223664206668,-0.48711629611927193,-0.8056070398436976,0.051991925938638994,-0.08644380410813998,-0.28049326209755043,0.10889565087312136,-0.6513283060327753,-0.5760994477812911,-0.5783908643111378,-0.1692008516811095,-0.26924531283068376,-0.2957885934999305,-0.8308064913997081,-0.5714321317563031,-0.7599315691641976,-0.9339591820296309,-0.8951697131822803,-0.6744543996548168,-0.8654304920546382,-0.7892587079520712,-0.702439617703564,-0.45701384862338623,-0.4555869761568365,-0.6612746514164558,-0.43091060058094854,-0.2691073471581248,test,596.9218436873748,1
1380,-0.8895229145989657,-0.8930012299823316,-0.4644050151861888,-0.4005844848663062,-0.37117777890450004,-0.9732856656208413,-1.0256820334571028,-0.180437282442157,-0.804958085702359,-0.8438542879925142,-0.28449542703351854,-0.36030300303164303,-0.401668292795346,-0.6325784732362248,-0.6070015761712229,-0.27499363323868015,-0.515844889013553,-0.3082842150097771,-0.08146272062770499,-0.49618552916927483,-0.46428076680694175,-0.8751576493866117,-0.8487586079287125,-0.5005230034929625,-0.8063928423016526,0.05459481025603208,-0.08892373704765182,-0.27369436615816684,0.09211717827120208,-0.6511168628499114,-0.5842175401069295,-0.5766702745751761,-0.18276693383289006,-0.26659430013221375,-0.3010828103248443,-0.8315345987845724,-0.5783500652396412,-0.7688751717717958,-0.9334771343547464,-0.897769102979315,-0.6757628883677165,-0.860922635658994,-0.7887942752734196,-0.7095298300672269,-0.4658042074734987,-0.47723412430605305,-0.6717441900706898,-0.4204097716576189,-0.2596951190963162,test,597.3547094188377,1
1381,-0.9071349054836838,-0.8947612802566695,-0.4766324447746377,-0.3982274197958436,-0.36949828908665866,-0.9719307497363384,-1.0383395019007458,-0.1869251242004752,-0.8185130308542197,-0.8387930305722342,-0.2888507817790139,-0.35308530187116094,-0.3972410764145656,-0.627260736034346,-0.586221257746499,-0.2786744240005078,-0.5207066625845544,-0.29335072415005015,-0.07004476443351758,-0.4997480035154374,-0.4642177160627994,-0.8821666537879502,-0.848313683179624,-0.4959283448060816,-0.8158128399550963,0.07298331104615802,-0.08845021283982976,-0.25350162020992345,0.12796056024604566,-0.6505026255481939,-0.5684258260077548,-0.5804580362714679,-0.19285003310598622,-0.26285863689805467,-0.30382007951922785,-0.8274018732695606,-0.5690220929383873,-0.763447145870849,-0.9370846923677123,-0.8716769574923434,-0.6758080257931772,-0.8412995280858733,-0.7699281434540857,-0.7056418393666786,-0.4590143123675702,-0.458778455429384,-0.6794563256713603,-0.4106975066750577,-0.2551276387199807,test,597.7875751503007,1
1382,-0.9121544256241696,-0.8955447919490481,-0.4629645566083352,-0.4017696685814964,-0.3712096146658176,-0.9769006244591635,-1.0398450715413943,-0.17621698384098722,-0.8294787519977529,-0.8440294619983026,-0.292004178013693,-0.35103906345397135,-0.39658722876345043,-0.6322134243165575,-0.5867268236271862,-0.2732414785066921,-0.5281605734912755,-0.30420072122250114,-0.07838893660223964,-0.48934104293230896,-0.4615828928402683,-0.8865464969694377,-0.8572594251606102,-0.48835733566625666,-0.7963615121756293,0.075191557498961,-0.08560019961240085,-0.2641796715323113,0.11949643643548044,-0.6486632761414065,-0.5708137412939585,-0.5840329748084194,-0.19296676300754567,-0.25139790938319306,-0.29462924895758064,-0.8224984710405957,-0.5814849421547645,-0.7533855054448958,-0.9330420174866532,-0.8840238833057928,-0.6683934246260816,-0.8558700553782655,-0.7750491972299853,-0.7050099288491283,-0.4531594926937119,-0.46018884262580073,-0.6795877277394852,-0.41974702029231475,-0.2594296850128861,test,598.2204408817636,1
1383,-0.9148044408051609,-0.8946287622512347,-0.45507628390720073,-0.4065464140817443,-0.36539270511396493,-0.9690974540488108,-1.0387290140254908,-0.1776721460716644,-0.8251330593441821,-0.8415045450412313,-0.2891496715204671,-0.34128943289427577,-0.3993607896709923,-0.6335457059795819,-0.5884148410905555,-0.26551533144830014,-0.5229320038789833,-0.29838284011352384,-0.0751079823905306,-0.48315808291157814,-0.45880239087309116,-0.8830841641061171,-0.8477892780027529,-0.49155921070311287,-0.7964144980231442,0.07123349280252583,-0.0820741520307839,-0.26536000840632373,0.11513617821624278,-0.6551076158247034,-0.5720629740948028,-0.5822408589922756,-0.19096672412317023,-0.2485153353666918,-0.28881483152273973,-0.8230005171251612,-0.575483416445024,-0.7656379793532505,-0.9366062074020279,-0.8823521796084459,-0.6675395325117395,-0.8532853544043849,-0.776952441162749,-0.7041633620151396,-0.4520916370283865,-0.4599620239108665,-0.6784271519848989,-0.4130119511212792,-0.26421682056917206,test,598.6533066132265,1
1384,-0.9090352685655849,-0.8874572828190023,-0.45725450404662915,-0.3929916246033994,-0.3722264307122831,-0.9525896221385811,-1.0276812527148513,-0.1981141172790784,-0.8077026682339388,-0.8315107944497391,-0.2985805885646392,-0.3367903673367239,-0.39878418303666974,-0.6271550484953899,-0.566741906600816,-0.2724643528893468,-0.5174006985947622,-0.30649094885259576,-0.07871081830862081,-0.4829264382849534,-0.4561992408728849,-0.8844999998989808,-0.8245294279940869,-0.487211516332803,-0.8091279830646141,0.07344899708062136,-0.09271832287348329,-0.2711617520345513,0.11645805561686934,-0.6517439536753974,-0.5617889340779892,-0.5866082906482644,-0.18411108412156213,-0.2610069474958721,-0.2936621485615291,-0.818610707717581,-0.5850493476593863,-0.7615797763274246,-0.9330404126131299,-0.8836563835539429,-0.6801446754100188,-0.8436742790639336,-0.7698563249959869,-0.6899524424258943,-0.4395503470844123,-0.45159274441988406,-0.6671703979826566,-0.4208905777993912,-0.26935590544578847,test,599.0861723446894,1
1385,-0.897237183268592,-0.8807719634623185,-0.44522675103363313,-0.4064791971237599,-0.3726425760746057,-0.9478935957551589,-1.020158500815806,-0.19153222058500205,-0.8025828039052798,-0.8328561055623267,-0.29799686658667546,-0.3325266994214774,-0.3899720657851933,-0.6253067549774891,-0.5646663702455316,-0.26333857514306874,-0.5209257349676247,-0.30274011106008447,-0.06607049621986322,-0.48350472968878483,-0.4547238314609363,-0.8735313821924487,-0.8220466793091277,-0.48726524421569994,-0.8066458079205661,0.07534911161669433,-0.0914495611784159,-0.2533430975152425,0.11800382923136196,-0.6405884964610765,-0.5696584093680314,-0.581315437709867,-0.18411041239486114,-0.2626572864205238,-0.2947895130055856,-0.8066343398130691,-0.5777400735082926,-0.7511907424714314,-0.9256860776233072,-0.8758043262037976,-0.6719238598193416,-0.838041507347702,-0.7612803517607052,-0.6850544006861509,-0.4441058428760063,-0.4590501316016089,-0.6594749140595612,-0.4132521233310774,-0.26747227006219537,test,599.5190380761524,1
1386,-0.9051947288370775,-0.8943761118957652,-0.43654695943859667,-0.40671395352166945,-0.36423696966650265,-0.9550556868950112,-1.0331339369401933,-0.18279788860094034,-0.8205393171569704,-0.8488779176108219,-0.2976727710440042,-0.3278116037467771,-0.39743859965699424,-0.6330184044974883,-0.5735977450358619,-0.27145978961830625,-0.5285025435164996,-0.30972810828571173,-0.07310837569039469,-0.48053082043946943,-0.4520400451785227,-0.8783341393383555,-0.83479645137827,-0.47984951319758007,-0.8043836604511876,0.07741439414345219,-0.07317818741702167,-0.25468657395861577,0.13070138347151325,-0.6435866478365415,-0.5694175711435984,-0.588089586165474,-0.18218042211726676,-0.2578364800485024,-0.2951867242346839,-0.8086860071365234,-0.5785979477502631,-0.7567319712053819,-0.9286038433861299,-0.8867447619223844,-0.6708918932561148,-0.8560484014609312,-0.7774797026043744,-0.6907388348174875,-0.46117759924474566,-0.47439133881789286,-0.6660368368979944,-0.41539694713054126,-0.27935642863790044,test,599.9519038076153,1
1387,-0.8991142850445465,-0.887276972798342,-0.45234173934449917,-0.3946159962625307,-0.362516664307878,-0.9512580711291777,-1.028208870890624,-0.18088328670274642,-0.8104421934123134,-0.8459966659193277,-0.2855566336772358,-0.33550370946639396,-0.3989817102721828,-0.6290106370937858,-0.5810590911489658,-0.27962933264169515,-0.5220571226410631,-0.31119091018431677,-0.08152781559122182,-0.4794398910582054,-0.4543907288286737,-0.8829676398111816,-0.8374119345979203,-0.4873969867663528,-0.8075719191855861,0.06470304375628749,-0.084087045261574,-0.26521986234623135,0.13200927201690763,-0.6408522352153906,-0.5711342806481274,-0.579391802283393,-0.1755722850027986,-0.26400947349876147,-0.29769673695895704,-0.815714014177594,-0.5682584381865871,-0.7597999668898997,-0.9191121220950365,-0.8835981613197651,-0.6781151195941156,-0.8541868800623816,-0.7839933824344124,-0.6883552766009334,-0.4662116777832217,-0.4628735223016559,-0.6628750516984923,-0.42110985431455605,-0.2875922252970356,test,600.3847695390782,1
1388,-0.901930462901906,-0.9014050738199189,-0.44044852325572414,-0.4146444649895564,-0.3613975180110225,-0.970971399965985,-1.0377426387575561,-0.18335676224961178,-0.8173730234347163,-0.8549942147438858,-0.28220814611688877,-0.33080438956458097,-0.39521337064742995,-0.6248239585835921,-0.5786561940198498,-0.2574778902665691,-0.5354207105760557,-0.29966932430869514,-0.056095555930848376,-0.4839003097800222,-0.4526537352587221,-0.8809500449292864,-0.8427310547667628,-0.4914022016945947,-0.8072066712193351,0.07615012980776248,-0.08351464882618895,-0.24598546949218786,0.1342600689905444,-0.6467818869761393,-0.5833612684197431,-0.5716362420605491,-0.17845146197313994,-0.2632179412423757,-0.291056594692764,-0.8041741602633147,-0.5661047003825312,-0.758726330315917,-0.9218901037574695,-0.8747215635357296,-0.6719654968113761,-0.8556327093866292,-0.7738588141226939,-0.6852640027335712,-0.4789012975667958,-0.4826932547414783,-0.6617307581557382,-0.4202530426446761,-0.2723134050199254,test,600.8176352705411,1
1389,-0.9011791086697275,-0.8967303465331857,-0.4505280813932903,-0.41966540568558036,-0.36534226274463827,-0.9738134933451009,-1.0374089060281497,-0.19759626495295002,-0.8201448649363912,-0.847779242363228,-0.2866933142613984,-0.33817844416313964,-0.39423602685898496,-0.6297403704745534,-0.5891582052781784,-0.2722294273896307,-0.5321766941080518,-0.3094233709148496,-0.0657170577801445,-0.5037266783038072,-0.4632913653081787,-0.8783531113810035,-0.8472143535141784,-0.49765101550369123,-0.8153586424883299,0.06522656424847467,-0.09166688535071431,-0.26061649719461655,0.118165804483882,-0.6504104768258772,-0.5870149740815371,-0.5704639733520134,-0.18349668328565705,-0.27276524551002646,-0.3062735048618029,-0.8164028452319847,-0.5772645363410784,-0.7592788941140178,-0.9349909887336703,-0.8806483028147588,-0.6771062720342992,-0.8634618287248802,-0.77826354025446,-0.696796304134155,-0.4811338323307266,-0.47907564375071043,-0.6694738189996993,-0.42899465564511413,-0.2758689754698209,test,601.2505010020041,1
1390,-0.8944587871529425,-0.8870798371388878,-0.4473144383312793,-0.41426053490368697,-0.37697679864777994,-0.970146559960725,-1.0292953628278994,-0.17731839671461164,-0.8099928584000875,-0.8472658859974069,-0.2849379941720062,-0.355293096413768,-0.3948702736260157,-0.6348756656667021,-0.6072261143248348,-0.27092797476449804,-0.5376723310295872,-0.30415216064901884,-0.06809595403871796,-0.5133199996161126,-0.45510953395637943,-0.8668129735835802,-0.8487363852706714,-0.4914862929882482,-0.8019990028963775,0.06863857451443528,-0.0798334075490923,-0.25764842607150484,0.12091406632116067,-0.6407051717162554,-0.5858882543361144,-0.5738877780124587,-0.1874193308449619,-0.27425780363509245,-0.3106245691602383,-0.8044669848129246,-0.5747410373117363,-0.7551920660500817,-0.9301599768918004,-0.8802450288638392,-0.6671122911338545,-0.8627570726203151,-0.7856764350057944,-0.698479050671483,-0.4728106673653827,-0.48822688245400037,-0.6660721803411825,-0.4269572109246572,-0.26769230637266617,test,601.683366733467,1
1391,-0.8894875879980296,-0.8797085798746219,-0.4563122861004053,-0.4037942718019679,-0.36703012030102855,-0.9530930764123537,-1.0129958844500382,-0.20250597698674325,-0.7945599188379775,-0.8371006511275438,-0.28581250573019745,-0.3683959532459692,-0.3980244472231282,-0.6471648709135694,-0.6129928824358946,-0.28633741193171014,-0.5292302169126655,-0.32814636307774503,-0.09460924955111923,-0.5174850651456784,-0.4623013891420217,-0.8630373089979808,-0.840259826740331,-0.4956609970635305,-0.8086556925058146,0.04949434785402984,-0.09669810585596125,-0.28225727703211234,0.09525313086735757,-0.6440941012055401,-0.5827840558606048,-0.5642270629951701,-0.18391605270913997,-0.2788328985751348,-0.32690715084303845,-0.8191334394275416,-0.5819862377511971,-0.7683323305455436,-0.9455647611540643,-0.8934811011128595,-0.6795472825741034,-0.8742169631436084,-0.797259159857602,-0.7045834672995319,-0.4675094478397267,-0.47923522677240493,-0.657028184482276,-0.4411669959520681,-0.2839807992307265,test,602.1162324649299,1
1392,-0.889335950162834,-0.8840336594828628,-0.45935119840031663,-0.4042068984253901,-0.36695544844071204,-0.9474180361070034,-1.0168723695901247,-0.2109380924556562,-0.7929167950728355,-0.8371891010141002,-0.2829744043022971,-0.3590911876310425,-0.3983399448267114,-0.6426862697674197,-0.607520230018054,-0.27761944365274405,-0.5235898470117409,-0.318533723137885,-0.07903590689523819,-0.5227880207565232,-0.4602394644297756,-0.8639964659592697,-0.8352685615855356,-0.502921890067445,-0.8191419860267768,0.05253166414287197,-0.11110509139258114,-0.281362201297732,0.09263533493694953,-0.6477295637478763,-0.5776744214485637,-0.5644778071786507,-0.1886288986409268,-0.276807075234924,-0.3299385054472158,-0.8185323014830874,-0.5852290855769121,-0.7659333432196008,-0.9421113211791853,-0.881478573202475,-0.6837324861045803,-0.8638467191353306,-0.7855419299473779,-0.7084775071216245,-0.46792060102119937,-0.47853958654221174,-0.6633544831202064,-0.443162153914674,-0.28471417053029835,test,602.5490981963928,1
