,AIBL,AIBR,ALA,ASKL,ASKR,AUAR,AVAL,AVAR,AVEL,AVER,AVFR,AWCR,BAGL,BAGR,DA1,DB1,DB2,OLQDL,OLQDR,RIBL,RIBR,RID,RIFR,RIML,RIMR,RIS,RIVL,RIVR,RMDL,RMED,RMER,RMEV,SABD,SABVL,SABVR,SIAVL,SIBDL,SIBVL,SMDDR,SMDVL,SMDVR,URADR,URAVR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
2045,-0.17733165799955275,-0.0732195468148931,-0.07590214995349218,-0.4158924166560404,-0.14496421581669947,-0.4953156374637101,-0.1616119813525193,-0.2240627312744514,-0.31364688942060626,-0.23259008509204224,-0.2684202338471309,0.04928875673697995,-0.7078950458097915,-0.754109155779522,-0.3077653670739983,-0.5222237142480827,-0.6541239517037671,-0.4470900072847991,0.065888003705344,-0.5897812482006783,-0.5509562513140893,-0.34842151726669723,-0.3568989487282816,-0.3205416893017069,-0.32550853876958,-0.719848672200042,-0.5061196852640286,-0.4709711368479736,-0.16680083180474964,-0.5536571799815795,-0.5825386909216249,-0.4794839473080562,-0.2238996688953185,-0.19728836666535693,-0.33450971679497005,-0.11925754013172285,-0.31589747509132216,-0.3897122050032108,-0.7469015959657049,-0.6913233952933604,-0.6450890313296287,-0.5902710851589168,-0.6859622082520018,-0.47495650324420147,-0.6019664835986062,-0.14080987442346155,-0.2863937656237253,-0.2131931755534242,-0.3903274938674139,-0.2283286453858894,-0.39905832368294836,-0.6029244819121555,test,935.0550381033023,1
2046,-0.17695460937906654,-0.06995685106299054,-0.0818017445754317,-0.4214907710627517,-0.14251127095913663,-0.49193626915422584,-0.15174304521946666,-0.22315688306727047,-0.30350436875556414,-0.23119877354986199,-0.26327728766561675,0.04893834738324724,-0.711829536093177,-0.7525439885426138,-0.3022528177887082,-0.5183961662559293,-0.6584485843251668,-0.4478918303125583,0.0681596623249355,-0.5830711276534276,-0.5561407812625062,-0.3455721748896029,-0.36129046436322587,-0.3121104874511198,-0.3166958656656674,-0.7288643266541818,-0.5095005639106993,-0.47514481209429316,-0.1709107528160912,-0.5580459280163695,-0.5916126962350341,-0.4815544544309909,-0.2193781662404544,-0.1961055759356593,-0.33257144807031247,-0.11419136727554062,-0.3153052640010722,-0.3937725548637968,-0.746811281699994,-0.6887135972603574,-0.6579146675289355,-0.5991764077127165,-0.6839346674903889,-0.4763646953088001,-0.5981941531218367,-0.13376451022383407,-0.2863000273034546,-0.21622549480173664,-0.38855207089308214,-0.22451594923940774,-0.4042179217981076,-0.6057274262739001,test,935.5122777307366,1
2047,-0.18424658753065815,-0.07440094847618006,-0.07284940654123996,-0.41591739510193765,-0.14929405666091608,-0.49558451858526,-0.1608173722068373,-0.22369798439257246,-0.31036472432489814,-0.239733486916985,-0.2666582687895627,0.04369515301864134,-0.7065598843049365,-0.7549401239484761,-0.3026520459823252,-0.517490452390978,-0.6579553144485861,-0.4506802886563985,0.07134911702969249,-0.5833022895759046,-0.5522153299805436,-0.3457193084392451,-0.36101094232450087,-0.3159109343990954,-0.32355521825657374,-0.7250952010713999,-0.5115284335766794,-0.47493634475157154,-0.17384644529822124,-0.5515780136578783,-0.584698579540426,-0.4797366044689262,-0.2225566049605887,-0.1890293849343227,-0.32947779930965126,-0.1252845621063111,-0.3115157761018649,-0.3906305923425064,-0.7482102041791884,-0.6799355074757413,-0.6473429745264344,-0.5859811934359718,-0.6841027422687426,-0.4725761174521582,-0.5977584565168073,-0.13960904966094748,-0.28314037671933323,-0.21434070748310166,-0.38980964442041793,-0.22881953286061504,-0.39897269522190876,-0.6015804488650828,test,935.9695173581711,1
2048,-0.18016859530789667,-0.07739413561075878,-0.08134648572227411,-0.4141835553792187,-0.14795633343200812,-0.4986428512823167,-0.1686500683854113,-0.23365183888743277,-0.3056141292473439,-0.2567113859589019,-0.26573449068838284,0.05248641512870989,-0.7087738138001298,-0.7599788317285271,-0.3090949865962823,-0.5169762824120726,-0.65410355219719,-0.4570100480912857,0.07374242586787652,-0.5808518744568728,-0.556421822770648,-0.3433148310913914,-0.3634375109319041,-0.3217438717843637,-0.3243352890515682,-0.7218639291306319,-0.5073211273257199,-0.483416273625015,-0.17259188970993317,-0.5516181355348867,-0.5793811280050694,-0.49084094508478726,-0.22276352747988656,-0.19698330595585828,-0.33720762882000166,-0.12313202148593345,-0.31505777950263786,-0.38858661639008985,-0.7511758928723172,-0.6878043367052541,-0.6442361338042629,-0.5850356142811756,-0.685411813559219,-0.463859151644729,-0.6093943240951778,-0.13339723734526998,-0.2899428579025796,-0.21869583286168043,-0.38619772701755917,-0.23058435931809987,-0.39999389644133565,-0.6065733213548543,test,936.4267569856054,1
2049,-0.18171469484668806,-0.07422808516506452,-0.07245651843031678,-0.40635132092550963,-0.15255284000516492,-0.49798920377596056,-0.17482810212926408,-0.2305293742680054,-0.31047424568405346,-0.24741367728726263,-0.26470755924873346,0.05055291306881472,-0.704327840916968,-0.7547842290430096,-0.3096628607698331,-0.5176496634503691,-0.6471137302067559,-0.4581799737199325,0.07415512132527655,-0.5867709754743731,-0.5517426461408791,-0.3529277061285633,-0.3607676974425289,-0.3274226317532307,-0.32166537626801567,-0.7185280475445097,-0.5025014176932516,-0.4824579403969802,-0.1681717219471569,-0.5446340970824493,-0.5799207222184446,-0.48292689416039214,-0.21288329779898427,-0.19144081722301073,-0.3386452617435761,-0.12222633274114053,-0.3134908628215526,-0.38312061210382437,-0.75097912853962,-0.684978515802614,-0.6301049504412237,-0.5763477428124566,-0.6712710886615486,-0.4638664567045928,-0.604965287403344,-0.14535397340705544,-0.28959356331888997,-0.21939392568860408,-0.3866593495704777,-0.23144764936645923,-0.4036041923613083,-0.6064075293167106,test,936.8839966130398,1
2050,-0.1847649799828624,-0.08240751968617306,-0.07634812428181836,-0.3960534563951177,-0.1490329324557173,-0.5016051143375972,-0.1776844127521369,-0.23689005390951123,-0.30918623413753155,-0.24947608903841698,-0.2625062880105442,0.05516162814378623,-0.6992364789561974,-0.7483272195118313,-0.3106402744618831,-0.5109506680705882,-0.6430615399197722,-0.45717033761926934,0.07163611075567637,-0.5861512691865998,-0.539428974153363,-0.35295983277140824,-0.3632802426305763,-0.33367089738820943,-0.3194573177493958,-0.711488040818613,-0.5042661755845037,-0.4837206282006086,-0.16356037384124827,-0.5400361650176487,-0.5676103218764668,-0.48174135951446806,-0.2115381149522143,-0.191458244450956,-0.34137607937423636,-0.12383868320054993,-0.3067289404453053,-0.3753897905325321,-0.7475111110177881,-0.6845412937435934,-0.6225890640458833,-0.5761196675952519,-0.6719107330271128,-0.458646961476052,-0.6020995103316222,-0.14186384743408811,-0.29231450849224155,-0.21082398460455928,-0.38992282601822376,-0.22926564552010373,-0.3949384489311669,-0.6007242064141743,test,937.3412362404741,1
2051,-0.19252344600760013,-0.08139466369387197,-0.07299869252251481,-0.39753728839042235,-0.1504460190959927,-0.49478291792473694,-0.18090462842997013,-0.23428538333887788,-0.31252393983899573,-0.2435987630509007,-0.26031004423354626,0.048669284914644804,-0.7053312204318959,-0.7501926311986422,-0.31008469770515207,-0.5154981962414972,-0.6437878577062316,-0.4535478693443312,0.06185167902444305,-0.585684354486017,-0.5343128659039232,-0.3506567892982881,-0.36643425404724483,-0.3335973177325833,-0.3291010380637227,-0.7127091016388964,-0.5150532105819768,-0.4851969849523268,-0.16932144573762348,-0.5498455922445259,-0.5727013766291135,-0.47639763675732516,-0.20922084190878656,-0.19357738107103567,-0.341286213618437,-0.11786165180996382,-0.3085652669522303,-0.379577137889358,-0.7421006089143664,-0.6861944405333554,-0.6299874090653035,-0.5799692094786455,-0.6648548568253416,-0.468984438819426,-0.598008357671749,-0.1458857887153726,-0.29722258892498865,-0.21147716784790802,-0.3925543515476963,-0.23373905054496363,-0.3970589837718699,-0.5970806660905731,test,937.7984758679086,1
2052,-0.1877388187191013,-0.08143993542842679,-0.07022782807940127,-0.38602007440142166,-0.14946508104642545,-0.4970055448102679,-0.1799236968117795,-0.23495932773184125,-0.3120855431122968,-0.23104827097335381,-0.26200255883768075,0.045695039833476954,-0.6918778802630849,-0.7429444033041157,-0.3076658793182108,-0.5163267015816579,-0.6287131279995971,-0.4323814994307207,0.059427282085191754,-0.5876338395265847,-0.51412537780069,-0.3485373275051236,-0.3509846616954794,-0.3309527149003638,-0.31325552987035715,-0.7016527059831399,-0.5045897846328687,-0.4665569489785822,-0.15770941759490775,-0.5419229342137362,-0.5582246262742506,-0.47245653178079094,-0.20031375615162844,-0.19455063257704078,-0.3406567779718143,-0.12494711260105797,-0.30005244604820824,-0.3809938495558177,-0.7267953969610783,-0.6728189802436072,-0.6062102045841978,-0.5672135375313163,-0.6500098661918001,-0.45616576646940643,-0.5937295891020319,-0.1592788248496369,-0.2933446165849671,-0.19393677462381576,-0.3827545753458439,-0.21942872820868775,-0.3804538554849013,-0.5982917511660308,test,938.2557154953429,1
2053,-0.20171931473152635,-0.0867945822306101,-0.0787422701152542,-0.3683524856299419,-0.1591172181461235,-0.4907375467978415,-0.1991729385256749,-0.25125510356162506,-0.3224149650208261,-0.22945849432812634,-0.25855269637134426,0.03464762396726021,-0.6988477132509177,-0.7392177725406746,-0.31873876278181984,-0.5150841253036587,-0.6222352189402326,-0.4397493558384924,0.057421972694126855,-0.5791223624194035,-0.4994941394522139,-0.35179045677006604,-0.366550359117272,-0.33938227272605626,-0.32572622518166977,-0.7087609535194458,-0.5317513812413419,-0.471538520515496,-0.17511225497869443,-0.5411872375257791,-0.5587470095869035,-0.4607942318870931,-0.20019888238509695,-0.19671351358677178,-0.34139527752117205,-0.12169555951480494,-0.2877236280922399,-0.3718285395766585,-0.7243169002825656,-0.6677478645133477,-0.6092935047242917,-0.5660013534614133,-0.6337247659032852,-0.45878719789989497,-0.6032586658974418,-0.15914245577999603,-0.30035898686528695,-0.18764520665242537,-0.38837763812464304,-0.21401067983618158,-0.3841612241000388,-0.5844077284162414,test,938.7129551227773,1
2054,-0.20176677204784832,-0.09429318047859868,-0.07506104854417946,-0.3467478085019076,-0.1709960355551012,-0.4849060506449134,-0.21960923979962138,-0.26471337741098,-0.33421093735343055,-0.22782857680742838,-0.25063146252711704,0.02948352025972082,-0.6978479574055992,-0.7354519648010712,-0.3279613325597261,-0.5122697366279239,-0.6074833999466632,-0.43161648080372234,0.04716527418750739,-0.5716890417487799,-0.4766527041846347,-0.3454440298065731,-0.37341915950513377,-0.3536672067395332,-0.33330726181177717,-0.6976945779906575,-0.5412758341381756,-0.46522466352975067,-0.17859900913814442,-0.5384554435707699,-0.5451851021444627,-0.44885512467726574,-0.1929687447113316,-0.2020521293264582,-0.34162953414663655,-0.12354967922699697,-0.2733139768386247,-0.3772188127820898,-0.6992290496899893,-0.6578545350988299,-0.6001579861023856,-0.5495786651100305,-0.6090425720791047,-0.46518051625840606,-0.6181797431350253,-0.17241928996342756,-0.29988749804405124,-0.17595710651687227,-0.38437636531284264,-0.21050474957423201,-0.3704688987350039,-0.5731550869614318,test,939.1701947502116,1
2055,-0.22278166735176008,-0.11010470922320743,-0.08843148820129092,-0.32349553564994793,-0.1913766198354849,-0.4936814509155771,-0.24344028844605953,-0.27409678386109015,-0.3564366081698033,-0.24750326959793054,-0.24381685914792858,0.020761601073835314,-0.7011899648865177,-0.7500242963206812,-0.36091816478478767,-0.5081758526335445,-0.5816122172173698,-0.4211496650708462,0.04918365746173786,-0.554262812141408,-0.46755231250839013,-0.34479663657657367,-0.3797728872625512,-0.38050105723072486,-0.33735246042626044,-0.6891813226501639,-0.549762034268565,-0.4664077075448281,-0.19253594924007933,-0.5140707530458434,-0.5311839755034437,-0.43623209852644274,-0.20873818196694935,-0.21180255946238125,-0.3500768393406358,-0.12019836444758239,-0.2615299895580635,-0.37761244017890605,-0.6967089889178052,-0.6429807825390731,-0.5776226242965868,-0.5378663580739851,-0.6067111875698933,-0.4644451726733264,-0.6196180166244412,-0.17724950047593344,-0.3058999236717637,-0.16417309062222793,-0.3929153332759254,-0.20415476587261458,-0.35528423578838453,-0.5482375335058117,test,939.6274343776461,1
2056,-0.24402666585011662,-0.12636030752413255,-0.09072925339664113,-0.3291023058796811,-0.20355301762431793,-0.4883498109379312,-0.2813545583618689,-0.3135055241519879,-0.39403171141150584,-0.2573842066156205,-0.2368604076096719,0.02557370368223017,-0.7014618896461352,-0.7325811864235304,-0.3816642233628076,-0.5140141296213582,-0.5807865165414379,-0.43393640717102766,0.034280180080265774,-0.5559136417190221,-0.44272759472839596,-0.3324653649577514,-0.386549825652,-0.4161470387036703,-0.37435288359176344,-0.6655507375621451,-0.5709021869262432,-0.46336816028884115,-0.20494124375086958,-0.49462416950996513,-0.5202324267417311,-0.428694619278305,-0.23859161417127944,-0.23091446370008323,-0.3530911224696859,-0.12182715841132563,-0.2529028289976931,-0.37127391531470455,-0.6956118288844639,-0.6547812653798994,-0.5954629458130081,-0.5573943635904377,-0.6184044623239217,-0.46510273755157217,-0.6507808696054838,-0.17192004300956518,-0.31786989506102836,-0.17244119245818804,-0.41308131943696297,-0.22311164162838099,-0.3604347949720975,-0.5216441790021988,test,940.0846740050804,1
2057,-0.2689104476082633,-0.15676802018104452,-0.09917849921166673,-0.3253916467970238,-0.22029680324136625,-0.4996551540538759,-0.3218507963886502,-0.33544893538820586,-0.42628665123751464,-0.28217177430468177,-0.22823206639762014,0.024789633857491566,-0.7043366771338131,-0.7344995842007495,-0.4123774804326977,-0.5142901092578036,-0.5669344615038115,-0.44197744868661654,0.018821732715684235,-0.5528838111641045,-0.42359296405755165,-0.3366733625597404,-0.3800305413634661,-0.4558212002183013,-0.3993975757238384,-0.6304546066890767,-0.5818779339161484,-0.4735110261512561,-0.2125812489753583,-0.4681098040643872,-0.4918835416305526,-0.42481195417647144,-0.2625908854337763,-0.24543277224778787,-0.3508369015003937,-0.12187090961003393,-0.2593639698941802,-0.37092666688413056,-0.6962337400441403,-0.6582082634669029,-0.5882456864457972,-0.5549332671546195,-0.6311463607543415,-0.4681312592187822,-0.6630803332836346,-0.17734791496547211,-0.32325686298288037,-0.16894002221784882,-0.42477153217219543,-0.22517177811128844,-0.35055601639781564,-0.49598040522486353,test,940.5419136325148,1
2058,-0.2937988775152193,-0.1744443571658349,-0.1037822905537247,-0.32856719427903586,-0.23828573124404612,-0.5048499480103228,-0.3466711249807394,-0.3561532295522103,-0.45210834242199316,-0.30781106864335583,-0.22182411951096312,0.024411880195375327,-0.7018846454093747,-0.7368160915471207,-0.4384051692679052,-0.5019393696360235,-0.5620333417211348,-0.4522815310577987,0.007311253694837316,-0.538798260610676,-0.4022049391963546,-0.32754124284303887,-0.3860259148471641,-0.48968807653857516,-0.42304721912400317,-0.6038753842986827,-0.5945523605707439,-0.4857373977965715,-0.22496015848790535,-0.44598480145214403,-0.4780802397686088,-0.41037735423809185,-0.2919306432190282,-0.25581014382529743,-0.3508403311286336,-0.12305269214693505,-0.25754626611496184,-0.36716531410134284,-0.6979865312770042,-0.6683580088694919,-0.5872541717355565,-0.5690896142063763,-0.6567333612862856,-0.47050248952199414,-0.6672215034591951,-0.16187908155366781,-0.33490915201424193,-0.1701183593878598,-0.4321394634494552,-0.23935791768934395,-0.3385279162840749,-0.45726759639781867,test,940.9991532599491,1
2059,-0.31130648036018194,-0.18792337548577243,-0.10006745085592249,-0.3323018127471485,-0.25769362483828,-0.5089137523143161,-0.38814785403950575,-0.38250675500221565,-0.49358373736494143,-0.3565715833382074,-0.21749641563856012,0.019980410883820597,-0.7006449824859855,-0.7455781385539193,-0.4684103768683104,-0.4892845431600197,-0.5623353888642555,-0.4736881168829059,-0.004147263204945389,-0.5227227952681195,-0.3989213415588414,-0.3237121332341799,-0.3826383362100425,-0.5322975572580808,-0.4633229469056899,-0.5735289992806759,-0.6043413651174534,-0.5012285539146561,-0.24310199774026897,-0.4298164833942498,-0.4526377107251721,-0.4002655523547265,-0.3243679509357992,-0.2750768503755597,-0.35095655831471506,-0.1258571365068833,-0.26279096276939284,-0.3757552585463626,-0.702341623283175,-0.6754854547716524,-0.5907869159717052,-0.5738639411433331,-0.6829336645618937,-0.4748556978238827,-0.6890778581683206,-0.162566938586374,-0.3455451909409513,-0.17985616678592975,-0.4391092681041481,-0.2586718204619157,-0.33246145450023823,-0.42400504451436594,test,941.4563928873836,1
