,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,DB1,DB2,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RID,RIFR,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABVL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
2544,0.010675865804573165,0.1083773813292288,-0.30559800083487804,-0.03944660615284645,-0.15602069837871804,0.2747128195928765,0.003789922939694254,-0.7095588546249721,-0.7526395386903657,0.043361003517663727,-0.06595247523621739,-0.4121994112980166,-0.57341530870898,-0.7482011506099306,-0.0917495616046751,-0.22847960956405833,-0.09499119152943176,-0.2099533560453698,-0.657962465798159,-0.6980748788735011,-0.5672120757067478,-0.09484277473910104,-0.005590684679043112,-0.5684117512936335,-0.33802080319093775,-0.6672156639716351,-0.5523242347915321,-0.7853872711970399,-0.714731773138675,-0.19551461417873983,-0.575608405521497,-0.4840506515158237,-0.6103811027312794,-0.20194924952782928,-0.1474159694305725,-0.33841468588930335,-0.6737682146826229,-0.8225139462186495,test,875.8431622569334,1
2545,0.019352936895644872,0.12316906015133924,-0.30261577203963036,-0.04247842950163834,-0.15446702183195368,0.2892167401128072,0.010755538205213994,-0.7103945488147774,-0.7554375798595085,0.05877210696135088,-0.056766070674080904,-0.41239474255870523,-0.5798675445525003,-0.7600947636566473,-0.09145446695140505,-0.22244751838296797,-0.08561910490129711,-0.20006596282275968,-0.6660715600971421,-0.7073981214705363,-0.5601056220277767,-0.08356632764805073,0.00341152957677332,-0.5650866207455834,-0.34285555351138614,-0.6700897039957581,-0.5565333476038024,-0.7889121819363002,-0.7113393594486133,-0.1881236838249965,-0.5691710651491764,-0.4794266332353795,-0.6128658681905897,-0.19638401821690693,-0.14118616049447483,-0.33146745995995275,-0.6823134475062466,-0.8308377309069899,test,876.1874402295186,1
2546,0.022272775525698185,0.1338354130065668,-0.2990807536973092,-0.03843514992666694,-0.15805256166137627,0.2917339018742553,0.014966651524702251,-0.703343177169277,-0.7555730564597096,0.06711301684672355,-0.055550766996649514,-0.4135562870043231,-0.583205130093682,-0.7761747216918793,-0.09412103271898618,-0.21624066854471705,-0.08858707880004416,-0.1977253259438111,-0.6770527370616707,-0.7101143015213077,-0.5582308605479908,-0.0759495002002322,0.0009294423368328142,-0.5588470921349847,-0.34824666984931757,-0.6744688609196392,-0.5522361478181514,-0.7912714316287486,-0.7111813431802176,-0.1866316176719317,-0.56208194554276,-0.48041337392046646,-0.6130491849955307,-0.19883909824729412,-0.1358151654006407,-0.3330442116989012,-0.6847834775473205,-0.8305317192994262,test,876.5317182021039,1
2547,0.034575491006623736,0.1413233789776779,-0.2951828241353606,-0.03972002505826974,-0.15693977552053406,0.29410847136406304,0.023245366661795885,-0.7041606237520119,-0.7421590813882211,0.07368991092977709,-0.053446495635957686,-0.417952738878825,-0.5830273752629744,-0.7669832733507531,-0.08746001379255156,-0.20575166510023002,-0.08191357777101936,-0.19196122594191775,-0.6758568127521374,-0.7027599957827749,-0.5540252021016486,-0.06851643308597528,0.013850517613080982,-0.5505957462185307,-0.34806307551005056,-0.6684317223006452,-0.5441278171937449,-0.781562872748043,-0.7184690356736768,-0.19052069084968684,-0.5567128339641617,-0.4747166053108507,-0.6048567384057382,-0.2022420269053986,-0.13702812889600427,-0.33335457934764756,-0.6747214265443295,-0.8291252313763966,test,876.8759961746891,1
2548,0.031261852854370664,0.13937991521416623,-0.29435114286569397,-0.03514736258382227,-0.15487338256645425,0.2981375181997965,0.021190154332633757,-0.7077265171643938,-0.7426411236920918,0.06894712192555616,-0.04969559841711446,-0.410410734190934,-0.5852833489487992,-0.7650365707506781,-0.09078361821075395,-0.21314772515848723,-0.08171352429433539,-0.19370401247881502,-0.672418187020235,-0.7064266418327677,-0.5537463291147304,-0.06287847125815263,0.014327267792237586,-0.5565830551251821,-0.3435772587300874,-0.6687924670912295,-0.5491563458751292,-0.7780231081527466,-0.7111545875488229,-0.1903246242264119,-0.554125058776209,-0.4777379323613742,-0.6033403602834346,-0.203010570885653,-0.13719713821293453,-0.32888707240663784,-0.6768497415725624,-0.8262390712243501,test,877.2202741472745,1
2549,0.041163160450589084,0.13373656791070052,-0.2845598609298456,-0.027865159609425608,-0.14950300033012479,0.3071247422125216,0.02620628852870785,-0.7067444471042998,-0.7341650332798777,0.07021111977655073,-0.048544935528544,-0.40833345114750663,-0.5720264280436271,-0.747915701437716,-0.09306866170732753,-0.2125420799983288,-0.06911900490281862,-0.1943593563986574,-0.6644976350450782,-0.6988381422110177,-0.553457367596715,-0.05840496645313859,0.01679942898481901,-0.5509768391655652,-0.3371748938985336,-0.6586961461143267,-0.5436184606220507,-0.7719556437595175,-0.7127541863666325,-0.1805129323989345,-0.558281228566925,-0.47788477223787806,-0.5968463490877549,-0.20319197927349575,-0.14509590950662224,-0.32704374447521667,-0.6720450549220767,-0.8198713280993635,test,877.5645521198597,1
2550,0.048698798074585395,0.14870060412687555,-0.2929249276414507,-0.02483792179817783,-0.14974068922852016,0.30671497134285874,0.027350773828532293,-0.7158888836512939,-0.7389936146649649,0.07381561024148203,-0.047264406112389815,-0.41420514487625026,-0.5781352684459782,-0.7644471134231894,-0.08915166119415274,-0.20560143213164586,-0.07362156604976172,-0.19337967168103895,-0.6716446642981985,-0.7076627038520014,-0.5475178994949774,-0.053891106849055063,0.026047858246219302,-0.5544255528526361,-0.3448511251020736,-0.6667591578874619,-0.5506109311743347,-0.7773877448261148,-0.7170174319381191,-0.18543898738046402,-0.5556196923354066,-0.48229821997100564,-0.5962478735251497,-0.20835553917622993,-0.14258266023264127,-0.332238834877023,-0.6841113439857092,-0.8278169771243558,test,877.908830092445,1
2551,0.07034374343481331,0.16054061133870848,-0.27938944399018034,-0.021663321805951916,-0.14221040938039003,0.32349103845705207,0.038224995243593296,-0.7141036668736525,-0.7261783636334058,0.08587995706994447,-0.04399548892541698,-0.40910131977730446,-0.5654123811294389,-0.7539368513226312,-0.0833734414283335,-0.19971223303402924,-0.06073421563267287,-0.1846518700282151,-0.6672675363369069,-0.7033062383156803,-0.5422670368029104,-0.03719295291895874,0.03400238231564273,-0.5483016320389571,-0.3406640906655979,-0.6624234857430986,-0.548831972791127,-0.7662125054651956,-0.7215452346714295,-0.17950014626981575,-0.5455822640339325,-0.4795799031494329,-0.5904175400478114,-0.20109155173822812,-0.14560575844113743,-0.320599667138018,-0.6757620591081699,-0.8241281594347301,test,878.2531080650302,1
2552,0.07487169896508306,0.16630864810292437,-0.27147471484705155,-0.021249617523365627,-0.13740142494488247,0.32603877899766043,0.035882148326632446,-0.7067907182931783,-0.7162079680553526,0.08757700075304342,-0.04961021085428495,-0.4119527580222033,-0.5604596146582085,-0.7492627239089669,-0.08047842005212202,-0.19137145936142963,-0.056380827719758234,-0.1796677630784419,-0.6598536108632045,-0.7002885029530782,-0.537172122143098,-0.03827999958141961,0.03696873540277157,-0.5362874802790312,-0.3434167258065456,-0.6585757337141273,-0.5373302117979162,-0.7563076532353049,-0.7165966356491911,-0.17930139809754123,-0.5388647812857884,-0.479614652650845,-0.5753722793626072,-0.21001665069540634,-0.154373331016094,-0.32423038939327375,-0.6746534669455632,-0.8247943798776831,test,878.5973860376156,1
2553,0.07624502709308267,0.169456495592647,-0.2660576803483293,-0.023028698908831247,-0.1313707438552749,0.3311842267570514,0.03368233200273729,-0.7097673333464098,-0.7127691497987065,0.08993761787555427,-0.04360712523391956,-0.41015232088332065,-0.5578477241049012,-0.741233520933652,-0.08336531143119554,-0.19199996116842774,-0.05356268355813473,-0.17739759883356152,-0.6528407268616749,-0.7029352124120342,-0.5336309615439978,-0.031236522147521303,0.04123556694642094,-0.5344309552470172,-0.3412553324155152,-0.6494173714241557,-0.5357070971499236,-0.749781349119699,-0.7115155839174909,-0.17692305710431264,-0.5327482090626783,-0.4815194361346209,-0.5754942103021728,-0.21036256595559966,-0.1572232890986775,-0.3218496862749751,-0.6776627604736523,-0.8254935701525628,test,878.9416640102008,1
