,AIBL,AIBR,ALA,AQR,ASKL,ASKR,AUAR,AVAL,AVAR,AVEL,AVFL,BAGL,BAGR,IL2DR,RIBL,RIBR,RID,RIFL,RIML,RIMR,RIS,RIVR,RMED,RMEL,SMDDL,SMDDR,SMDVL,SMDVR,URXL,URYDL,URYDR,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
2147,-0.8095570941247255,-0.7895903223785062,-0.3902443202609122,-0.6806957262453828,-0.4659216937148747,-0.5600032550161128,-0.663530053839967,-0.9148026467473063,-0.7956157513442789,-0.8276155663262512,-0.2744066861109303,-0.5856249278729777,-0.7005976840665388,-0.8732748512343849,-0.3978561536003,-0.6637537272947898,-0.3294743403832163,-0.6191938655487045,-0.8603028051377816,-0.8488268256595073,0.20123157896129545,-0.5393126338350753,-0.18987922825547326,-0.4092404268775001,-0.567501966988972,-0.6902290099243685,-0.7556607974580531,-0.7706834271543709,-0.8183463272351233,-0.8081792563006419,-0.7233635357627326,-0.6375227825758556,-0.7729423899252718,-0.15175519467339646,test,646.9754464285714,1
2148,-0.8096297599624411,-0.7888035924364946,-0.39790778026334567,-0.6868161538666071,-0.4717614981024416,-0.5578200522347244,-0.6584223254410289,-0.9161056206074624,-0.7869169296739617,-0.8245447949151158,-0.2791020705021788,-0.5837005326756848,-0.7031587341459241,-0.8787086554589894,-0.4022824604314618,-0.6595499735263337,-0.3382612587678823,-0.624988869559701,-0.8584649932459918,-0.8436726644926679,0.2020388135777701,-0.5441098920791148,-0.19449334819972525,-0.4037928452456928,-0.566375633226359,-0.6953329952567839,-0.756088191310062,-0.7658530589446981,-0.818661481878649,-0.8086991137533366,-0.7306435161676502,-0.6441923345795312,-0.77373260883698,-0.15193598186366886,test,647.2767857142858,1
2149,-0.8075964326811188,-0.7840868861826222,-0.40156110490632435,-0.6977880456230316,-0.4854726263632757,-0.5714436941999249,-0.6615959590990452,-0.9137627938711279,-0.787659342044317,-0.8274109771073448,-0.28122027594579496,-0.5892197305770407,-0.7070836182689721,-0.8803723004988139,-0.41428790445840463,-0.671103107116604,-0.3438507172158805,-0.6217351770794026,-0.8537367422624353,-0.8496676340813553,0.2080107863674202,-0.5467552478370818,-0.1984499834857406,-0.4116805040455796,-0.5767500282568004,-0.6972845739384211,-0.7600475214908294,-0.7688863515018581,-0.8292677760326015,-0.8134225795121833,-0.7331638458627512,-0.6532319705891652,-0.770451349214218,-0.1675493313300323,test,647.578125,1
2150,-0.7995706062462536,-0.784814605103232,-0.4146718435349793,-0.6870797944009062,-0.48710383387539824,-0.5597621190653878,-0.6591296595529845,-0.9183338930039787,-0.7870284214820038,-0.8254962629385127,-0.2778370653217408,-0.5798921244440156,-0.7053692543021517,-0.8917835901715481,-0.4045621265800153,-0.6607026930161948,-0.327312324124721,-0.6182134061652719,-0.8609786666718767,-0.8539995426964602,0.21526113140194925,-0.5448794908549084,-0.19575523031806685,-0.4079768771842422,-0.5700265017064976,-0.6940971927651123,-0.7617800331691742,-0.770005954120613,-0.8202116938366443,-0.812208816528236,-0.7174847241878801,-0.6496826715313027,-0.7735034197013785,-0.16121107208758229,test,647.8794642857143,1
2151,-0.7939463618161884,-0.7723449520699496,-0.41378974182888867,-0.6857748982615877,-0.48629583147384003,-0.5619360343314922,-0.6567979948423646,-0.9196550737457984,-0.7916783623936687,-0.8232860809522772,-0.2792257710559421,-0.5740263896998767,-0.7063186690593086,-0.8899105401754336,-0.4071022615000443,-0.6606094728658067,-0.32245824370811915,-0.6167913679926594,-0.8610813214370817,-0.8510606066640813,0.2095924990716147,-0.5444705544643902,-0.2102456247359161,-0.41304682906250034,-0.5705449601452552,-0.6930929887949128,-0.7610275343929719,-0.7626418435356523,-0.8234657845568433,-0.8206639116893143,-0.7164854279510275,-0.647922112070106,-0.7776043750169009,-0.16430531214613966,test,648.1808035714286,1
2152,-0.7841590082865567,-0.7632107338489841,-0.42136980840568,-0.6877344290753553,-0.48943866570082994,-0.5674932364093784,-0.6496928581044468,-0.9208252173331573,-0.792567334602858,-0.8218070538893996,-0.2811544325472752,-0.574916081604182,-0.7097969066207558,-0.8902921396581931,-0.40745591239045226,-0.6627851045272293,-0.3191327200306644,-0.6122395247557347,-0.8594238517774982,-0.8545922376675501,0.20902111306944032,-0.5478535535454025,-0.2086202630101019,-0.4160134358277572,-0.573883129781376,-0.6929195956493672,-0.7678339452694022,-0.7603937160292852,-0.8290815215822704,-0.825766306011258,-0.7154029009447446,-0.6493264200303049,-0.7811840889743213,-0.17077566030464225,test,648.4821428571429,1
2153,-0.780816834013407,-0.7551332895467137,-0.42897107380134136,-0.6970577544226801,-0.4934304999648135,-0.5720644639721549,-0.6530611570979638,-0.9302915766140961,-0.798502077113444,-0.8270533943887102,-0.2878999842888786,-0.5618946642995029,-0.7021390797757878,-0.9010840296644149,-0.40933365918146764,-0.6655269416865757,-0.31398742479312336,-0.608326986340305,-0.8718916744837247,-0.856883789790016,0.21807946876632212,-0.5540482133067552,-0.20987659436643044,-0.422144447601165,-0.5716106725275715,-0.6902997630974961,-0.7697722181654462,-0.7610200503279371,-0.8252234494836055,-0.8323982499411267,-0.7101630616549822,-0.6554994370942513,-0.7855884929222531,-0.1713127770862401,test,648.7834821428571,1
2154,-0.7692612557369262,-0.7489570361564343,-0.4340935628903075,-0.6908054560042762,-0.4971150138370347,-0.5580211791400016,-0.6479751945193284,-0.9221605697625036,-0.7905212242913358,-0.8150326484355406,-0.2876067834833726,-0.5598885790494066,-0.7039970555774835,-0.9002418250791201,-0.40220665432337643,-0.6499509760388142,-0.303600556618818,-0.6047143555011703,-0.8627886130824699,-0.8511510817523699,0.21741146223581315,-0.5593194177814359,-0.2037726101531287,-0.41561233675217785,-0.5705570983334594,-0.6827509780959985,-0.7648737044160553,-0.7543950411708858,-0.8111811552269567,-0.8248744581976537,-0.7003779513162154,-0.6528175217280615,-0.7835197124589182,-0.16812020206888487,test,649.0848214285714,1
2155,-0.7648912786291662,-0.7426606938575492,-0.4363293811489791,-0.6903536263196677,-0.49161921872404335,-0.5567899938887868,-0.6391564917029815,-0.9238328917682664,-0.7879417364105855,-0.8123452202533002,-0.28413158403174005,-0.5575325414244906,-0.7021344769420848,-0.902513986374477,-0.40003397560238246,-0.6518639283955443,-0.3024144848683437,-0.6077546080420169,-0.8634374992535662,-0.8455040542874273,0.20669557360354918,-0.5579673872146526,-0.19742429191721994,-0.4163138509478486,-0.5663317363652203,-0.6852901372274046,-0.7694576404316075,-0.7522259428112092,-0.8108960968615088,-0.8277046117850763,-0.7036418806559389,-0.6494299026353836,-0.7869540815749319,-0.16418137146423706,test,649.3861607142858,1
2156,-0.7571594148707822,-0.7341463321835725,-0.4359636381147282,-0.6921352437877684,-0.48489755035294546,-0.5544323658148778,-0.6291557797743129,-0.9214846515469924,-0.7812082494686043,-0.8015003823515453,-0.2829813053946605,-0.5562654827262588,-0.7079796202593563,-0.8912472141658736,-0.3971789045923638,-0.6452204079452073,-0.30541124944701914,-0.6118296098420328,-0.8566422120404021,-0.8414273682398168,0.19592699983695178,-0.555673607048368,-0.20581662480614762,-0.415697049310608,-0.563933100445074,-0.6862696012499958,-0.7707616923703275,-0.7452274315388704,-0.8171319697583586,-0.8321063823430312,-0.7101521290195814,-0.6467192759174272,-0.7864657792620171,-0.16569306735741893,test,649.6875,1
2157,-0.7484545891722255,-0.7273100757255401,-0.4420300645588504,-0.69563094619844,-0.4890815690154189,-0.557865455040338,-0.6281753203335818,-0.9194515434884439,-0.7778886867525552,-0.7983897378740172,-0.28300192297872817,-0.5574017182487059,-0.7114239126388112,-0.896451626726251,-0.39786962193722786,-0.6519601645256647,-0.30927120819174225,-0.6114711209573092,-0.8524400675999069,-0.8372725150758104,0.19118247618042006,-0.5583428485493929,-0.20277543044653862,-0.41955575978810977,-0.5638848824889527,-0.6887598505420629,-0.7813822370006823,-0.7470637008513098,-0.8197122182428871,-0.8282532920393854,-0.7077739668094143,-0.6437431438072372,-0.7816824418030288,-0.1736868400042688,test,649.9888392857143,1
2158,-0.7405378066328,-0.7063235159278934,-0.4399022218196049,-0.7013218225484366,-0.48650753236833966,-0.5614474071127825,-0.6202951113233095,-0.9116661783878158,-0.767582875082523,-0.7854451805470771,-0.28427245753332475,-0.554818910665638,-0.7132039022666743,-0.8937912997022365,-0.39983901267199284,-0.6569954565181064,-0.3189222140787663,-0.6132432281138325,-0.8407329835974773,-0.8227386906208333,0.16984607716579975,-0.5555161976752533,-0.21328412835773955,-0.4262349715211138,-0.5680368715623672,-0.6837567291535178,-0.7792396181793498,-0.7421048378675669,-0.8239295499816813,-0.8290543923271526,-0.7103448196277116,-0.6468956995792099,-0.7816896613341476,-0.18225960403543195,test,650.2901785714286,1
2159,-0.729866844984744,-0.7148871230234178,-0.45262437206196404,-0.6947390885176756,-0.49640868147561845,-0.5613194735747782,-0.6240560464911844,-0.9095004380185239,-0.7693126697056751,-0.787590544692012,-0.28496477745963594,-0.554939229414918,-0.7121634919194123,-0.90582899067817,-0.39799834316712235,-0.651012807471889,-0.30975033292486776,-0.61311445518035,-0.8461781514282666,-0.8294438693911554,0.17790933227437394,-0.5550059090639391,-0.2113936213226406,-0.42628256834487205,-0.5658019619978409,-0.6895939085372293,-0.7832171413359982,-0.7462848470310111,-0.8178247683914288,-0.825633832485877,-0.6982547306592756,-0.6463377200870419,-0.7771275190508994,-0.1815385845656926,test,650.5915178571429,1
2160,-0.7341532136374154,-0.7076051827978146,-0.4541488954524538,-0.7053992927624504,-0.49306386488136467,-0.5597231116994461,-0.6217290717867543,-0.9084325406888354,-0.7664072215255346,-0.7865443583636984,-0.2860135184361264,-0.556044051765523,-0.7105231814335062,-0.9084925604103934,-0.3991878499880332,-0.6583524076418312,-0.31195111274451476,-0.6119803395809792,-0.8452904621368592,-0.8271947236373588,0.1715128837126882,-0.558612413990849,-0.2036357336058641,-0.43002094683642145,-0.5655959784880449,-0.6852143962073617,-0.7910788366888066,-0.7486767955288104,-0.8209070937343751,-0.8309011462037734,-0.6993777394283006,-0.6479392043293832,-0.782858847319613,-0.18108583808768688,test,650.8928571428571,1
2161,-0.7395238009047256,-0.709798122254722,-0.4568050512533117,-0.7022753762000093,-0.4942894319624901,-0.5582665769304196,-0.6250925312035858,-0.9102436862314274,-0.7708742343758243,-0.7914405420194739,-0.28788675392715135,-0.5579715062337466,-0.7103998830646909,-0.9100028396541534,-0.39653997705834865,-0.6504397305902869,-0.30446587793649393,-0.6066883060420893,-0.848751896724684,-0.8247355270826413,0.17484603737828452,-0.5612547270921283,-0.2008043627697713,-0.4299042931631172,-0.5668238832074003,-0.6831396207189585,-0.792631413188758,-0.7526722606583713,-0.8164857258117165,-0.8302308773298069,-0.6954899794433037,-0.647198780455466,-0.7852295624136797,-0.17381971884585762,test,651.1941964285714,1
2162,-0.7445935990903254,-0.7106039345248358,-0.45323411174591205,-0.7043182839829236,-0.4929595362254271,-0.5583616510493842,-0.6249781771390134,-0.9138813843167416,-0.7722068114899558,-0.7930567273256623,-0.288389273379915,-0.5601337327435079,-0.7130259280459819,-0.9118442854226837,-0.39577208085690024,-0.6488022802379583,-0.3085971115380998,-0.6088117793746305,-0.8511258455392936,-0.8186214298055634,0.16882961712798306,-0.5651310374234682,-0.19185649595365498,-0.4268206039648536,-0.5682171421432385,-0.6846153517605649,-0.7917098201327969,-0.7502591492643844,-0.8141396699810618,-0.8283528200603838,-0.701481975924647,-0.6490168939321799,-0.7890557836983746,-0.16793475828246432,test,651.4955357142858,1
2163,-0.7495781708022418,-0.7106798752436831,-0.4492677539395691,-0.7056609420719466,-0.49548387774277125,-0.5581985740254939,-0.626921288610397,-0.9102597938736668,-0.7721960474136196,-0.7946495597284864,-0.2900978899360057,-0.5594354698312696,-0.7141428739528255,-0.9133205389961736,-0.3975628677121058,-0.6570677628788215,-0.31096006493235684,-0.6118001195161933,-0.8447105384866773,-0.8184650758513486,0.1698212828108115,-0.5643736706412097,-0.19665562742017464,-0.4311098937311527,-0.5692449350188515,-0.6850317239116578,-0.7964454780607325,-0.7535121790461938,-0.8164683259803356,-0.8238362532921184,-0.6988138311021513,-0.6411177049982377,-0.7901334558624726,-0.173367974417869,test,651.796875,1
