,epochs,base_train_losses,base_test_losses,train_losses,test_losses,num_train_samples,num_test_samples,centered_train_losses,centered_test_losses
17,18,0.004751847926838222,0.001815244276032107,0.16669177480857858,0.2164774562416055,1654,1654,0.16193992688174036,0.2146622119655734
18,19,0.0067459168724330314,0.006990441592183535,0.1556219472269129,0.15372015173223505,962,962,0.14887603035447985,0.1467297101400515
19,20,0.00462395657688938,0.0034448241361620838,0.15902601034402833,0.1536440946751347,1654,1654,0.15440205376713895,0.1501992705389726
20,21,0.009128623502543691,0.009183486720645392,0.15013719668085426,0.1447830933709447,961,961,0.14100857317831056,0.1355996066502993
21,22,0.010659128751599847,0.009927716510051974,0.09769195304499047,0.12520018509538713,1482,1482,0.08703282429339063,0.11527246858533516
22,23,0.010823171047147313,0.009649723464851392,0.15437120791307674,0.1442687468691441,962,962,0.14354803686592943,0.13461902340429271
23,24,0.009441147954670319,0.008301288421523096,0.13512382514073543,0.12405437416820571,1423,1423,0.1256826771860651,0.11575308574668261
24,25,0.008139154984270383,0.005406656397268612,0.10735501350257669,0.07728385075586794,1534,1534,0.0992158585183063,0.07187719435859932
25,26,0.01019743353310032,0.008588390550043176,0.09239300660613467,0.10334425464777827,1654,1654,0.08219557307303435,0.09475586409773509
26,27,0.010032405668551101,0.00795870232001223,0.138892551815916,0.08830275857461856,1357,1357,0.1288601461473649,0.08034405625460633
27,28,0.002648501250810855,0.0017873045745538697,0.15203789899407885,0.15882594583278042,1654,1654,0.149389397743268,0.15703864125822656
28,29,0.009137634138231395,0.00918846092075927,0.12329530480425932,0.1277303406158918,961,961,0.11415767066602793,0.11854187969513254
29,30,0.003257801195901837,0.002346330362296674,0.14078621912964742,0.13896552945026805,1654,1654,0.1375284179337456,0.13661919908797138
30,31,0.007556520497218443,0.006429403658509227,0.16372857401489352,0.1556560214028199,961,961,0.15617205351767507,0.14922661774431067
31,32,0.010197102425177853,0.008588627024604712,0.08457325083329681,0.09568379357410327,1654,1654,0.07437614840811896,0.08709516654949856
32,33,0.008591909072893674,0.0064185249544560065,0.09938219342614474,0.06456019940970352,1411,1411,0.09079028435325107,0.05814167445524751
33,34,0.0067475652793519605,0.006986446675772533,0.11106099205444003,0.11686766724708882,962,962,0.10431342677508808,0.10988122057131629
34,35,0.012240957922848836,0.010263667440580874,0.13472280442566908,0.13959526652146176,1200,1200,0.12248184650282025,0.12933159908088088
35,36,0.0035804512789407573,0.001406455525094562,0.1722012752961043,0.1499245846151175,1654,1654,0.16862082401716355,0.14851812909002296
36,37,0.00976241317510726,0.008650839694130405,0.15263054035101672,0.14636623096430376,1057,1057,0.14286812717590947,0.13771539127017335
37,38,0.009279197197219867,0.009595898416583403,0.10817603171518338,0.11354577987393029,1358,1358,0.09889683451796351,0.10394988145734689
38,39,0.008507700179946327,0.006326877395304167,0.08784850204860008,0.060299318123873895,1411,1411,0.07934080186865375,0.05397244072856973
39,40,0.008769086379904126,0.00639108457512573,0.0834043438262783,0.057355942050981414,1411,1411,0.07463525744637417,0.050964857475855684
40,41,0.007184373751029253,0.005626241623578775,0.12128271441441814,0.09179937318075547,1359,1359,0.11409834066338889,0.0861731315571767
41,42,0.010025298113344698,0.007952233032790756,0.13638173792587968,0.07969801851505968,1357,1357,0.12635643981253497,0.07174578548226893
42,43,0.010658957606508769,0.009922918948426266,0.08135149736739448,0.10041669252825795,1482,1482,0.07069253976088571,0.09049377357983168
43,44,0.006580190553168961,0.005553799551179551,0.1063205979848987,0.10409065970608193,1520,1520,0.09974040743172974,0.09853686015490239
44,45,0.005473774938374008,0.004724070486459861,0.1289398915568562,0.11709704893096336,1608,1608,0.1234661166184822,0.1123729784445035
45,46,0.009282566946313053,0.009604859134817265,0.0888010456206598,0.10218174610826884,1358,1358,0.07951847867434675,0.09257688697345158
46,47,0.009478982347427799,0.007810167091826544,0.09889051504860541,0.07258408007418998,1654,1654,0.0894115327011776,0.06477391298236344
47,48,0.009477580095300598,0.007810484301658266,0.08362032770812725,0.06445879873595899,1654,1654,0.07414274761282665,0.05664831443430072
48,49,0.010023579893954186,0.00795435442298107,0.11768404818670258,0.07270832159859883,1357,1357,0.10766046829274839,0.06475396717561777
