,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,DB1,DB2,OLQDL,OLQVL,OLQVR,RIBR,RICR,RIML,RIMR,RMEL,RMEV,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
3010,-0.31702666802683516,-1.03408905809803,-0.9730651096959836,-0.07638015859649505,-0.37042052156522753,-0.5240417019128626,-1.0047092096107626,-0.9332133208117659,-0.07701485821539968,-0.07571286586437537,-0.8987559478965657,-0.8654527542118968,-0.2240642855185658,-0.2083824629444418,-0.5532527640704609,-0.36063630133583985,-0.6089486231865711,-0.6360809348557036,-0.6678436029868742,-0.0253535294857634,-0.08319730289174365,-0.9841895463259371,-0.9123594219108863,-0.04172666140595391,0.26882769547060303,-0.6935776632045783,-0.46656407422531176,-0.59104741337658,-0.4676990858378268,-0.19228099782817396,test,1424.7669136983027,1
3011,-0.3089494745112189,-1.0361004392607684,-0.9728399787080089,-0.09524202344213833,-0.363151750223196,-0.5217566411845543,-1.0025473666150264,-0.9386485622103136,-0.07828215625327434,-0.07571738988731475,-0.900986183045871,-0.8631684648959774,-0.24200107175996272,-0.21549744653778896,-0.5459722545314452,-0.358031949835898,-0.6127441683004093,-0.6311348493785791,-0.6673503704433754,-0.027920344895002808,-0.07182551082420646,-0.9915819157354209,-0.9170448640530964,-0.046566814400177264,0.2799874324074333,-0.6907278325408934,-0.4681558433770714,-0.5847887285723247,-0.4693361903318703,-0.1959657327831428,test,1425.2402581879035,1
3012,-0.30952926227871125,-1.0361715035221915,-0.9720334560331753,-0.09030646666584957,-0.3613140893691323,-0.5195256066798599,-0.9989719912915912,-0.9346993530734333,-0.08381222604077712,-0.08037400624280391,-0.9015064844478431,-0.8604212913467741,-0.23685896613546176,-0.2018693793730595,-0.5439560692461634,-0.3645523299531761,-0.6124201918596655,-0.6271437032111763,-0.6664369119075022,-0.03348021920728855,-0.07573885560354095,-0.9920420036373063,-0.9175903367708733,-0.05062436820294178,0.2866934529737657,-0.6925393043960019,-0.4659856406982493,-0.5901183841668056,-0.47218554103266713,-0.20012240636809125,test,1425.7136026775042,1
3013,-0.3099606172227484,-1.0353658064614621,-0.9655869134869302,-0.09928600503379528,-0.3569384199126811,-0.5242710768487789,-0.998162513461447,-0.934956001515884,-0.08579878690807094,-0.08720935196091097,-0.9040586571364362,-0.8622960560720914,-0.25160949580783265,-0.2244698360666862,-0.5519038251070142,-0.36859878388323064,-0.6087980399091082,-0.6324109381926846,-0.6658604515362487,-0.04634446594339408,-0.07180910064536124,-0.9892334074761676,-0.9136112606642917,-0.05809448034401368,0.2766353703059633,-0.700467354245483,-0.46876794386397613,-0.5948698378408454,-0.47501500501345917,-0.21091142493664627,test,1426.186947167105,1
3014,-0.30960600742118033,-1.0360094617804076,-0.9637330579464721,-0.10166194230791992,-0.3545544295188887,-0.5233087324811813,-0.9998568253866913,-0.9346744436064096,-0.08566933590310194,-0.08785328377103825,-0.9035040399651202,-0.8615412483940563,-0.25379952221376934,-0.21976986543556892,-0.5490265206651739,-0.3701617788262024,-0.6078638575856962,-0.6298432973049736,-0.6672569247941746,-0.047128508890854584,-0.07360197985321261,-0.9915762172623688,-0.9169613015946478,-0.05897210121457122,0.2747006993888855,-0.6955206752612018,-0.4660218902864084,-0.5932026051720269,-0.4796751531596613,-0.20885632571920865,test,1426.6602916567058,1
3015,-0.3081799771097749,-1.0345844270599414,-0.96773237548106,-0.10211654030928263,-0.3542278846910973,-0.5207773542568022,-1.0000688257548793,-0.9329326809787426,-0.09487706787602872,-0.09172084522121952,-0.9047559613435783,-0.8569139175330551,-0.24303420441100404,-0.1968601432344588,-0.5454010501078718,-0.3775308856057301,-0.6080551144199484,-0.6219217164598492,-0.6697236584462067,-0.04916239335875013,-0.08089990746975526,-0.9933245181373062,-0.9190664113984283,-0.0609429311330906,0.27771124157174076,-0.6881289624166492,-0.4583428693197614,-0.592318793512205,-0.48128406585925787,-0.20388488688235956,test,1427.1336361463066,1
3016,-0.3095205480301194,-1.0340639999029833,-0.9727441070668178,-0.09939273536693027,-0.35417326095198776,-0.5225847894300648,-0.999166418801091,-0.9328071961857836,-0.10135668483779953,-0.10216211493090502,-0.9003208702401364,-0.8570731127233089,-0.22356679168001373,-0.18702285732289078,-0.5535013973942847,-0.38459762887358917,-0.6045916259098942,-0.618175698571032,-0.6724525208543513,-0.055650971982080875,-0.09248287507076666,-0.990795490924588,-0.918452770972113,-0.060632678287056097,0.2736629600651357,-0.697293330490212,-0.44970298309498835,-0.6024637481755187,-0.477467480880798,-0.21138582918393456,test,1427.6069806359073,1
3017,-0.3123628441849292,-1.0244027986113262,-0.9713431617947759,-0.09819280819863735,-0.358116144458792,-0.5270533779826551,-1.0013066538505884,-0.9347065122863905,-0.11144190587753251,-0.10784731150617312,-0.8976319954749612,-0.8661711300573927,-0.2040632109641551,-0.1873497816356301,-0.568663385094987,-0.396937286515067,-0.5929844360976351,-0.6221245639810412,-0.6755636053429133,-0.06725695418251165,-0.10505031930096909,-0.9910406591201234,-0.9122596951112066,-0.06666085567374672,0.25088294410647227,-0.7082670401394916,-0.44966140001723365,-0.6173525874048468,-0.49012963773577045,-0.2159210305898111,test,1428.080325125508,1
3018,-0.3069636854674402,-1.020108704177245,-0.9660871552143051,-0.10881266973360781,-0.35519224859673365,-0.5212235714592743,-0.9913784168236844,-0.9259985639680091,-0.11291360113182886,-0.11083478770102528,-0.8974133929078627,-0.8526291366139624,-0.21480090889742295,-0.1808899925044236,-0.5591150198706308,-0.38890947400776893,-0.5915503188284505,-0.61050672688515,-0.6738429552923977,-0.06460897898209295,-0.10114049321121589,-0.9899107380067768,-0.9068367533133588,-0.06361236594115152,0.2439376834936103,-0.6859393575438427,-0.4421032963075232,-0.5960542069270441,-0.4781097239959391,-0.21115570510533072,test,1428.5536696151087,1
3019,-0.31094394864212804,-1.0204139017340352,-0.9635139146908376,-0.11524482975108716,-0.3529116932899421,-0.5238308564507703,-0.9915110038291843,-0.9222994221215368,-0.13284720705953745,-0.12183448809564942,-0.9007488604774119,-0.8499290142752611,-0.22200047425587513,-0.18784239277711623,-0.5692800423705812,-0.4008678822534023,-0.5857812820244654,-0.6106552429110864,-0.665750724867153,-0.08412760419114299,-0.10165451742221902,-0.9864220321508885,-0.898307829503702,-0.0769205909589946,0.2383163480831024,-0.6901796758880813,-0.4378906677864405,-0.6050713411422008,-0.4802233918844481,-0.2306207209803528,test,1429.0270141047095,1
