,AIBL,AIBR,ALA,ALNL,AS10,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,DA1,DA7,DA9,DB7,DVA,DVB,DVC,PDA,PHAL,PHAR,PLML,PVNL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEV,SABD,SABVL,SABVR,SIADL,SIADR,SIAVL,SIAVR,SMDVL,URYDL,URYDR,URYVL,URYVR,VA1,VA11,VA12,VB11,VD13,train_test_label,time_in_seconds,tau
1010,0.7913689,0.8127932,-0.5947389,0.28163198,-0.12906617,0.10893843,0.2321882,0.7707841,0.74094784,-0.82867223,-0.85872316,-0.33328724,-0.61171424,-0.36855134,-0.53225785,-0.72729725,0.03246534,-0.7543377,-0.7449438,-0.27632385,-0.64779717,-0.21301852,0.3897558,-0.3002729,-0.033124726,-0.4811312,-0.4020741,-0.7857346,-0.88292897,-0.7608551,0.58930093,0.7941093,-0.70807624,-0.6747434,-0.6459047,-0.75885886,-0.90538436,0.39609492,0.31582674,-0.07545544,-0.60635525,-0.58251303,-0.6707405,-0.28694004,-0.7583756,-0.0756635,-0.48410046,-0.28358218,-0.3658836,-0.428376,-0.29136854,0.09662526,-0.7476805,-0.79523623,train,290.95758,1
1011,0.7889969,0.8094249,-0.53597736,0.40568316,-0.088389404,0.16960083,0.20327055,0.80527824,0.7268696,-0.8060223,-0.8544008,-0.28099725,-0.61114085,-0.43544918,-0.44160825,-0.7675522,0.029903233,-0.69476736,-0.7937795,-0.31872687,-0.6448864,-0.23835897,0.25788757,-0.37881726,-0.14374913,-0.70700747,-0.4249802,-0.79226345,-0.8883627,-0.75318974,0.6072738,0.80042714,-0.71579957,-0.6908189,-0.65481806,-0.74997705,-0.92616266,0.4203073,0.26399183,-0.0010766534,-0.5272771,-0.4689354,-0.66377914,-0.29828784,-0.74538696,0.12316171,-0.36459208,-0.16080229,-0.29866987,-0.41800857,-0.2863703,0.019952849,-0.7321767,-0.7601177,train,291.24567,1
1012,0.8260383,0.8765967,-0.53760403,0.4877428,-0.09911273,0.2709686,0.14483304,0.7768675,0.719302,-0.79875076,-0.8502142,-0.25251305,-0.5620621,-0.48811135,-0.3046077,-0.7345174,0.02131597,-0.7898739,-0.65795594,-0.28097966,-0.6634819,-0.25712472,0.5579012,-0.382105,-0.19862898,-0.46018365,-0.42536265,-0.7981337,-0.88722086,-0.77040243,0.64443034,0.8067748,-0.6852014,-0.72468895,-0.72789294,-0.6775298,-0.8685205,0.43703678,0.2800402,-0.09193836,-0.5209496,-0.59217244,-0.64943784,-0.34168988,-0.7522936,0.09704787,-0.4394693,-0.24377005,-0.3655873,-0.38142642,-0.30817556,0.04506673,-0.68368065,-0.8899953,train,291.53375,1
1013,0.8114117,0.82287043,-0.5996268,0.44403133,-0.042290896,0.2912913,0.102975965,0.7799072,0.763867,-0.78508544,-0.8719905,-0.2159276,-0.56460583,-0.5482238,-0.2054686,-0.74130124,-0.13214618,-0.79302317,-0.7787764,-0.34550557,-0.66018105,-0.28057683,0.17576672,-0.37562183,-0.26704562,-0.5162991,-0.42518896,-0.8135943,-0.89900047,-0.79582167,0.6255684,0.814914,-0.68769634,-0.64600635,-0.6727798,-0.72661686,-0.8887735,0.42031574,0.26582596,-0.08912272,-0.6626507,-0.57780075,-0.5969706,-0.3226543,-0.7530739,-0.12639096,-0.42581293,-0.37417406,-0.39253488,-0.37209165,-0.42251346,-0.12450682,-0.8439515,-0.7284792,train,291.8218,1
1014,0.78175086,0.8246139,-0.6473885,0.6337275,-0.033436306,0.34117743,0.1441363,0.74193877,0.6776658,-0.7992031,-0.8161979,-0.18272276,-0.5652399,-0.566545,-0.16805106,-0.7357719,-0.118908636,-0.67608327,-0.89444727,-0.3082578,-0.66985315,-0.29864764,0.16379087,-0.3566123,-0.18638967,-0.5022866,-0.46144098,-0.78923213,-0.9031013,-0.8064572,0.61516434,0.7405823,-0.70400614,-0.7260123,-0.7998843,-0.73093796,-0.8845189,0.43076703,0.25005636,-0.05257961,-0.61078024,-0.5996515,-0.7061277,-0.34232995,-0.7628439,-0.14205699,-0.4185492,-0.3969894,-0.5170733,-0.39291885,-0.35398594,0.13117275,-0.7564459,-0.74916345,train,292.1099,1
1015,0.7762609,0.8368537,-0.6834817,0.124094166,0.007865476,0.42584914,0.10663518,0.7272453,0.6917142,-0.79085296,-0.8638842,-0.20173904,-0.5189679,-0.72987723,-0.24451907,-0.7410714,-0.076920204,-0.8072922,-0.80821794,-0.4463795,-0.71644264,-0.30635858,0.48584116,-0.3710307,0.033417497,-0.49370188,-0.42919514,-0.8075394,-0.8938963,-0.7855535,0.60700804,0.7584202,-0.7118562,-0.71864426,-0.7538835,-0.7900984,-0.9022267,0.48371848,0.37607497,-0.11155234,-0.6025302,-0.5567443,-0.7133811,-0.39503458,-0.76692575,-0.31805924,-0.46390212,-0.24538799,-0.49239078,-0.39369366,-0.35478956,-0.01073583,-0.7903459,-0.7684796,train,292.39798,1
1016,0.8061649,0.859686,-0.6061171,0.49418387,-0.08143737,0.44268775,0.13551462,0.73724854,0.69969803,-0.80734503,-0.8416408,-0.11695791,-0.54928064,-0.5775688,-0.31395268,-0.7395293,-0.13209258,-0.86486465,-0.7171315,-0.40641394,-0.7881059,-0.27092788,0.16829768,-0.3633819,-0.27891326,-0.5256203,-0.6250988,-0.8153805,-0.9157778,-0.7640091,0.5856384,0.82832927,-0.72581,-0.6902781,-0.6567352,-0.794005,-0.90383154,0.4731218,0.29010114,-0.030447844,-0.58596724,-0.5585142,-0.70983136,-0.35784134,-0.73959196,-0.13022904,-0.45601985,-0.27703163,-0.4550443,-0.39497304,-0.32736292,0.1657709,-0.84998167,-0.69711256,train,292.68604,1
1017,0.78920656,0.85219026,-0.6882114,0.55598277,-0.074780464,0.4474432,0.08584935,0.704957,0.67866486,-0.8230111,-0.9155703,-0.14029545,-0.5239174,-0.71409535,-0.4321781,-0.7639257,-0.041444555,-0.80695057,-0.834177,-0.3879713,-0.69285595,-0.25902405,0.33846492,-0.3641799,-0.067177765,-0.56497955,-0.5889753,-0.8118098,-0.9037117,-0.8138221,0.58075154,0.7721452,-0.7722302,-0.72235996,-0.6934981,-0.7779709,-0.9058588,0.46974337,0.2221974,-0.07009049,-0.6599519,-0.61937237,-0.7371107,-0.37849936,-0.7543579,-0.24157348,-0.439656,-0.41008052,-0.42599255,-0.3877503,-0.23554079,-0.14843962,-0.89366794,-0.82685345,train,292.97412,1
1018,0.7855449,0.7994637,-0.5798565,0.5270241,-0.026396671,0.45938393,0.05632353,0.70715773,0.66541135,-0.8727551,-0.8954404,-0.14455295,-0.51782846,-0.6727541,-0.47582847,-0.74247473,-0.13661055,-0.6664368,-0.86484504,-0.36117122,-0.69429445,-0.1944268,0.30994323,-0.44649622,-0.1815859,-0.578718,-0.49103397,-0.834802,-0.91715294,-0.7649194,0.5892802,0.7369062,-0.7915978,-0.6953769,-0.7911856,-0.80717695,-0.91392565,0.40752065,0.19432811,-0.1476747,-0.5742893,-0.6165828,-0.7746657,-0.38972437,-0.76514053,-0.27084255,-0.43967533,-0.2685078,-0.5350771,-0.39054877,-0.3817022,-0.0025784853,-0.6368945,-0.8760377,train,293.2622,1
1019,0.7512131,0.8204099,-0.6803537,0.41596034,-0.11206681,0.41191608,0.05625141,0.6744232,0.64407265,-0.84733707,-0.89575154,-0.11298668,-0.5174827,-0.7404756,-0.58219284,-0.7644549,-0.14233032,-0.72638583,-0.8792414,-0.33923468,-0.6967951,-0.20473008,0.13558592,-0.30195367,-0.1865228,-0.6085335,-0.5586031,-0.8403969,-0.9141067,-0.8045513,0.5139931,0.7245258,-0.81277746,-0.7115737,-0.73625684,-0.7898332,-0.95251805,0.42126974,0.13749626,-0.081542596,-0.6690129,-0.6665805,-0.7656418,-0.3552097,-0.77645475,-0.330028,-0.3408093,-0.42667395,-0.52362996,-0.3482899,-0.39942992,0.13105871,-0.8175691,-0.81762356,train,293.5503,1
