,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVEL,AVER,AVFL,AVFR,AWCR,BAGL,BAGR,DB1,DB2,RIBL,RIBR,RIFL,RIML,RIMR,RIS,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVR,SIBDR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URYDL,URYDR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
1641,-0.3858565169538522,-0.38178223912102516,-0.0066021905425679315,-0.3898685415717609,-0.3831684989952497,-0.5706034799359302,-0.5558858851679231,-0.37873542943962474,-0.5695038549514926,-0.5484761879126854,0.06267746345909637,-0.06802196684131342,0.08720888535741816,-0.6929850255756094,-0.590105995910871,-0.29165525212444193,-0.4495105995333074,-0.3828291192076312,-0.31200950800837596,-0.5292793051744369,-0.7639607713790578,-0.7129460286614869,-0.1497663337903949,-0.5593982040499752,-0.18788658542761072,-0.32650695226585674,-0.2709883201308998,-0.26795055487661135,-0.5611348136019262,-0.217324369028229,-0.24946203638735082,-0.6583353174932008,-0.6422964641711716,-0.6617632727153551,-0.6333348650627889,-0.7852846225074943,-0.6711136942195642,-0.7310266364078616,-0.7275677363462818,-0.4655538779225279,-0.1342832979121899,-0.31913088814695656,-0.4707429337909186,-0.3832228686044943,-0.17620507491873794,test,804.1197822141561,1
1642,-0.36848395764653413,-0.38094384312739415,-0.0025878708897914796,-0.4049011712006155,-0.38974822367379314,-0.5703926471511073,-0.553475863802645,-0.3872776852139649,-0.5687465247948534,-0.5461218139459252,0.05227192486945956,-0.07051768453806999,0.07862098260123816,-0.7023092550957661,-0.6036030984081877,-0.3056607459614207,-0.4747304887475481,-0.3984203492641177,-0.3295288485653173,-0.5440370928230599,-0.749831493192455,-0.7143195089068212,-0.1649146670497409,-0.5581389225699629,-0.20193384733041858,-0.35165782116882477,-0.2874263129211626,-0.2797243982781768,-0.5575825530826627,-0.2253371616687221,-0.25832861128695006,-0.6622401539860793,-0.6483770948991155,-0.6644126429267122,-0.6477598821637028,-0.7875423397585737,-0.6788865280129639,-0.7297620025157465,-0.7274190185562266,-0.4854840374417404,-0.13186964109079555,-0.3186645975675788,-0.46055201188791883,-0.401783203437535,-0.19841808777122927,test,804.6098003629764,1
1643,-0.34073820577284614,-0.3558780611888037,0.003765546106346439,-0.41457245728688896,-0.40890984924617896,-0.5500200897437758,-0.5358076424030711,-0.4038485094304816,-0.5577268411286038,-0.523369064689806,0.04034475619740241,-0.06204084060980975,0.06392820816944973,-0.7101728032047024,-0.6265062918374243,-0.3244602749770237,-0.4977204505002859,-0.41774654302230946,-0.3557533424336373,-0.5501656549724858,-0.7309444460263306,-0.7043094496081176,-0.20438433272740283,-0.5500073470828304,-0.21746101049389593,-0.38864103701977104,-0.32697926598293553,-0.27786701684449805,-0.5500387233819927,-0.23362696171615113,-0.27067696787563544,-0.6712569522859752,-0.6459754216567097,-0.659708154833249,-0.6720238249529491,-0.7793026955224116,-0.685621679027265,-0.7240261033644023,-0.7252807727669435,-0.516605543446152,-0.12347081999393833,-0.3210678074734556,-0.4481604946658764,-0.4259080428692744,-0.22102981644054362,test,805.0998185117967,1
1644,-0.30019325751185005,-0.34511157218852617,0.014854374849769378,-0.425650225487098,-0.4236653195330605,-0.526158544531322,-0.4977672305691634,-0.40997153751501764,-0.5325123605569523,-0.49355566960146396,0.013091517365461824,-0.06491767951545939,0.055492927126363056,-0.7291574020542806,-0.6424039322274172,-0.3539426237517751,-0.5202573091032944,-0.43986278010933977,-0.38763274313102114,-0.5638383836568046,-0.6850996314072801,-0.67826655739194,-0.23731308947403054,-0.5395876112248277,-0.2464021676931371,-0.42740219005803215,-0.3622453444400503,-0.2844877322136272,-0.5189693952478863,-0.23599528380370502,-0.2783239602460687,-0.677596389033671,-0.645175727280092,-0.641028188246299,-0.6748039529729787,-0.761780842400105,-0.6792274051507172,-0.7180251856841391,-0.6989382480672899,-0.5479875772120782,-0.13394727080068608,-0.31254683186524634,-0.4284091768531324,-0.4488147240340065,-0.2511470482561035,test,805.589836660617,1
1645,-0.2562597506249902,-0.31585046007673356,0.02856584008620815,-0.43158132104029834,-0.4484235595934092,-0.4900238791667519,-0.4576390574913656,-0.4305068228647709,-0.503577515986924,-0.44939283370247635,-0.02001250411801869,-0.07081231480310402,0.03994190193887828,-0.7383061144549958,-0.6542206348336207,-0.39974887738037546,-0.5437080263585634,-0.47221934877399985,-0.4243391035454622,-0.5808782489952322,-0.6258560739592465,-0.6406490712128219,-0.28362355441692005,-0.5188054607472502,-0.2694108953841147,-0.4758904459671285,-0.41120332848152863,-0.29591988915506207,-0.4819183142685435,-0.2316710512849799,-0.2902458460247971,-0.6812616608809645,-0.6355750670749442,-0.6194479092749328,-0.6753767889437668,-0.7482217526114976,-0.6728820174365525,-0.7060155532261602,-0.6657997304035549,-0.5762365823812641,-0.15075079319051343,-0.2967879757650953,-0.4244910025933267,-0.4641291282205159,-0.29891595928123316,test,806.0798548094374,1
1646,-0.21833764348139093,-0.27954698832252367,0.03168868400268845,-0.43558647584729293,-0.449348973085183,-0.45767216601846555,-0.4132845627445966,-0.444576606575442,-0.4700169961865098,-0.40866992429274007,-0.056210325724573476,-0.08410648688074802,0.030288353594705344,-0.7587173567976002,-0.679770417713747,-0.43474266467863376,-0.5649203261565469,-0.49684461774582733,-0.46177448120413234,-0.5928918630278546,-0.5676718374861748,-0.6018522755805806,-0.3395257272287363,-0.5093688866897843,-0.3000627624982106,-0.530867884454977,-0.4604908607057747,-0.3131636466324849,-0.43720079699784975,-0.2403705583753883,-0.2874512856161152,-0.6829383063123157,-0.6409636954319586,-0.613077083407123,-0.674214326597314,-0.7295089230333727,-0.6578874326603237,-0.6895527534326541,-0.6335411233420376,-0.5893615200523599,-0.16777811913474783,-0.2915751427799902,-0.40880764442511197,-0.4802466891571295,-0.3504822234562488,test,806.5698729582577,1
1647,-0.18237529663852614,-0.24476376212560336,0.03562957431236028,-0.4365138320814726,-0.44217884935426577,-0.4098494934561618,-0.36897064984216976,-0.4535898423353019,-0.4306256969601996,-0.36486140503352893,-0.0899332829326705,-0.09898334994970195,0.021072548257278625,-0.7674919549413403,-0.7004654977831174,-0.46552730846221557,-0.5786338490594392,-0.5168797194710009,-0.48610859105309423,-0.6054402007854307,-0.5101956351683508,-0.553100205446262,-0.384968675252473,-0.5000113372877804,-0.3391977845677362,-0.5696670849586323,-0.506987660208671,-0.3287361428424954,-0.38328937796045104,-0.24123441754395608,-0.28403431487009534,-0.682247315234668,-0.6359446207146511,-0.5919334357100868,-0.6649224792863834,-0.7097453037569488,-0.6341484495789206,-0.6637599992737991,-0.5951233021442943,-0.6086265648787867,-0.1837959653756578,-0.2832963034605036,-0.38454036024742355,-0.4883914777007595,-0.3941974638137514,test,807.059891107078,1
1648,-0.16131263820425762,-0.21308401693965226,0.027646258525928183,-0.427167314115857,-0.42630647076522876,-0.36965211755425736,-0.33484949312792517,-0.45793748058341605,-0.3908867456641044,-0.32976933376369016,-0.11869449389918497,-0.1132807006296511,0.019712733635441203,-0.7723014675889779,-0.7200087154222118,-0.49170355010057587,-0.586144553111945,-0.5290843852209063,-0.5012440097018672,-0.6047647021459785,-0.4610485367885161,-0.5114407337577179,-0.4306917588745921,-0.49513447138764627,-0.3618275905994007,-0.6017345912618833,-0.5416916735944693,-0.35071428988724374,-0.3391970595576046,-0.2521890980859585,-0.27938415799297456,-0.6701979918617771,-0.6348295511133489,-0.5794174923810012,-0.6592187227618838,-0.6957745322390373,-0.6218709494559567,-0.6409299550627452,-0.5616784455145094,-0.6068858625866458,-0.1922545201840859,-0.27759053844187553,-0.371281820358001,-0.49708395476028505,-0.433025167831826,test,807.5499092558983,1
1649,-0.1374504322482201,-0.17878262630594433,0.024020952158779054,-0.4266810743639406,-0.4007455824246755,-0.34121519245756443,-0.30634319643177854,-0.4584574141213283,-0.36601701966176153,-0.3019569437199611,-0.13672713841969397,-0.13162315855199735,0.01787362476479802,-0.7736876095916642,-0.7348078233414131,-0.5069176885390762,-0.5961929978373233,-0.5391288743241739,-0.5139004582480113,-0.6017716576510641,-0.4196239651596735,-0.48432968122458164,-0.47158173843104223,-0.4844577906689643,-0.3873728662166197,-0.6243855290639496,-0.5660862962634007,-0.37323078593280723,-0.3020858402615164,-0.25674742872588996,-0.26620850866338674,-0.6683548683960385,-0.6378431880756479,-0.578435359213656,-0.6566160962852596,-0.6822180117453038,-0.6062091284237223,-0.624163689534898,-0.5451678260962337,-0.6043729185568399,-0.19814780893456982,-0.2739427693829678,-0.3554596096351395,-0.4981438365263379,-0.46503440170596155,test,808.0399274047187,1
1650,-0.11827303343606616,-0.15132450308602216,0.016393855282845565,-0.42234233226075685,-0.3773453905315403,-0.3113787180208286,-0.27405870538611515,-0.4614657446447248,-0.3425498731027876,-0.26392836632598893,-0.1554612025394944,-0.14482272600135146,0.021250005413589217,-0.7751978851186282,-0.7618084194093458,-0.5255546496020523,-0.5995860312264897,-0.5566739202790087,-0.5250679094138784,-0.5917026272215777,-0.3900685538672782,-0.4471176269389071,-0.5106176037274388,-0.47988428191417254,-0.40655381035510463,-0.648042039564397,-0.5928839428414722,-0.386880439276739,-0.25903402577952506,-0.2621954558649965,-0.2510094384439788,-0.6555697687033278,-0.6296913654282709,-0.5763583825181618,-0.6480155404908138,-0.6795509613696,-0.5890793872648156,-0.5952488544564204,-0.5189441256152706,-0.6093920828232792,-0.2130807717885417,-0.2703942452554664,-0.33148088102553036,-0.4963548886477948,-0.4980400546379329,test,808.529945553539,1
1651,-0.11519121007013478,-0.1396905335172674,0.012183220781955249,-0.4215931570253475,-0.35765004198206785,-0.29531528733890283,-0.24916398546345092,-0.45926112582850886,-0.31836549571770056,-0.24733399050602375,-0.16829979563444578,-0.16474663347628166,0.0224918750709795,-0.7742204105995371,-0.7675706447031659,-0.5287303864402983,-0.6043293283541449,-0.5632447509940052,-0.5305675122507487,-0.5924278532823626,-0.3571806701325677,-0.42605250831259533,-0.534852905881255,-0.47152864795112237,-0.4220723089180889,-0.6571343044345115,-0.6053157450113301,-0.3956239317504383,-0.23316219213370382,-0.2692600032365402,-0.2383099912649755,-0.6532035875989962,-0.6315827809025479,-0.5704351199667157,-0.643547542963757,-0.6715438120960945,-0.582113845222565,-0.5886162370634193,-0.5079755418532578,-0.6046392176281853,-0.21694901242720946,-0.2658163756721449,-0.3248007321784221,-0.5017996576540755,-0.5177363930171385,test,809.0199637023593,1
1652,-0.09721220692098421,-0.11519161719706267,0.006764425258924428,-0.41720655802232137,-0.3324079099821036,-0.26049516609980794,-0.2150807554933217,-0.45417848343782763,-0.29353597570979006,-0.21306179219659555,-0.18528150499898144,-0.17736740763851894,0.025081973076571274,-0.7754354599413444,-0.7809012352059015,-0.5388722492781151,-0.6021127584580522,-0.5665650600817987,-0.5449430627184773,-0.5868020368951017,-0.32092199885397615,-0.3944806154283613,-0.5653425068852866,-0.464289832694645,-0.4426489132842222,-0.6650172777708282,-0.6256010026380036,-0.4062389320208044,-0.19683183271755927,-0.2696325528575694,-0.22745036780469965,-0.6456030051625862,-0.6286180266003352,-0.5598335122323934,-0.6336409448700986,-0.6560887321698835,-0.565515116914802,-0.5712097723346717,-0.4905265543713538,-0.6083244372136906,-0.22026361490119153,-0.25544920292890727,-0.3054570577339603,-0.5011007644963625,-0.5406553997830909,test,809.5099818511796,1
1653,-0.08314622123945882,-0.0899812863753895,0.004608456537761787,-0.4087503985870997,-0.3076732539238632,-0.23512873997051623,-0.1818915637066843,-0.4517400648638562,-0.2705015195066401,-0.1791677389793058,-0.19410821559006652,-0.1910318504242818,0.02031760110256475,-0.7718991068337838,-0.7887585500856285,-0.5483750244434917,-0.596573741399418,-0.5702508371704719,-0.5544641871197973,-0.5839633273660709,-0.28216319063546996,-0.3637470834235537,-0.595144011658334,-0.46023946824399375,-0.4616178131798173,-0.6799275586117223,-0.6408526870735991,-0.4194753594166739,-0.16031353391325107,-0.26232228268846125,-0.2124985399799651,-0.6321773984246473,-0.6245586408728996,-0.5472011679840997,-0.6254545065677513,-0.640900253730943,-0.5399143223616875,-0.5554250010873166,-0.46484013573012906,-0.6051697811797814,-0.22859057335682428,-0.2491707025783351,-0.28107049033087506,-0.4952817775763525,-0.5629531408861984,test,810.0,1
1654,-0.06692372810708078,-0.06126516392965982,-0.008645485243349243,-0.40361402706356664,-0.2763561759565206,-0.2014420414114137,-0.15007750823313312,-0.44194966918987794,-0.2482845588325598,-0.15373643100893822,-0.20458955389817396,-0.21089454104352842,0.015475687859491282,-0.7707564025613327,-0.7993214083995963,-0.5508477592005313,-0.5908751174266261,-0.5682657653374312,-0.5601319723453052,-0.568457857502443,-0.24432766604777414,-0.331068321880307,-0.6236907267374044,-0.4478909345666658,-0.48245361147878296,-0.6882259411733685,-0.652048772270561,-0.43255101195308643,-0.12951287737220213,-0.2621632527843657,-0.2082352599372213,-0.628137054721923,-0.6228315935844841,-0.5418439594909521,-0.617325548326562,-0.6242707844077239,-0.5282930091593997,-0.5346875165746264,-0.4568014392330554,-0.5984609360292107,-0.2219974360089506,-0.24123341156387307,-0.2550069389499685,-0.4964707724384761,-0.5887999677987046,test,810.4900181488204,1
1655,-0.053512723159301806,-0.04318654946460632,-0.0164966832188063,-0.39474636782222194,-0.25852374867016165,-0.16753383806000502,-0.12392904529171857,-0.431209385756545,-0.22744038180762663,-0.12558774935507047,-0.20958827109007958,-0.2171525931574294,0.011380724434188883,-0.7593392849475803,-0.7966493533939729,-0.5569820600168052,-0.5814915414550916,-0.5631081277149019,-0.5656953341871838,-0.5603477616008958,-0.21887670303982615,-0.3029155838324723,-0.6450702005005341,-0.43381932055600403,-0.49232030264507265,-0.6815301570667285,-0.662888172603764,-0.43843840693239056,-0.10472947263244187,-0.25346710864642363,-0.19893334779991048,-0.6107516670166075,-0.6107733059345916,-0.5235885686621405,-0.6108830271103053,-0.6104089801336783,-0.5060788359945263,-0.5132648891311656,-0.4411491895107519,-0.5981660613495816,-0.224769237859469,-0.22434745920758048,-0.23134395894406082,-0.4845844752988588,-0.5973422707028729,test,810.9800362976407,1
1656,-0.0420154304220408,-0.024893231495036874,-0.028306868307323926,-0.3912014199389175,-0.23669008751552034,-0.15007267425538096,-0.1107533955483142,-0.41888894639768903,-0.2162074138096081,-0.10467262761891077,-0.21975434823985315,-0.2210952674053375,0.006180679630111663,-0.7567516709922752,-0.8061468326479228,-0.5659435257427187,-0.575624754482022,-0.5648219370546006,-0.5736128716280341,-0.5572993342762756,-0.19971120102010959,-0.28680653503068904,-0.6644386374865187,-0.4308080826019323,-0.5070956402121503,-0.6906513588312918,-0.6731129838879134,-0.4492162982034176,-0.08322741262820851,-0.2543244685154593,-0.19445501461973286,-0.6097322792737725,-0.6089796111915875,-0.5250972498474293,-0.6138258998671785,-0.5996593600258124,-0.49366294905716657,-0.5005085248344124,-0.4321051679733584,-0.5948826852024748,-0.22038955079702308,-0.22445540745854,-0.2130390450450907,-0.495187776473475,-0.6154229425773964,test,811.470054446461,1
1657,-0.03218382884281802,-0.01881421886805454,-0.03630570724992762,-0.3849505271424688,-0.21512743443166144,-0.13570851118358357,-0.10059375395992573,-0.4100047187413686,-0.21236219528245412,-0.0966923064781727,-0.22603617229439366,-0.23483456950053125,0.015802630221997262,-0.755250177226802,-0.8059839235631655,-0.5708458213127049,-0.5794826106796632,-0.569240407790722,-0.5748892924646415,-0.5488850951045955,-0.17867533875679925,-0.2707781765343561,-0.6843204700969605,-0.4249369131982447,-0.5187806980662646,-0.695024545542305,-0.6729578467295644,-0.46048822523688815,-0.0695017755322131,-0.2526232277531011,-0.19086232904915099,-0.5998922357703832,-0.6122829162211005,-0.5193656615651066,-0.6172884274094266,-0.595165195156897,-0.4912521560533125,-0.4831970399165445,-0.42425580745206437,-0.5943836592172331,-0.2229120124956196,-0.21656421953179952,-0.19644892166543487,-0.4904265119405179,-0.6245005380491717,test,811.9600725952813,1
