,AIBL,AIBR,ALA,AQR,ASKL,AVAL,AVAR,AVBR,AVEL,AVER,AVFL,AVFR,BAGL,BAGR,DB2,IL2L,OLQDR,OLQVL,OLQVR,RIBL,RIBR,RID,RIFR,RIGL,RIGR,RIML,RIMR,RIS,RIVL,RIVR,RMDVR,RMED,RMEL,RMER,RMEV,SABD,SIADL,SIBVR,SMBDL,SMBDR,SMDVR,URXR,VB1,VB2,train_test_label,time_in_seconds,tau
1490,-0.35263781415000284,-0.25377473518442323,-0.4169230864286601,-0.6157355626175243,-0.11950069118053161,-0.25293705852146653,-0.3851469166100154,-0.5539714611064503,-0.3810754314199956,-0.4970140854939251,-0.34884777483139134,-0.3966518631959503,-0.7831301625757483,-0.8904058364240666,-0.6167087449620492,-0.5228274002842438,-0.38966964377832447,-0.4832368572129869,-0.4948324155156017,-0.5803631635889086,-0.5369380534864937,-0.6751196203734289,-0.7069727152521499,-0.39818956432149716,-0.3776700243361064,-0.3368554757219877,-0.27635087337272907,-0.755122778660517,-0.6542632698432642,-0.486490688082193,-0.3126039706455054,-0.4801450706481469,-0.5009163654284037,-0.6610737024954492,-0.4743428084801,-0.44941315559303685,-0.4553601210213108,-0.44336178755749767,-0.4113264357349859,-0.757585395998158,-0.6782688996406896,-0.7166386991849021,-0.5706340201410428,-0.6322132764121966,test,531.8790282597918,1
1491,-0.3087195341769157,-0.21163694912594655,-0.4064472199354137,-0.6120558890497539,-0.10370826120423576,-0.20708615497554125,-0.34414293809052887,-0.5718729984885011,-0.34738760194845353,-0.47323264568273005,-0.35314934827444144,-0.40320971937021693,-0.7983001553384605,-0.8959422023411454,-0.6364662092631413,-0.5117076216730033,-0.3770470802756861,-0.4670146527809026,-0.4879612410917278,-0.6040824366000409,-0.5633056202526486,-0.6823283463416405,-0.6944646972177393,-0.39849157939021046,-0.37797643861499813,-0.2998453316752675,-0.2384977327803619,-0.7725785218186039,-0.6464857419057486,-0.4795475023441864,-0.32316406380468576,-0.5020762017919151,-0.5254814015039935,-0.6774358215544705,-0.493275462095907,-0.43282629392814465,-0.4564557078268327,-0.4536430339409357,-0.42238577539436545,-0.7635840912069536,-0.6618943115093423,-0.7250425354927736,-0.5714412853334809,-0.6576221921230812,test,532.2359940505702,1
1492,-0.2672880558682202,-0.16961878499255706,-0.39645100422138524,-0.6052691530458336,-0.08942089127962424,-0.16190709355360533,-0.31001390419963426,-0.5907280043568257,-0.3152060162364776,-0.44017693265450336,-0.36067075263205656,-0.4057219643900293,-0.8074592606696208,-0.8909063623385807,-0.6558870018491663,-0.5039918828581751,-0.3574792070347824,-0.450140499864028,-0.47445281844910037,-0.6214677348264106,-0.5855807059443583,-0.6843470854134611,-0.681868662729542,-0.3983104236988885,-0.3791476280207656,-0.2670934258547823,-0.1914505081764059,-0.7796913589694637,-0.629435600287218,-0.470112348520073,-0.3296087209651096,-0.5264213325463525,-0.5452128976629488,-0.7008333388211835,-0.5071039338734008,-0.4164616652273633,-0.45819361287473126,-0.4615104572631441,-0.43579075496360925,-0.7552514866100819,-0.6457850993762132,-0.7189193680095589,-0.5726385197584294,-0.6867478261705138,test,532.5929598413485,1
1493,-0.2280328911956234,-0.14126763862859876,-0.38183377358045606,-0.6011791957561592,-0.07817571105567449,-0.11821860644449786,-0.2751867056318532,-0.603345704845017,-0.2885579624402109,-0.40715620785438417,-0.3627728565125069,-0.40026651128249685,-0.8132256271204802,-0.8831185885676281,-0.6685012907638026,-0.4996598769598676,-0.3404408430837701,-0.4290445858191362,-0.46832651746775333,-0.6288554724315656,-0.6023287167855398,-0.684752809414514,-0.672579475489676,-0.39350990872823693,-0.36899268258555334,-0.23210531277470606,-0.15072634651185482,-0.7905786888615444,-0.6231103502288255,-0.45353870618927306,-0.33373676883302095,-0.5520915591247266,-0.5644780071038183,-0.716131774343358,-0.5104298063893634,-0.3992704856639533,-0.4593900975234815,-0.46473111334122996,-0.4406218546014832,-0.7497988414228861,-0.6232324293752973,-0.7106306404535765,-0.5707368951918803,-0.7006020457727906,test,532.9499256321269,1
1494,-0.21080801953054715,-0.12996375548601932,-0.3711167015238432,-0.6065531615218656,-0.07639867781367513,-0.10468033145207402,-0.26370083113700693,-0.6038614728480062,-0.28052059225884024,-0.3928737840729284,-0.3597343570981699,-0.3996527348308065,-0.8170672319486025,-0.879753211905064,-0.6672477756003138,-0.4979632449689386,-0.33604875417304814,-0.4194977574457577,-0.45685173762438885,-0.6272372517997538,-0.6048327630125983,-0.688874301378108,-0.664037844929775,-0.39420095380904474,-0.3639290729560726,-0.21717838290256924,-0.14440874301790835,-0.7929329952564845,-0.6208651249213296,-0.4493431563778497,-0.33386628246601335,-0.560758734055963,-0.5705554559409304,-0.718820541878466,-0.5181662281327191,-0.3895834403165116,-0.4592529432537672,-0.4703601924105748,-0.4477075954461544,-0.7407230735307556,-0.6099058956233604,-0.7060485375864031,-0.5729078031607798,-0.7065168456514586,test,533.3068914229053,1
1495,-0.1891200247706069,-0.11209911621291459,-0.362469933715493,-0.6076262088761832,-0.0689915676951314,-0.08498463402216866,-0.2470486714889237,-0.6007987893855211,-0.25987029544077933,-0.3765497460753224,-0.35745216669784935,-0.40047552320582874,-0.8128719385386077,-0.8753753358228524,-0.675220317593499,-0.4938570431322663,-0.3269824016924865,-0.4124806680159827,-0.4500256242479488,-0.6356864936454815,-0.6135720768158438,-0.6914029294433728,-0.6620881983088338,-0.39454973714410707,-0.36048682942936894,-0.20158849590743377,-0.13213506922521243,-0.8032008938204187,-0.6152798733974872,-0.44051138186873817,-0.34372056170190673,-0.5695762066522634,-0.5784786675667467,-0.7238932130626043,-0.524945597320176,-0.3790311410927818,-0.45794327427985604,-0.4803460238177876,-0.44770834886735816,-0.7454256821427299,-0.6048654304607038,-0.7079418816439076,-0.5744810311275474,-0.7110037558390405,test,533.6638572136836,1
1496,-0.1598040295093071,-0.08070597914829489,-0.3514618650516886,-0.5987620738530204,-0.05806328318868545,-0.04954294461346604,-0.22169132894321725,-0.6024096598801463,-0.22590924813004495,-0.3471247631131274,-0.35855014414770736,-0.4058032634856213,-0.8132746517989501,-0.8742197559859033,-0.6888368857509743,-0.48451464047488,-0.3157924579125234,-0.40100588313361935,-0.4324851559264172,-0.6469943261924662,-0.6276107272952699,-0.6954444525034893,-0.657275682140277,-0.39452065166944195,-0.3622565133723099,-0.18049495247955574,-0.10564339447824511,-0.8069941687464233,-0.5981689512671776,-0.43839582631453744,-0.34364746434180415,-0.5836251881347843,-0.5872599745990633,-0.7365383068477143,-0.5389872254088479,-0.36316061605368166,-0.45507566750429923,-0.48089843615362843,-0.45577055109105497,-0.7370064308899218,-0.5987082094627454,-0.7062021418528368,-0.578369025330637,-0.7252102485589267,test,534.020823004462,1
1497,-0.13364645666781827,-0.04638970440707042,-0.33309482068937885,-0.5804959081071883,-0.04975609922106643,-0.02340589910820614,-0.1987608826170211,-0.6135067545440709,-0.2084402667521129,-0.32133973972613117,-0.3656935903287992,-0.40771927886361353,-0.8304490352745896,-0.8756833548180087,-0.6967511707171448,-0.4768957045471395,-0.31096892877214644,-0.38415611449831594,-0.42999964274005564,-0.6579570066850821,-0.6501936639614511,-0.6930588635364002,-0.6396308958597514,-0.3894247783839182,-0.3590782224807967,-0.1512788634195123,-0.068542077815051,-0.8202846404347928,-0.585574423151286,-0.4237856753378254,-0.3408147111686569,-0.5984096389231081,-0.6043250617326311,-0.751874933364738,-0.549971174761375,-0.3522674616432404,-0.45259904469994866,-0.48569435632327934,-0.46679044655072255,-0.7496932864565302,-0.5754441559511578,-0.7082085985373668,-0.5740089951269949,-0.7412264734153802,test,534.3777887952405,1
1498,-0.11109119064313167,-0.024010866777844295,-0.3246654188457397,-0.5764347375142577,-0.04538330491713595,0.001303100411631855,-0.18031502353300166,-0.6189553676187944,-0.1837675264765644,-0.30015968120877967,-0.36792153171795017,-0.403035890437924,-0.8289225580235605,-0.8706528278862402,-0.7053396224538073,-0.4705410018033822,-0.3008251624948809,-0.37472768153024244,-0.4224478287968777,-0.6652382117428446,-0.6605408459893575,-0.6989100269652697,-0.6331601571832266,-0.3844420345334527,-0.3565158224564829,-0.13046029570690706,-0.05261019445254281,-0.8279239161420815,-0.5802287597967897,-0.41342224105351855,-0.34957125261057276,-0.600088598239121,-0.6111460977873345,-0.7552134866824729,-0.5524072431934982,-0.3411147002120297,-0.4506732823343423,-0.4980130958068317,-0.4761020703817332,-0.7542291692594657,-0.5741499296542628,-0.704662492196823,-0.5781595842543896,-0.7524464368886186,test,534.7347545860189,1
1499,-0.10676819951771929,-0.009717167921823255,-0.31650319997692905,-0.5717521708021285,-0.040350838302042044,0.010378843050240172,-0.17157678049484215,-0.6254190829729496,-0.17732212531258984,-0.29335447862891095,-0.3702959889533223,-0.40636499897273953,-0.8337436950160103,-0.8730185079971658,-0.707791022051991,-0.4649160554708234,-0.3050662676237189,-0.3707310643456115,-0.41576453363993515,-0.6659735994762352,-0.662899927727479,-0.6972079217745624,-0.6262110966622214,-0.3824274176262076,-0.3561917363953452,-0.12561755177393513,-0.04607798501704488,-0.8265530971657011,-0.5747221425989608,-0.4154579224415599,-0.3449645933164439,-0.6087698156681707,-0.6215335372606133,-0.7611922947898562,-0.5645474318273684,-0.33596325525281934,-0.4506558989696957,-0.5053992961654652,-0.48154133245045333,-0.7523107325023216,-0.5733142914991252,-0.7004668347765363,-0.582232791191795,-0.7616850155919566,test,535.0917203767972,1
1500,-0.10692222341316412,-0.002344584108301448,-0.32168011820907005,-0.565605088165652,-0.027509619245657466,0.01516298473543301,-0.16806035674961406,-0.6334822033857987,-0.1651707156955111,-0.28564159569546843,-0.3779603063376844,-0.40603477660974446,-0.8397403751894755,-0.8742327785677103,-0.7123261480400245,-0.46267908503488187,-0.30969861632981727,-0.3716799387073532,-0.4065137331205702,-0.672514502466448,-0.6663847796951726,-0.6931964419534365,-0.6237431968980166,-0.38127865134799976,-0.3601128968057134,-0.1303163524850754,-0.03903997601837275,-0.8320779004374594,-0.5720068361538306,-0.418993341442491,-0.34177775729354526,-0.6184164097264859,-0.6281747543219505,-0.7675317763192948,-0.5737879202156267,-0.34214885695968134,-0.4570042484583076,-0.5042913255882885,-0.4816939386553601,-0.7557353485974669,-0.5738396163111142,-0.6959743303618207,-0.583823678203089,-0.7755908300032126,test,535.4486861675756,1
1501,-0.10563086099559768,-0.001823693001941365,-0.3219711056224764,-0.5683679855645365,-0.025265762996439498,0.021624190304173493,-0.16673785785365938,-0.6312431518778139,-0.1559701522609909,-0.2785528061486442,-0.377543797280662,-0.40087861844654543,-0.8328182127252137,-0.862868068808449,-0.7075911542262525,-0.4589411848775684,-0.3020746833239474,-0.36566988209801005,-0.39681204659970376,-0.6727599246624176,-0.6652506423005411,-0.6891321068832722,-0.62369705979602,-0.3812131846401074,-0.35064646455350384,-0.13118847087749333,-0.034783385789489585,-0.8282486871102099,-0.5707991627449047,-0.4231583039837439,-0.3444679385543954,-0.6190104227149147,-0.6250122772363462,-0.7650439338041237,-0.5725732175919963,-0.3373473021705926,-0.4555458042547769,-0.5087542606105777,-0.48271740131554197,-0.7455717543293668,-0.5779410782839438,-0.6907418342954055,-0.5846517803810463,-0.7832215853062288,test,535.805651958354,1
1502,-0.1015850134661557,0.008681641409458374,-0.3159623213409231,-0.5639520806528044,-0.021634230861368398,0.022014212105344752,-0.16723045808236334,-0.63450401416664,-0.1513719362304614,-0.2779762960812574,-0.38031677712575707,-0.39780858686944315,-0.8305734064807107,-0.8604105311571278,-0.7086783389406588,-0.4551417988297649,-0.30303181706476845,-0.36367725519814426,-0.3929564079227407,-0.6721148348361871,-0.6647257247852436,-0.6862593238706953,-0.6186542386393604,-0.3797466622709776,-0.3463079230195758,-0.13238709577578345,-0.032026803442011004,-0.82797362805448,-0.5675960270826848,-0.4240902633975452,-0.3491722250628616,-0.6233349391049714,-0.6339223568717403,-0.7667744006316448,-0.5794571723452604,-0.3358906240756194,-0.45149599563475507,-0.5141677952920487,-0.4783846571004459,-0.7498455270198534,-0.5745309848121393,-0.6892700898980834,-0.5844252400617751,-0.7845906351095377,test,536.1626177491323,1
1503,-0.10047827363629414,0.003869181866605148,-0.3200481178756825,-0.5638158782456275,-0.016394422553527715,0.017836171789663485,-0.169645855292206,-0.6422181038910089,-0.14764669758312535,-0.27892481653659884,-0.3866174120743861,-0.40108168132397726,-0.8287565398760214,-0.8653115908794876,-0.7137598061362886,-0.4627338393746575,-0.29830968705919536,-0.36913008671015135,-0.39580052931450255,-0.6739915730762416,-0.6698336533055546,-0.6878907054358894,-0.6212648473689406,-0.38764195466073215,-0.35026781109167726,-0.13761661769417627,-0.031206622881922247,-0.8264031266913173,-0.5660498362615805,-0.42722285553470474,-0.3454091487764607,-0.6306745654944128,-0.6337695751558472,-0.776429781358698,-0.5883232661968636,-0.3453995300434507,-0.45573891064587596,-0.5088528201175527,-0.47860749739527475,-0.75127652583664,-0.5734455550855584,-0.69079162948989,-0.5865120993170665,-0.7887388229663868,test,536.5195835399107,1
1504,-0.10381763143404693,0.0172949399713668,-0.3063332555958413,-0.5582190324418919,-0.016943073904872513,0.020671766278374082,-0.16483331712719418,-0.6366499393229884,-0.1314231373395198,-0.2801915000474333,-0.38255673873310614,-0.40071794202093114,-0.8316081714814698,-0.8633738922752184,-0.7032821082487011,-0.45040428977825864,-0.3052229320995791,-0.368321315673956,-0.3927158313221454,-0.6805913973496018,-0.6668101080883497,-0.6814685789947765,-0.6206651416628999,-0.38104375658362827,-0.34487931335996785,-0.13733440094184676,-0.03085867783597357,-0.8240749241070949,-0.5589181923404606,-0.42965947307988683,-0.3443916175918815,-0.6243766127282002,-0.6412375542270227,-0.7723421522579436,-0.5998265614229958,-0.34189843247405594,-0.4531646662851352,-0.5115052519870925,-0.4823031408653077,-0.7514349984424683,-0.5721169473341303,-0.6899743737396662,-0.5869945277569458,-0.7936142474514118,test,536.8765493306892,1
1505,-0.09612003389416876,0.022177332986654225,-0.30785495975842464,-0.558180808637344,-0.013240070677105004,0.02754314533982749,-0.1524615915712928,-0.641559612780241,-0.11724818323178615,-0.2752576202947318,-0.3851204193656692,-0.40369427521345574,-0.8363264947290279,-0.8720198438233975,-0.7034438368208784,-0.45571648685181465,-0.29724785427091627,-0.36692995884606655,-0.38868387116521413,-0.6813611539433272,-0.6716596277347155,-0.6853106425594815,-0.6246598830531112,-0.38537863339709244,-0.3480056989728375,-0.1341525939405839,-0.028527885173076778,-0.8230352863657885,-0.555972807819303,-0.4345821104587504,-0.3444989593197463,-0.6318963133621092,-0.6399938056422846,-0.7796669509439682,-0.6095704214720492,-0.3437274764687964,-0.45860175322714136,-0.5093693101997572,-0.48824008216031184,-0.7493603490461552,-0.5725226665608008,-0.6954240537041526,-0.5926103619826526,-0.79639613516717,test,537.2335151214675,1
1506,-0.08368789772536084,0.04340091754474448,-0.30570616061138145,-0.548258863774072,-0.008080730651654655,0.043845550034777955,-0.1400246438593055,-0.6481842658123236,-0.11054871663528415,-0.2582073325922011,-0.38474263863045755,-0.39555873474491465,-0.8402784933736626,-0.8599507617531369,-0.7036550062715032,-0.4479876941030051,-0.2927208126806777,-0.3489359589436645,-0.3780998678546671,-0.6778119085040148,-0.6748138844098304,-0.6697920162036497,-0.612813608740707,-0.37470877352300486,-0.3414348830408933,-0.12565043075434051,-0.00647916867352738,-0.8220099853883092,-0.5501630759425611,-0.4231629002476488,-0.34689176613206285,-0.6434544659154577,-0.6504016901236179,-0.7838753739085196,-0.6082880821669645,-0.33229155773578267,-0.4560422909878035,-0.5067414058793513,-0.486486564884666,-0.7390763755789164,-0.5554243214500779,-0.6856346369502808,-0.589409989463813,-0.7969699853931673,test,537.5904809122459,1
1507,-0.09451928433952994,0.023261482079437013,-0.31480535759313,-0.5658129463935192,-0.015729830259983618,0.028574121436464844,-0.1539045299421463,-0.6406253899609498,-0.11963381531875286,-0.268913699749301,-0.38534398513700235,-0.39651648597823014,-0.8353968143410406,-0.8594298549031807,-0.7023981075894634,-0.4550963136686359,-0.2948631597834205,-0.3597922975759455,-0.3833510388011183,-0.6746275977299038,-0.6633440249751822,-0.6799421629672388,-0.6232955421494843,-0.38141110850797505,-0.3412945706546458,-0.13915059572529792,-0.024243349527382607,-0.8240291195705605,-0.563702058823947,-0.4309275667458333,-0.3490111119771916,-0.6404383054211633,-0.6506895265913103,-0.7792749437142549,-0.600355204126559,-0.335370502585121,-0.4600308695396416,-0.5120827956777858,-0.4800650051479211,-0.7379924204164,-0.566892486066515,-0.6864322305211269,-0.5963459100520441,-0.7967610027120244,test,537.9474467030243,1
1508,-0.09297501006313752,0.023916583785162204,-0.31344408526351375,-0.5662176395373109,-0.02027826424408756,0.02485628914861117,-0.15528686039128717,-0.6350476172717365,-0.12004557997107342,-0.269076534499471,-0.3791218741803789,-0.39734349505255717,-0.8311059053368843,-0.8611261297358974,-0.6927664848824513,-0.458474119577439,-0.2941520589018293,-0.36140099288043276,-0.380122087293441,-0.6709333244986577,-0.660034149979468,-0.6770792514554704,-0.6270548226369632,-0.3820392700967333,-0.33796602331002146,-0.1378318097928059,-0.028328926594700876,-0.8199811439640486,-0.5599141828053972,-0.432536657302112,-0.3492054121443825,-0.6397289215634336,-0.6481863272690124,-0.779359825000626,-0.6067479540511056,-0.33346151113188194,-0.45864658414937504,-0.5077666115740417,-0.47803059945289406,-0.7327417794073968,-0.5686733666084333,-0.687605716192681,-0.5978723847248648,-0.7899738324073002,test,538.3044124938027,1
