,AFDL,AFDR,AIBL,AIBR,AQR,AUAL,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,AWCL,BAGL,BAGR,IL2DR,RID,RIML,RIMR,RIS,RIVL,RMED,RMEL,RMER,RMEV,RMGL,RMGR,SIBDR,SIBVR,SMDDL,SMDDR,SMDVL,URXL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
3406,-0.5381392039509634,-0.4135509207494409,-0.5904192534187771,-0.6136049374595696,-0.8182290392626956,-0.6525128883261712,-0.7677816376154627,-0.7928008293852143,-0.6601128456898396,-0.7605947140479021,-0.7735782013868853,-0.27702891310444283,-0.607813523876979,-0.6501425381128401,-0.7715631629638106,-0.8529951557647694,-0.3930706730484016,-0.8449213985400794,-0.8504299555736341,0.17669025526328985,-0.6220898040567974,-0.5656135750838309,-0.5471358551923554,-0.5910481280431295,-0.34037880114922187,-0.431646068385315,-0.36677412799955034,-0.4849996105391481,-0.5037793355433137,-0.6807653308033395,-0.8109661313416104,-0.7048782547168542,-0.9114260162507589,-0.6467399016444848,-0.6845666652378823,-0.6749262000129617,-0.7298732500491085,-0.41370558861898366,test,1007.250821467689,1
3407,-0.542153731990026,-0.4200014815140893,-0.5953749967577943,-0.6131232024900427,-0.825091559804005,-0.6495838388165949,-0.7745802039898051,-0.7963666869062144,-0.6659473635436894,-0.7667776713811133,-0.7754521463551346,-0.2775587171062898,-0.6127205807797748,-0.649688671952569,-0.7713885505840304,-0.8501484832258023,-0.39736796781382255,-0.8452297995406819,-0.8497805560417439,0.1751549790014082,-0.6303727016656786,-0.5724796879264274,-0.5461967441652811,-0.5959650733782234,-0.3460452674691134,-0.43543492054981364,-0.3660438044398043,-0.4843313983784896,-0.5023618715026026,-0.6901128474292826,-0.8151198576818582,-0.7075105502077991,-0.9210206890300534,-0.6541168499654536,-0.6889163490788807,-0.6743828134245962,-0.7393361348319062,-0.41876767456508524,test,1007.5465498357065,1
3408,-0.536983484647747,-0.4188599043723056,-0.5882699612267049,-0.6124331168633264,-0.8189225886395253,-0.6502615976980993,-0.7739486107187475,-0.8006185569103165,-0.6584992507054952,-0.759651888654682,-0.7758582595422625,-0.27986917265951483,-0.6076010180184727,-0.6464021287614844,-0.7700832697407065,-0.8523112559335858,-0.39290163856452265,-0.8499451433613558,-0.8465258038131173,0.17652003674443745,-0.6307181397516752,-0.5681919915211431,-0.5467468620844013,-0.5948439730507096,-0.3435385304416808,-0.43279412854459565,-0.36581923365443464,-0.48884486624200396,-0.5016834730082398,-0.6858285850576984,-0.8115625820119268,-0.7108218540119619,-0.9190970416330094,-0.6425315512709866,-0.6789209082052068,-0.6758677882087354,-0.735193140348375,-0.41584445385708113,test,1007.842278203724,1
3409,-0.5351124494285471,-0.4135500273412346,-0.586964963902206,-0.6114897505618191,-0.8235061629696772,-0.6490938828768767,-0.7741620983281254,-0.7962744160655582,-0.6667041012495574,-0.7640683258095152,-0.7730179615409085,-0.2791501030081862,-0.6101477350020745,-0.6492846428150274,-0.7743937617182002,-0.8550311843844739,-0.3954801503130192,-0.8472416896238862,-0.8502858099899497,0.17226400683356768,-0.6261251319688255,-0.5764400044895905,-0.5473890950092186,-0.5969151179035641,-0.3568969781427991,-0.43140677212170364,-0.3664619552172738,-0.4883384839166234,-0.511083370937893,-0.6869809800884127,-0.8222253807121704,-0.7102501710899717,-0.9249658490860694,-0.6469177235169843,-0.679733331530293,-0.6805777542770194,-0.7358669438814129,-0.4210275723677869,test,1008.1380065717416,1
3410,-0.5330107796418522,-0.4176814029272785,-0.5831504893458678,-0.6108157490384531,-0.8154956501707575,-0.6491086389279891,-0.7708204309391629,-0.7985735763408618,-0.6625728229357247,-0.7602721292361047,-0.7799988000535863,-0.2769868538403755,-0.6069660565470365,-0.6450024355733303,-0.7721802407565708,-0.8607181644215345,-0.3895618353494618,-0.8525612038792739,-0.850312512887497,0.173939344272373,-0.62097197016901,-0.5781816462790395,-0.5469492444393828,-0.5971766472355213,-0.35138054174356903,-0.434163460429983,-0.3631592687203643,-0.492548967901384,-0.5062518186165359,-0.6826890341092363,-0.8227551832648694,-0.7024520489626963,-0.918108932697173,-0.6397849106792772,-0.6760042893610526,-0.6799984471030759,-0.7311543639039033,-0.4107127162644728,test,1008.4337349397591,1
3411,-0.5390879934357924,-0.4216322689404763,-0.5897428266054376,-0.6144677252149288,-0.8258034002953354,-0.6521025873591216,-0.7727297475608231,-0.8023687848591172,-0.671476305558115,-0.7679609950687575,-0.7815348971629204,-0.279179240830825,-0.6101935874442707,-0.6521998030339581,-0.7769439092191935,-0.8641031399672481,-0.39175110547282443,-0.8546011127359802,-0.8591401501592899,0.1757059567020276,-0.6272742136967375,-0.5909387731680533,-0.549949577720773,-0.6003232191508394,-0.3692254833799328,-0.4414106702734011,-0.36503922837762787,-0.4949363673668995,-0.5152718866742474,-0.6895440093370071,-0.83073028966804,-0.7031430121956359,-0.9285782608135538,-0.6454735795671283,-0.6811988272125157,-0.6814516648424656,-0.7328624711230727,-0.4192385843655405,test,1008.7294633077767,1
3412,-0.539029500104431,-0.42384705242464377,-0.5854729129001885,-0.6074345079349003,-0.8306115597732182,-0.65266809523753,-0.7660486645562193,-0.7963303717883682,-0.6784055919879441,-0.7774126678581401,-0.7773783495253761,-0.28196822103718244,-0.6107850482270283,-0.6514927041075208,-0.7784976095377982,-0.8632896185444654,-0.3936933379655242,-0.850814734498373,-0.8554435058805524,0.16941437430305306,-0.6295026901521583,-0.5995342570654316,-0.5541264905336445,-0.602337206465647,-0.3694483450730783,-0.4400618453100606,-0.363282832582806,-0.49344685981001757,-0.5146713671486379,-0.6888439843385152,-0.8327240316655351,-0.7068026589778813,-0.9331472378899557,-0.6460608808493776,-0.6798261064777383,-0.6818098975688749,-0.7338551763974467,-0.4263146724955388,test,1009.0251916757942,1
3413,-0.5392350019526886,-0.4246123445651289,-0.5842477317176678,-0.61012171413674,-0.8288462908454133,-0.6518773469174501,-0.7677713970289335,-0.8039152851467557,-0.6762083114390879,-0.769026236670448,-0.7766022758542951,-0.28292513305069505,-0.6103036723903837,-0.6538367901634095,-0.7737479816987484,-0.864759081344956,-0.3984053843985923,-0.8512879827831038,-0.8523711763519817,0.16448305164300797,-0.6356775550837388,-0.5836954857081368,-0.5526723869818776,-0.59903583365178,-0.3625763462102554,-0.43799569578881814,-0.35995002922863695,-0.4940272742188455,-0.5109604714178917,-0.6946835342645724,-0.8249944089569076,-0.7109827750710637,-0.929034801400944,-0.6442720130640508,-0.6797153742461921,-0.6792663507025796,-0.7370790479890782,-0.4211778366370693,test,1009.3209200438116,1
3414,-0.5353455473935279,-0.4180150470917695,-0.585493340440355,-0.6025643032171011,-0.8320732825089339,-0.6534202911736992,-0.7649281384968779,-0.7892873221593577,-0.6741738710496586,-0.7782478065742499,-0.7690272021941201,-0.28350073257646596,-0.6086864272074749,-0.652082522315798,-0.7715127477923263,-0.8571109451253996,-0.40332568525505086,-0.8450732402091131,-0.8429067811157879,0.15635631991108573,-0.6360584996921561,-0.58542051589595,-0.5520999383580072,-0.6042079029770933,-0.36918218114695367,-0.4329100239983915,-0.36434818448284917,-0.4906957930413234,-0.5118781312383766,-0.6871411637894929,-0.8271461633769245,-0.7162123408399969,-0.9285533622862773,-0.6535974481462397,-0.6785321071183076,-0.6859940098176907,-0.7419848429669821,-0.42349561309274597,test,1009.6166484118291,1
3415,-0.5413781385654044,-0.43187332225937103,-0.5959178121948256,-0.6109515548777416,-0.834507588147537,-0.6606496701452564,-0.7736391244233245,-0.8080474411620092,-0.6730464136747215,-0.7780124991360882,-0.7810019753761548,-0.2839219956419486,-0.6129156006507722,-0.656940729407111,-0.7773019167041657,-0.8658739197103501,-0.3999401544587491,-0.8554967121668976,-0.8580513064087284,0.17028247803977264,-0.6414848458500866,-0.5880856842586933,-0.5554785237500994,-0.6029060982020338,-0.36304445047125905,-0.4441779879847523,-0.3651105499498497,-0.4974614694474524,-0.5142377940613778,-0.6956900745951813,-0.8288674053101546,-0.7184887098513183,-0.9328791004716472,-0.6513354919236755,-0.6843119507323518,-0.6848401568905361,-0.7446197892777158,-0.4247023845485429,test,1009.9123767798467,1
