,AFDL,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVBR,AVEL,AVER,AVFL,BAGL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMEV,SIBDL,SIBDR,SIBVL,SIBVR,SMDVL,URXL,URYDL,URYDR,URYVL,URYVR,VA1,VB2,train_test_label,time_in_seconds,tau
1346,-0.39902125575048975,-0.700649660523342,-0.7675875716989196,-0.3485399873976645,-0.47676728458387346,-0.8808426324142815,-0.7477212635763192,-0.5526598731800397,-0.7666696591460843,-0.7583717509536089,-0.3479359027051639,-0.5618845632406966,-0.5443598723608368,-0.5739347937186354,-0.30651950935946237,-0.7925762186592465,-0.7919519464203676,0.333464595119205,-0.6817331582774703,-0.5048867264692873,-0.3209454769675714,-0.3409115561425589,-0.28372281972732677,-0.44566100983911033,-0.46315939953554086,-0.44563627314138554,-0.4656074187656273,-0.6552873680308141,-0.7439843370103161,-0.8086925309189902,-0.7857385306371429,-0.7181762007952441,-0.6976682568119832,-0.7344980312285637,-0.20841974563335947,train,383.3544303797468,1
1347,-0.3941306067066065,-0.7002904593927259,-0.7703963313049966,-0.3484066736321684,-0.48060632138149306,-0.8806102886958311,-0.7474062849118445,-0.5541252241017941,-0.76582939221858,-0.759751987005596,-0.3477319651910056,-0.559662097231282,-0.5451430856383224,-0.5767737505544912,-0.3027807942333408,-0.7859740684903096,-0.7973051638499477,0.3344246789380876,-0.6842188448257943,-0.5040600768826237,-0.3332130042344775,-0.3450908668469358,-0.2886589023187329,-0.44868939708448335,-0.46487542455106945,-0.4480402983402057,-0.46973440519245774,-0.6561756679232799,-0.750501463130912,-0.8122393882437281,-0.7875409451968711,-0.7229524516300798,-0.6963981228154986,-0.7371354201153616,-0.21507534923374005,train,383.63924050632914,1
1348,-0.3952410534560115,-0.6976870651671749,-0.7652472420351848,-0.3454194112594782,-0.48363469581622165,-0.8774942323209473,-0.7440680898137854,-0.5580859196930086,-0.761852547904376,-0.7556910063529491,-0.3463738582384948,-0.5587907668439029,-0.5440672419470686,-0.5806570766218648,-0.30472941682406374,-0.7854891432253394,-0.7935695990416864,0.3275980816085339,-0.6809199954265834,-0.5044620000402109,-0.33155338109527055,-0.3450701545566222,-0.29086368595348144,-0.45007683077189287,-0.46523197682630835,-0.4441311922013287,-0.46647175135031094,-0.6541403330738207,-0.7484916182982807,-0.8092578710747068,-0.7862565100300815,-0.7225083341514565,-0.6944683353511751,-0.7356924224169051,-0.21621730666620467,train,383.9240506329114,1
1349,-0.3964940294160762,-0.7046355549197602,-0.7757675055034476,-0.3506676815220163,-0.4814976772136313,-0.887439377670253,-0.7583031276364716,-0.5603411833410772,-0.7735640538178414,-0.7629790493672963,-0.3479546887073554,-0.5612672719255,-0.5435809202464609,-0.5878001735738476,-0.30315420939450544,-0.8012805726591071,-0.8046901506474055,0.3362865167574054,-0.6898114657058732,-0.5104786658960278,-0.32778576292592826,-0.3478525790054768,-0.28211593884151737,-0.44824775326752486,-0.4721270790914942,-0.4512522510692976,-0.4707610720400165,-0.662659289432388,-0.751888490413383,-0.8169518247782237,-0.7900060827494736,-0.7245909449598523,-0.6980859085404049,-0.7382808425518821,-0.2134055817336798,train,384.2088607594937,1
1350,-0.3883555863597014,-0.7037442907062758,-0.7714373555633927,-0.352338314238255,-0.4807911710415026,-0.8795370566425953,-0.7521479795649534,-0.5574629653973379,-0.7721048919458255,-0.7570416896089164,-0.34912555030986614,-0.5579324170255617,-0.5431161860438638,-0.5887942259636996,-0.3059945709148626,-0.7922964510396903,-0.8058709487825994,0.32636922425811415,-0.6905073302108031,-0.5072895174858646,-0.3297273699924066,-0.35185614438769164,-0.28522336463116066,-0.4443515814642064,-0.4693661403634847,-0.4519874075673557,-0.47381934963249966,-0.66802352182052,-0.7532789233441878,-0.8111100290779764,-0.779130813767625,-0.7209929981942595,-0.6923337094027798,-0.7388541490784907,-0.2162704444402378,train,384.49367088607596,1
1351,-0.38841730186014267,-0.703651153542835,-0.7751500162990613,-0.34943732876943684,-0.48239744496462167,-0.8859030596509136,-0.7543059768094122,-0.5577921013611494,-0.778318273730878,-0.7612797107770708,-0.34892074274907453,-0.5594991508293486,-0.542378256321473,-0.5828705511844183,-0.3040940187412236,-0.7972095214348109,-0.8075568370836826,0.3305065153082207,-0.6875271232435894,-0.5089293758991206,-0.3220294465845655,-0.35089816961508646,-0.27531662386964856,-0.4418105729691159,-0.46703479002981463,-0.4438940308633134,-0.46437596421822136,-0.6698718869943303,-0.7506461134930856,-0.8147884970491335,-0.7827708301241455,-0.7256891692568838,-0.6932403839257499,-0.7410406012643802,-0.21100969009064025,train,384.77848101265823,1
1352,-0.38864147963572226,-0.7122188986255573,-0.7792906807934771,-0.353008471051206,-0.4901775302876249,-0.8844471123463289,-0.758073835976285,-0.5653205687103579,-0.7821944151369856,-0.7654199057519382,-0.3522419159426439,-0.5634996790103197,-0.5458545144110434,-0.5969528298755054,-0.30678529166035307,-0.7983315937063757,-0.8072679873914682,0.33260623337288797,-0.6948221823197348,-0.5124903694231331,-0.3260933342460445,-0.3606644396416346,-0.27682102149985616,-0.4437484620362949,-0.4721835024011529,-0.45258207589805227,-0.47119706208519524,-0.675752128517084,-0.7557265377272671,-0.8183166724809211,-0.7858857364862666,-0.7298628277120114,-0.6962364267532405,-0.7460343185319351,-0.2156177956002186,train,385.0632911392405,1
1353,-0.3924234029816287,-0.7090120107362332,-0.772761055453627,-0.3481588777340324,-0.4934576555782331,-0.8767206625501891,-0.7525977771329467,-0.5621689116301289,-0.7711428017175561,-0.7636803268920836,-0.3497606697075747,-0.5669995164097759,-0.5499502290309309,-0.5936689499828594,-0.31183534348060926,-0.7904295075708409,-0.8031883126016255,0.31837958025340607,-0.6962976508177467,-0.5123382758472983,-0.3334092039988796,-0.35902124012479125,-0.29341141840636525,-0.448334916722263,-0.4708331984725932,-0.45323198145165333,-0.47977591484540044,-0.6727855176085753,-0.7590257352897182,-0.8175528974977027,-0.7881720605274154,-0.7308912400300692,-0.694175428997206,-0.7476476198145496,-0.21861287719135802,train,385.3481012658228,1
1354,-0.389693918962238,-0.693306217363128,-0.766053301175108,-0.34412789571453145,-0.4800231559906752,-0.8750308332062051,-0.745607131336025,-0.5531257316482451,-0.7659554470794678,-0.754909720473817,-0.34439370581093204,-0.5632642118533556,-0.5415390128279192,-0.576462966205231,-0.3065961642137189,-0.7808013297681036,-0.7949629643147378,0.3151240976748309,-0.6863530833567129,-0.5052956047388828,-0.3236944007577665,-0.3520503001866284,-0.2844831857155373,-0.4445767962307485,-0.463361710689008,-0.4385067012643516,-0.4727554655423079,-0.667276068187306,-0.7466583390629367,-0.8102707241997585,-0.7823171858113165,-0.7271908847700109,-0.687076563495715,-0.7444174784489357,-0.21038648887316364,train,385.63291139240505,1
1355,-0.3920367049048238,-0.6951919772395083,-0.7631460389528869,-0.34705975096424024,-0.4804310257687019,-0.8724651307935856,-0.7454382055508395,-0.5502138700717836,-0.7592043137282852,-0.7539965893109656,-0.34469708297608265,-0.5618510372052079,-0.5396803814466316,-0.5748994162073895,-0.306151911900455,-0.7809763501321872,-0.79075775065917,0.31155354306176963,-0.6814809588326833,-0.5079904938840036,-0.3210459055064877,-0.35310247095633795,-0.28554374335927507,-0.44400537140053775,-0.4633762397057003,-0.4395039655255209,-0.4730564941242337,-0.6642609120304271,-0.7468101939044034,-0.803875732135777,-0.7837476623643885,-0.7243570063657334,-0.685543792806506,-0.7384775569695987,-0.20974323487681143,train,385.9177215189873,1
