,AFDL,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVER,AVFL,AVFR,AWCL,OLQDR,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDR,SMDVL,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
3705,-0.37895275996118405,-0.5248057468362382,-0.507931573622067,-0.3443212088086882,-0.3658251419533476,-0.672930033622255,-0.6740893799605171,-0.7016390339612285,-0.6965618242579835,-0.33597036941597075,-0.234647013607725,-0.5341974999054515,-0.6177533057858665,-0.655092222345264,-0.42527388745330996,-0.6708501705687483,-0.6829342853124748,-0.29440005381771095,-0.6624339104961162,-0.5417048670000741,-0.4327790059396539,-0.4820903528036157,-0.5954432225228881,-0.45585648897185166,-0.7655842679338372,-0.7734972300932299,-0.8768149400157057,-0.7116840940732898,-0.7758294472252959,-0.7287167855076004,-0.6694132823301988,-0.5924644419106027,-0.30493133586617294,test,950.0,1
3706,-0.3804955501095163,-0.5237965938094001,-0.5102365189110457,-0.3581265218407872,-0.3799526987557714,-0.6670154622601269,-0.6748971261456884,-0.7140916440691897,-0.6917217626034717,-0.33842232065252026,-0.23542156920690105,-0.5395292345085535,-0.6180120657579955,-0.6498805538264851,-0.4126447347035448,-0.683845830556802,-0.6836391708385163,-0.28286055306780644,-0.6629200412704654,-0.5561052556299338,-0.4152024642291005,-0.4792157721497085,-0.5958528157379848,-0.44590807824114526,-0.7631465034295107,-0.7741136203004145,-0.8617453681152161,-0.7168326572754007,-0.757141867600462,-0.7176475771604615,-0.6559274222176443,-0.5911586925478232,-0.296271727660846,test,950.2564102564103,1
3707,-0.38146579476805653,-0.5271403160640338,-0.5028085814305921,-0.3572256479591297,-0.38036711429416636,-0.6767238406692451,-0.6696160105118116,-0.7105928714849276,-0.6919198223049345,-0.3383337681428188,-0.24192723797503468,-0.5321183331610428,-0.6216915933991505,-0.6594392761740402,-0.41271482608766863,-0.6795716950937635,-0.6848900350110936,-0.2913483524397381,-0.6657777990187661,-0.5503986976601265,-0.42918693999720303,-0.4882341455780821,-0.6070775963239241,-0.46379262190035747,-0.7640845952362175,-0.778151036119606,-0.8740255504269012,-0.711785795460451,-0.7668226156589085,-0.7208655377875208,-0.6542974537135231,-0.5957626135732051,-0.3064795017232329,test,950.5128205128206,1
3708,-0.38468426828705315,-0.5264389797346297,-0.4974972802970353,-0.360372453308729,-0.38824774559946507,-0.6769117808501106,-0.6695824811719074,-0.7156687956843344,-0.6867038040216042,-0.33568824956204,-0.2417657396785492,-0.538227955137851,-0.6239765332936069,-0.6630730002759861,-0.41144356793454306,-0.6835835470038077,-0.6849529598386052,-0.29585465008810896,-0.6672028260379396,-0.5572098082188965,-0.42977405575804406,-0.49072121355586895,-0.6158622643516867,-0.4655662319393186,-0.771778951674009,-0.785698269040764,-0.876440767472124,-0.7178050476836901,-0.7621420711666745,-0.7164351620126791,-0.6570236732173602,-0.595341439340183,-0.3069440609887961,test,950.7692307692308,1
3709,-0.3825637541191105,-0.5220307324703697,-0.49520562836117027,-0.3684902621629693,-0.38838564219583094,-0.6770776392177813,-0.6661441112612353,-0.7099549682167439,-0.6856858186140242,-0.33797963400485115,-0.24099054752846732,-0.5435620184438315,-0.6208580473947776,-0.665407843753578,-0.41002918595642035,-0.6830041290752701,-0.6809107327914985,-0.2932831770457711,-0.6659808147194833,-0.5598998852182809,-0.4324947742303078,-0.49137887308317657,-0.6199377448606834,-0.4650732337788755,-0.776740284150484,-0.7849387354835237,-0.8773855139826696,-0.7184651570633915,-0.7555886271844248,-0.7142048571802647,-0.6586079290991802,-0.5924511449119286,-0.3062462492583367,test,951.025641025641,1
3710,-0.38159239151944097,-0.5288188237522395,-0.5053459369776137,-0.3595678097032138,-0.3872675674923318,-0.6724873740453936,-0.674153323102839,-0.7160750499730555,-0.6909374642497473,-0.3324332286674376,-0.24005993041828394,-0.5420518792754334,-0.6164983525795085,-0.651995633182217,-0.4046954040485465,-0.6898803321689773,-0.6851129455161113,-0.2891422936904732,-0.6525875709814566,-0.5510547894875533,-0.4255580735599993,-0.4845375173821789,-0.6074917006699947,-0.45481893090517633,-0.7674276020814709,-0.7720240957582294,-0.8699440300130087,-0.7078761697066649,-0.7596059884957601,-0.7149594063311789,-0.6609583510970389,-0.5943487725660743,-0.2929746683905648,test,951.2820512820513,1
3711,-0.3706985706546945,-0.529855861330876,-0.5157915770032135,-0.37142077738595924,-0.39878684043460033,-0.6760949718429783,-0.6775239336455248,-0.7217636608434927,-0.6985544592837182,-0.33658699821735505,-0.240771957782401,-0.5354008114537934,-0.6201647596021027,-0.6529110731965753,-0.4020454448606423,-0.6959167938275242,-0.6968166984346293,-0.27904525787562817,-0.6523744656565673,-0.5602030901152518,-0.4097502610494148,-0.4854312681648013,-0.6127425718741486,-0.45186650123875555,-0.7685983942683512,-0.778722157477259,-0.8625372471366038,-0.710568113927601,-0.7663723885241114,-0.7232894684189626,-0.6584188675380592,-0.5990907850294751,-0.28753189682043384,test,951.5384615384615,1
3712,-0.3788863318150727,-0.5392168274477595,-0.5151718178386483,-0.3589537748225776,-0.3861669250344102,-0.6753040287657326,-0.6801750930680868,-0.7156162930730101,-0.6953219251047438,-0.33743482826760346,-0.2403542912362741,-0.5434256763882944,-0.6181615707725107,-0.6600172846836021,-0.40685787399505224,-0.6934927022090487,-0.6906308183381432,-0.27855663355258875,-0.6573682536808525,-0.5546711957769546,-0.41951815961781647,-0.4864272766202319,-0.6047255061420739,-0.4482501955548045,-0.7674996847655183,-0.7769101697738279,-0.8728168090976435,-0.7093955406142332,-0.7686884575524625,-0.7266831854958783,-0.6672294984374941,-0.5977177212549314,-0.2950997295398925,test,951.7948717948718,1
3713,-0.3912991038842417,-0.5293010190655874,-0.4947215490656557,-0.36005101092471514,-0.38624312479746414,-0.6904673119723994,-0.6701616232496272,-0.7245052732576155,-0.697409252919503,-0.3427491425860665,-0.24886075982041522,-0.5402162501050567,-0.6203691517440568,-0.6700764308951614,-0.42171688769334037,-0.69182238728209,-0.6718084086500089,-0.3090177674705898,-0.6637190854194298,-0.5639130544662329,-0.4303717039012063,-0.4914583249000638,-0.616452985092281,-0.4744575803181782,-0.7767392670770127,-0.7890637182318696,-0.8863556455288573,-0.7172110468130775,-0.7800280128086797,-0.7339655880940485,-0.6689155079873279,-0.6105675772743684,-0.30783687740218457,test,952.0512820512821,1
3714,-0.3820308336397169,-0.5390169444652974,-0.49995960679263024,-0.3661450968223134,-0.3834110065303229,-0.677762936586234,-0.674548389240668,-0.7243948389641444,-0.7035886552732898,-0.3437320052914732,-0.24467421139407647,-0.5508419311105002,-0.622514174623727,-0.6646939737788342,-0.41096641992127303,-0.6916631393455428,-0.6773713706742236,-0.28705491438530945,-0.6551264537775379,-0.580563269736364,-0.4215611549911541,-0.48672700406441227,-0.6120700435861481,-0.45145047869622645,-0.7672879186788226,-0.7853188424650854,-0.8804825304484201,-0.7251746157800425,-0.783430279910589,-0.7340240736332782,-0.6685984419506854,-0.6085392226627238,-0.30201640635969873,test,952.3076923076924,1
3715,-0.37997641126049325,-0.5320780451290813,-0.503118940129419,-0.3647966246133795,-0.3887643270767589,-0.6747973591256518,-0.669219857398945,-0.7193925639632966,-0.7027087025032238,-0.3421835803984948,-0.24026947964888196,-0.5418547466263212,-0.6194357513481792,-0.6519273473374398,-0.40711280047292997,-0.6876855165694366,-0.6679432775081615,-0.2834373020174934,-0.6511340412325819,-0.572321513659718,-0.4161290768021383,-0.48112673787129007,-0.6043661221126008,-0.44513077831373893,-0.7665328716921582,-0.7785853194507908,-0.8660749518155488,-0.7173607681902028,-0.7750194555986643,-0.7259987510153619,-0.6574864900920827,-0.6086997935620988,-0.2934503290147127,test,952.5641025641025,1
3716,-0.3857102406842379,-0.5301022754363403,-0.4948239464581169,-0.36283663914826303,-0.38687561973018036,-0.6781907485810351,-0.6625420440143003,-0.719962462207439,-0.698860399449418,-0.34077914485020405,-0.2449428290530148,-0.5378070595556574,-0.6213541004193217,-0.6587604626719472,-0.4117006559582272,-0.6828376676882465,-0.6573073620592182,-0.2916387196420711,-0.6560628369691373,-0.5744831113538736,-0.4206623957472829,-0.4863147153845969,-0.6095267589700624,-0.454949714590719,-0.764081185488288,-0.7798421006057541,-0.8709005714762209,-0.7208127518064174,-0.7757776884786104,-0.7238745673774584,-0.6546050749188549,-0.6103037234641657,-0.30042652765520694,test,952.8205128205128,1
3717,-0.3931493543771818,-0.5413077789087826,-0.5010342184038774,-0.3625027141781394,-0.3882701538094693,-0.676557477338461,-0.6770762121632146,-0.7249613856055345,-0.7065830151178452,-0.33401336178560376,-0.24095233446334996,-0.5440051945207974,-0.6206906421816265,-0.6496292417055429,-0.4059738649905405,-0.6920059317240989,-0.6793550754818548,-0.28454856547324625,-0.653383323339614,-0.573268380313335,-0.41514629719897655,-0.4894530167243543,-0.6132203262838378,-0.4485744007515771,-0.764931240040763,-0.780413496381789,-0.8703063849557132,-0.7183711412858484,-0.7801750281578977,-0.7243334711888454,-0.6617751161154114,-0.6110266134325655,-0.299811000331765,test,953.0769230769231,1
3718,-0.3837758007555919,-0.5370924266213469,-0.49715917086092654,-0.3686258965448064,-0.39539709826151515,-0.6829890352552097,-0.6688569213182342,-0.7310210793187804,-0.7086904725142522,-0.3415703096353269,-0.2443529651215433,-0.5385119172341805,-0.6244521318367695,-0.658172056081993,-0.4087430116603836,-0.6916990549622652,-0.6739042432167109,-0.2878001746741228,-0.6536779014846981,-0.5746322072678802,-0.41555703745922556,-0.4942718945049174,-0.6162719776102816,-0.45555577038240325,-0.7620135226129505,-0.7809397434046024,-0.8704673557997232,-0.7182271446569615,-0.7778218613580109,-0.7217682088002618,-0.6526036068852614,-0.6097518750793878,-0.299957576830315,test,953.3333333333334,1
