,AIBL,AIBR,ALA,ASKL,AVAL,AVAR,AVBR,AVFL,AWBL,BAGR,OLQDL,OLQDR,RID,RIFL,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SIBVL,SMDDL,SMDDR,SMDVL,URXL,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
190,-0.6680719745599295,-0.653154617599001,-0.4037238155297159,-0.4078552630109996,-0.7595765691142802,-0.7712108811468522,-0.5584858161171479,-0.24279432833536002,-0.41507889878998716,-0.7213757843486711,-0.5891259632583127,-0.6391277116570444,-0.3936095781835532,-0.6695365062353452,-0.7597957651245514,-0.7135645032702664,-0.06810715050869237,-0.6447116277026694,-0.6202943006710585,-0.19869203363871205,-0.5291344363434776,-0.5318727671283905,-0.19839529231672665,-0.2850396279057831,-0.6107414271366343,-0.6862306102015818,-0.8121296372747013,-0.7427243259281802,-0.7896507656211442,-0.7372908305462783,-0.7615902914223682,-0.645230096524909,-0.2125207525094282,train,67.65578635014838,1
191,-0.6712431395842783,-0.6603121442666009,-0.3986600923994781,-0.4046979208354915,-0.7697315753738042,-0.7786300287167456,-0.5560790036015878,-0.2454271182161757,-0.4198088370684496,-0.7314668237374686,-0.5902180640820958,-0.6369254822590293,-0.3973477518609033,-0.6710047652934867,-0.7707910551337496,-0.722840899467578,-0.0715229904824384,-0.6468721275055372,-0.618941264744984,-0.20287939798970123,-0.5238650232539873,-0.5294584902615609,-0.20638402345237863,-0.2825464967605402,-0.6169018667707429,-0.6877269488626938,-0.8115879259784187,-0.7478087718318494,-0.7979677622316772,-0.7465616396982938,-0.761718977314799,-0.6505623500089541,-0.21406199098866252,train,68.01186943620179,1
192,-0.6738960016214735,-0.6607469270150564,-0.3985187348498528,-0.4081199206547821,-0.7723855876508524,-0.7817068853581143,-0.5448215607120233,-0.24294932502600564,-0.42244967793186144,-0.7342480919830537,-0.59259507896487,-0.6320252841639182,-0.3952232711176432,-0.6716200395809762,-0.7756638564518396,-0.7260480678289791,-0.06742631087426024,-0.6420580536493148,-0.6164838979628894,-0.20250645186074273,-0.5256584827559996,-0.5318201044327239,-0.20210530719580738,-0.2782847508767188,-0.6194113410470143,-0.687666138662288,-0.810232330804568,-0.7430958912531538,-0.7946378777490735,-0.7452706946860473,-0.763095782073586,-0.6443018158737732,-0.20674835970008884,train,68.3679525222552,1
193,-0.662522738741036,-0.648661448458936,-0.401412656337109,-0.4066114512595843,-0.7679854621499589,-0.7789607187098505,-0.5354191523218944,-0.2414193622954594,-0.41936346024960713,-0.7264984541966426,-0.5917810720870934,-0.6326094207198569,-0.3951118659018184,-0.6682503259088277,-0.769065246042017,-0.7161248191841814,-0.08004983283347947,-0.6441851039860171,-0.6130188314161813,-0.19468940804742352,-0.5259638265414528,-0.5390690557964878,-0.20332125031338183,-0.2786382023481329,-0.6134857269967766,-0.6885064407610653,-0.8166335802873973,-0.7353097427502954,-0.7839343119236752,-0.736268805162261,-0.7561067840294358,-0.6431104169508106,-0.19834222846430324,train,68.72403560830861,1
194,-0.6679378584420949,-0.6594505109790397,-0.39979579984660996,-0.4196558870015509,-0.7795222092390245,-0.7847528696844697,-0.5146676467332759,-0.2353651179900177,-0.4180733992610983,-0.7245888892248539,-0.5971638135225084,-0.6268255015616656,-0.3831855206762635,-0.6604423285241658,-0.7793308135578519,-0.7171782461707708,-0.06223371667831727,-0.6237742104371911,-0.6144323225000918,-0.1623712096261524,-0.5205290471408199,-0.5213054607012223,-0.17336106701684154,-0.25267392486790224,-0.6079464967249408,-0.6823864860861474,-0.8058675789981103,-0.7101219636598414,-0.7768857316067669,-0.7403375236029214,-0.7557568908267585,-0.6433425089449646,-0.17497251800092084,train,69.08011869436203,1
195,-0.6816658227652597,-0.673110140074691,-0.39876949790541555,-0.42387181792162043,-0.7949209942051316,-0.7918964325822421,-0.5014588614085491,-0.23618591220185875,-0.4172696490297061,-0.7260894924262252,-0.6065746373590223,-0.6217675485590941,-0.37756023517187864,-0.6621062438327605,-0.7871415337476413,-0.7237875112001639,-0.04192844329646264,-0.623407594378979,-0.6188060433907854,-0.1415529874510462,-0.5172190995544714,-0.5130008164954616,-0.15280804270124973,-0.24015743426254343,-0.6104174464900105,-0.6802230572178212,-0.8067736076132769,-0.7031450711349145,-0.775468457916332,-0.7472070867796579,-0.759529571316419,-0.6447907115634474,-0.16716821825672934,train,69.43620178041543,1
196,-0.6788617043403796,-0.6621935634107186,-0.4087478522078162,-0.42727587872208384,-0.7924981391848397,-0.7888229197090703,-0.5001548077983711,-0.2410788777674843,-0.4179602939782915,-0.7209272192102287,-0.6145624462076651,-0.6195185876658591,-0.37720355304497677,-0.6681173786782019,-0.7895780686592238,-0.7239499492836341,-0.04430815397717827,-0.6322425938713221,-0.6182247833021518,-0.14794627002146632,-0.5218863328086432,-0.5253948419063792,-0.16425986249771227,-0.2563344006271106,-0.6125019420360037,-0.6919189824156291,-0.8159134690195954,-0.7087814368027743,-0.7706580771484453,-0.7422117037845541,-0.7558217531595728,-0.6453993605163975,-0.16519028493119348,train,69.79228486646885,1
197,-0.6636282625907428,-0.6563064813929909,-0.406718643909931,-0.4219809507546253,-0.7841432492955552,-0.7683303580279249,-0.494352416309346,-0.24420172076792765,-0.41385216572370315,-0.7224447606800244,-0.6148194985707145,-0.6119275459321304,-0.3802778058128107,-0.6684484557440773,-0.768649103212454,-0.7167853732521128,-0.04767247902534341,-0.6239355171057759,-0.6130381769131558,-0.14984193319077233,-0.5156052221306613,-0.520974700558114,-0.16214020884519853,-0.25266380360998775,-0.6008994118636024,-0.6933910175574446,-0.8106466070226201,-0.7070399916851593,-0.762722767905505,-0.7393306635868185,-0.750932074296947,-0.6419552153396461,-0.16827525119546377,train,70.14836795252226,1
198,-0.6612362406675579,-0.6511339249025985,-0.4112266158913112,-0.4279468022836236,-0.7832816714084304,-0.7713521200084098,-0.4925312740370096,-0.2438743953765354,-0.4139860136226354,-0.7177817422618101,-0.6094774411173154,-0.6121000207917668,-0.37394571392970055,-0.6677228040526252,-0.7805591006701669,-0.7134500842439667,-0.0542933169578831,-0.6196554057706923,-0.6112944170243378,-0.14983633405890998,-0.5202464700012774,-0.5210246946714753,-0.16537989267798583,-0.25253533428123276,-0.5992419768303139,-0.6964143237612317,-0.8087839373919278,-0.7025989983152453,-0.7647055874315102,-0.7417447136094061,-0.7497356998919771,-0.6449903476678438,-0.1621672362464751,train,70.50445103857567,1
199,-0.6574662707350539,-0.650848883547571,-0.41604794187735195,-0.42745851187761663,-0.7854734584649226,-0.7613488654198681,-0.4811978329113703,-0.2471914817428607,-0.41253863843946764,-0.7162192830474982,-0.6150830445079536,-0.6064808959927928,-0.3753210038157074,-0.6704695220359911,-0.7714347270425781,-0.7106953501280944,-0.04608149477331103,-0.6160390373818108,-0.613256984918669,-0.1387429283738895,-0.5162867483164373,-0.5210144626368023,-0.15442514478775396,-0.24493925310992826,-0.5949652163403802,-0.6984287874435213,-0.8091708348726504,-0.6951438006989635,-0.7587450714103235,-0.742238167861549,-0.7486205118700044,-0.6427847257434228,-0.15805138755797243,train,70.86053412462908,1
