,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,AVFL,AVFR,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,VA1,VB2,train_test_label,time_in_seconds,tau
1737,0.0013708075348083395,-0.012002674290176318,-0.27280649819029895,-0.05551372272069538,-0.21641138449304959,0.008324618668880165,-0.02507672275481325,-0.6181151241846864,-0.7955249910382216,-0.053065277832979846,-0.04057359072064047,-0.4375603015432724,-0.3048593597047402,-0.5927389444536512,-0.7167229847195834,-0.5089477685973895,-0.1889984983980031,-0.16461590810957175,-0.6773819958433173,-0.4202319226415029,-0.15552980020867122,-0.8104485688192655,-0.6397623840217965,-0.7980596228419647,-0.6491784038608774,-0.706321842684034,-0.6527292579570028,-0.3828500597474575,-0.3937439733679532,-0.20369790277421518,-0.6334904024742909,test,620.9731876861966,1
1738,-0.03807825155562156,-0.05632105908137737,-0.2634832516213972,-0.057254443544581674,-0.2299087868620225,-0.04320465209329184,-0.08627138077837385,-0.6039691600718934,-0.788304561170095,-0.09830766563873086,-0.0853162774733473,-0.4320059273418536,-0.2858128748114991,-0.5788843285963607,-0.6938724628147165,-0.501040777215479,-0.23943840991061802,-0.20772992939433313,-0.6717837558683442,-0.43222936095519654,-0.16516105609380052,-0.796152614752768,-0.6372870700188197,-0.7916390330152014,-0.6175913042732633,-0.7224543515105618,-0.6593557486660873,-0.39145826814739537,-0.39185279101430054,-0.2277869835751687,-0.626150044956159,test,621.3306852035751,1
1739,-0.09383825945723959,-0.10762984965933683,-0.2591276221289036,-0.05983273757055173,-0.24230977384673164,-0.09304170451958411,-0.14025456481461726,-0.5997223788823349,-0.7723416282891469,-0.15345650589017823,-0.13393087248902033,-0.4286029107175485,-0.28055658091891267,-0.5845904976770904,-0.6917632828317063,-0.48963046275882977,-0.29072483452281095,-0.25606083653512,-0.6672132801498836,-0.4324301596428329,-0.17464519385441238,-0.7800522868846027,-0.6294601201481742,-0.7963232182437071,-0.5855195935080882,-0.7538632941711327,-0.6731693147705136,-0.4049082481053736,-0.4220250983983916,-0.260648400798592,-0.6320780052430848,test,621.6881827209534,1
1740,-0.16929229345743813,-0.16510559314661816,-0.27770255318266623,-0.05671269349446047,-0.2509978879365162,-0.15113275688725847,-0.20694044821169524,-0.6018207437251983,-0.7657543540064768,-0.22718505276350198,-0.1982854214331869,-0.43407286538834056,-0.2849638016694024,-0.5912103391932516,-0.6927436933858074,-0.4998596937132888,-0.35452903891509513,-0.3077802693091861,-0.672064968592347,-0.4589577719071004,-0.2038668182071745,-0.747018197539415,-0.6244452816075826,-0.7995685331749603,-0.5498147598352727,-0.7944294553301322,-0.6920578480392399,-0.43963259661332477,-0.47403754069129883,-0.31152226044496734,-0.6554023688340418,test,622.0456802383317,1
1741,-0.23651619568477222,-0.22460837985416313,-0.29030294879764046,-0.05236788548656805,-0.26386866713929524,-0.2044885459808307,-0.2833375345336172,-0.6029931849876079,-0.7438599650459283,-0.2914962747750765,-0.2603909242374311,-0.42014181160017616,-0.2877381971405668,-0.6082045470182076,-0.6834176169549745,-0.5075035811560114,-0.40683003967754494,-0.372880747151632,-0.6731353950142009,-0.49609105566096545,-0.24971959769413243,-0.7117396755548335,-0.6191465242624201,-0.7956334581496953,-0.5119037017361159,-0.844054084821425,-0.7080179794369615,-0.4871168863859213,-0.5513178546429421,-0.3543083164239457,-0.6634645482663604,test,622.4031777557101,1
1742,-0.3036325538301116,-0.2766536684710038,-0.2926044404244733,-0.05984799164673191,-0.2789296531443748,-0.25802089866921846,-0.34738241225735933,-0.5935175476375409,-0.7235289293239786,-0.35165633373472716,-0.315017264313551,-0.41606383202930974,-0.2880964492935575,-0.6111112585827946,-0.6716259068020423,-0.5141443637704363,-0.4708254286765188,-0.4258602806554269,-0.6686537188296788,-0.5209090206686786,-0.2546463053221322,-0.6813783216673008,-0.5995026738688023,-0.7893849074118662,-0.47911960905920536,-0.8787710383325883,-0.718745563788848,-0.5098220738867308,-0.5928109335211967,-0.3881853629419618,-0.6582739089003631,test,622.7606752730884,1
1743,-0.35486088263146814,-0.32751369232133143,-0.3090630686791045,-0.05841910093686928,-0.29757359901332775,-0.30691762871768835,-0.4055842365655027,-0.5911123407585073,-0.7106606678467491,-0.4039851026396275,-0.36531621110578655,-0.40154129851377274,-0.29484178363433144,-0.6236235508103941,-0.6591642491313023,-0.5147124249055713,-0.5112579618369375,-0.48725151690081747,-0.666956120930899,-0.5529189942625338,-0.2891516148833476,-0.6509020121220208,-0.5908930959950776,-0.7782789081532439,-0.4369154406898458,-0.9186820561223616,-0.7350226100009496,-0.5555397583308568,-0.6523909105444702,-0.42045181247167934,-0.6547476859323351,test,623.1181727904668,1
1744,-0.4040006626926087,-0.3637552371416853,-0.30891907058868057,-0.06033575875465097,-0.3103666344159224,-0.34644419068798626,-0.4647098432655877,-0.5772034116511946,-0.6984548348095301,-0.44308715540827764,-0.4046423310684795,-0.38247513178471704,-0.282212236310146,-0.6190609855110281,-0.6374076814993934,-0.5043496411497668,-0.5489726807645675,-0.5258445408709918,-0.6590124381230947,-0.575660901273534,-0.3191786832683753,-0.6265492896341864,-0.5793078742093184,-0.7670167632304933,-0.417214552698433,-0.931349867163481,-0.7376345223613663,-0.5883599344294531,-0.6915722237429768,-0.44300073279006946,-0.6405973802986784,test,623.4756703078451,1
1745,-0.44723854854960043,-0.3887769634254655,-0.30176615061290635,-0.07038559844254975,-0.32664003480744386,-0.3994686706259084,-0.5099457835808608,-0.5607666413761223,-0.6803693028258545,-0.4764394375860603,-0.4396091743198993,-0.38163397722815084,-0.2708368114882129,-0.6113698219789779,-0.6199825900233304,-0.4924378477660064,-0.5916381513448766,-0.5558091705208357,-0.6400255080238821,-0.5781096189369295,-0.3210241947108752,-0.6037918558001014,-0.5599105738333986,-0.7553624489702674,-0.40325392107771296,-0.9358773915677165,-0.7366233497047836,-0.5963585127476935,-0.702667992970729,-0.4644704066577451,-0.6140116012737673,test,623.8331678252234,1
1746,-0.48702428656206914,-0.41948926796551345,-0.30663601332016366,-0.07931436391165081,-0.3323508759510521,-0.44210808060386675,-0.5592183356648259,-0.5478393624118297,-0.6660545727643594,-0.5111268300666951,-0.4675178416288852,-0.37966476036188446,-0.2617481359105866,-0.6086175251604974,-0.6031725842837522,-0.4852549998493839,-0.6292123620276423,-0.5913414184367599,-0.6277964512885597,-0.5910766661984395,-0.33772808721932357,-0.578377980088945,-0.5418550216409921,-0.7461470876725812,-0.37649178395293237,-0.9567907509283934,-0.7451583806802148,-0.6153190664470265,-0.7271491263870502,-0.4898500247313262,-0.6047401513735458,test,624.1906653426018,1
