,AFDR,AIBL,AIBR,ALA,AQR,ASKL,AVAL,AVAR,AVBL,AVBR,AVEL,AVFL,OLQDR,OLQVL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVR,URXR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
1344,-0.25740069202124605,0.2537793008116374,0.19466216174369058,-0.23153093529141855,-0.40524838534754193,-0.08705946648137408,0.1911837639445632,0.1301371630678303,-0.6124952991903705,-0.4798642593057597,0.01662227734561806,-0.21690006541975257,-0.20907143057160707,-0.16387533898487344,-0.45029837243616494,-0.43161247862550145,-0.5652147474191253,0.1699768978896081,0.05463177292302293,-0.5736943840119902,-0.22728867731165758,-0.16542993879499285,-0.8050292168073296,-0.47438799763625716,-0.5851287283406934,-0.6620662064353978,-0.5356184586548236,-0.5512424229179359,-0.1533651767394153,-0.49188252298099894,-0.19204206563782597,-0.19169394988082422,-0.19236849501581366,-0.34623488259240565,-0.5480612763677409,train,390.08868583714053,1
1345,-0.24710487228894398,0.227099070037524,0.14950737997002375,-0.23341696128510733,-0.3815311400148076,-0.09430431791559601,0.13716077403424032,0.08726544997964611,-0.5816340557999599,-0.4431305758325475,-0.01878558380970472,-0.21665462702412625,-0.21768922313377645,-0.1804082690130966,-0.4263928595301089,-0.39745862824156475,-0.5392024313830116,0.1172870349988733,0.0069588217176415335,-0.5460983626357993,-0.21500769952175536,-0.1560365805553715,-0.7679031569930849,-0.43723456028284124,-0.5487468920079024,-0.6275811998288768,-0.5294750082115587,-0.5439410362783953,-0.15125272914715424,-0.47504637437744823,-0.20882656655758491,-0.20104830679990868,-0.20768403938275073,-0.3538784078472167,-0.5078651538996506,train,390.3789303950551,1
1346,-0.24030882687158578,0.19983719392457633,0.1058430747513342,-0.23317437150425557,-0.36152208811554454,-0.10704505331977852,0.08722018297453735,0.04308781343934446,-0.5507991532594488,-0.4148165561676744,-0.05563124013747338,-0.22025614957415324,-0.2262310490811846,-0.1965798326165722,-0.40795710613205544,-0.37000953302073536,-0.5186797328102459,0.06791255548579414,-0.03573684291970612,-0.5237168889210773,-0.20743900483193514,-0.15154106905711356,-0.737436444400418,-0.4056708659729291,-0.5180193727596496,-0.6027761751225599,-0.5255763782779652,-0.5376580460093734,-0.15640898500588005,-0.46675558044357346,-0.2319669943220104,-0.21385851153677507,-0.22634548660254533,-0.36333925058009786,-0.48008529479319406,train,390.6691749529696,1
1347,-0.21281171374961977,0.17423177241630278,0.05562356084374843,-0.2338648670850518,-0.33132199579233557,-0.11342911378111788,0.020036496165886097,-0.007188252733138528,-0.5167225024890405,-0.3691127454622327,-0.08596888185851279,-0.21461229655449537,-0.24022014577571207,-0.215111077167001,-0.3731841285344848,-0.3210994658215457,-0.47448117985437915,0.010225140780463382,-0.0920516131233232,-0.4971993852218917,-0.1954726153732873,-0.13806629452650326,-0.6907380162997516,-0.3691387070479434,-0.48139400279223205,-0.5608948537629695,-0.5104889974127951,-0.524874637663715,-0.15929285555840902,-0.4443785822219166,-0.2541799108614809,-0.21884421496112594,-0.24637836425482415,-0.35934825334047765,-0.44056919223391455,train,390.9594195108842,1
1348,-0.19028545795788518,0.15453357545650745,0.009254876728516881,-0.21837111441292456,-0.2816660291543939,-0.10873351037229795,-0.04356131284295407,-0.05526805444293954,-0.4550031720494402,-0.29885186186273965,-0.11543162607319712,-0.20854130445663288,-0.23980945472508083,-0.22759340061323136,-0.3257835068445999,-0.24401297255008633,-0.416427223699793,-0.038551353232693236,-0.14512265087152387,-0.45467671922124925,-0.17985301534576004,-0.12202687227634174,-0.6191556013302382,-0.31671911488559623,-0.4298669848978597,-0.501172163148011,-0.48484617376693906,-0.4933191616161273,-0.15956839013196422,-0.4003153433558512,-0.2524535946432334,-0.20829139915491268,-0.2548607581210683,-0.3411709366946031,-0.3961558338789566,train,391.2496640687987,1
1349,-0.16509736472230185,0.11562026941381547,-0.047036028273852074,-0.2179632676078258,-0.2550205281521227,-0.11790096604317139,-0.11840111790171456,-0.10621524707584931,-0.4160844127888601,-0.2673604482724989,-0.16473715410496748,-0.21356570459167737,-0.2552651513153292,-0.2488932557091286,-0.29258183605623533,-0.20837603722597825,-0.37021334258304434,-0.0962284671839722,-0.20505945736040648,-0.419560840872625,-0.18762921947153502,-0.11730935901099938,-0.571694973719072,-0.2872263520976761,-0.3876598406644292,-0.45647235305922945,-0.4673717915137301,-0.4844246637587878,-0.1794127994843065,-0.3839022042818495,-0.27783762943063756,-0.22426038496089074,-0.2804828948395393,-0.34321849022414064,-0.3593544547109353,train,391.53990862671327,1
1350,-0.15140039013447984,0.0709321064163576,-0.09953102678294792,-0.2198083934986083,-0.23634977269549537,-0.12900837418172964,-0.18295449316426304,-0.14926737299808768,-0.3862569332717495,-0.24408160665143555,-0.21284320391366449,-0.21955768548087923,-0.2734616159682221,-0.2655965424757558,-0.2709344583412693,-0.18356350952612344,-0.33495203205945456,-0.14860968202330804,-0.26100548521151623,-0.3872790633281083,-0.20361646938964448,-0.12062402690386073,-0.5327072154362927,-0.2669682907483552,-0.35918455361955054,-0.4139350463157719,-0.46126983652184483,-0.47948955248976444,-0.2051913166516485,-0.3788817003754234,-0.30170069155754103,-0.23867073563499475,-0.2984477237139709,-0.34957157630993624,-0.3329236760532046,train,391.83015318462776,1
1351,-0.13726413658196956,0.02089632948267834,-0.14637655244670972,-0.21625147902473074,-0.21656179973392714,-0.1395725306464178,-0.24956852563405446,-0.19658372519966696,-0.351512808360419,-0.22662915866982103,-0.25534346172484623,-0.22376424705186554,-0.2887823746087859,-0.2789110793661209,-0.25047909854166284,-0.1560509184326988,-0.3028299582118672,-0.1933600976215142,-0.3122886619888733,-0.35342461300877154,-0.22173556821228105,-0.13129454415739467,-0.48243187018595907,-0.24835184537891397,-0.3325166766678699,-0.37220500079184543,-0.4496247313580092,-0.46636094484194746,-0.22802925301172589,-0.3686898721520905,-0.3185512464761697,-0.25992725387719773,-0.3224724851919605,-0.35242494131271257,-0.3063967403956826,train,392.1203977425423,1
1352,-0.12778905320772105,-0.03565469796943879,-0.20542266597575276,-0.22240813019408345,-0.20991530944879286,-0.15615023830595529,-0.31927136513589716,-0.24803678400174056,-0.32676619702945126,-0.2143702407926569,-0.3032917727049316,-0.22182701132883742,-0.31154370278358057,-0.29728686049214037,-0.23359969896419092,-0.14819511775342206,-0.2677354709316408,-0.245677273371322,-0.3698469406496384,-0.3067115358033303,-0.24142587415281808,-0.14156836489925229,-0.4380186818178554,-0.2354360534355634,-0.31365263647872726,-0.33076547248622545,-0.4464531052220073,-0.4628034376744453,-0.2596132576308732,-0.3635947674566017,-0.34065131416267685,-0.2825152388184159,-0.3522399409230651,-0.3560131427688924,-0.2767535560050176,train,392.41064230045686,1
1353,-0.11608011369950338,-0.0787244499432536,-0.24898517209545673,-0.2139011966287988,-0.19515210950722303,-0.1662426803168453,-0.37379807308095314,-0.2922127768990458,-0.292960547477746,-0.19386442334916998,-0.3438124322566508,-0.2286980793911777,-0.3204842529684541,-0.3125136764095186,-0.21457689886722164,-0.13406105035505334,-0.247510931644438,-0.2830372877417536,-0.4124781979907046,-0.27691182056793406,-0.26462128220497116,-0.15038143015844946,-0.39540939685964016,-0.22117330138109242,-0.29192217153268807,-0.2940036547688298,-0.4377540236736812,-0.4500597879098228,-0.283801335228705,-0.3612874769033232,-0.35203707114864424,-0.29529638093369237,-0.3744232753068213,-0.35234635504072126,-0.25306932512855235,train,392.7008868583714,1
