,AIBL,AIBR,ALA,AQR,AVAL,AVAR,AVBL,AVBR,AVEL,BAGL,BAGR,OLQDL,RIBL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URXR,URYDL,URYDR,URYVL,VB2,train_test_label,time_in_seconds,tau
1121,0.10289635016793473,0.14386341405286202,-0.3698839907040576,-0.5851132413140291,0.04570040910991885,-0.0031217991544080087,-0.8372909642902776,-0.690844021512354,-0.06359315529769997,-0.6345139678179703,-0.5504563501559999,-0.25436152016656144,-0.6585946508833492,-0.7169684005666868,-0.5456928677489956,-0.01801912023728823,-0.16535175395776358,-0.5282731815424149,-0.46267037592259735,-0.30984655676352035,-0.8843673721717961,-0.6514200681975262,-0.7796332523581485,-0.7404486652669869,-0.5989583911894969,-0.7437941487946655,-0.5312108272025636,-0.30806207063457636,-0.689496625724034,-0.35790722207279674,-0.327619306792042,-0.3831350977810746,-0.6150231470912314,train,318.85172504608903,1
1122,0.060545688312976305,0.10484899995397637,-0.3644919462602041,-0.5971754720627898,0.01968797859941354,-0.03343572966877867,-0.8313673806708233,-0.6859067892377987,-0.09338480948554337,-0.6362547982337823,-0.5493160260934437,-0.2628456127890447,-0.6668555167840859,-0.7138161147435129,-0.5477540384086659,-0.04341040950423816,-0.20130104444604757,-0.5023268421605799,-0.4656800932077429,-0.3058753918851259,-0.8842069440595893,-0.6424911001972895,-0.7671886434616981,-0.7457262811651798,-0.6065733846973281,-0.7538810657335399,-0.5285369077094588,-0.3165792331927353,-0.6957622385357765,-0.3691951538172519,-0.34472348286303656,-0.39155652481803593,-0.598393348145663,train,319.1361601264156,1
1123,0.041937629034831884,0.06505974704599007,-0.36892849244084075,-0.5994506295213793,-0.008229977001335764,-0.05492283495556384,-0.8178826115222801,-0.6719749757762328,-0.12825388553499695,-0.6303530060289129,-0.5474671254954376,-0.2880829594664174,-0.6604049023721033,-0.7017555009046423,-0.5378687258754641,-0.07328225462639401,-0.23247222355315594,-0.4734555789342458,-0.4543869191368554,-0.2967156250727627,-0.8746347026964741,-0.6202083601848161,-0.7465024399578205,-0.7249530814257625,-0.6064859941975527,-0.7606260705995337,-0.5110063622816874,-0.3202835518863065,-0.6895550247513946,-0.38856387649959634,-0.3471825755449154,-0.39441973130426605,-0.5738181670501289,train,319.4205952067422,1
1124,0.012172208124510003,0.026319701039277076,-0.37828665325507244,-0.5952202858799267,-0.039705752696427704,-0.0853863265628794,-0.8109032607244988,-0.666450291817933,-0.1585910482550645,-0.6260641260726538,-0.5431444607812952,-0.3067281552417779,-0.653705909216562,-0.7098019037006735,-0.5389460035707234,-0.1147395791863777,-0.27002924197536,-0.4557528097058035,-0.4591855913040984,-0.28927938693486427,-0.8633368491800838,-0.6094474523634801,-0.738280905934042,-0.7058684889925689,-0.6138449556940302,-0.7665982072623535,-0.5143514522962922,-0.3279222860500044,-0.6895333865858237,-0.40371787694993205,-0.3554103466944669,-0.40139096396348295,-0.5510977747949567,train,319.7050302870687,1
1125,-0.04963416901612269,-0.030043106398850376,-0.39206848713812076,-0.6081881372026816,-0.0996090610035415,-0.13945450603151055,-0.8107807909790049,-0.66180762375698,-0.20379956911876787,-0.6413272434649809,-0.5473553219975223,-0.33481951633392654,-0.664730978695878,-0.7045310589886256,-0.5305451291874461,-0.17778995253912,-0.3207758630550463,-0.41780785632297995,-0.45769061341909056,-0.3068364396457711,-0.8371293357593999,-0.5966857100283268,-0.7317921751576184,-0.6899490468724521,-0.6263916643200897,-0.775737870255727,-0.5255824846056806,-0.34829554009924957,-0.6952772174149524,-0.4347636989666149,-0.3845583169724635,-0.42813844002222284,-0.5221303071487657,train,319.9894653673953,1
1126,-0.08535924235887982,-0.08216289863739783,-0.39960565700288425,-0.6115661313147017,-0.14380588465075053,-0.17925442214453333,-0.8052711210011901,-0.6559708167739512,-0.24358050797801842,-0.6419962047322549,-0.5624377737954698,-0.3565268338751213,-0.6678541029057332,-0.7034570166034817,-0.5234794770387916,-0.22672773373342664,-0.3758870946402797,-0.38103325437958724,-0.46397194687439314,-0.309279252357233,-0.8259081371373476,-0.5788219090916442,-0.721787971417281,-0.675340861985237,-0.6319551083163903,-0.792531306789209,-0.5372493304091142,-0.3632613432212122,-0.6965106525016952,-0.45649873371004823,-0.3948232411491775,-0.44426098972678457,-0.5003717103769335,train,320.27390044772187,1
1127,-0.10915253285549432,-0.11418605238086466,-0.39402851804801864,-0.611245069564218,-0.17052865938051295,-0.20051479173429942,-0.7822417612718693,-0.634221311000812,-0.2693982386660709,-0.6353964398328313,-0.5535458978696695,-0.3700381028662072,-0.6606778763958749,-0.6831481386883751,-0.5104723259684906,-0.244493431361359,-0.39842823038038144,-0.35079274443917674,-0.4529902971827955,-0.2973719823013771,-0.8103987929831161,-0.5633134161368798,-0.7042023576660016,-0.6574915919260642,-0.63081729513794,-0.7834338514738164,-0.5219960834720833,-0.36830401074593844,-0.6796011781277362,-0.46349989631107646,-0.38989743667190796,-0.4466536576950466,-0.478778673643779,train,320.5583355280485,1
1128,-0.15621358475173056,-0.16372887071257972,-0.40139010941190495,-0.6218326008943521,-0.22112343955721953,-0.24443437208996754,-0.7760293005143738,-0.6307761213027847,-0.306326339293655,-0.6400817060594042,-0.5547493782136528,-0.39304340969727325,-0.6607590335455625,-0.6882145301739007,-0.5076482721517597,-0.2916675182308658,-0.4394627642460701,-0.3185394109696016,-0.4530032852213887,-0.30322062020677626,-0.7861993073493508,-0.5575584545634982,-0.6950870229309278,-0.6488878197066814,-0.6378679211730731,-0.7907801479733966,-0.5314291231017705,-0.3916891520507815,-0.6775645235298882,-0.48603913904327084,-0.4126895735311048,-0.4674017865202713,-0.45643368580878096,train,320.842770608375,1
1129,-0.18626859742560695,-0.20771768590257692,-0.4035000136986021,-0.6252052059921412,-0.2597055274071346,-0.2775270434241151,-0.7665136688604162,-0.6186725495395364,-0.33690854735228626,-0.6384127750489861,-0.5661809118950927,-0.40545304073138,-0.6541696817888666,-0.681748108528603,-0.5025043824343307,-0.3293066857164512,-0.4793714879159355,-0.2893316207622536,-0.4577811127106946,-0.3062022503104518,-0.771920184347995,-0.533153146925448,-0.6811826064111859,-0.6345874263446396,-0.6437548613716895,-0.7990961203352523,-0.5368366938825594,-0.40077852570335454,-0.6802904958498679,-0.49838701919257283,-0.4220587254873842,-0.4787719077323872,-0.4365649334191961,train,321.1272056887016,1
1130,-0.2168840156122396,-0.23055875694168707,-0.4090534726972956,-0.6167021218661772,-0.27984253387298175,-0.2937043948656657,-0.7429201175917427,-0.5980465590123548,-0.36010544493130975,-0.6236875804910702,-0.5549906023035427,-0.4136164729503121,-0.6380469960574583,-0.6684318454798741,-0.4919694349243513,-0.3482068580398273,-0.48986971025180753,-0.2659141872706912,-0.44702355989078735,-0.2977797348191825,-0.7605142032017111,-0.5288557825239641,-0.674606704377971,-0.6070022504698731,-0.6465846138936028,-0.7889882285865923,-0.5236104537422878,-0.40754147606706514,-0.6720570614297607,-0.5088261460609927,-0.4317995281264551,-0.47694726352257,-0.41851606635782335,train,321.41164076902817,1
