,AFDR,AIBL,AIBR,ALA,AS1,ASKL,ASKR,AVAL,AVAR,AVBR,AVEL,AVER,AVFR,AWCL,AWCR,BAGL,DB2,IL2DR,OLQDL,RIBR,RID,RIML,RIMR,RIS,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SABD,SABVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URXL,URXR,VA1,VB1,VB2,train_test_label,time_in_seconds,tau
1546,-0.2993112301510346,-0.34439966401744077,-0.32117129356345053,-0.08783296671553929,-0.0692713291337172,-0.4093768634419703,-0.4085531959782802,-0.5946628430808544,-0.5952356751824945,-0.5115917320926132,-0.5321708761202559,-0.5323142480365389,-0.09124425807803804,0.006591114811326432,0.022145179593335645,-0.776896418577691,-0.5196856211379741,-0.2780354953633361,-0.5611448126163818,-0.4779669055385781,-0.32071784576870743,-0.7253949592091518,-0.7495175568933227,-0.31745257836082685,-0.601268124720228,-0.5348696060235109,-0.21040910520453768,-0.47428834631716776,-0.46714472690839004,-0.29478154146921476,-0.5787621440938595,-0.3116527326554319,-0.7700665363259496,-0.7502233225118359,-0.7418488096743221,-0.6853167100230932,-0.6977574478152652,-0.7353905342758766,-0.6646495840900303,-0.8116715828423822,-0.5498087083880048,-0.7762440607262764,-0.3919603793309288,-0.4916139584273102,-0.25027815111787266,test,709.5962600934977,1
1547,-0.29932063252421354,-0.33875368910637094,-0.32134400689577713,-0.0903398932533844,-0.06975921234131885,-0.40789858232036774,-0.4055201904551853,-0.595654455269035,-0.5899060078687135,-0.5106173160863646,-0.5298632841849378,-0.5326637979388,-0.09290734237155909,0.013306581658017264,0.03800666139170467,-0.782502125923919,-0.5145529213317197,-0.27992666305070313,-0.5618317226661145,-0.48186644231718956,-0.32780136235375074,-0.728174547017134,-0.7416017685245601,-0.31992688877904585,-0.5983878705490834,-0.5313808064954731,-0.2117754987066368,-0.48292682184097746,-0.470119106131929,-0.29697922122752396,-0.5771707807228511,-0.3091402818792547,-0.7732435040477563,-0.7551982552533409,-0.7454279270383403,-0.6774717351161952,-0.6999229670815602,-0.7255874077814993,-0.6632982218679113,-0.8177811073729098,-0.5517457351323998,-0.7777850887987219,-0.3875390902099584,-0.48346160272115796,-0.24649022485443994,test,710.0552486187845,1
1548,-0.29071573890033414,-0.343128315916622,-0.321451997487478,-0.0828968794115735,-0.06243999999604794,-0.40306773015767455,-0.40767203387175566,-0.5895604600968949,-0.5890496328446457,-0.5019792601253976,-0.5177396140294579,-0.529654991355985,-0.088785513403035,0.006599607149370301,0.035056245033896004,-0.7777507442503689,-0.5038325523769663,-0.25886226168110904,-0.5494618471190383,-0.46159597716945755,-0.32191373403582546,-0.7290327682693539,-0.7433854942538908,-0.30153047914197284,-0.6118876714844184,-0.5355169212051787,-0.20614265984481656,-0.46039877219493797,-0.47140178495834617,-0.2856058533294718,-0.5723580822802662,-0.3012184007169606,-0.7572778746481903,-0.7374191678421849,-0.7369425028740718,-0.6727930404619914,-0.7012170024517543,-0.7155599811083883,-0.6586665086912549,-0.8078171182972942,-0.5442853455495712,-0.7695306597530391,-0.3859030180080281,-0.48344186873572764,-0.23018989180886631,test,710.5142371440713,1
1549,-0.2938430274415469,-0.33718953324177886,-0.31559689252640766,-0.09098044025186376,-0.0649795421423232,-0.4124708359714847,-0.41207875771550867,-0.5834601181743161,-0.5888464725487292,-0.5056177567295217,-0.5112369777215002,-0.5396333099635996,-0.09095087694781098,0.005321888872853828,0.02756883253345977,-0.7841874547734587,-0.5063708058281877,-0.25806402283865676,-0.55939194165602,-0.47354159294206954,-0.3282053076761556,-0.7202793821647075,-0.7383116137122706,-0.3104757694957302,-0.6128302171412056,-0.5456618463995402,-0.2157318843336325,-0.46149106372038096,-0.47898989439661355,-0.28996294671332196,-0.574366725913819,-0.2991578324441011,-0.773285971838984,-0.7436898012900939,-0.7392602091913049,-0.6820072937425766,-0.6933821403364249,-0.725041569554739,-0.6632195245741852,-0.8191140167002471,-0.5482382750394379,-0.7683645291755554,-0.38513555384199283,-0.48977238525819233,-0.23215229639894502,test,710.9732256693583,1
1550,-0.2926052362694075,-0.328456567989647,-0.3136234110714724,-0.09139254334947379,-0.07067575828326693,-0.41446319717355795,-0.41222138055233254,-0.5842175310167096,-0.5896486569668431,-0.5087380107894105,-0.5167380346959831,-0.5402510594825533,-0.08922503650844626,0.006277033464604384,0.03238001444786772,-0.7871111717287691,-0.5099520961877422,-0.26245619310324886,-0.5624638739579229,-0.47890615662067715,-0.3313240163646173,-0.7214317965022031,-0.7393623050391923,-0.3139064413695267,-0.6146347426271033,-0.5407039579354298,-0.22019886027875116,-0.47232324176712825,-0.47991892843543627,-0.2914873457059988,-0.5771548407657744,-0.29941720094169516,-0.7761419863299586,-0.7470911130648096,-0.7402080758644923,-0.6869596941961507,-0.6953726397986472,-0.7236846702201097,-0.6638150260643231,-0.8205643681973087,-0.5530190853654218,-0.7747984333037012,-0.38234824262093714,-0.489498941057986,-0.23590223541956176,test,711.4322141946451,1
1551,-0.2915508502559919,-0.331761225811987,-0.3166019050532014,-0.08726848908032184,-0.07088408880567139,-0.41639595992408446,-0.40444957800047676,-0.5946607194056229,-0.5888676763328191,-0.5097290332154298,-0.5194763618776868,-0.5426809977167367,-0.09393058023385684,0.014966461145513796,0.041869206365050295,-0.7864266030435352,-0.5064843261121836,-0.2724772659512463,-0.5587059005456639,-0.4778603294179381,-0.3354407279988877,-0.7308300409314629,-0.7426943203200413,-0.31231974865285195,-0.6051570841165277,-0.5432722678587081,-0.21028282992976627,-0.4690117657982473,-0.4699022342697685,-0.2939665964880883,-0.5747634099654015,-0.2986971218226172,-0.7686876825554113,-0.7465500691230355,-0.7455942916586205,-0.685634804105216,-0.7030535029724901,-0.7283551594474432,-0.6609748944551344,-0.8202756879123325,-0.5457675341412709,-0.7726645516720649,-0.38164956464547317,-0.4828788058122545,-0.2384337202505509,test,711.8912027199319,1
1552,-0.28532806395059634,-0.3269742676493999,-0.3227122798025008,-0.08851096512038732,-0.07102727952125193,-0.42402947723916523,-0.40652474929673754,-0.599681198053521,-0.5896585283165108,-0.5065561161365675,-0.5163736735679494,-0.5356898486860135,-0.08927691864696952,0.017410721978946594,0.0430311216077729,-0.7880850210252182,-0.5083333167649271,-0.27897216944231157,-0.5594202645367716,-0.48036270565092776,-0.33289297903467074,-0.7187710229392177,-0.7405813377755959,-0.30853834010264847,-0.5972175382887233,-0.5401374080755637,-0.20959052943070314,-0.47831726588627166,-0.47379284116433373,-0.2927682758353097,-0.5746850206633201,-0.2963871877371818,-0.7764069848555039,-0.74357256798977,-0.7450859722422205,-0.6877711571298443,-0.6921021585022034,-0.7300109633249889,-0.662863010252876,-0.814651847982482,-0.5478616300642888,-0.7702552309033115,-0.38059878807501424,-0.4885277101304083,-0.24207441042147484,test,712.3501912452189,1
1553,-0.2958557358293613,-0.326052682713268,-0.3221738735893612,-0.10036031045339151,-0.07701120774758015,-0.4143106727895567,-0.4032243989781032,-0.5981563711406711,-0.5951705635484468,-0.5091645840835459,-0.5239900791427932,-0.5349702926713259,-0.09006655135620958,0.015183234912876112,0.0383540154784154,-0.7915784103180425,-0.5163076998969031,-0.2884589985503866,-0.5655976551642582,-0.49231634511781786,-0.3401718654240709,-0.7193108107024468,-0.7456820499901936,-0.32453689821272413,-0.5977632529022634,-0.5354406232252187,-0.21257994643024783,-0.4860408171439361,-0.4781093189772244,-0.29905153145298463,-0.574414391175283,-0.30626351058483803,-0.7855253432824431,-0.7542800268004795,-0.7463013618696425,-0.6936431787744649,-0.6945114024404438,-0.732455948529675,-0.6625379340651072,-0.8187238015386251,-0.5536236870021426,-0.7797401258455576,-0.38159079657495615,-0.49881948104231777,-0.25375368038235824,test,712.8091797705057,1
1554,-0.29348896842124816,-0.3326031433195354,-0.3317690612999579,-0.09282532147263371,-0.07681686098658295,-0.41520685669316465,-0.4080548025607443,-0.602826860137276,-0.5919009633741157,-0.5063765151280417,-0.536764852223067,-0.5336703501899578,-0.0876652273289322,0.01155492451922066,0.03703713124529473,-0.7871121130684524,-0.5233810381951837,-0.2954169708305985,-0.5619379327088868,-0.48527764146668073,-0.3385439309234784,-0.7333363580794139,-0.7539273147917351,-0.3127162529640104,-0.5943932453160061,-0.531325151927603,-0.2087718201639795,-0.4762718421851736,-0.4664225019235544,-0.30694350256038916,-0.5792254838948112,-0.30905409712729726,-0.7698546626654448,-0.7591523631798686,-0.7523685685628814,-0.6874992521984137,-0.705222786809587,-0.723786725735493,-0.6519676046620383,-0.8283756755406497,-0.5443131661214913,-0.7815402202258632,-0.37988398502156073,-0.4909397094051068,-0.26130617549470586,test,713.2681682957925,1
1555,-0.2977900417734797,-0.3377386920191506,-0.3296128406605765,-0.10028362129580824,-0.07374106739397268,-0.414649887928379,-0.40630411639473596,-0.6029802294140444,-0.5928316877905819,-0.5011739216331087,-0.5253704600637186,-0.5301465900318195,-0.08574023449868604,0.016029437855296633,0.03793421613624396,-0.7942721772713464,-0.5116997250572499,-0.2906966976851484,-0.560637056301727,-0.4825529933570297,-0.3429367254449793,-0.7298830308495772,-0.7565728332788907,-0.3096521893361931,-0.5938866612588298,-0.5364624022593938,-0.20354481598610588,-0.472544616440266,-0.4648728084311312,-0.2978032455722316,-0.5806857595123195,-0.30901746280988385,-0.7786694285565394,-0.7598843433623306,-0.7489842121298791,-0.6841726124654689,-0.6958832537490587,-0.7262581678056852,-0.6621915202987201,-0.8240189719604134,-0.5416281096202855,-0.7704974122756287,-0.3805643935310212,-0.49210108483273546,-0.2547855160424755,test,713.7271568210795,1
1556,-0.28830979061271,-0.3222802760550473,-0.320225573143082,-0.09781359274850202,-0.07529440715938568,-0.4181986618737609,-0.4095900978421961,-0.5943595374905726,-0.5917474374815459,-0.4909248669721808,-0.5192528543556483,-0.5285555441583571,-0.08037749354136046,0.007505152055538256,0.03360288386622915,-0.7917637418518607,-0.5056630037421537,-0.278216212391829,-0.5585717312340296,-0.48497099080135697,-0.3375281112163121,-0.7227867325406947,-0.7521083062373122,-0.3057835065997636,-0.5952551500085498,-0.5375440439271305,-0.21247374940768549,-0.4744524762300856,-0.4736279278239379,-0.29560888349953274,-0.5717312325114622,-0.3032755348850964,-0.7813559869009965,-0.749981754067248,-0.746788960154898,-0.6919893483950483,-0.6937507399647477,-0.7228773471251971,-0.6586696347976281,-0.819860396672182,-0.5446965192586775,-0.7721162437987223,-0.3790477254898609,-0.5011396387509874,-0.2572493537164696,test,714.1861453463663,1
1557,-0.29103728111014765,-0.3242541071090903,-0.32318322350758333,-0.10514544050296537,-0.07882553447624795,-0.4173129333208343,-0.4087829722073419,-0.5953301634005128,-0.595595080712995,-0.49271086254054003,-0.5227394144980441,-0.530835244117287,-0.0826418130462001,0.00515583470819829,0.03689582219497447,-0.7900966291594561,-0.5069784384628222,-0.2847474952972755,-0.5606611108319978,-0.49168849937206327,-0.33947271290207964,-0.7255766068782262,-0.7512826737560697,-0.3153464496615659,-0.597408915122674,-0.5364459700572497,-0.21658909033147686,-0.47686000648801696,-0.4802657367376645,-0.3012521678445532,-0.5752650818838431,-0.3060047889493821,-0.7846348800790879,-0.7597963436462751,-0.7529109345068001,-0.6897412993017294,-0.698049479280906,-0.7221750147715443,-0.6526168272568084,-0.8268399762060596,-0.5461513966446174,-0.7717495123831946,-0.38114222231372524,-0.49771879021831594,-0.2586529262862769,test,714.6451338716532,1
1558,-0.2966587974371173,-0.3234546479438893,-0.31783769799306266,-0.10390668054665902,-0.07319161120581479,-0.41252171374350627,-0.40086016683899456,-0.5895241834027134,-0.5945552271932075,-0.49421286866659536,-0.5213423538999502,-0.5319317897644822,-0.08317008040855108,0.005259561503341198,0.04001936847385432,-0.7938536920821464,-0.5073480701005352,-0.28406254653428775,-0.5592280559459384,-0.4885945868260112,-0.34299328842737964,-0.7292063365325391,-0.7519242134981569,-0.3153716873951825,-0.6016643257343535,-0.5351005966556232,-0.22374283340028794,-0.47259634188089383,-0.47623339247911023,-0.30654130689052217,-0.5727116592968903,-0.3039988452298671,-0.7823393597500604,-0.7562798362854456,-0.7586800003149754,-0.6921924588113434,-0.7020451868292947,-0.7186357418627936,-0.6530854793599498,-0.8243261029939337,-0.5445626573951136,-0.7716976482984357,-0.3823272472909048,-0.49487853777615304,-0.2535652055569004,test,715.10412239694,1
1559,-0.29853750529051126,-0.3311695630642179,-0.31988671700139926,-0.10868632925597749,-0.08002760184273582,-0.41740037642076355,-0.40381817200243525,-0.5986167129222278,-0.594779327059052,-0.49658789774228185,-0.5211800706336032,-0.5315008083354521,-0.08591307311686451,0.012296006643209137,0.041451371920122417,-0.7977355726413624,-0.5105340207139505,-0.2838207808523714,-0.566061929447635,-0.48696795557155814,-0.34764447347315075,-0.7304562069831843,-0.7516328113058214,-0.3234453046546969,-0.6043552164011938,-0.5362484018554208,-0.21195807536971673,-0.47861413497611127,-0.47445904477167045,-0.30614914505137136,-0.5793970334275949,-0.3079908465555087,-0.7839855971213993,-0.7618027977985043,-0.7590849954457175,-0.6932725024685984,-0.6978271770785162,-0.7255794930775331,-0.6580275113775543,-0.8310639043078869,-0.5478226018581619,-0.7777537822788148,-0.3843615545661836,-0.48961222768047585,-0.25783128838409863,test,715.5631109222269,1
1560,-0.29323486914876495,-0.3318281695603976,-0.31700078871112203,-0.09980428362425538,-0.07577312175522391,-0.4191206791918752,-0.4073476863504118,-0.5941533575252992,-0.5882283091018727,-0.49378295019812507,-0.519610242457841,-0.5266346589673084,-0.0858217980282452,0.012030709795260011,0.04023772823465749,-0.7973719531666744,-0.5089804239147511,-0.27447322678243663,-0.5585666867079505,-0.4812361712455797,-0.3409683495225695,-0.7282886439799015,-0.7503168364672949,-0.31695857741386024,-0.6091961086874897,-0.5346566273993854,-0.21218190047566338,-0.47511164671079253,-0.4779749070923386,-0.3011912837163715,-0.5756015415836586,-0.30376442871241577,-0.7779100397739146,-0.7521222356596868,-0.7537373556965731,-0.6918053584928835,-0.6996398518867457,-0.7224835564509605,-0.6536707698311038,-0.8267803446919781,-0.5512831592425966,-0.7769884246943579,-0.38274541270644075,-0.4907809845119489,-0.25450022136636236,test,716.0220994475138,1
1561,-0.30200527642312947,-0.32704785992354685,-0.3155062571252027,-0.10083663530383848,-0.0777819762010448,-0.4135539092589383,-0.40296891409862107,-0.5925834584860402,-0.5995605019099897,-0.4959412723110058,-0.5229001055329627,-0.5410812753602005,-0.08542677636608682,0.01035506810100495,0.0346474593503898,-0.795245936115585,-0.5198673431734862,-0.2867478154109746,-0.5677366589347165,-0.4880329146352751,-0.344114584237065,-0.7333611614568599,-0.7575700440047899,-0.31803468165565696,-0.6101203376706535,-0.5392858329915593,-0.22113941013667293,-0.46362334612157696,-0.4737889887489365,-0.30904126834864754,-0.5758363537705107,-0.3069506890082395,-0.7818276993797265,-0.7536539259139632,-0.7610630068371588,-0.6995785331277908,-0.7051160010381836,-0.7364346208427963,-0.652254709451021,-0.8307943778331897,-0.5531259211581261,-0.7777755404922593,-0.3913464906457946,-0.4850914233636417,-0.2508039698784012,test,716.4810879728007,1
1562,-0.3021215258288891,-0.3218497797252032,-0.31349221476314537,-0.10550940569159134,-0.08509597185456139,-0.41129651390376715,-0.406120585762276,-0.5914254871837555,-0.6028324872823272,-0.5051493888371463,-0.5255332597935578,-0.5355263953323298,-0.08069314715587941,0.011677427170002766,0.03266444177151577,-0.7911478358019205,-0.5179216467156654,-0.28655719964078874,-0.5673908833022557,-0.49234410307569776,-0.33930613898137085,-0.7309178379555127,-0.75319455858544,-0.32179198830963995,-0.6060959595375741,-0.535074288434594,-0.2210012611678367,-0.4723190105422861,-0.47973345443047055,-0.3041799707993022,-0.5780839605932341,-0.30606431774344883,-0.7873756605101857,-0.7514136678511284,-0.7594710265553264,-0.6942788123131302,-0.6987822561923797,-0.7324265758791406,-0.6562338121979986,-0.8267856946475081,-0.5610280635593403,-0.7776750450841887,-0.39106908267411367,-0.4814812733387968,-0.2488045593182135,test,716.9400764980875,1
1563,-0.30525346545649146,-0.32208475231352995,-0.31502021783652046,-0.10583250737233504,-0.08402389206055227,-0.4118957583947973,-0.3983337639753136,-0.5934609290311049,-0.6063835306612964,-0.5131054131957808,-0.5264990936158246,-0.5413039289912595,-0.08833329162928902,0.016610656793106734,0.0456368391504222,-0.7915453511807267,-0.5301768967510422,-0.2948465963934651,-0.5649034153506357,-0.49458035034230474,-0.34665676727497546,-0.7293709319392585,-0.7517550121987666,-0.32659890353598986,-0.6019391030493622,-0.5374372647212423,-0.2246782574916788,-0.4780532222393583,-0.4788033873727795,-0.31083745708402033,-0.5774284515292283,-0.3074516769240956,-0.783377834352632,-0.7507823323346936,-0.7655328242490221,-0.6972352233044916,-0.7061600253513605,-0.7339434393050438,-0.6495579192024395,-0.8248496289032565,-0.5639402489210537,-0.7792615458047147,-0.38969463340396504,-0.47979451145483076,-0.2480856806324012,test,717.3990650233744,1
1564,-0.3042557604258581,-0.3239942057884131,-0.3105188981777194,-0.10626319469846876,-0.08769071353819938,-0.4114442145311798,-0.4048841844835272,-0.5889049817831976,-0.6033354165701026,-0.5086074733741359,-0.5233392784929094,-0.5418699330151762,-0.0878417914153447,0.009030179815967584,0.03875854933990697,-0.7938112427243658,-0.5339075641282898,-0.2880282709421224,-0.5645421250954469,-0.49410056669570857,-0.34704286512685656,-0.7313271780201628,-0.7476272269439853,-0.32440305679342163,-0.6032780599288613,-0.5452576976927402,-0.22841453894092664,-0.4692115593208612,-0.4822074011588502,-0.3084674205101937,-0.5794242175841245,-0.30534862786182565,-0.7847626036252545,-0.7514763031608834,-0.7703860270933031,-0.696599088495562,-0.7057054685695725,-0.7326954101426058,-0.644464461095443,-0.8303272987856809,-0.5609992148691119,-0.7705640138102532,-0.3880459124782073,-0.4716419121796219,-0.24204778516916212,test,717.8580535486612,1
