,AIBL,AIBR,ALA,ASKL,ASKR,AVAL,AVAR,AVEL,AVER,BAGL,BAGR,RID,RIML,RIMR,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR,VB2,train_test_label,time_in_seconds,tau
116,-0.46211285460373985,-0.5652282699627833,0.007873208454670572,-0.17812492264982474,-0.1761184739421019,-0.5072249086593845,-0.5425344848924122,-0.5407483225183685,-0.47892375135273973,-0.25648200034520063,-0.14630501433875265,-0.39264071020098523,-0.7519899575564081,-0.6440502270410287,-0.6080308246917497,-0.3198391606187593,-0.5119540273224044,-0.3477468408510513,-0.4381837297883333,-0.709235123936997,-0.5772485347216224,-0.4328320949309793,-0.619927482027077,-0.35768898397503596,-0.4981897778190413,-0.31440292695386696,-0.44854259324000917,-0.26343128444527564,train,74.25800193986422,1
117,-0.3698169283131576,-0.4753529615627894,0.008681486406708058,-0.1599423038040217,-0.1635812517905378,-0.4140983628512334,-0.445783584876317,-0.4790844298915372,-0.41520883395452834,-0.24861114081785252,-0.13053759053315617,-0.41071529088347225,-0.6756279691541894,-0.5834186197579013,-0.5917359889126254,-0.3841605240116182,-0.5458691665481452,-0.3870506893882968,-0.49772099656281354,-0.7077465337484545,-0.5572695974768453,-0.4107273210864092,-0.587680241547852,-0.30870342662017913,-0.44276179380565983,-0.25744121873890125,-0.4127875595019014,-0.28660900982490434,train,74.89815712900098,1
118,-0.28239267034374116,-0.3786560674129589,0.004887981994747589,-0.13928001874211782,-0.14298587440610447,-0.31136552216444824,-0.34115511141477195,-0.4060466968528575,-0.3481253478727675,-0.23864884275359072,-0.11377369136612225,-0.43182409077039385,-0.589698888749646,-0.5213639701384724,-0.5749817549285301,-0.4527353217182106,-0.5788888830619703,-0.4228057322955906,-0.5572788917349178,-0.7040209069274324,-0.5344337803044679,-0.38528598429150684,-0.5535894477430777,-0.2564622634642183,-0.3826516266287859,-0.1974475608924898,-0.37818504609995673,-0.31173586367542927,train,75.53831231813774,1
119,-0.1897111588854609,-0.2831929369667774,0.002646897148733715,-0.12496116348400746,-0.1389924548705374,-0.2167990990641947,-0.25379239949270416,-0.3490224921931875,-0.27239998330493775,-0.2286595597949595,-0.08864281169947222,-0.440871853991166,-0.5069844664126094,-0.4545960055539655,-0.558732191135326,-0.5134668644063862,-0.6069970163773253,-0.4553344169278958,-0.6053044798232481,-0.6798312025068913,-0.5000285728861966,-0.3593137393098641,-0.5148452201866532,-0.20836377392369332,-0.3144351894752532,-0.13353376885905793,-0.32573554625532014,-0.3312485795317748,train,76.17846750727449,1
120,-0.10838798873416512,-0.1984245515772399,-0.005131779140189779,-0.11028833525084891,-0.13548911842933636,-0.13248682249041108,-0.17794709385424431,-0.29231677119433064,-0.20238711075374652,-0.22230694491082237,-0.06892354326083563,-0.44503487956182863,-0.4338644942609814,-0.3949931824195019,-0.5391797145713446,-0.5648068470041854,-0.6249854597771121,-0.48540106915347714,-0.6428450292462928,-0.6615785077797116,-0.47080854126715777,-0.330580893593053,-0.48347385403557386,-0.16367210757813394,-0.2599939528914401,-0.07850750087022818,-0.27598712514541196,-0.34728110230801457,train,76.81862269641125,1
121,-0.06079160300289136,-0.13981214361221186,-0.020409065854316608,-0.10081176832385005,-0.13260148968868407,-0.06618553098975438,-0.1293685113269831,-0.2459476987151997,-0.15398220522710165,-0.2132533482824293,-0.058586804514533825,-0.4424410256755721,-0.3868771094754897,-0.35642780998783397,-0.5291555702683173,-0.5959860896554469,-0.625159160036444,-0.4982514204485021,-0.6519626181230113,-0.6462117490593295,-0.44875827001133484,-0.3110272372290267,-0.46413593035141953,-0.13981380850179445,-0.21639321886965365,-0.04112929655420766,-0.25039918193041666,-0.3509877716870742,train,77.45877788554802,1
122,-0.014235795941225388,-0.08893448118952287,-0.025928191978330004,-0.08616243146054488,-0.13680190222589816,-0.009695529759007393,-0.0858800360418228,-0.21886617764912925,-0.114920079772511,-0.2125254898543481,-0.03618657170297678,-0.44136394827375325,-0.3426549568696854,-0.31832156189435284,-0.5220299253802987,-0.6103149019416839,-0.627466573269958,-0.5154012404600523,-0.6679692169415801,-0.6308932582257601,-0.4343294004382967,-0.29511559575233226,-0.43758368684466414,-0.1130637713832047,-0.18374454455995937,-0.013197686856976587,-0.21784790683418698,-0.36488515927548626,train,78.09893307468478,1
123,0.024925537399538622,-0.04760004358955513,-0.027971364110941282,-0.07205982424350034,-0.13220097967759958,0.025563863415080365,-0.046608482023177716,-0.18795455080987444,-0.08049855123157657,-0.20193653326030603,-0.018055025632828348,-0.445792146361605,-0.2974631367005314,-0.2792073351027673,-0.5069173495184527,-0.6280803888372556,-0.6346146527570665,-0.5250824028648016,-0.6857995468472129,-0.6246269071436767,-0.42184861570674026,-0.284499673275471,-0.4177602669836922,-0.07846541918133378,-0.15585648918090494,0.0010350072619039752,-0.19129543035081714,-0.3861534687699464,train,78.73908826382154,1
124,0.05917836424581639,-0.02016430281235093,-0.02106114803617591,-0.06075904965961422,-0.12573315831178525,0.05301952972353473,-0.025165210934634086,-0.15769679048567836,-0.05480433983623978,-0.19762572881221546,-0.01301081331490355,-0.4528051892167113,-0.26283652156346177,-0.2509066465865981,-0.5038556604272092,-0.6439911088620688,-0.6453126203168602,-0.5327240839872338,-0.7037788653582311,-0.6143447790926552,-0.40758403169536717,-0.2855400085208415,-0.4088378237311825,-0.057040852311189015,-0.12879472028843933,0.008450226771912706,-0.1747155522956294,-0.4055678357111099,train,79.37924345295829,1
125,0.08817329380317093,0.01396447315003338,-0.023393699011378305,-0.05142963673280424,-0.12890805503460617,0.08053953303665308,0.0023763890038996927,-0.13883051519423756,-0.02475276945074355,-0.19199865299488172,0.004159149541459127,-0.44954291254292045,-0.23171882248848813,-0.22400797198299136,-0.4967452037374595,-0.6509625878593968,-0.6416354736676059,-0.5410428622211098,-0.7128964311011878,-0.5947850556819592,-0.3931508436891393,-0.2729737768876236,-0.3879514361923354,-0.034739042432663826,-0.10223505114942662,0.025880056253871075,-0.14447221246429415,-0.42051275766726215,train,80.01939864209506,1
